Date,Open,High,Low,Close,Adj Close,Volume
2013-05-20,1.11,1.17,1.11,1.15,1.15,13713000
2013-05-21,1.17,1.19,1.12,1.13,1.13,7275400
2013-05-22,1.14,1.2,1.13,1.13,1.13,23737700
2013-05-23,1.13,1.14,1.05,1.12,1.12,25654000
2013-05-27,1.11,1.13,1.08,1.08,1.08,11881800
2013-05-28,1.09,1.17,1.09,1.15,1.15,22206900
2013-05-29,1.15,1.18,1.09,1.09,1.09,13442000
2013-05-30,1.09,1.11,1.07,1.07,1.07,2374100
2013-05-31,1.08,1.09,1.05,1.06,1.06,2069400
2013-06-03,1.04,1.06,1.03,1.03,1.03,1847000
2013-06-04,1.04,1.05,1.03,1.05,1.05,1563300
2013-06-05,1.05,1.05,1.04,1.04,1.04,1018500
2013-06-06,1.04,1.04,1.0,1.0,1.0,4012100
2013-06-07,1.0,1.03,1.0,1.02,1.02,976100
2013-06-10,1.03,1.05,1.02,1.03,1.03,279200
2013-06-11,1.03,1.03,0.98,0.98,0.98,942000
2013-06-12,0.96,0.97,0.94,0.94,0.94,1269400
2013-06-13,0.94,0.94,0.84,0.86,0.86,1082100
2013-06-14,0.88,0.93,0.88,0.9,0.9,394500
2013-06-17,0.92,0.92,0.9,0.92,0.92,178300
2013-06-18,0.93,0.95,0.88,0.88,0.88,586800
2013-06-19,0.89,0.89,0.85,0.85,0.85,477300
2013-06-20,0.84,0.85,0.83,0.85,0.85,298300
2013-06-21,0.83,0.83,0.8,0.8,0.8,563700
2013-06-24,0.8,0.85,0.8,0.82,0.82,125700
2013-06-25,0.8,0.84,0.75,0.78,0.78,902300
2013-06-26,0.8,0.82,0.79,0.8,0.8,332100
2013-06-27,0.81,0.84,0.8,0.8,0.8,756300
2013-06-28,0.81,0.82,0.8,0.82,0.82,155100
2013-07-02,0.82,0.84,0.81,0.81,0.81,95600
2013-07-03,0.81,0.86,0.8,0.81,0.81,1269500
2013-07-04,0.81,0.81,0.8,0.8,0.8,160900
2013-07-05,0.81,0.81,0.79,0.8,0.8,248300
2013-07-08,0.79,0.85,0.77,0.77,0.77,2361500
2013-07-09,0.79,0.79,0.77,0.77,0.77,517800
2013-07-10,0.78,0.79,0.7,0.75,0.75,1323900
2013-07-11,0.75,0.78,0.75,0.78,0.78,225900
2013-07-12,0.79,0.79,0.77,0.79,0.79,108800
2013-07-15,0.79,0.8,0.79,0.8,0.8,157300
2013-07-16,0.8,0.84,0.8,0.84,0.84,1843100
2013-07-17,0.83,0.9,0.83,0.88,0.88,1357800
2013-07-18,0.88,0.93,0.88,0.9,0.9,269900
2013-07-19,0.92,0.92,0.89,0.89,0.89,70700
2013-07-23,0.9,0.91,0.9,0.9,0.9,170600
2013-07-24,0.9,0.91,0.89,0.91,0.91,278900
2013-07-25,0.9,0.9,0.87,0.9,0.9,103100
2013-07-26,0.89,0.9,0.84,0.89,0.89,259200
2013-07-29,0.89,0.89,0.84,0.88,0.88,39100
2013-07-30,0.93,0.93,0.87,0.87,0.87,142500
2013-07-31,0.88,0.88,0.81,0.81,0.81,167400
2013-08-01,0.82,0.87,0.81,0.87,0.87,87400
2013-08-02,0.84,0.85,0.81,0.81,0.81,58100
2013-08-05,0.81,0.85,0.81,0.85,0.85,71400
2013-08-06,0.82,0.84,0.8,0.81,0.81,126000
2013-08-07,0.75,0.79,0.75,0.78,0.78,532100
2013-08-08,0.8,0.88,0.8,0.83,0.83,199700
2013-08-09,0.84,0.88,0.82,0.88,0.88,1651700
2013-08-13,0.88,0.89,0.83,0.84,0.84,83800
2013-08-14,0.87,0.87,0.83,0.85,0.85,35400
2013-08-15,0.88,0.88,0.84,0.87,0.87,60200
2013-08-16,0.89,0.89,0.85,0.85,0.85,106300
2013-08-19,0.85,0.86,0.8,0.8,0.8,173600
2013-08-20,0.8,0.8,0.77,0.77,0.77,186200
2013-08-21,0.77,0.79,0.75,0.75,0.75,377700
2013-08-22,0.76,0.89,0.75,0.82,0.82,398000
2013-08-23,0.82,0.85,0.81,0.84,0.84,95400
2013-08-26,0.85,0.87,0.84,0.84,0.84,517800
2013-08-27,0.84,0.85,0.76,0.84,0.84,1148700
2013-08-28,0.83,0.85,0.8,0.83,0.83,1858000
2013-08-29,0.83,0.85,0.79,0.84,0.84,1443800
2013-08-30,0.84,0.85,0.78,0.83,0.83,947300
2013-09-02,0.82,0.82,0.79,0.81,0.81,777300
2013-09-03,0.81,0.83,0.78,0.8,0.8,883000
2013-09-04,0.8,0.81,0.79,0.79,0.79,198200
2013-09-05,0.8,0.8,0.79,0.79,0.79,77100
2013-09-06,0.8,0.82,0.8,0.8,0.8,15500
2013-09-09,0.84,0.84,0.81,0.82,0.82,118000
2013-09-10,0.82,0.83,0.7,0.73,0.73,8340100
2013-09-11,0.76,0.76,0.74,0.75,0.75,884300
2013-09-12,0.76,0.78,0.74,0.74,0.74,935400
2013-09-13,0.76,0.76,0.73,0.76,0.76,591800
2013-09-16,0.74,0.75,0.74,0.75,0.75,500000
2013-09-17,0.75,0.77,0.75,0.75,0.75,1566000
2013-09-18,0.76,0.77,0.75,0.75,0.75,1734800
2013-09-19,0.76,0.77,0.75,0.75,0.75,1004700
2013-09-20,0.76,0.8,0.76,0.77,0.77,3462900
2013-09-23,0.78,0.8,0.77,0.77,0.77,875100
2013-09-24,0.77,0.81,0.77,0.77,0.77,2384000
2013-09-25,0.78,0.81,0.78,0.8,0.8,2046700
2013-09-26,0.81,0.82,0.79,0.8,0.8,562600
2013-09-27,0.79,0.83,0.79,0.79,0.79,1371400
2013-09-30,0.8,1.02,0.8,0.98,0.98,20218600
2013-10-01,0.95,0.97,0.9,0.92,0.92,6525000
2013-10-02,0.93,1.16,0.93,1.04,1.04,40882300
2013-10-03,1.02,1.19,1.02,1.03,1.03,29660400
2013-10-04,1.04,1.15,1.04,1.09,1.09,13082200
2013-10-07,1.11,1.14,1.08,1.08,1.08,7267300
2013-10-08,1.09,1.14,1.09,1.12,1.12,9220200
2013-10-09,1.13,1.18,1.12,1.16,1.16,12970800
2013-10-10,1.17,1.2,1.15,1.18,1.18,5753100
2013-10-11,1.18,1.21,1.17,1.21,1.21,6128300
2013-10-14,1.25,1.27,1.22,1.25,1.25,3861100
2013-10-15,1.27,1.28,1.23,1.24,1.24,2758800
2013-10-16,1.23,1.26,1.23,1.26,1.26,2411000
2013-10-17,1.3,1.32,1.26,1.27,1.27,4852100
2013-10-18,1.29,1.31,1.29,1.31,1.31,1734600
2013-10-21,1.32,1.32,1.27,1.29,1.29,1122500
2013-10-22,1.29,1.35,1.28,1.34,1.34,7689100
2013-10-24,1.37,1.42,1.35,1.42,1.42,5259300
2013-10-25,1.45,1.51,1.45,1.47,1.47,5928700
2013-10-28,1.55,1.55,1.48,1.49,1.49,3862100
2013-10-29,1.49,1.5,1.37,1.39,1.39,5044300
2013-10-30,1.33,1.34,1.14,1.17,1.17,6856200
2013-10-31,1.1,1.14,1.09,1.14,1.14,2051100
2013-11-01,1.11,1.13,1.08,1.08,1.08,1234400
2013-11-04,1.05,1.05,1.01,1.02,1.02,716700
2013-11-05,1.01,1.17,1.01,1.15,1.15,1705800
2013-11-06,1.16,1.16,1.11,1.13,1.13,343400
2013-11-07,1.14,1.16,1.11,1.11,1.11,677500
2013-11-08,1.06,1.11,1.06,1.11,1.11,242100
2013-11-11,1.08,1.11,1.08,1.11,1.11,452000
2013-11-12,1.12,1.15,1.11,1.11,1.11,454400
2013-11-13,1.12,1.17,1.12,1.15,1.15,880300
2013-11-14,1.16,1.19,1.16,1.18,1.18,866400
2013-11-15,1.18,1.2,1.15,1.15,1.15,610100
2013-11-18,1.15,1.17,1.15,1.16,1.16,138300
2013-11-19,1.16,1.16,1.13,1.16,1.16,394000
2013-11-20,1.15,1.16,1.14,1.16,1.16,202500
2013-11-21,1.15,1.15,1.08,1.14,1.14,504000
2013-11-22,1.13,1.16,1.12,1.16,1.16,117000
2013-11-25,1.14,1.17,1.14,1.16,1.16,224800
2013-11-26,1.15,1.2,1.15,1.19,1.19,447100
2013-11-27,1.21,1.31,1.21,1.27,1.27,1998800
2013-11-28,1.3,1.3,1.26,1.26,1.26,1559100
2013-11-29,1.28,1.28,1.25,1.26,1.26,644200
2013-12-02,1.29,1.29,1.21,1.28,1.28,246000
2013-12-03,1.24,1.33,1.24,1.26,1.26,352500
2013-12-04,1.29,1.31,1.28,1.3,1.3,298200
2013-12-06,1.31,1.31,1.28,1.31,1.31,597400
2013-12-09,1.33,1.35,1.3,1.32,1.32,945800
2013-12-11,1.34,1.4,1.34,1.4,1.4,688300
2013-12-12,1.44,1.45,1.42,1.44,1.44,351000
2013-12-13,1.42,1.44,1.38,1.42,1.42,498900
2013-12-16,1.44,1.44,1.4,1.44,1.44,389900
2013-12-17,1.44,1.46,1.43,1.46,1.46,1024700
2013-12-18,1.48,1.5,1.46,1.5,1.5,600100
2013-12-19,1.49,1.5,1.48,1.5,1.5,581800
2013-12-20,1.49,1.5,1.45,1.49,1.49,312000
2013-12-23,1.48,1.49,1.41,1.45,1.45,464900
2013-12-24,1.47,1.5,1.44,1.46,1.46,137300
2013-12-25,1.49,1.49,1.46,1.48,1.48,136000
2013-12-26,1.46,1.49,1.4,1.46,1.46,593100
2013-12-27,1.44,1.47,1.42,1.47,1.47,988700
2014-01-02,1.46,1.46,1.38,1.42,1.42,323500
2014-01-03,1.39,1.42,1.38,1.42,1.42,219100
2014-01-06,1.4,1.44,1.37,1.4,1.4,229800
