Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.24,1.39,1.23,1.38,1.38,13012800
2020-09-24,1.38,1.38,1.18,1.31,1.31,7184700
2020-09-25,1.34,1.34,1.28,1.28,1.28,1496700
2020-09-28,1.28,1.28,1.23,1.24,1.24,1508500
2020-09-29,1.24,1.31,1.24,1.28,1.28,2397600
2020-09-30,1.27,1.29,1.25,1.27,1.27,728100
2020-10-01,1.27,1.28,1.24,1.26,1.26,437100
2020-10-02,1.26,1.26,1.22,1.25,1.25,379500
2020-10-05,1.24,1.27,1.24,1.24,1.24,543800
2020-10-06,1.24,1.27,1.22,1.22,1.22,569300
2020-10-07,1.24,1.26,1.22,1.26,1.26,474300
2020-10-08,1.27,1.27,1.23,1.23,1.23,859100
2020-10-09,1.22,1.22,1.18,1.21,1.21,2283500
2020-10-12,1.21,1.22,1.19,1.22,1.22,488400
2020-10-14,1.2,1.21,1.19,1.2,1.2,432500
2020-10-15,1.18,1.24,1.17,1.2,1.2,1053500
2020-10-16,1.21,1.25,1.18,1.25,1.25,1635900
2020-10-19,1.25,1.25,1.18,1.21,1.21,375500
2020-10-20,1.21,1.32,1.21,1.32,1.32,8276300
2020-10-21,1.41,1.42,1.2,1.23,1.23,14788000
2020-10-22,1.22,1.25,1.2,1.24,1.24,3527900
2020-10-26,1.21,1.25,1.2,1.25,1.25,957100
2020-10-27,1.25,1.26,1.23,1.25,1.25,1094500
2020-10-28,1.25,1.32,1.23,1.32,1.32,6166800
2020-10-29,1.39,1.39,1.24,1.26,1.26,6702100
2020-10-30,1.3,1.3,1.25,1.25,1.25,1165600
2020-11-02,1.26,1.26,1.24,1.26,1.26,658900
2020-11-03,1.28,1.28,1.22,1.22,1.22,836100
2020-11-04,1.22,1.29,1.22,1.24,1.24,2377400
2020-11-05,1.27,1.27,1.23,1.25,1.25,678700
2020-11-06,1.25,1.26,1.22,1.23,1.23,1491000
2020-11-09,1.22,1.24,1.2,1.23,1.23,708300
2020-11-10,1.24,1.24,1.19,1.2,1.2,1074100
2020-11-11,1.17,1.24,1.15,1.2,1.2,781100
2020-11-12,1.19,1.2,1.17,1.18,1.18,1101800
2020-11-13,1.19,1.19,1.16,1.16,1.16,2150200
2020-11-16,1.16,1.2,1.16,1.19,1.19,925000
2020-11-17,1.21,1.23,1.18,1.19,1.19,720200
2020-11-18,1.19,1.2,1.19,1.19,1.19,125900
2020-11-19,1.19,1.21,1.19,1.19,1.19,255800
2020-11-20,1.21,1.21,1.18,1.19,1.19,271300
2020-11-23,1.2,1.23,1.2,1.21,1.21,449300
2020-11-24,1.22,1.23,1.17,1.19,1.19,1135700
2020-11-25,1.19,1.2,1.18,1.19,1.19,355800
2020-11-26,1.17,1.2,1.17,1.2,1.2,460000
2020-11-27,1.22,1.26,1.22,1.23,1.23,2180500
2020-11-30,1.27,1.28,1.24,1.27,1.27,2652700
2020-12-01,1.28,1.28,1.25,1.25,1.25,429500
2020-12-02,1.25,1.25,1.2,1.22,1.22,482700
2020-12-03,1.21,1.25,1.21,1.23,1.23,491300
2020-12-04,1.22,1.24,1.22,1.23,1.23,779100
2020-12-08,1.23,1.25,1.22,1.22,1.22,273400
2020-12-09,1.23,1.23,1.17,1.2,1.2,595100
2020-12-14,1.2,1.22,1.17,1.2,1.2,1016900
2020-12-15,1.2,1.2,1.18,1.19,1.19,411800
2020-12-16,1.2,1.22,1.18,1.2,1.2,453600
2020-12-17,1.2,1.21,1.19,1.21,1.21,150400
2020-12-18,1.2,1.22,1.17,1.19,1.19,1666300
2020-12-21,1.15,1.18,1.14,1.14,1.14,1139200
2020-12-22,1.07,1.17,1.07,1.16,1.16,360200
2020-12-23,1.16,1.17,1.14,1.16,1.16,393600
2020-12-24,1.16,1.16,1.11,1.12,1.12,655900
2020-12-25,1.18,1.18,1.11,1.16,1.16,475300
2020-12-28,1.15,1.15,1.05,1.06,1.06,4115700
2020-12-29,1.09,1.12,1.06,1.09,1.09,846700
2020-12-30,1.09,1.12,1.08,1.08,1.08,485600
2021-01-04,1.04,1.11,1.04,1.11,1.11,376000
2021-01-05,1.11,1.15,1.1,1.14,1.14,684500
2021-01-06,1.22,1.22,1.15,1.17,1.17,1210400
2021-01-07,1.17,1.19,1.15,1.15,1.15,407300
2021-01-08,1.17,1.17,1.14,1.17,1.17,675500
2021-01-11,1.17,1.19,1.15,1.16,1.16,1020000
2021-01-12,1.16,1.17,1.14,1.16,1.16,987900
2021-01-13,1.16,1.17,1.14,1.15,1.15,1155800
2021-01-14,1.15,1.19,1.14,1.18,1.18,1525700
2021-01-15,1.2,1.22,1.18,1.19,1.19,1568500
2021-01-18,1.21,1.21,1.17,1.19,1.19,694100
2021-01-19,1.19,1.19,1.17,1.18,1.18,332300
2021-01-20,1.18,1.18,1.16,1.17,1.17,342300
2021-01-21,1.17,1.17,1.15,1.15,1.15,357400
2021-01-22,1.16,1.18,1.15,1.16,1.16,118100
2021-01-25,1.14,1.15,1.12,1.14,1.14,527300
2021-01-26,1.14,1.14,1.11,1.14,1.14,167300
2021-01-27,1.14,1.14,1.12,1.13,1.13,136000
2021-01-28,1.12,1.13,1.09,1.1,1.1,483000
2021-01-29,1.1,1.11,1.09,1.11,1.11,260900
2021-02-01,1.11,1.11,1.07,1.1,1.1,387400
2021-02-02,1.1,1.12,1.07,1.12,1.12,447200
2021-02-03,1.12,1.13,1.11,1.13,1.13,148600
2021-02-04,1.13,1.13,1.11,1.13,1.13,369000
2021-02-05,1.12,1.15,1.11,1.13,1.13,376300
2021-02-08,1.13,1.14,1.11,1.13,1.13,482400
2021-02-09,1.13,1.18,1.12,1.17,1.17,979600
2021-02-10,1.17,1.17,1.14,1.15,1.15,618300
2021-02-11,1.16,1.16,1.14,1.15,1.15,128900
2021-02-15,1.16,1.16,1.12,1.13,1.13,104500
2021-02-16,1.13,1.15,1.12,1.15,1.15,317500
2021-02-17,1.15,1.15,1.13,1.14,1.14,554800
2021-02-18,1.14,1.14,1.12,1.13,1.13,921900
2021-02-19,1.13,1.13,1.11,1.12,1.12,978500
2021-02-22,1.12,1.14,1.12,1.13,1.13,368900
2021-02-23,1.12,1.14,1.11,1.13,1.13,356400
2021-02-24,1.13,1.13,1.11,1.11,1.11,235000
2021-02-25,1.11,1.16,1.11,1.16,1.16,1165000
2021-03-01,1.16,1.3,1.15,1.29,1.29,8778900
2021-03-02,1.25,1.27,1.2,1.25,1.25,1863200
2021-03-03,1.27,1.27,1.21,1.23,1.23,1044800
2021-03-04,1.25,1.25,1.2,1.22,1.22,1023200
2021-03-05,1.21,1.22,1.18,1.2,1.2,1237400
2021-03-08,1.22,1.22,1.19,1.2,1.2,627100
2021-03-09,1.2,1.27,1.2,1.26,1.26,2789400
2021-03-10,1.29,1.29,1.25,1.25,1.25,1376500
2021-03-11,1.25,1.25,1.22,1.25,1.25,597500
2021-03-12,1.25,1.25,1.22,1.24,1.24,759800
2021-03-15,1.24,1.26,1.24,1.24,1.24,377900
2021-03-16,1.24,1.29,1.24,1.29,1.29,4277900
2021-03-17,1.41,1.54,1.31,1.33,1.33,27087500
2021-03-18,1.31,1.42,1.31,1.36,1.36,8850300
2021-03-19,1.38,1.42,1.36,1.38,1.38,6739000
2021-03-22,1.4,1.59,1.4,1.52,1.52,26305300
2021-03-23,1.56,1.57,1.48,1.48,1.48,5187800
2021-03-24,1.48,1.53,1.48,1.51,1.51,2654100
2021-03-25,1.57,1.57,1.48,1.48,1.48,1532700
2021-03-26,1.49,1.55,1.45,1.45,1.45,5291000
2021-03-29,1.45,1.48,1.44,1.48,1.48,1100500
2021-03-30,1.5,1.56,1.49,1.5,1.5,3874700
2021-03-31,1.51,1.57,1.51,1.55,1.55,5801200
2021-04-01,1.58,1.93,1.58,1.82,1.82,54843200
2021-04-02,1.92,1.92,1.84,1.89,1.89,11999100
2021-04-05,1.88,1.89,1.73,1.73,1.73,4410700
2021-04-07,1.66,1.71,1.64,1.67,1.67,4285700
2021-04-08,1.64,1.69,1.63,1.66,1.66,4950600
2021-04-09,1.66,1.77,1.66,1.74,1.74,8102800
2021-04-12,1.82,1.82,1.69,1.7,1.7,3598400
2021-04-16,1.64,1.85,1.63,1.72,1.72,6698000
2021-04-19,1.75,1.9,1.75,1.89,1.89,9716900
2021-04-20,1.9,2.06,1.9,2.0,2.0,14542700
2021-04-21,2.02,2.02,1.95,1.95,1.95,8215900
2021-04-22,1.97,2.06,1.92,2.04,2.04,17355500
2021-04-23,2.02,2.02,1.93,1.93,1.93,7612100
2021-04-26,1.89,1.97,1.89,1.91,1.91,2566400
2021-04-27,1.94,2.2,1.92,2.2,2.2,28636600
2021-04-28,2.2,2.5,2.16,2.5,2.5,29333900
2021-04-29,2.6,3.24,2.54,3.24,3.24,47927100
2021-04-30,3.68,3.92,3.34,3.36,3.36,38185600
2021-05-05,3.4,3.48,3.3,3.42,3.42,5323800
2021-05-06,3.42,3.68,3.26,3.56,3.56,11824900
2021-05-07,3.56,3.64,3.4,3.5,3.5,5832500
2021-05-10,3.5,3.68,3.46,3.58,3.58,6188000
2021-05-11,3.48,3.58,3.48,3.5,3.5,4687400
2021-05-12,3.48,3.5,3.2,3.3,3.3,15338600
2021-05-13,3.26,3.34,2.82,2.92,2.92,13160800
2021-05-14,2.7,2.88,2.66,2.7,2.7,5975800
2021-05-17,2.76,2.76,2.42,2.46,2.46,5917100
2021-05-18,2.42,2.6,2.38,2.44,2.44,6926500
2021-05-19,2.44,2.58,2.44,2.58,2.58,1513500
2021-05-20,2.74,3.1,2.66,2.9,2.9,11699800
2021-05-21,2.98,3.06,2.76,2.78,2.78,7816300
2021-05-24,2.78,2.82,2.74,2.76,2.76,2881900
2021-05-25,2.72,2.94,2.72,2.84,2.84,2623200
2021-05-27,2.8,3.34,2.78,3.26,3.26,32735000
2021-05-28,3.3,3.64,3.26,3.38,3.38,24038100
2021-05-31,3.42,3.52,3.32,3.34,3.34,6341600
2021-06-01,3.38,3.38,3.32,3.32,3.32,1323600
