Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,177.0,178.5,176.0,176.0,176.0,4224800
2020-09-24,175.0,176.5,171.0,171.0,171.0,7185500
2020-09-25,171.0,172.5,170.0,170.0,170.0,4712200
2020-09-28,171.0,175.5,170.5,174.5,174.5,6231000
2020-09-29,175.0,176.5,173.5,174.0,174.0,4357000
2020-09-30,175.0,175.0,171.0,171.0,171.0,4579600
2020-10-01,171.5,172.5,170.0,170.5,170.5,3489200
2020-10-02,170.5,171.5,169.0,170.0,170.0,3957200
2020-10-05,170.5,174.5,170.5,174.0,174.0,5650400
2020-10-06,173.0,173.5,171.0,171.5,171.5,4881500
2020-10-07,171.0,173.5,171.0,173.5,173.5,5125000
2020-10-08,173.5,177.0,173.0,176.5,176.5,6244000
2020-10-09,177.5,178.0,176.5,177.0,177.0,4305100
2020-10-12,178.0,179.0,177.0,178.5,178.5,2217500
2020-10-14,177.5,178.0,174.5,176.0,176.0,4430100
2020-10-15,174.5,176.0,173.5,175.5,175.5,4745700
2020-10-16,175.0,176.0,172.5,173.5,173.5,5105700
2020-10-19,172.5,175.5,172.5,173.5,173.5,5949600
2020-10-20,173.5,174.0,172.0,172.0,172.0,5876500
2020-10-21,172.5,172.5,171.0,171.5,171.5,4670800
2020-10-22,171.0,174.0,171.0,171.0,171.0,5647800
2020-10-26,171.0,173.0,169.5,172.5,172.5,4054000
2020-10-27,171.0,172.5,170.0,172.0,172.0,3595500
2020-10-28,171.5,173.0,171.0,173.0,173.0,3682000
2020-10-29,173.0,174.5,172.0,174.5,174.5,4034900
2020-10-30,175.0,175.0,171.5,172.5,172.5,4408800
2020-11-02,173.5,173.5,171.0,171.0,171.0,2981800
2020-11-03,171.5,172.0,170.0,170.5,170.5,6584700
2020-11-04,170.5,173.0,170.5,172.0,172.0,5860700
2020-11-05,174.0,179.5,173.0,179.0,179.0,8691500
2020-11-06,177.0,178.0,174.0,174.0,174.0,8087700
2020-11-09,178.0,181.0,178.0,179.0,179.0,11230100
2020-11-10,178.0,183.5,176.5,181.5,181.5,16305700
2020-11-11,183.5,184.5,181.0,182.0,182.0,9222600
2020-11-12,182.0,182.0,175.5,176.0,176.0,14057600
2020-11-13,174.5,176.0,173.0,174.5,174.5,12901400
2020-11-16,176.0,177.0,174.5,174.5,174.5,8479800
2020-11-17,176.0,176.0,173.5,174.5,174.5,12495700
2020-11-18,174.0,175.5,173.5,175.5,175.5,5825500
2020-11-19,175.5,180.0,175.5,176.5,176.5,20517200
2020-11-20,176.0,176.5,172.5,175.5,175.5,28570600
2020-11-23,176.5,180.0,176.0,179.5,179.5,20353600
2020-11-24,182.0,182.5,178.0,178.0,178.0,26041600
2020-11-25,178.5,179.5,175.5,177.0,177.0,15608500
2020-11-26,177.5,179.5,177.0,178.5,178.5,12646400
2020-11-27,178.0,180.5,178.0,179.5,179.5,10346100
2020-11-30,179.0,180.0,175.5,175.5,175.5,20143400
2020-12-01,176.5,179.5,176.5,178.0,178.0,12453300
2020-12-02,179.5,183.0,178.5,180.0,180.0,18803500
2020-12-03,181.5,182.0,179.5,180.5,180.5,10016400
2020-12-04,181.0,182.5,179.5,181.5,181.5,9514700
2020-12-08,182.0,186.5,182.0,185.0,185.0,18421600
2020-12-09,188.0,190.0,187.0,189.0,189.0,21196500
2020-12-14,190.5,195.0,190.5,191.0,191.0,21056400
2020-12-15,189.5,190.0,186.5,187.5,187.5,14870800
2020-12-16,189.0,189.5,188.0,188.0,188.0,8171400
