Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,0.53,0.53,0.52,0.53,0.53,25200
2020-08-20,0.53,0.53,0.53,0.53,0.53,5000
2020-08-21,0.53,0.53,0.52,0.53,0.53,108700
2020-08-24,0.55,0.55,0.52,0.52,0.52,26700
2020-08-25,0.53,0.55,0.53,0.53,0.53,16100
2020-08-26,0.53,0.54,0.53,0.54,0.54,1600
2020-08-27,0.54,0.54,0.52,0.53,0.53,33500
2020-08-28,0.54,0.55,0.53,0.55,0.55,66700
2020-08-31,0.55,0.56,0.54,0.54,0.54,38700
2020-09-01,0.54,0.54,0.53,0.53,0.53,11900
2020-09-03,0.55,0.55,0.54,0.54,0.54,35100
2020-09-08,0.55,0.56,0.55,0.55,0.55,9900
2020-09-09,0.55,0.55,0.51,0.51,0.51,36500
2020-09-11,0.53,0.53,0.53,0.53,0.53,5400
2020-09-14,0.55,0.55,0.51,0.53,0.53,57900
2020-09-15,0.51,0.51,0.51,0.51,0.51,6000
2020-09-16,0.51,0.53,0.51,0.53,0.53,12100
2020-09-17,0.53,0.54,0.52,0.52,0.52,32900
2020-09-18,0.52,0.52,0.5,0.5,0.5,30600
2020-09-21,0.5,0.51,0.5,0.51,0.51,13700
2020-09-22,0.53,0.53,0.52,0.53,0.53,11400
2020-09-23,0.53,0.59,0.53,0.54,0.54,162200
2020-09-24,0.56,0.6,0.54,0.58,0.58,177900
2020-09-25,0.58,0.63,0.58,0.61,0.61,192300
2020-09-28,0.61,0.62,0.56,0.57,0.57,481800
2020-09-29,0.6,0.61,0.56,0.6,0.6,308200
2020-09-30,0.6,0.61,0.53,0.56,0.56,439600
2020-10-01,0.58,0.6,0.53,0.56,0.56,508600
2020-10-02,0.58,0.62,0.55,0.61,0.61,269300
2020-10-05,0.67,0.67,0.57,0.58,0.58,330900
2020-10-06,0.59,0.59,0.58,0.58,0.58,34000
2020-10-07,0.59,0.6,0.56,0.57,0.57,48100
2020-10-08,0.57,0.62,0.53,0.57,0.57,368300
2020-10-12,0.57,0.64,0.55,0.64,0.64,197600
2020-10-14,0.6,0.64,0.59,0.59,0.59,91800
2020-10-15,0.6,0.65,0.55,0.59,0.59,446400
2020-10-16,0.59,0.61,0.56,0.59,0.59,200500
2020-10-19,0.59,0.62,0.53,0.6,0.6,580000
2020-10-20,0.59,0.59,0.58,0.59,0.59,6000
2020-10-26,0.59,0.6,0.57,0.6,0.6,28400
2020-10-27,0.6,0.61,0.57,0.58,0.58,23700
2020-10-28,0.58,0.61,0.58,0.61,0.61,8100
2020-10-29,0.61,0.62,0.6,0.6,0.6,3900
2020-10-30,0.6,0.6,0.57,0.57,0.57,31000
2020-11-02,0.57,0.58,0.57,0.57,0.57,1000
2020-11-03,0.57,0.58,0.57,0.58,0.58,600
2020-11-04,0.58,0.61,0.58,0.6,0.6,26600
2020-11-05,0.58,0.61,0.57,0.61,0.61,10400
2020-11-06,0.57,0.61,0.57,0.61,0.61,19800
2020-11-09,0.61,0.61,0.59,0.61,0.61,4000
2020-11-10,0.6,0.6,0.57,0.57,0.57,11100
2020-11-11,0.59,0.6,0.59,0.59,0.59,66100
2020-11-12,0.59,0.63,0.59,0.61,0.61,199000
2020-11-13,0.61,0.61,0.61,0.61,0.61,16600
2020-11-16,0.62,0.62,0.62,0.62,0.62,10700
2020-11-18,0.62,0.62,0.61,0.61,0.61,155500
2020-11-20,0.61,0.62,0.61,0.62,0.62,1200
2020-11-23,0.62,0.62,0.61,0.61,0.61,4400
2020-11-25,0.62,0.62,0.61,0.62,0.62,1700
2020-11-27,0.64,0.67,0.62,0.62,0.62,13900
2020-11-30,0.63,0.63,0.63,0.63,0.63,456600
2020-12-01,0.63,0.64,0.63,0.64,0.64,94600
2020-12-02,0.63,0.64,0.63,0.64,0.64,50500
2020-12-03,0.65,0.65,0.65,0.65,0.65,100
2020-12-08,0.65,0.67,0.64,0.67,0.67,51800
2020-12-09,0.65,0.69,0.65,0.68,0.68,261300
2020-12-14,0.69,0.7,0.67,0.7,0.7,55000
2020-12-15,0.7,0.7,0.69,0.69,0.69,758300
2020-12-17,0.72,0.73,0.7,0.73,0.73,56000
2020-12-18,0.72,0.73,0.72,0.72,0.72,303900
2020-12-21,0.72,0.73,0.69,0.71,0.71,457600
2020-12-22,0.72,0.73,0.7,0.73,0.73,437900
2020-12-23,0.73,0.73,0.72,0.72,0.72,82800
2020-12-24,0.72,0.73,0.7,0.72,0.72,112600
2020-12-25,0.73,0.73,0.72,0.73,0.73,116800
2020-12-28,0.73,0.74,0.73,0.74,0.74,438300
2020-12-29,0.7,0.71,0.69,0.69,0.69,190000
2020-12-30,0.71,0.71,0.7,0.71,0.71,255600
2021-01-04,0.71,0.72,0.71,0.71,0.71,322700
2021-01-05,0.71,0.71,0.69,0.7,0.7,148100
2021-01-06,0.71,0.71,0.7,0.7,0.7,26800
2021-01-07,0.71,0.71,0.7,0.7,0.7,75400
2021-01-08,0.7,0.7,0.69,0.69,0.69,12100
2021-01-11,0.69,0.69,0.67,0.69,0.69,113800
2021-01-12,0.7,0.71,0.69,0.71,0.71,20900
2021-01-13,0.7,0.71,0.7,0.71,0.71,34400
2021-01-14,0.7,0.71,0.7,0.71,0.71,37300
2021-01-15,0.71,0.71,0.7,0.71,0.71,48900
2021-01-18,0.7,0.71,0.7,0.71,0.71,27500
2021-01-19,0.7,0.7,0.7,0.7,0.7,12300
2021-01-21,0.7,0.7,0.7,0.7,0.7,11300
2021-01-26,0.68,0.71,0.67,0.71,0.71,204500
2021-01-27,0.69,0.71,0.69,0.71,0.71,16500
2021-01-28,0.69,0.7,0.69,0.7,0.7,7500
2021-01-29,0.7,0.7,0.68,0.69,0.69,400
