Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,12.8,12.8,12.7,12.7,12.7,2600
2020-09-09,12.8,12.8,12.8,12.8,12.8,5000
2020-09-10,12.7,12.8,12.7,12.8,12.8,6700
2020-09-14,12.7,12.7,12.7,12.7,12.7,2800
2020-09-15,12.7,12.8,12.6,12.6,12.6,14800
2020-09-16,12.7,12.7,12.7,12.7,12.7,5300
2020-09-17,12.7,13.0,12.6,12.8,12.8,4900
2020-09-18,12.8,12.9,12.6,12.7,12.7,6600
2020-09-21,12.8,12.8,12.6,12.7,12.7,10700
2020-09-22,12.7,12.7,12.6,12.6,12.6,8000
2020-09-23,12.6,12.6,12.6,12.6,12.6,10500
2020-09-24,12.6,12.6,12.5,12.5,12.5,40300
2020-09-25,12.5,12.5,12.4,12.4,12.4,16700
2020-09-28,12.5,12.5,12.4,12.4,12.4,4900
2020-09-29,12.5,12.5,12.4,12.4,12.4,7500
2020-09-30,12.5,12.5,12.3,12.3,12.3,38000
2020-10-01,12.4,12.4,12.4,12.4,12.4,9400
2020-10-02,12.3,12.4,12.2,12.2,12.2,36100
2020-10-05,12.2,12.4,12.2,12.4,12.4,70000
2020-10-06,12.3,12.4,12.3,12.4,12.4,3800
2020-10-07,12.4,12.4,12.4,12.4,12.4,6700
2020-10-08,12.4,12.5,12.2,12.5,12.5,18300
2020-10-09,12.6,12.7,12.3,12.7,12.7,5200
2020-10-12,12.6,12.6,12.4,12.6,12.6,14100
2020-10-14,12.6,12.6,12.4,12.6,12.6,13900
2020-10-15,12.6,12.6,12.2,12.3,12.3,31500
2020-10-16,12.3,12.5,12.3,12.5,12.5,20000
2020-10-19,12.4,12.4,12.2,12.2,12.2,21100
2020-10-20,12.2,12.3,12.1,12.2,12.2,26700
2020-10-21,12.2,12.5,12.2,12.5,12.5,5900
2020-10-22,12.4,12.4,12.3,12.4,12.4,5700
2020-10-26,12.3,12.4,12.3,12.4,12.4,7400
2020-10-27,12.3,12.4,12.3,12.4,12.4,5100
2020-10-28,12.3,12.6,12.3,12.6,12.6,15800
2020-10-29,12.5,12.5,12.5,12.5,12.5,3000
2020-10-30,12.4,12.5,12.3,12.3,12.3,2300
2020-11-02,12.3,12.4,12.3,12.4,12.4,9300
2020-11-03,12.3,12.5,12.1,12.5,12.5,14700
2020-11-04,12.3,12.5,12.3,12.5,12.5,6300
2020-11-05,12.3,12.4,12.3,12.4,12.4,5400
2020-11-06,12.4,12.5,12.4,12.4,12.4,7800
2020-11-09,12.5,12.6,12.5,12.6,12.6,7100
2020-11-10,12.6,12.7,12.1,12.1,12.1,56900
2020-11-11,12.3,13.0,12.3,12.8,12.8,70700
2020-11-12,12.8,13.0,12.8,13.0,13.0,38100
2020-11-13,13.0,13.1,13.0,13.1,13.1,7500
2020-11-16,13.1,13.2,12.8,13.1,13.1,12100
2020-11-17,13.0,13.1,13.0,13.0,13.0,10300
2020-11-18,13.1,13.1,13.0,13.1,13.1,19200
2020-11-19,13.1,13.2,13.0,13.2,13.2,2700
2020-11-20,13.2,13.4,13.2,13.3,13.3,40400
2020-11-23,13.4,13.6,13.4,13.6,13.6,64600
2020-11-24,13.6,13.6,13.3,13.5,13.5,29600
2020-11-25,13.3,13.4,13.3,13.4,13.4,22600
2020-11-26,13.5,13.7,13.4,13.7,13.7,38100
2020-11-27,13.5,13.6,13.5,13.6,13.6,12500
2020-11-30,13.5,13.5,13.4,13.5,13.5,19400
2020-12-01,13.5,13.6,13.4,13.4,13.4,18000
2020-12-02,13.6,13.6,13.5,13.6,13.6,17700
2020-12-03,13.5,13.6,13.5,13.5,13.5,4900
2020-12-04,13.5,13.7,13.5,13.5,13.5,31500
2020-12-08,13.6,13.8,13.5,13.6,13.6,99700
2020-12-09,13.9,13.9,13.6,13.8,13.8,24800
2020-12-14,13.8,13.9,13.7,13.7,13.7,8800
2020-12-15,13.6,13.8,13.6,13.8,13.8,24000
2020-12-16,13.7,13.9,13.7,13.8,13.8,61000
2020-12-17,13.7,14.0,13.7,14.0,14.0,54700
2020-12-18,14.0,14.1,13.9,14.0,14.0,104600
2020-12-21,13.8,13.8,13.3,13.5,13.5,47000
2020-12-22,13.4,13.8,13.2,13.8,13.8,114900
2020-12-23,13.8,14.0,13.7,14.0,14.0,83900
2020-12-24,14.0,14.1,13.8,14.1,14.1,100900
2020-12-25,14.1,14.1,13.9,14.1,14.1,69700
2020-12-28,14.1,14.2,13.9,14.2,14.2,79700
2020-12-29,14.1,14.1,14.0,14.1,14.1,34500
2020-12-30,14.1,14.1,14.0,14.1,14.1,30800
2021-01-05,14.1,14.2,14.0,14.2,14.2,47400
2021-01-06,14.2,14.2,14.1,14.2,14.2,4200
2021-01-07,14.2,14.3,14.2,14.3,14.3,18400
2021-01-08,14.5,14.5,14.0,14.3,14.3,31600
2021-01-11,14.3,14.3,14.1,14.2,14.2,17900
2021-01-12,14.1,14.2,14.1,14.2,14.2,4200
2021-01-14,14.1,14.2,14.1,14.2,14.2,4900
2021-01-15,14.1,14.2,13.9,14.2,14.2,17400
2021-01-19,14.1,14.1,14.0,14.1,14.1,17800
2021-01-20,14.1,14.1,14.0,14.0,14.0,4400
2021-01-21,14.1,14.2,14.1,14.2,14.2,16700
2021-01-22,14.3,14.3,14.1,14.2,14.2,19500
2021-01-25,14.2,14.2,14.0,14.0,14.0,5500
2021-01-26,14.0,14.0,13.9,13.9,13.9,12400
2021-01-27,14.1,14.3,14.0,14.1,14.1,9300
2021-01-29,14.1,14.1,14.0,14.1,14.1,2600
2021-02-01,14.1,14.1,14.1,14.1,14.1,1000
2021-02-02,14.2,14.2,14.2,14.2,14.2,100
2021-02-04,14.2,14.3,14.2,14.2,14.2,7000
2021-02-05,14.2,14.3,14.2,14.3,14.3,4500
2021-02-09,14.3,14.4,14.2,14.3,14.3,9300
2021-02-10,14.2,14.3,14.2,14.3,14.3,6800
2021-02-11,14.3,14.3,14.2,14.3,14.3,3700
2021-02-15,14.2,14.3,14.0,14.0,14.0,26800
2021-02-16,14.0,14.2,14.0,14.2,14.2,5700
2021-02-17,14.2,14.2,14.1,14.2,14.2,2900
2021-02-18,14.2,14.2,14.0,14.0,14.0,5900
2021-02-19,14.0,14.0,13.9,13.9,13.9,6800
2021-02-22,13.9,14.0,13.7,13.9,13.9,20000
2021-02-23,13.8,13.8,13.4,13.4,13.4,34200
