Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,7.2,7.4,7.2,7.36,7.36,5940125
2020-09-24,7.32,7.44,7.24,7.28,7.28,3499475
2020-09-25,7.32,7.8,7.28,7.4,7.4,40617850
2020-09-28,7.4,7.6,7.36,7.52,7.52,10289675
2020-09-29,7.56,7.56,7.44,7.48,7.48,2387575
2020-09-30,7.52,7.52,7.36,7.4,7.4,3458600
2020-10-01,7.44,7.52,7.28,7.36,7.36,4208275
2020-10-02,7.4,7.48,7.28,7.36,7.36,5845500
2020-10-05,7.36,7.4,7.32,7.4,7.4,3210500
2020-10-06,7.4,8.0,7.4,8.0,8.0,31861350
2020-10-07,8.0,8.16,7.8,8.0,8.0,9059750
2020-10-08,8.08,8.64,7.96,8.64,8.64,16303775
2020-10-09,8.56,8.64,8.24,8.24,8.24,6484725
2020-10-12,8.32,8.48,8.24,8.4,8.4,4975325
2020-10-14,8.48,8.56,8.4,8.4,8.4,4400875
2020-10-15,8.4,8.48,7.92,8.08,8.08,6435925
2020-10-16,8.16,8.16,7.92,8.08,8.08,5300250
2020-10-19,7.96,7.96,7.6,7.68,7.68,5325800
2020-10-20,7.6,7.8,7.6,7.68,7.68,4326675
2020-10-21,7.72,7.84,7.68,7.68,7.68,2517350
2020-10-22,7.68,7.92,7.68,7.72,7.72,4795450
2020-10-26,7.72,8.08,7.72,7.88,7.88,5469900
2020-10-27,7.88,8.08,7.8,8.0,8.0,5038825
2020-10-28,8.0,8.24,7.88,7.92,7.92,4029825
2020-10-29,7.88,8.08,7.88,8.08,8.08,3348150
2020-10-30,8.08,8.16,7.92,8.08,8.08,3263425
2020-11-02,8.08,8.24,7.96,8.0,8.0,3575850
2020-11-03,8.08,8.16,8.0,8.0,8.0,1997150
2020-11-04,8.0,8.08,7.96,8.0,8.0,1311875
2020-11-05,8.0,8.24,8.0,8.08,8.08,2631325
2020-11-06,8.08,8.8,8.0,8.64,8.64,18783100
2020-11-09,8.96,9.2,8.8,8.96,8.96,14662925
2020-11-10,8.96,8.96,8.56,8.72,8.72,8184250
2020-11-11,8.72,8.96,8.64,8.88,8.88,4415675
2020-11-12,8.88,9.12,8.0,8.48,8.48,11671500
2020-11-13,8.48,8.64,8.4,8.48,8.48,2330725
2020-11-16,8.48,8.48,8.24,8.32,8.32,2854900
2020-11-17,8.48,8.64,8.16,8.4,8.4,4984175
2020-11-18,8.4,8.56,8.24,8.48,8.48,1638750
2020-11-19,8.56,8.56,8.32,8.4,8.4,1399325
2020-11-20,8.4,8.56,8.32,8.4,8.4,2995825
2020-11-23,8.4,8.48,8.32,8.48,8.48,2493675
2020-11-24,8.48,8.48,8.32,8.32,8.32,2083475
2020-11-25,8.4,8.4,8.24,8.4,8.4,2227525
2020-11-26,8.32,8.4,8.24,8.24,8.24,2418325
2020-11-27,8.24,8.4,8.24,8.32,8.32,1392075
2020-11-30,8.24,8.32,8.16,8.24,8.24,1544550
2020-12-01,8.24,8.24,8.0,8.08,8.08,3953350
2020-12-02,8.16,8.16,8.0,8.08,8.08,1542675
2020-12-03,8.08,8.48,8.08,8.4,8.4,6943975
2020-12-04,8.4,8.48,8.32,8.32,8.32,2660225
2020-12-08,8.32,8.4,8.16,8.24,8.24,1845150
2020-12-09,8.24,8.4,8.08,8.08,8.08,2938600
2020-12-14,8.08,8.32,8.08,8.16,8.16,2161375
2020-12-15,8.16,8.24,8.08,8.16,8.16,1439975
2020-12-16,8.16,8.56,8.08,8.48,8.48,4230700
2020-12-17,8.64,8.64,8.32,8.32,8.32,2399600
2020-12-18,8.4,8.48,8.4,8.4,8.4,2293400
2020-12-21,8.0,8.24,7.92,7.96,7.96,4911275
2020-12-22,7.92,8.0,7.64,7.76,7.76,4592275
2020-12-23,7.8,8.08,7.76,7.8,7.8,2689050
2020-12-24,7.84,7.92,7.76,7.88,7.88,1157250
2020-12-25,7.84,8.16,7.84,8.08,8.08,2107625
2020-12-28,8.08,8.16,7.96,7.96,7.96,1170075
2020-12-29,8.0,8.16,7.96,8.0,8.0,1463400
2020-12-30,8.0,8.08,7.88,7.92,7.92,1033625
2021-01-04,7.92,7.92,7.8,7.88,7.88,1069375
2021-01-05,7.84,8.0,7.84,7.96,7.96,1928175
2021-01-06,7.96,8.16,7.92,7.96,7.96,2675550
2021-01-07,8.0,8.56,8.0,8.48,8.48,10940325
2021-01-08,8.64,8.88,8.48,8.72,8.72,15331350
2021-01-11,8.8,9.44,8.72,9.2,9.2,20529425
2021-01-12,9.28,9.28,8.88,9.04,9.04,10564025
2021-01-13,8.96,9.12,8.88,8.96,8.96,5365200
2021-01-14,8.96,9.04,8.88,8.88,8.88,3237875
2021-01-15,8.88,9.04,8.64,8.64,8.64,5122650
2021-01-18,8.56,8.88,8.32,8.72,8.72,6653900
2021-01-19,8.72,9.04,8.72,8.96,8.96,3697900
2021-01-20,8.96,9.12,8.88,8.96,8.96,2767125
2021-01-21,9.04,9.04,8.72,8.72,8.72,2157175
2021-01-22,8.64,8.8,8.64,8.72,8.72,1400225
2021-01-25,8.72,8.8,8.64,8.72,8.72,840525
2021-01-26,8.72,8.8,8.64,8.72,8.72,999200
2021-01-27,8.72,8.96,8.72,8.96,8.96,1467025
2021-01-28,8.96,9.04,8.8,8.88,8.88,4519975
2021-01-29,9.04,9.36,9.04,9.2,9.2,10906575
2021-02-01,9.28,9.44,9.04,9.2,9.2,7707200
2021-02-02,9.28,9.28,9.12,9.12,9.12,2638250
2021-02-03,9.2,9.44,9.2,9.36,9.36,3812375
2021-02-04,9.36,9.84,9.28,9.76,9.76,16157600
2021-02-05,9.84,9.84,9.52,9.6,9.6,5017525
2021-02-08,9.6,9.76,9.52,9.76,9.76,5661000
2021-02-09,9.76,9.92,9.6,9.84,9.84,3922675
2021-02-10,9.84,9.84,9.6,9.6,9.6,2445025
2021-02-11,9.6,10.32,9.6,9.84,9.84,10929525
2021-02-15,9.84,9.84,9.44,9.76,9.76,5567250
2021-02-16,9.76,9.84,9.6,9.6,9.6,2291475
2021-02-17,9.6,9.68,9.44,9.6,9.6,2578100
2021-02-18,9.6,10.16,9.6,9.92,9.92,4116050
2021-02-19,10.16,10.24,9.84,9.92,9.92,8518525
2021-02-22,10.0,10.08,9.04,9.2,9.2,9537625
2021-02-23,9.2,9.52,9.2,9.36,9.36,2771150
2021-02-24,9.44,9.6,9.36,9.52,9.52,2757750
2021-02-25,9.6,9.6,9.44,9.44,9.44,2477400
2021-03-01,9.52,9.6,9.36,9.44,9.44,3543050
2021-03-02,9.52,9.6,9.36,9.44,9.44,3676475
2021-03-03,9.44,9.6,9.36,9.44,9.44,9026025
