Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8.95,8.95,8.85,8.9,8.9,775
2020-01-03,8.85,8.85,8.75,8.75,8.75,1069
2020-01-06,8.75,8.75,8.65,8.65,8.65,586
2020-01-07,8.7,8.8,8.65,8.65,8.65,1540
2020-01-08,8.7,8.7,8.4,8.4,8.4,3670
2020-01-09,8.45,8.5,8.4,8.45,8.45,888
2020-01-10,8.5,8.6,8.5,8.55,8.55,398
2020-01-13,8.6,8.75,8.6,8.6,8.6,660
2020-01-14,8.65,8.65,8.6,8.6,8.6,577
2020-01-15,8.65,8.65,8.5,8.5,8.5,2837
2020-01-16,8.55,8.6,8.5,8.6,8.6,2895
2020-01-17,8.6,8.6,8.5,8.55,8.55,2178
2020-01-20,8.6,8.6,8.5,8.6,8.6,2101
2020-01-21,8.6,8.6,8.5,8.5,8.5,4000
2020-01-22,8.55,8.55,8.5,8.55,8.55,534
2020-01-23,8.5,8.55,8.5,8.5,8.5,772
2020-01-24,8.5,8.5,8.45,8.5,8.5,1030
2020-01-27,8.55,8.55,8.25,8.35,8.35,3010
2020-01-28,8.35,8.35,8.25,8.3,8.3,2029
2020-01-29,8.3,8.3,8.25,8.3,8.3,483
2020-01-30,8.3,8.3,8.25,8.3,8.3,1659
2020-01-31,8.3,8.35,8.3,8.3,8.3,795
2020-02-03,8.25,8.25,8.1,8.15,8.15,3469
2020-02-04,8.1,8.2,8.1,8.15,8.15,4364
2020-02-05,8.15,8.2,8.1,8.2,8.2,6185
2020-02-06,8.2,8.2,8.15,8.15,8.15,1570
2020-02-07,8.15,8.15,8.1,8.15,8.15,1895
2020-02-11,8.15,8.15,8.05,8.15,8.15,3156
2020-02-12,8.1,8.1,8.05,8.05,8.05,3869
2020-02-13,8.1,8.1,8.05,8.05,8.05,4974
2020-02-14,8.1,8.1,8.0,8.1,8.1,2713
2020-02-17,8.1,8.1,8.0,8.0,8.0,11603
2020-02-18,8.0,8.05,8.0,8.05,8.05,2604
2020-02-19,8.05,8.05,8.0,8.0,8.0,1836
2020-02-20,8.05,8.05,7.95,8.0,8.0,3339
2020-02-21,7.95,7.95,7.85,7.85,7.85,6083
2020-02-24,7.85,7.85,7.35,7.45,7.45,9844
2020-02-25,7.35,7.4,6.25,7.0,7.0,34103
2020-02-26,7.0,7.0,6.2,6.6,6.6,10320
2020-02-27,6.6,6.6,6.3,6.5,6.5,8696
2020-02-28,6.55,6.6,6.45,6.5,6.5,16625
2020-03-02,6.45,6.5,6.4,6.45,6.45,2552
2020-03-03,6.5,6.65,6.45,6.6,6.6,5312
2020-03-04,6.6,6.6,6.55,6.6,6.6,3670
2020-03-05,6.75,7.0,6.75,6.8,6.8,15159
2020-03-06,6.85,6.85,6.75,6.8,6.8,3008
2020-03-09,6.65,6.65,6.45,6.6,6.6,9963
2020-03-10,6.45,6.65,6.45,6.65,6.65,4713
2020-03-11,6.7,6.7,6.55,6.55,6.55,8428
2020-03-12,6.35,6.35,5.55,5.6,5.6,6344
2020-03-13,5.05,5.4,4.85,5.25,5.25,5927
2020-03-16,5.25,5.25,5.0,5.0,5.0,3498
2020-03-17,5.0,5.1,4.8,4.85,4.85,6509
2020-03-18,4.72,4.77,4.72,4.72,4.72,4499
2020-03-19,4.64,4.7,4.55,4.6,4.6,4352
2020-03-20,4.6,4.6,4.55,4.6,4.6,13759
2020-03-23,4.6,4.6,4.45,4.55,4.55,1421
2020-03-24,4.4,4.55,4.4,4.45,4.45,4727
2020-03-25,4.6,4.6,4.5,4.55,4.55,859
2020-03-26,4.54,4.58,4.53,4.53,4.53,1370
2020-03-27,4.52,4.62,4.52,4.57,4.57,3437
2020-03-30,4.6,4.6,4.55,4.6,4.6,1370
2020-03-31,4.6,4.65,4.6,4.65,4.65,15728
2020-04-01,4.64,4.6899999999999995,4.64,4.6899999999999995,4.6899999999999995,2283
2020-04-02,4.8,4.8,4.75,4.75,4.75,8286
2020-04-03,4.82,4.89,4.82,4.89,4.89,12591
2020-04-07,5.05,5.2,5.05,5.1,5.1,5102
2020-04-08,5.1,5.15,5.1,5.15,5.15,3462
2020-04-09,5.2,5.5,5.2,5.2,5.2,6476
2020-04-10,5.15,5.35,5.15,5.3,5.3,604
2020-04-13,5.3,5.95,5.3,5.95,5.95,4415
2020-04-14,5.95,6.3,5.95,6.25,6.25,7402
2020-04-15,6.2,6.25,6.15,6.2,6.2,3612
2020-04-16,6.1,6.1,5.7,5.75,5.75,6686
2020-04-17,5.85,5.95,5.85,5.95,5.95,1314
2020-04-20,5.95,6.0,5.9,6.0,6.0,2748
2020-04-21,5.95,5.95,5.9,5.95,5.95,1552
2020-04-22,5.9,6.0,5.9,6.0,6.0,4303
2020-04-23,6.0,6.1,6.0,6.05,6.05,3274
2020-04-24,6.05,6.05,6.0,6.0,6.0,2072
2020-04-27,6.0,6.0,6.0,6.0,6.0,647
2020-04-28,6.0,6.0,5.95,5.95,5.95,2659
2020-04-29,5.9,5.95,5.85,5.95,5.95,3037
2020-04-30,5.85,5.95,5.85,5.95,5.95,1429
2020-05-05,5.95,5.95,5.85,5.9,5.9,1232
2020-05-07,5.85,5.9,5.8,5.9,5.9,1090
2020-05-08,5.9,5.95,5.85,5.95,5.95,88
2020-05-11,5.95,6.1,5.95,6.05,6.05,782
2020-05-12,6.0,6.1,6.0,6.1,6.1,450
2020-05-13,6.05,6.1,6.0,6.1,6.1,303
2020-05-14,6.2,6.8,6.2,6.75,6.75,5761
2020-05-15,6.8,7.5,6.8,7.4,7.4,4887
2020-05-18,7.5,7.8,7.5,7.6,7.6,3864
2020-05-19,7.7,7.7,7.4,7.45,7.45,2787
2020-05-20,7.45,7.45,7.3,7.4,7.4,3109
2020-05-21,7.35,7.35,7.25,7.3,7.3,3288
2020-05-22,7.3,7.3,7.2,7.25,7.25,3415
2020-05-25,7.25,7.3,7.2,7.3,7.3,3519
2020-05-26,7.25,7.4,7.25,7.4,7.4,5582
2020-05-27,7.2,7.2,7.15,7.2,7.2,2580
2020-05-28,7.25,7.25,7.1,7.25,7.25,2379
2020-05-29,7.2,7.25,7.15,7.15,7.15,1342
2020-06-01,7.15,7.25,7.15,7.2,7.2,1013
2020-06-02,7.25,7.35,7.25,7.35,7.35,2559
2020-06-04,7.35,7.8,7.35,7.7,7.7,3610
2020-06-05,7.8,8.0,7.65,8.0,8.0,3416
2020-06-08,8.0,8.1,8.0,8.1,8.1,3045
2020-06-09,8.0,8.0,7.75,7.75,7.75,1663
2020-06-10,7.75,7.95,7.75,7.85,7.85,1266
2020-06-11,7.8,7.85,7.75,7.85,7.85,2934
2020-06-12,6.7,7.7,6.7,7.7,7.7,3730
2020-06-15,7.6,7.7,7.5,7.55,7.55,608
2020-06-16,7.65,7.65,7.55,7.65,7.65,510
2020-06-17,7.65,7.65,7.5,7.65,7.65,812
2020-06-18,7.6,7.65,7.55,7.65,7.65,214
2020-06-19,7.6,7.6,7.5,7.5,7.5,1119
2020-06-22,7.4,7.4,7.2,7.25,7.25,2203
2020-06-23,7.25,7.25,7.15,7.2,7.2,3163
2020-06-24,7.25,7.25,7.15,7.2,7.2,815
2020-06-25,7.15,7.2,7.0,7.1,7.1,3322
2020-06-26,7.1,7.1,7.05,7.1,7.1,577
2020-06-29,7.0,7.1,6.95,7.0,7.0,543
2020-06-30,6.95,7.05,6.95,7.0,7.0,1212
2020-07-01,7.0,7.1,7.0,7.05,7.05,295
2020-07-02,7.05,7.05,7.0,7.05,7.05,1358
2020-07-03,7.0,7.15,7.0,7.15,7.15,681
2020-07-07,7.15,7.2,7.0,7.2,7.2,712
2020-07-08,7.2,7.25,7.15,7.2,7.2,832
2020-07-09,7.2,7.25,7.2,7.25,7.25,197
2020-07-10,7.25,7.4,7.2,7.4,7.4,2829
2020-07-13,7.3,7.4,7.25,7.35,7.35,561
2020-07-14,7.25,7.25,7.15,7.2,7.2,916
2020-07-15,7.15,7.2,7.05,7.15,7.15,2254
2020-07-16,7.1,7.15,7.05,7.1,7.1,1084
2020-07-17,7.05,7.1,7.05,7.1,7.1,714
2020-07-20,7.1,7.1,7.05,7.1,7.1,2418
2020-07-21,7.15,7.15,7.1,7.1,7.1,2228
2020-07-22,7.05,7.1,6.95,7.05,7.05,1886
2020-07-23,7.05,7.1,7.0,7.05,7.05,477
2020-07-24,7.05,7.05,7.0,7.0,7.0,964
2020-07-29,7.05,7.05,6.95,6.95,6.95,1683
2020-07-30,7.0,7.0,6.7,6.7,6.7,4948
2020-07-31,6.7,6.8,6.6,6.7,6.7,4007
2020-08-03,6.7,6.7,6.55,6.65,6.65,3819
2020-08-04,6.6,6.65,6.5,6.55,6.55,3547
2020-08-05,6.55,6.55,6.45,6.5,6.5,2844
2020-08-06,6.5,6.5,6.45,6.45,6.45,1991
2020-08-07,6.45,6.45,6.35,6.45,6.45,5891
2020-08-10,6.4,6.45,6.4,6.4,6.4,258
2020-08-11,6.4,6.45,6.3,6.3,6.3,4083
2020-08-13,6.35,6.35,6.25,6.35,6.35,8035
2020-08-14,6.45,6.55,6.4,6.5,6.5,7448
2020-08-17,6.5,6.5,6.4,6.45,6.45,799
2020-08-18,6.45,6.45,6.4,6.45,6.45,514
2020-08-19,6.45,6.45,6.3,6.35,6.35,2029
2020-08-20,6.4,6.4,6.3,6.4,6.4,613
2020-08-21,6.4,6.4,6.35,6.4,6.4,905
2020-08-24,6.4,6.5,6.35,6.5,6.5,1396
2020-08-25,6.45,6.5,6.35,6.4,6.4,2352
2020-08-26,6.4,6.4,6.35,6.4,6.4,2448
2020-08-27,6.35,6.4,6.25,6.35,6.35,1154
2020-08-28,6.35,6.4,6.3,6.3,6.3,417
2020-08-31,6.3,6.35,6.3,6.3,6.3,2487
2020-09-01,6.4,6.4,6.25,6.3,6.3,572
2020-09-02,6.3,6.3,6.25,6.3,6.3,1313
2020-09-03,6.35,6.35,6.3,6.35,6.35,2065
2020-09-08,6.25,6.35,6.25,6.25,6.25,1037
2020-09-09,6.25,6.25,6.2,6.2,6.2,844
2020-09-10,6.25,6.25,6.15,6.2,6.2,207
2020-09-11,6.2,6.2,6.1,6.2,6.2,392
2020-09-14,6.15,6.15,6.1,6.15,6.15,1017
2020-09-15,6.1,6.15,6.05,6.15,6.15,525
2020-09-16,6.15,6.15,6.05,6.1,6.1,1178
2020-09-17,6.1,6.1,6.0,6.05,6.05,2600
2020-09-18,6.1,6.1,6.05,6.05,6.05,479
2020-09-21,6.1,6.1,6.0,6.05,6.05,1398
2020-09-22,6.1,6.1,6.05,6.1,6.1,105
2020-09-23,6.05,6.1,6.05,6.05,6.05,832
2020-09-24,6.1,6.1,6.0,6.05,6.05,623
2020-09-25,6.05,6.05,6.0,6.05,6.05,240
2020-09-28,6.05,6.05,6.0,6.05,6.05,1565
2020-09-29,6.0,6.05,5.95,6.05,6.05,225
2020-09-30,6.05,6.05,6.0,6.0,6.0,307
2020-10-01,6.05,6.05,6.0,6.0,6.0,115
2020-10-02,6.0,6.05,5.95,6.0,6.0,1787
2020-10-05,5.95,6.0,5.95,6.0,6.0,614
2020-10-06,5.95,5.95,5.95,5.95,5.95,30
2020-10-07,5.95,5.95,5.95,5.95,5.95,606
2020-10-08,5.95,6.0,5.95,6.0,6.0,2237
2020-10-09,6.1,6.1,5.95,6.1,6.1,95
2020-10-12,6.1,6.2,6.05,6.1,6.1,563
2020-10-14,6.1,6.15,5.95,6.05,6.05,4080
2020-10-15,6.1,6.1,6.0,6.05,6.05,616
2020-10-16,5.95,6.05,5.95,6.0,6.0,1500
2020-10-19,5.95,6.0,5.85,5.85,5.85,462
2020-10-20,6.0,6.0,5.85,5.9,5.9,699
2020-10-21,5.95,5.95,5.85,5.85,5.85,3919
2020-10-22,5.9,5.95,5.85,5.9,5.9,1469
2020-10-26,5.95,5.95,5.85,5.9,5.9,753
2020-10-27,5.85,5.9,5.85,5.9,5.9,122
2020-10-28,5.9,5.95,5.9,5.95,5.95,3171
2020-10-29,5.9,5.95,5.85,5.95,5.95,1803
2020-10-30,5.95,5.95,5.9,5.95,5.95,64
2020-11-02,5.95,5.95,5.9,5.95,5.95,528
2020-11-03,5.95,5.95,5.9,5.95,5.95,1810
2020-11-04,5.95,5.95,5.85,5.9,5.9,1460
2020-11-05,5.9,5.95,5.9,5.95,5.95,1712
2020-11-06,5.95,5.95,5.9,5.9,5.9,63006
2020-11-09,5.95,6.05,5.95,6.05,6.05,182600
2020-11-10,6.05,6.15,6.0,6.15,6.15,164100
2020-11-11,6.1,6.2,6.1,6.1,6.1,49900
2020-11-12,5.95,6.05,5.95,6.05,6.05,291200
2020-11-13,6.05,6.05,5.95,6.0,6.0,486100
2020-11-16,6.0,6.0,5.95,6.0,6.0,238900
2020-11-17,6.0,6.0,5.95,5.95,5.95,232400
2020-11-18,5.95,6.0,5.9,5.95,5.95,115700
2020-11-19,5.9,6.0,5.9,6.0,6.0,326200
2020-11-20,5.95,6.0,5.95,6.0,6.0,161300
2020-11-23,6.0,6.05,5.9,6.0,6.0,542500
2020-11-24,5.95,5.95,5.85,5.85,5.85,816000
2020-11-25,5.8,5.9,5.75,5.85,5.85,673600
2020-11-26,5.85,5.9,5.85,5.9,5.9,86100
2020-11-27,5.9,5.95,5.85,5.95,5.95,302200
2020-11-30,5.95,5.95,5.9,5.95,5.95,136900
2020-12-01,5.95,5.95,5.9,5.95,5.95,68500
2020-12-02,5.95,5.95,5.85,5.95,5.95,100500
2020-12-03,5.9,6.0,5.9,5.95,5.95,392600
2020-12-04,5.95,6.0,5.95,5.95,5.95,167100
2020-12-08,5.9,5.95,5.9,5.95,5.95,268800
2020-12-09,5.95,6.05,5.95,6.0,6.0,276300
2020-12-14,6.0,6.1,6.0,6.1,6.1,108200
2020-12-15,6.1,6.15,6.05,6.1,6.1,91600
2020-12-16,6.1,6.25,6.1,6.2,6.2,137300
2020-12-17,6.25,6.25,6.15,6.25,6.25,309700
2020-12-18,6.25,6.25,6.0,6.1,6.1,354500
2020-12-21,5.85,5.85,5.7,5.7,5.7,670200
2020-12-22,5.8,5.9,5.7,5.9,5.9,77400
2020-12-23,5.9,5.95,5.8,5.9,5.9,33000
2020-12-24,5.9,6.0,5.8,5.95,5.95,63200
2020-12-25,5.95,6.0,5.9,5.95,5.95,88200
2020-12-28,5.95,6.0,5.95,5.95,5.95,43500
2020-12-29,6.0,6.0,5.9,5.95,5.95,96100
2020-12-30,5.9,5.95,5.85,5.9,5.9,154200
2021-01-04,5.8,5.9,5.75,5.9,5.9,260900
2021-01-05,5.85,5.95,5.85,5.9,5.9,102700
2021-01-06,5.85,5.9,5.85,5.85,5.85,181000
2021-01-07,5.85,5.9,5.8,5.9,5.9,198100
2021-01-08,5.85,5.9,5.8,5.9,5.9,146500
2021-01-11,5.85,5.85,5.75,5.8,5.8,289900
2021-01-12,5.8,5.8,5.75,5.8,5.8,118100
2021-01-13,5.75,5.8,5.75,5.8,5.8,240400
2021-01-14,5.8,5.8,5.75,5.8,5.8,7200
2021-01-15,5.75,5.85,5.75,5.8,5.8,154400
2021-01-18,5.8,5.8,5.7,5.8,5.8,198800
2021-01-19,5.75,5.8,5.75,5.75,5.75,35000
2021-01-20,5.75,5.8,5.75,5.8,5.8,29900
2021-01-21,5.8,5.8,5.75,5.8,5.8,83900
2021-01-22,5.75,5.8,5.75,5.8,5.8,68200
2021-01-25,5.75,5.8,5.75,5.75,5.75,101300
2021-01-26,5.75,5.75,5.7,5.75,5.75,141500
2021-01-27,5.7,5.75,5.7,5.75,5.75,92600
2021-01-28,5.7,5.7,5.55,5.7,5.7,245800
