Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.12,1.12,1.1,1.11,1.11,310300
2020-09-24,1.11,1.11,1.09,1.1,1.1,882500
2020-09-25,1.1,1.13,1.1,1.13,1.13,788000
2020-09-28,1.13,1.16,1.13,1.13,1.13,2542500
2020-09-29,1.13,1.16,1.12,1.12,1.12,1668000
2020-09-30,1.13,1.14,1.11,1.12,1.12,1237700
2020-10-01,1.12,1.17,1.11,1.16,1.16,2264700
2020-10-02,1.16,1.25,1.14,1.15,1.15,14729300
2020-10-05,1.16,1.16,1.14,1.15,1.15,1514400
2020-10-06,1.15,1.16,1.14,1.14,1.14,1157300
2020-10-07,1.14,1.15,1.13,1.13,1.13,697700
2020-10-08,1.14,1.16,1.14,1.14,1.14,551100
2020-10-09,1.15,1.18,1.14,1.14,1.14,3165600
2020-10-12,1.14,1.17,1.14,1.15,1.15,1348000
2020-10-14,1.15,1.16,1.14,1.15,1.15,884700
2020-10-15,1.15,1.17,1.13,1.13,1.13,2885000
2020-10-16,1.13,1.14,1.11,1.14,1.14,1208200
2020-10-19,1.13,1.13,1.11,1.11,1.11,758100
2020-10-20,1.11,1.13,1.11,1.12,1.12,318400
2020-10-21,1.13,1.14,1.11,1.14,1.14,250600
2020-10-22,1.14,1.14,1.12,1.13,1.13,173900
2020-10-26,1.14,1.14,1.12,1.13,1.13,445200
2020-10-27,1.13,1.13,1.12,1.12,1.12,181200
2020-10-28,1.13,1.14,1.12,1.12,1.12,172900
2020-10-29,1.12,1.14,1.12,1.13,1.13,180900
2020-10-30,1.13,1.14,1.12,1.12,1.12,444200
2020-11-02,1.13,1.14,1.12,1.13,1.13,670500
2020-11-03,1.14,1.15,1.13,1.13,1.13,762700
2020-11-04,1.14,1.15,1.13,1.13,1.13,517500
2020-11-05,1.14,1.15,1.14,1.14,1.14,346400
2020-11-06,1.14,1.15,1.13,1.14,1.14,289300
2020-11-09,1.13,1.14,1.12,1.13,1.13,2143200
2020-11-10,1.14,1.15,1.13,1.15,1.15,2285800
2020-11-11,1.15,1.2,1.15,1.15,1.15,8752700
2020-11-12,1.16,1.16,1.14,1.14,1.14,719200
2020-11-13,1.14,1.16,1.14,1.16,1.16,611500
2020-11-16,1.16,1.18,1.14,1.15,1.15,858200
2020-11-17,1.15,1.16,1.14,1.15,1.15,332900
2020-11-18,1.15,1.15,1.15,1.15,1.15,470500
2020-11-19,1.14,1.15,1.14,1.14,1.14,785900
2020-11-20,1.14,1.15,1.14,1.14,1.14,824000
2020-11-23,1.14,1.16,1.14,1.15,1.15,1254500
2020-11-24,1.15,1.16,1.14,1.15,1.15,1395800
2020-11-25,1.16,1.16,1.14,1.16,1.16,517000
2020-11-26,1.16,1.16,1.15,1.16,1.16,1059400
2020-11-27,1.16,1.17,1.15,1.15,1.15,602200
2020-11-30,1.16,1.21,1.15,1.19,1.19,8108400
2020-12-01,1.19,1.21,1.18,1.19,1.19,2009000
2020-12-02,1.21,1.22,1.19,1.19,1.19,2147600
2020-12-03,1.21,1.21,1.19,1.19,1.19,456500
2020-12-04,1.19,1.21,1.19,1.2,1.2,897600
2020-12-08,1.21,1.24,1.2,1.22,1.22,1849900
2020-12-09,1.23,1.24,1.21,1.21,1.21,1590000
2020-12-14,1.22,1.23,1.19,1.22,1.22,1332000
2020-12-15,1.22,1.24,1.22,1.22,1.22,1078700
2020-12-16,1.22,1.26,1.22,1.24,1.24,1929900
2020-12-17,1.24,1.27,1.23,1.26,1.26,1670300
2020-12-18,1.26,1.28,1.26,1.28,1.28,1157800
2020-12-21,1.23,1.24,1.18,1.19,1.19,3503600
2020-12-22,1.18,1.21,1.18,1.21,1.21,1856200
2020-12-23,1.21,1.21,1.19,1.21,1.21,1458400
2020-12-24,1.19,1.22,1.18,1.2,1.2,1832700
2020-12-25,1.21,1.22,1.2,1.21,1.21,1654300
2020-12-28,1.22,1.22,1.19,1.2,1.2,948500
2020-12-29,1.2,1.21,1.19,1.19,1.19,376000
2020-12-30,1.21,1.21,1.18,1.18,1.18,1337800
2021-01-04,1.16,1.19,1.16,1.18,1.18,716500
2021-01-05,1.19,1.21,1.18,1.2,1.2,898900
2021-01-06,1.2,1.21,1.19,1.2,1.2,838500
2021-01-07,1.2,1.22,1.19,1.21,1.21,1294400
2021-01-08,1.21,1.22,1.2,1.2,1.2,856700
2021-01-11,1.21,1.21,1.19,1.2,1.2,848100
2021-01-12,1.21,1.22,1.19,1.22,1.22,1007900
2021-01-13,1.23,1.24,1.22,1.23,1.23,1442300
2021-01-14,1.23,1.24,1.22,1.22,1.22,904100
2021-01-15,1.23,1.23,1.21,1.23,1.23,970400
2021-01-18,1.23,1.23,1.21,1.21,1.21,336500
2021-01-19,1.22,1.24,1.21,1.23,1.23,1523600
2021-01-20,1.23,1.27,1.23,1.24,1.24,2006900
2021-01-21,1.26,1.29,1.25,1.26,1.26,6212900
2021-01-22,1.26,1.33,1.23,1.27,1.27,9374200
2021-01-25,1.27,1.28,1.25,1.25,1.25,2578600
2021-01-26,1.25,1.26,1.24,1.24,1.24,870500
2021-01-27,1.25,1.26,1.24,1.25,1.25,1484800
2021-01-28,1.27,1.27,1.23,1.24,1.24,1965000
2021-01-29,1.24,1.25,1.23,1.23,1.23,951200
2021-02-01,1.24,1.24,1.22,1.23,1.23,1484600
2021-02-02,1.23,1.24,1.22,1.22,1.22,456600
2021-02-03,1.22,1.24,1.22,1.23,1.23,445400
2021-02-04,1.24,1.25,1.23,1.23,1.23,843300
2021-02-05,1.24,1.25,1.22,1.23,1.23,526500
2021-02-08,1.24,1.25,1.23,1.24,1.24,769100
2021-02-09,1.25,1.27,1.24,1.27,1.27,1738700
2021-02-10,1.28,1.28,1.25,1.26,1.26,2311300
2021-02-11,1.27,1.33,1.26,1.31,1.31,4805300
2021-02-15,1.31,1.33,1.29,1.29,1.29,2810000
2021-02-16,1.29,1.34,1.29,1.32,1.32,3416800
2021-02-17,1.32,1.39,1.31,1.38,1.38,9727900
2021-02-18,1.4,1.44,1.37,1.43,1.43,8316200
2021-02-19,1.44,1.44,1.4,1.41,1.41,2773900
2021-02-22,1.43,1.45,1.34,1.36,1.36,3554600
2021-02-23,1.35,1.36,1.29,1.33,1.33,3069300
2021-02-24,1.25,1.27,1.24,1.26,1.26,6042100
2021-02-25,1.27,1.3,1.26,1.27,1.27,1314000
2021-03-01,1.27,1.27,1.23,1.25,1.25,2388600
2021-03-02,1.25,1.27,1.25,1.27,1.27,949000
2021-03-03,1.25,1.27,1.25,1.26,1.26,1397800
2021-03-04,1.28,1.28,1.26,1.27,1.27,1338500
2021-03-05,1.27,1.32,1.26,1.31,1.31,5991200
2021-03-08,1.32,1.42,1.29,1.35,1.35,16431700
2021-03-09,1.37,1.37,1.33,1.36,1.36,2327400
2021-03-10,1.36,1.39,1.34,1.35,1.35,3303900
2021-03-11,1.36,1.37,1.35,1.36,1.36,1542700
2021-03-12,1.36,1.36,1.34,1.34,1.34,1120000
2021-03-15,1.34,1.35,1.33,1.34,1.34,1421300
2021-03-16,1.35,1.36,1.33,1.36,1.36,2139800
