Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.06,3.22,3.06,3.2,3.2,11394600
2020-09-24,3.16,3.28,3.1,3.24,3.24,11384000
2020-09-25,3.28,3.3,3.18,3.18,3.18,15061900
2020-09-28,3.2,3.22,3.16,3.16,3.16,2727500
2020-09-29,3.18,3.2,3.16,3.16,3.16,2074800
2020-09-30,3.18,3.3,3.18,3.22,3.22,10519800
2020-10-01,3.24,3.36,3.2,3.3,3.3,18875200
2020-10-02,3.3,3.32,3.22,3.32,3.32,8694200
2020-10-05,3.34,3.4,3.3,3.38,3.38,12589100
2020-10-06,3.42,3.42,3.34,3.36,3.36,6494000
2020-10-07,3.38,3.5,3.38,3.5,3.5,25203500
2020-10-08,3.5,3.62,3.5,3.6,3.6,19034600
2020-10-09,3.64,3.72,3.6,3.68,3.68,19729000
2020-10-12,3.74,3.86,3.68,3.86,3.86,19722400
2020-10-14,3.9,4.02,3.82,4.0,4.0,24619800
2020-10-15,3.98,4.0,3.78,3.82,3.82,18338200
2020-10-16,3.82,3.98,3.76,3.98,3.98,15491500
2020-10-19,3.9,3.9,3.72,3.72,3.72,11210900
2020-10-20,3.72,3.88,3.72,3.84,3.84,11566200
2020-10-21,3.84,4.1,3.84,4.08,4.08,38056300
2020-10-22,4.04,4.2,4.02,4.06,4.06,24241300
2020-10-26,4.08,4.14,4.04,4.08,4.08,6845000
2020-10-27,4.08,4.16,4.02,4.06,4.06,6785500
2020-10-28,4.06,4.12,4.0,4.04,4.04,8437800
2020-10-29,4.0,4.02,3.86,3.86,3.86,8642600
2020-10-30,3.86,3.9,3.78,3.8,3.8,10733800
2020-11-02,3.82,3.88,3.76,3.76,3.76,2285400
2020-11-03,3.78,3.84,3.78,3.78,3.78,2162200
2020-11-04,3.82,4.02,3.72,4.0,4.0,26814800
2020-11-05,4.0,4.14,4.0,4.06,4.06,18357000
2020-11-06,4.04,4.08,3.92,3.96,3.96,6538100
2020-11-09,3.94,3.96,3.84,3.86,3.86,6363300
2020-11-10,3.84,3.84,3.56,3.72,3.72,13760900
2020-11-11,3.8,3.8,3.72,3.76,3.76,7774500
2020-11-12,3.8,3.82,3.7,3.74,3.74,10109200
2020-11-13,3.78,3.82,3.72,3.8,3.8,3741400
2020-11-16,3.78,3.84,3.7,3.7,3.7,7115400
2020-11-17,3.68,3.78,3.54,3.64,3.64,13683600
2020-11-18,3.62,3.64,3.5,3.54,3.54,5965000
2020-11-19,3.52,3.64,3.48,3.52,3.52,8628600
2020-11-20,3.56,3.56,3.48,3.5,3.5,5218900
2020-11-23,3.5,3.5,3.42,3.44,3.44,10412600
2020-11-24,3.38,3.42,3.34,3.36,3.36,3479800
2020-11-25,3.36,3.46,3.36,3.46,3.46,4972200
2020-11-26,3.42,3.52,3.42,3.5,3.5,5397000
2020-11-27,3.5,3.72,3.48,3.68,3.68,33296100
2020-11-30,3.7,3.72,3.62,3.62,3.62,6947400
2020-12-01,3.68,3.84,3.64,3.68,3.68,38726300
2020-12-02,3.68,3.7,3.58,3.62,3.62,7209100
2020-12-03,3.64,3.64,3.58,3.6,3.6,5189800
2020-12-04,3.6,3.7,3.58,3.58,3.58,11219300
2020-12-08,3.58,3.58,3.44,3.46,3.46,8730400
2020-12-09,3.44,3.46,3.36,3.36,3.36,7770800
2020-12-14,3.4,3.56,3.4,3.56,3.56,10807300
2020-12-15,3.54,3.56,3.46,3.46,3.46,4736800
2020-12-16,3.44,3.48,3.44,3.48,3.48,2636300
2020-12-17,3.48,3.58,3.48,3.52,3.52,12271000
2020-12-18,3.56,3.56,3.48,3.54,3.54,5294200
2020-12-21,3.38,3.46,3.22,3.26,3.26,5931700
2020-12-22,3.22,3.36,3.22,3.34,3.34,2765400
2020-12-23,3.36,3.42,3.3,3.34,3.34,4480700
2020-12-24,3.32,3.38,3.28,3.32,3.32,2815800
2020-12-25,3.36,3.38,3.18,3.24,3.24,10758900
2020-12-28,3.12,3.18,3.06,3.06,3.06,15825600
2020-12-29,3.1,3.18,3.08,3.18,3.18,8477300
2020-12-30,3.22,3.28,3.12,3.24,3.24,21635900
2021-01-04,3.2,3.2,3.14,3.18,3.18,4165500
2021-01-05,3.24,3.4,3.22,3.32,3.32,25136700
2021-01-06,3.36,3.36,3.26,3.28,3.28,10420700
2021-01-07,3.32,3.44,3.3,3.36,3.36,17931600
2021-01-08,3.36,3.48,3.34,3.4,3.4,18316600
2021-01-11,3.42,3.44,3.36,3.4,3.4,4196200
2021-01-12,3.4,3.52,3.36,3.5,3.5,12104100
2021-01-13,3.56,3.56,3.46,3.48,3.48,6573300
2021-01-14,3.46,3.54,3.44,3.46,3.46,11924100
2021-01-15,3.46,3.5,3.36,3.46,3.46,7667600
2021-01-18,3.44,3.44,3.38,3.4,3.4,3363600
2021-01-19,3.42,3.44,3.38,3.4,3.4,2614300
2021-01-20,3.4,3.42,3.34,3.36,3.36,4458800
2021-01-21,3.36,3.42,3.36,3.36,3.36,5064800
2021-01-22,3.38,3.38,3.28,3.28,3.28,4050500
2021-01-25,3.26,3.28,3.22,3.22,3.22,2089200
2021-01-26,3.24,3.26,3.2,3.26,3.26,3908300
2021-01-27,3.28,3.34,3.26,3.28,3.28,3028000
2021-01-28,3.26,3.28,3.2,3.2,3.2,4185500
2021-01-29,3.22,3.24,3.18,3.18,3.18,2894400
2021-02-01,3.18,3.28,3.18,3.26,3.26,3238800
2021-02-02,3.32,3.32,3.28,3.3,3.3,3483200
2021-02-03,3.36,3.36,3.28,3.3,3.3,4283100
2021-02-04,3.32,3.4,3.26,3.4,3.4,10774200
2021-02-05,3.48,3.48,3.34,3.34,3.34,20522500
2021-02-08,3.38,3.4,3.34,3.36,3.36,6983400
2021-02-09,3.38,3.4,3.32,3.36,3.36,6088300
2021-02-10,3.36,3.38,3.3,3.3,3.3,4485600
2021-02-11,3.3,3.3,3.22,3.22,3.22,6617100
2021-02-15,3.26,3.28,3.22,3.22,3.22,3133600
2021-02-16,3.24,3.24,3.18,3.2,3.2,5343300
2021-02-17,3.22,3.24,3.16,3.24,3.24,10532000
2021-02-18,3.24,3.24,3.2,3.2,3.2,3163700
2021-02-19,3.2,3.2,3.16,3.18,3.18,2603200
2021-02-22,3.18,3.2,3.08,3.08,3.08,7133900
2021-02-23,3.02,3.02,2.72,2.86,2.86,19867800
2021-02-24,2.9,2.9,2.76,2.76,2.76,12006300
2021-02-25,2.82,2.82,2.76,2.76,2.76,4321200
2021-03-01,2.76,2.8,2.7,2.8,2.8,3931900
2021-03-02,2.82,2.86,2.78,2.78,2.78,5555600
2021-03-03,2.78,2.86,2.78,2.82,2.82,2572900
2021-03-04,2.82,2.84,2.78,2.8,2.8,3152000
2021-03-05,2.8,2.88,2.8,2.86,2.86,8443700
2021-03-08,2.88,3.0,2.88,2.96,2.96,14738100
2021-03-09,2.98,3.02,2.98,2.98,2.98,12302000
2021-03-10,3.02,3.02,2.98,3.0,3.0,4149700
2021-03-11,3.02,3.02,2.88,2.9,2.9,10769700
2021-03-12,2.9,2.96,2.9,2.9,2.9,3893700
2021-03-15,2.9,2.92,2.82,2.82,2.82,5732300
2021-03-16,2.82,2.86,2.82,2.86,2.86,4083900
2021-03-17,2.88,2.88,2.82,2.84,2.84,1831700
2021-03-18,2.86,2.94,2.84,2.92,2.92,13536800
2021-03-19,2.94,2.94,2.9,2.9,2.9,4376900
2021-03-22,2.9,3.04,2.9,3.04,3.04,12144300
2021-03-23,3.12,3.14,3.08,3.08,3.08,20749200
2021-03-24,3.12,3.14,3.08,3.1,3.1,8002000
2021-03-25,3.1,3.38,3.1,3.26,3.26,44278900
2021-03-26,3.32,3.38,3.12,3.14,3.14,20361200
2021-03-29,3.14,3.22,3.14,3.14,3.14,5937800
2021-03-30,3.18,3.26,3.16,3.24,3.24,8811000
2021-03-31,3.26,3.28,3.18,3.18,3.18,9058100
2021-04-01,3.2,3.36,3.18,3.28,3.28,31338300
2021-04-02,3.3,3.34,3.24,3.26,3.26,12005700
2021-04-05,3.26,3.28,3.14,3.18,3.18,9214400
2021-04-07,3.14,3.14,3.0,3.04,3.04,10091400
2021-04-08,3.04,3.08,2.94,3.0,3.0,8002300
2021-04-09,3.02,3.06,3.02,3.04,3.04,3369500
2021-04-12,3.02,3.04,2.94,2.94,2.94,4012100
2021-04-16,2.94,3.1,2.88,3.06,3.06,19540400
2021-04-19,3.08,3.16,3.08,3.16,3.16,12086200
2021-04-20,3.16,3.18,3.1,3.1,3.1,10108200
2021-04-21,3.12,3.14,3.1,3.1,3.1,3556400
2021-04-22,3.14,3.14,3.04,3.06,3.06,4254000
2021-04-23,3.04,3.06,3.0,3.0,3.0,3408300
2021-04-26,2.96,3.0,2.92,2.96,2.96,3489600
2021-04-27,2.98,3.1,2.92,2.98,2.98,12928600
2021-04-28,3.0,3.12,3.0,3.1,3.1,5447400
2021-04-29,3.08,3.18,3.04,3.08,3.08,20779000
2021-04-30,3.12,3.12,3.04,3.08,3.08,5406400
2021-05-05,3.06,3.08,2.98,3.0,3.0,4993600
2021-05-06,3.04,3.04,2.98,3.02,3.02,2688800
2021-05-07,3.02,3.04,3.0,3.0,3.0,2641100
2021-05-10,3.0,3.02,2.96,2.96,2.96,3786700
2021-05-11,2.96,3.0,2.78,2.84,2.84,10977400
2021-05-12,2.8,2.84,2.8,2.8,2.8,5141000
2021-05-13,2.8,2.82,2.64,2.78,2.78,10190100
2021-05-14,2.76,2.8,2.72,2.74,2.74,4473500
2021-05-17,2.72,2.74,2.68,2.72,2.72,2137200
2021-05-18,2.72,2.76,2.72,2.76,2.76,3395700
2021-05-19,2.78,2.82,2.74,2.78,2.78,4148700
2021-05-20,2.78,2.82,2.76,2.76,2.76,2813200
2021-05-21,2.76,2.78,2.72,2.74,2.74,1547500
2021-05-24,2.78,2.78,2.7,2.72,2.72,1880300
2021-05-25,2.74,2.76,2.7,2.72,2.72,2914400
2021-05-27,2.74,2.86,2.72,2.78,2.78,6841000
2021-05-28,2.78,2.8,2.74,2.76,2.76,2901200
2021-05-31,2.74,2.78,2.72,2.76,2.76,1566500
2021-06-01,2.78,2.82,2.74,2.78,2.78,2434000
2021-06-02,2.8,2.96,2.78,2.92,2.92,19511800
2021-06-04,2.86,2.9,2.86,2.86,2.86,5978800
2021-06-07,2.9,2.92,2.88,2.88,2.88,5140000
2021-06-08,2.9,2.96,2.88,2.9,2.9,7444000
2021-06-09,2.9,2.94,2.88,2.9,2.9,4285500
2021-06-10,2.9,2.92,2.82,2.86,2.86,4009700
2021-06-11,2.86,2.86,2.8,2.82,2.82,3682200
2021-06-14,2.82,2.84,2.8,2.8,2.8,2061500
2021-06-15,2.8,2.88,2.8,2.82,2.82,4513200
2021-06-16,2.84,2.84,2.8,2.8,2.8,1364300
2021-06-17,2.82,2.88,2.78,2.8,2.8,3684900
2021-06-18,2.8,2.82,2.74,2.76,2.76,2062300
2021-06-21,2.74,2.78,2.72,2.76,2.76,991000
2021-06-22,2.76,2.8,2.76,2.78,2.78,1473900
2021-06-23,2.78,2.8,2.74,2.74,2.74,962600
2021-06-24,2.74,2.76,2.72,2.72,2.72,2456500
2021-06-25,2.72,2.74,2.7,2.72,2.72,1576700
2021-06-28,2.68,2.78,2.68,2.76,2.76,1260600
2021-06-29,2.74,2.78,2.74,2.74,2.74,986100
2021-06-30,2.78,2.82,2.76,2.82,2.82,6040400
2021-07-01,2.82,2.82,2.74,2.76,2.76,2096500
2021-07-02,2.78,2.78,2.72,2.74,2.74,1816900
2021-07-05,2.72,2.74,2.7,2.72,2.72,1152300
2021-07-06,2.72,2.74,2.72,2.74,2.74,809100
2021-07-07,2.76,2.92,2.74,2.82,2.82,19536600
2021-07-08,2.8,2.8,2.6,2.64,2.64,8443000
2021-07-09,2.56,2.72,2.56,2.68,2.68,4229500
2021-07-12,2.7,2.74,2.68,2.7,2.7,1041800
2021-07-13,2.72,2.76,2.7,2.72,2.72,1030600
2021-07-14,2.7,2.82,2.7,2.8,2.8,3206500
2021-07-15,2.84,2.84,2.76,2.76,2.76,1594500
2021-07-16,2.78,2.92,2.74,2.9,2.9,11406600
2021-07-19,2.82,3.06,2.82,3.0,3.0,43563100
2021-07-20,2.98,3.0,2.88,2.88,2.88,13915000
2021-07-21,2.9,2.92,2.78,2.82,2.82,10464900
2021-07-22,2.84,2.88,2.8,2.84,2.84,4817000
2021-07-23,2.84,2.84,2.8,2.8,2.8,4282300
2021-07-27,2.78,2.8,2.72,2.74,2.74,5507000
2021-07-29,2.76,2.8,2.7,2.72,2.72,2064100
2021-07-30,2.74,2.78,2.7,2.72,2.72,3276100
2021-08-02,2.68,2.7,2.62,2.64,2.64,3498400
2021-08-03,2.64,2.74,2.64,2.72,2.72,1492800
2021-08-04,2.76,2.76,2.72,2.72,2.72,933800
2021-08-05,2.76,2.76,2.7,2.7,2.7,1081600
2021-08-06,2.72,2.76,2.72,2.74,2.74,1310500
2021-08-09,2.78,2.78,2.68,2.7,2.7,1922700
2021-08-10,2.72,2.84,2.7,2.8,2.8,4821000
2021-08-11,2.78,2.78,2.68,2.7,2.7,3797800
2021-08-13,2.68,2.7,2.62,2.62,2.62,4429800
2021-08-16,2.62,2.68,2.5,2.68,2.68,5837900
2021-08-17,2.68,2.68,2.62,2.66,2.66,899600
2021-08-18,2.68,2.7,2.64,2.66,2.66,1101100
2021-08-19,2.66,2.68,2.64,2.66,2.66,483200
2021-08-20,2.64,2.68,2.64,2.66,2.66,595800
2021-08-23,2.68,2.72,2.66,2.66,2.66,1412000
2021-08-24,2.66,2.72,2.66,2.68,2.68,1159900
2021-08-25,2.72,2.78,2.7,2.76,2.76,3134100
2021-08-26,2.78,2.82,2.72,2.72,2.72,5518400
2021-08-27,2.72,2.74,2.68,2.68,2.68,2207400
2021-08-30,2.68,2.78,2.68,2.76,2.76,3514900
2021-08-31,2.78,2.78,2.72,2.74,2.74,1306100
2021-09-01,2.74,2.76,2.7,2.74,2.74,1232800
2021-09-02,2.74,2.76,2.72,2.74,2.74,1381200
2021-09-03,2.76,2.76,2.72,2.74,2.74,1324900
2021-09-06,2.76,2.82,2.76,2.8,2.8,6831300
2021-09-07,2.82,2.92,2.8,2.88,2.88,16496400
2021-09-08,2.94,2.96,2.82,2.84,2.84,8175400
2021-09-09,2.88,2.88,2.78,2.8,2.8,3107200
2021-09-10,2.82,2.94,2.8,2.88,2.88,5898300
2021-09-13,2.86,2.88,2.76,2.8,2.8,2876300
2021-09-14,2.8,2.84,2.78,2.78,2.78,1532800
2021-09-15,2.78,2.82,2.72,2.72,2.72,5617900
2021-09-16,2.72,2.76,2.72,2.74,2.74,1624900
2021-09-17,2.76,2.76,2.72,2.72,2.72,1575300
2021-09-20,2.72,2.76,2.7,2.7,2.7,877300
2021-09-21,2.7,2.72,2.66,2.72,2.72,1258700
2021-09-22,2.68,2.74,2.68,2.7,2.7,1276600
2021-09-23,2.72,2.74,2.7,2.72,2.72,1024800
2021-09-27,2.74,2.74,2.7,2.7,2.7,750800
2021-09-28,2.7,2.72,2.68,2.68,2.68,1790800
2021-09-29,2.68,2.72,2.68,2.7,2.7,446900
2021-09-30,2.7,2.7,2.66,2.66,2.66,1390700
2021-10-01,2.66,2.66,2.62,2.66,2.66,4270000
