Date,Open,High,Low,Close,Adj Close,Volume
2022-10-18,2.9,2.9,2.9,2.9,2.9,0
2022-10-19,4.3,4.72,3.68,3.8,3.8,657696040
2022-10-20,3.76,3.92,3.46,3.52,3.52,128010422
2022-10-21,3.5,3.54,3.2,3.24,3.24,48805935
2022-10-25,3.28,3.32,3.16,3.18,3.18,28598550
2022-10-26,3.2,3.22,3.1,3.12,3.12,9534492
2022-10-27,3.18,3.28,3.12,3.22,3.22,24361252
2022-10-28,3.2,3.34,3.18,3.22,3.22,20858989
2022-10-31,3.28,3.4,3.16,3.18,3.18,25808216
2022-11-01,3.18,3.26,3.14,3.18,3.18,9168350
2022-11-02,3.18,3.24,3.18,3.18,3.18,5448234
2022-11-03,3.22,3.48,3.18,3.36,3.36,57818335
2022-11-04,3.4,3.48,3.34,3.36,3.36,22622946
2022-11-07,3.4,3.6,3.36,3.54,3.54,33983155
2022-11-08,3.5,3.56,3.42,3.46,3.46,17449742
2022-11-09,3.4,3.44,3.2,3.2,3.2,14692464
2022-11-10,3.22,3.26,3.14,3.18,3.18,5334229
2022-11-11,3.2,3.22,2.98,3.0,3.0,8850338
2022-11-14,3.0,3.0,2.9,2.92,2.92,3402332
2022-11-15,2.92,2.96,2.9,2.96,2.96,2403989
2022-11-16,2.96,3.08,2.94,2.96,2.96,8271365
2022-11-17,2.98,3.02,2.92,2.94,2.94,3083735
2022-11-18,2.94,2.94,2.86,2.88,2.88,2399966
2022-11-21,2.88,3.04,2.82,3.04,3.04,10395113
2022-11-22,3.02,3.02,2.9,2.9,2.9,4064055
2022-11-23,3.0,3.16,2.94,3.16,3.16,21745559
2022-11-24,3.1,3.18,3.06,3.06,3.06,11287905
2022-11-25,3.06,3.14,3.06,3.1,3.1,4808550
2022-11-28,3.08,3.1,3.02,3.02,3.02,3286734
2022-11-29,3.04,3.06,2.94,2.96,2.96,3817701
2022-11-30,2.96,3.08,2.96,2.96,2.96,4017902
2022-12-01,2.96,3.0,2.92,2.92,2.92,4072004
2022-12-02,2.94,2.96,2.88,2.9,2.9,3812502
2022-12-06,2.92,2.98,2.9,2.92,2.92,2093725
2022-12-07,2.92,2.94,2.88,2.9,2.9,1374803
2022-12-08,2.9,2.96,2.9,2.92,2.92,4542130
2022-12-09,2.92,3.0,2.92,2.96,2.96,2569545
2022-12-13,2.98,2.98,2.92,2.92,2.92,1935153
2022-12-14,2.92,3.02,2.92,2.96,2.96,5596230
2022-12-15,2.96,2.98,2.84,2.9,2.9,3147662
2022-12-16,2.88,2.9,2.86,2.9,2.9,1736800
2022-12-19,2.9,2.92,2.84,2.88,2.88,1926100
2022-12-20,2.88,2.88,2.68,2.68,2.68,4572397
2022-12-21,2.72,2.72,2.68,2.68,2.68,1142785
2022-12-22,2.7,2.74,2.66,2.66,2.66,1385626
2022-12-23,2.7,2.74,2.64,2.68,2.68,2116870
2022-12-26,2.7,2.8,2.68,2.7,2.7,3426011
2022-12-27,2.72,2.76,2.7,2.72,2.72,1910205
2022-12-28,2.74,2.8,2.7,2.72,2.72,2878449
2022-12-29,2.72,2.76,2.7,2.72,2.72,1096810
2022-12-30,2.74,2.84,2.72,2.78,2.78,5233001
2023-01-03,2.78,2.8,2.74,2.74,2.74,1624301
2023-01-04,2.76,2.78,2.72,2.72,2.72,1042913
2023-01-05,2.74,2.74,2.66,2.68,2.68,1447418
2023-01-06,2.68,2.72,2.68,2.68,2.68,959702
2023-01-09,2.68,2.72,2.68,2.7,2.7,1201923
2023-01-10,2.72,2.76,2.7,2.7,2.7,1495418
2023-01-11,2.74,2.74,2.7,2.72,2.72,710200
2023-01-12,2.72,2.78,2.72,2.76,2.76,979402
2023-01-13,2.76,2.82,2.74,2.74,2.74,3426700
2023-01-16,2.76,2.9,2.74,2.78,2.78,3809948
2023-01-17,2.8,2.8,2.76,2.78,2.78,1114400
2023-01-18,2.78,2.84,2.76,2.82,2.82,1597963
2023-01-19,2.82,2.82,2.78,2.8,2.8,771112
2023-01-20,2.8,2.88,2.8,2.8,2.8,3379009
2023-01-23,2.82,3.06,2.82,3.0,3.0,39867250
2023-01-24,3.0,3.06,2.96,2.96,2.96,18106155
2023-01-25,2.98,3.0,2.94,2.94,2.94,2689277
2023-01-26,2.96,3.16,2.96,2.98,2.98,32006175
2023-01-27,3.0,3.08,3.0,3.02,3.02,8321155
2023-01-30,3.04,3.16,3.02,3.14,3.14,14105256
2023-01-31,3.18,3.18,3.02,3.04,3.04,8362321
2023-02-01,3.06,3.1,3.04,3.08,3.08,2946501
2023-02-02,3.08,3.14,3.06,3.06,3.06,3322617
2023-02-03,3.08,3.08,2.96,3.06,3.06,4908401
2023-02-06,3.06,3.08,3.04,3.06,3.06,1576902
2023-02-07,3.08,3.12,3.02,3.02,3.02,2982913
2023-02-08,3.04,3.04,2.88,2.88,2.88,4100343
2023-02-09,2.88,2.96,2.86,2.94,2.94,1225584
2023-02-10,2.96,2.98,2.9,2.9,2.9,639400
2023-02-13,2.94,3.02,2.92,3.02,3.02,3264061
2023-02-14,3.1,3.12,2.92,2.92,2.92,9620975
2023-02-15,2.92,2.98,2.86,2.86,2.86,3276257
2023-02-16,2.8,2.86,2.76,2.86,2.86,3679230
2023-02-17,2.86,2.86,2.78,2.78,2.78,969700
2023-02-20,2.8,2.86,2.8,2.86,2.86,500608
2023-02-21,2.86,2.9,2.82,2.9,2.9,663820
2023-02-22,2.88,2.94,2.82,2.86,2.86,1712188
2023-02-23,2.84,2.84,2.78,2.78,2.78,1495207
2023-02-24,2.82,2.88,2.78,2.8,2.8,3864215
2023-02-27,2.82,2.82,2.72,2.76,2.76,3122648
2023-02-28,2.76,2.78,2.72,2.74,2.74,1033917
2023-03-01,2.74,2.78,2.74,2.74,2.74,865316
2023-03-02,2.74,2.74,2.68,2.68,2.68,1260431
2023-03-03,2.7,2.72,2.66,2.68,2.68,729101
