Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,13.1,13.1,12.6,12.7,12.7,4239200.0
2020-09-24,12.6,12.7,12.4,12.5,12.5,4768700.0
2020-09-25,12.7,12.9,12.5,12.6,12.6,5636800.0
2020-09-28,12.8,13.1,12.8,13.0,13.0,4775400.0
2020-09-29,13.0,13.2,12.9,12.9,12.9,3612200.0
2020-09-30,13.0,13.2,12.6,12.6,12.6,4221400.0
2020-10-01,12.9,12.9,12.4,12.7,12.7,4137400.0
2020-10-02,12.7,12.7,12.2,12.3,12.3,6377700.0
2020-10-05,12.4,12.5,12.2,12.3,12.3,5302900.0
2020-10-06,12.4,12.8,12.4,12.7,12.7,5130300.0
2020-10-07,12.7,12.9,12.6,12.8,12.8,4457500.0
2020-10-08,12.9,13.1,12.6,12.6,12.6,4972600.0
2020-10-09,12.7,12.7,12.3,12.4,12.4,2449700.0
2020-10-12,12.6,12.9,12.5,12.7,12.7,7107900.0
2020-10-14,12.7,13.4,12.7,13.3,13.3,16049500.0
2020-10-15,13.1,13.2,12.4,12.5,12.5,9128000.0
2020-10-16,12.5,12.6,12.3,12.4,12.4,4807400.0
2020-10-19,12.0,12.1,11.5,11.5,11.5,10864000.0
2020-10-20,11.5,11.8,11.4,11.6,11.6,7561800.0
2020-10-21,11.7,12.3,11.7,12.0,12.0,13105500.0
2020-10-22,11.9,11.9,11.5,11.6,11.6,13368100.0
2020-10-26,11.5,11.8,11.5,11.7,11.7,4714500.0
2020-10-27,11.5,11.8,11.5,11.7,11.7,2854100.0
2020-10-28,11.7,12.2,11.7,12.0,12.0,10277000.0
2020-10-29,11.8,12.1,11.8,11.9,11.9,6635000.0
2020-10-30,11.9,12.0,11.6,11.7,11.7,2562400.0
2020-11-02,11.7,11.9,11.6,11.9,11.9,3085500.0
2020-11-03,11.9,12.2,11.8,11.9,11.9,7298300.0
2020-11-04,12.0,12.2,11.6,11.7,11.7,12090600.0
2020-11-05,11.8,12.3,11.7,12.2,12.2,16107100.0
2020-11-06,12.3,12.3,11.9,12.1,12.1,10753100.0
2020-11-09,12.3,13.0,12.3,12.8,12.8,16570600.0
2020-11-10,13.6,13.8,13.1,13.4,13.4,40304300.0
2020-11-11,13.6,13.7,13.2,13.3,13.3,21972800.0
2020-11-12,13.3,13.4,13.0,13.1,13.1,9922400.0
2020-11-13,13.0,13.4,13.0,13.2,13.2,16333800.0
2020-11-16,13.5,14.8,13.4,14.8,14.8,48942400.0
2020-11-17,14.7,14.8,14.3,14.4,14.4,19685600.0
2020-11-18,14.4,14.4,14.1,14.4,14.4,12744600.0
2020-11-19,14.4,15.0,14.4,14.7,14.7,20256300.0
2020-11-20,14.7,15.1,14.6,15.0,15.0,19608100.0
2020-11-23,15.3,16.0,15.1,16.0,16.0,24102800.0
2020-11-24,15.9,15.9,15.5,15.5,15.5,13527600.0
2020-11-25,15.7,15.8,15.3,15.7,15.7,9684100.0
2020-11-26,15.6,15.8,15.5,15.6,15.6,4653300.0
2020-11-27,15.7,16.6,15.6,16.4,16.4,27261400.0
2020-11-30,16.4,16.799999,16.200001,16.799999,16.799999,21537800.0
2020-12-01,16.799999,16.799999,16.200001,16.299999,16.299999,10204000.0
2020-12-02,16.200001,16.5,16.1,16.5,16.5,10162100.0
2020-12-03,16.5,16.700001,16.299999,16.5,16.5,4247700.0
2020-12-04,16.700001,16.9,16.4,16.4,16.4,8910000.0
2020-12-08,16.4,17.0,16.4,16.799999,16.799999,16161400.0
2020-12-09,16.799999,17.1,16.5,16.700001,16.700001,10014100.0
2020-12-14,16.799999,17.5,16.700001,17.4,17.4,18468100.0
2020-12-15,17.299999,17.299999,16.9,17.1,17.1,11969800.0
2020-12-16,17.4,17.5,17.0,17.0,17.0,15361100.0
2020-12-17,17.299999,18.5,17.299999,18.5,18.5,31028100.0
2020-12-18,18.4,18.5,17.9,18.1,18.1,15402600.0
2020-12-21,17.0,17.700001,16.299999,16.299999,16.299999,38582100.0
2020-12-22,16.200001,16.9,15.9,16.5,16.5,25612300.0
2020-12-23,16.5,16.9,16.299999,16.5,16.5,12665100.0
2020-12-24,16.6,16.799999,16.4,16.6,16.6,13380100.0
2020-12-25,16.700001,16.9,16.1,16.299999,16.299999,29018400.0
2020-12-28,16.299999,16.6,16.1,16.200001,16.200001,14092200.0
2020-12-29,16.1,16.4,16.1,16.299999,16.299999,7575600.0
2020-12-30,16.4,16.4,15.6,16.299999,16.299999,20631200.0
2021-01-04,15.9,16.299999,15.7,16.0,16.0,12870900.0
2021-01-05,16.1,17.700001,16.0,17.5,17.5,27801300.0
2021-01-06,17.4,17.6,16.4,16.6,16.6,31695500.0
2021-01-07,16.9,17.0,16.5,16.700001,16.700001,18577900.0
2021-01-08,16.799999,16.9,16.200001,16.4,16.4,20960700.0
2021-01-11,16.4,16.799999,16.299999,16.5,16.5,15304400.0
2021-01-12,16.5,16.6,16.200001,16.5,16.5,14163800.0
2021-01-13,16.4,16.9,16.4,16.6,16.6,11452300.0
2021-01-14,16.700001,16.799999,16.5,16.6,16.6,6579000.0
2021-01-15,16.6,16.700001,16.200001,16.299999,16.299999,12936200.0
2021-01-18,16.299999,16.299999,16.0,16.0,16.0,7892100.0
2021-01-19,16.1,16.6,16.0,16.1,16.1,12440300.0
2021-01-20,16.200001,16.299999,16.0,16.1,16.1,6138800.0
2021-01-21,16.200001,16.4,15.9,16.1,16.1,9147300.0
2021-01-22,16.200001,16.700001,16.200001,16.299999,16.299999,19842800.0
2021-01-25,16.4,17.5,16.299999,17.5,17.5,43441700.0
2021-01-26,17.299999,17.4,16.9,17.299999,17.299999,20136000.0
2021-01-27,17.299999,18.1,17.299999,17.9,17.9,53561900.0
2021-01-28,17.6,17.9,17.1,17.200001,17.200001,25017700.0
2021-01-29,17.4,17.5,16.700001,17.0,17.0,21895400.0
2021-02-01,16.9,17.0,16.1,16.4,16.4,28611300.0
2021-02-02,16.5,16.9,16.5,16.9,16.9,12114000.0
2021-02-03,16.799999,16.799999,16.299999,16.299999,16.299999,16532700.0
2021-02-04,16.5,16.799999,16.4,16.5,16.5,10063100.0
2021-02-05,16.700001,17.200001,16.6,16.9,16.9,14530200.0
2021-02-08,16.9,17.4,16.9,17.299999,17.299999,13577600.0
2021-02-09,17.5,18.200001,17.5,17.799999,17.799999,26910300.0
2021-02-10,17.9,18.1,17.5,17.6,17.6,16372200.0
2021-02-11,17.6,17.799999,17.299999,17.4,17.4,11446100.0
2021-02-15,17.5,17.700001,17.4,17.5,17.5,4311600.0
2021-02-16,17.6,17.9,17.6,17.9,17.9,9485600.0
2021-02-17,17.9,18.0,17.5,17.6,17.6,5217300.0
2021-02-18,17.6,17.700001,17.200001,17.6,17.6,12134600.0
2021-02-19,17.4,17.6,17.200001,17.200001,17.200001,5203500.0
2021-02-22,17.299999,17.6,16.700001,16.799999,16.799999,8861800.0
2021-02-23,16.9,17.700001,16.799999,17.6,17.6,15461900.0
2021-02-24,17.5,17.700001,17.299999,17.4,17.4,7012200.0
2021-02-25,17.6,18.4,17.6,17.9,17.9,24736300.0
2021-03-01,17.799999,18.700001,17.799999,18.6,18.6,36164300.0
2021-03-02,18.799999,19.200001,18.5,18.6,18.6,27445700.0
2021-03-03,18.700001,19.0,18.6,18.799999,18.799999,15284800.0
2021-03-04,18.700001,19.200001,18.200001,18.4,18.4,25008000.0
2021-03-05,18.5,18.799999,18.4,18.6,18.6,18037300.0
2021-03-08,18.9,19.0,18.5,18.5,18.5,15581600.0
2021-03-09,18.700001,19.5,18.6,19.4,19.4,31419500.0
2021-03-10,19.4,19.799999,18.799999,19.1,19.1,26451300.0
2021-03-11,19.200001,19.299999,18.4,18.5,18.5,23098300.0
2021-03-12,18.6,18.799999,18.299999,18.5,18.5,11897800.0
2021-03-15,18.5,18.6,17.799999,18.0,18.0,30936000.0
2021-03-16,18.0,18.700001,18.0,18.4,18.4,22678600.0
2021-03-17,18.4,18.6,18.200001,18.4,18.4,13817300.0
2021-03-18,18.6,19.299999,18.5,19.200001,19.200001,42570700.0
2021-03-19,19.1,19.200001,18.9,19.0,19.0,10650600.0
2021-03-22,19.200001,19.5,18.799999,19.299999,19.299999,19213200.0
2021-03-23,19.5,19.799999,19.200001,19.299999,19.299999,19368400.0
2021-03-24,19.1,19.4,19.0,19.1,19.1,9042000.0
2021-03-25,19.1,19.299999,19.0,19.0,19.0,7124900.0
2021-03-26,19.1,19.4,18.799999,18.799999,18.799999,16700700.0
2021-03-29,19.0,19.1,18.799999,18.799999,18.799999,5765800.0
2021-03-30,18.700001,18.9,18.6,18.700001,18.700001,6496100.0
2021-03-31,18.799999,19.4,18.799999,19.0,19.0,19549900.0
2021-04-01,19.1,19.1,18.9,18.9,18.9,4979700.0
2021-04-02,19.1,19.200001,18.6,18.700001,18.700001,13251300.0
2021-04-05,18.700001,18.700001,18.200001,18.299999,18.299999,11639500.0
2021-04-07,18.0,18.1,17.4,17.700001,17.700001,14983900.0
2021-04-08,17.5,18.0,17.5,18.0,18.0,16280200.0
2021-04-09,18.0,18.1,17.700001,17.9,17.9,7713300.0
2021-04-12,17.6,17.6,17.1,17.4,17.4,14878900.0
2021-04-16,17.299999,17.9,17.0,17.6,17.6,8219400.0
2021-04-19,17.6,18.200001,17.5,17.9,17.9,6413300.0
2021-04-20,17.799999,18.1,17.700001,17.799999,17.799999,6897600.0
2021-04-21,17.700001,17.9,17.6,17.700001,17.700001,13770700.0
2021-04-22,17.6,17.700001,17.200001,17.200001,17.200001,8144700.0
2021-04-23,17.1,17.299999,16.700001,17.0,17.0,12101200.0
2021-04-26,16.700001,17.1,16.6,17.1,17.1,6701500.0
2021-04-27,17.200001,17.4,16.9,17.1,17.1,6569800.0
2021-04-28,17.200001,17.299999,17.1,17.200001,17.200001,4124100.0
2021-04-29,17.299999,17.700001,17.299999,17.5,17.5,12848400.0
2021-04-30,17.6,17.6,17.200001,17.299999,17.299999,8138500.0
2021-05-05,17.4,17.4,16.9,17.1,17.1,5626700.0
2021-05-06,17.200001,17.299999,17.0,17.1,17.1,2285100.0
2021-05-07,17.1,17.9,17.0,17.799999,17.799999,16384300.0
2021-05-10,17.799999,18.5,17.5,18.4,18.4,22771200.0
2021-05-11,18.299999,18.5,18.0,18.200001,18.200001,15908700.0
2021-05-12,18.0,18.1,17.5,17.9,17.9,12222700.0
2021-05-13,17.6,18.200001,17.4,18.0,18.0,12195600.0
