Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,11.4,11.7,11.4,11.7,11.7,740
2020-01-03,11.7,11.7,11.6,11.6,11.6,117
2020-01-06,11.4,11.6,11.4,11.6,11.6,209
2020-01-07,11.5,11.6,11.5,11.6,11.6,184
2020-01-08,11.6,11.6,11.6,11.6,11.6,481
2020-01-09,11.6,11.7,11.6,11.7,11.7,250
2020-01-10,11.8,11.8,11.7,11.7,11.7,18
2020-01-13,11.7,11.9,11.7,11.9,11.9,35
2020-01-14,11.8,11.9,11.8,11.9,11.9,131
2020-01-15,11.9,12.0,11.9,12.0,12.0,83
2020-01-17,11.9,12.0,11.9,12.0,12.0,131
2020-01-20,11.9,11.9,11.8,11.9,11.9,287
2020-01-21,11.9,11.9,11.9,11.9,11.9,12
2020-01-22,11.8,11.9,11.8,11.8,11.8,263
2020-01-23,11.7,11.7,11.7,11.7,11.7,145
2020-01-24,11.7,11.7,11.7,11.7,11.7,72
2020-01-27,11.7,11.7,11.6,11.6,11.6,175
2020-01-28,11.3,11.6,11.3,11.4,11.4,1145
2020-01-30,11.7,11.7,11.7,11.7,11.7,121
2020-01-31,11.6,11.6,11.6,11.6,11.6,2
2020-02-03,11.5,11.6,11.5,11.5,11.5,78
2020-02-04,11.5,11.5,11.5,11.5,11.5,1338
2020-02-05,11.6,11.7,11.6,11.6,11.6,1619
2020-02-06,11.6,11.6,11.6,11.6,11.6,6665
2020-02-07,11.7,11.7,11.6,11.6,11.6,3002
2020-02-11,11.7,11.7,11.7,11.7,11.7,99
2020-02-13,11.8,11.8,11.6,11.6,11.6,288
2020-02-14,11.6,11.9,11.6,11.8,11.8,726
2020-02-17,11.9,12.0,11.9,12.0,12.0,357
2020-02-18,12.0,12.0,12.0,12.0,12.0,3
2020-02-19,11.8,12.0,11.7,11.7,11.7,4300
2020-02-20,11.7,11.7,11.7,11.7,11.7,308
2020-02-21,11.7,11.9,11.6,11.9,11.9,734
2020-02-24,11.7,11.7,11.6,11.7,11.7,1341
2020-02-25,11.6,11.7,11.6,11.7,11.7,2165
2020-02-26,11.6,11.6,11.6,11.6,11.6,2467
2020-02-27,11.5,11.6,11.3,11.6,11.6,607
2020-02-28,11.6,11.6,11.5,11.5,11.5,994
2020-03-02,11.4,11.4,11.2,11.3,11.3,2666
2020-03-03,11.4,11.5,11.4,11.5,11.5,138
2020-03-05,11.6,11.6,11.6,11.6,11.6,103
2020-03-09,11.6,11.6,11.3,11.4,11.4,19
2020-03-10,11.1,11.3,11.0,11.3,11.3,417
2020-03-11,11.3,11.3,10.8,11.3,11.3,3957
2020-03-12,10.8,10.8,7.95,10.8,10.8,328
2020-03-13,10.0,10.9,9.95,10.8,10.8,2041
2020-03-16,10.6,11.0,10.6,11.0,11.0,11
2020-03-17,10.3,10.3,8.75,10.1,10.1,158
2020-03-18,10.2,10.3,9.9,10.3,10.3,45
2020-03-19,10.2,10.2,10.2,10.2,10.2,11
2020-03-20,10.2,10.4,10.2,10.4,10.4,502
2020-03-23,10.4,10.4,10.3,10.3,10.3,9
2020-03-24,10.6,10.6,9.9,10.4,10.4,13
2020-03-25,9.9,10.6,9.9,10.6,10.6,1018
2020-03-27,10.3,10.5,10.3,10.3,10.3,19759
2020-03-30,10.2,10.2,10.2,10.2,10.2,5068
2020-03-31,10.2,10.3,10.2,10.2,10.2,15297
2020-04-01,10.2,10.2,10.2,10.2,10.2,2
2020-04-03,10.0,10.2,10.0,10.2,10.2,30
2020-04-07,10.1,10.1,9.9,10.1,10.1,154
2020-04-08,9.95,9.95,9.85,9.85,9.85,297
2020-04-09,10.1,10.1,10.0,10.0,10.0,104
2020-04-10,9.0,9.75,9.0,9.7,9.7,1972
2020-04-13,9.7,9.7,9.6,9.7,9.7,60
2020-04-14,10.0,10.0,9.85,9.9,9.9,163
2020-04-15,9.85,9.9,9.85,9.85,9.85,166
2020-04-16,9.95,9.95,9.75,9.85,9.85,302
2020-04-17,9.9,9.9,9.85,9.9,9.9,491
2020-04-20,9.9,9.9,9.8,9.85,9.85,76
2020-04-21,9.95,9.95,9.9,9.9,9.9,168
2020-04-22,9.85,9.9,9.85,9.9,9.9,100
2020-04-23,9.9,9.9,9.85,9.9,9.9,125
2020-04-24,9.9,9.9,9.9,9.9,9.9,304
2020-04-27,9.9,9.9,9.85,9.9,9.9,2271
2020-04-28,9.9,10.0,9.9,10.0,10.0,46
2020-04-29,10.0,10.1,9.95,10.1,10.1,8
2020-04-30,10.1,10.2,10.1,10.2,10.2,85
2020-05-05,10.0,10.0,10.0,10.0,10.0,1080
2020-05-07,10.0,10.0,9.8,10.0,10.0,3470
2020-05-08,9.9,10.0,9.9,10.0,10.0,472
2020-05-11,9.95,10.0,9.85,10.0,10.0,3335
2020-05-12,10.0,10.0,9.9,10.0,10.0,3655
2020-05-13,9.95,10.0,9.9,10.0,10.0,2477
2020-05-14,9.95,10.0,9.9,9.95,9.95,390
2020-05-15,10.0,10.0,9.95,10.0,10.0,411
2020-05-18,10.0,10.0,10.0,10.0,10.0,17
2020-05-19,10.1,10.1,10.1,10.1,10.1,106
2020-05-20,10.1,10.3,10.1,10.3,10.3,316
2020-05-21,10.4,10.4,10.3,10.3,10.3,171
2020-05-22,10.3,10.4,10.3,10.4,10.4,3472
2020-05-25,10.4,10.4,10.2,10.4,10.4,251
2020-05-26,10.0,10.3,10.0,10.3,10.3,63
2020-05-27,10.2,10.2,10.2,10.2,10.2,64
2020-05-28,10.1,10.3,10.1,10.2,10.2,55
2020-05-29,10.3,10.3,10.3,10.3,10.3,74
2020-06-01,10.3,10.4,10.3,10.3,10.3,159
2020-06-02,10.4,10.4,10.3,10.4,10.4,306
2020-06-04,10.4,10.4,10.3,10.4,10.4,159
2020-06-05,10.3,10.4,10.3,10.4,10.4,185
2020-06-08,10.2,10.5,10.2,10.5,10.5,336
2020-06-09,10.4,10.4,10.3,10.4,10.4,129
2020-06-10,10.3,10.4,10.3,10.4,10.4,43
2020-06-11,10.4,10.4,10.1,10.4,10.4,250
2020-06-12,10.1,10.3,10.1,10.3,10.3,238
2020-06-15,10.3,10.3,10.2,10.3,10.3,117
2020-06-16,10.4,10.4,10.4,10.4,10.4,59
2020-06-18,10.4,10.4,10.3,10.3,10.3,85
2020-06-19,10.3,10.4,10.3,10.4,10.4,10
2020-06-22,10.3,10.4,10.3,10.3,10.3,17
2020-06-23,10.3,10.3,9.8,10.2,10.2,874
2020-06-24,10.2,10.2,10.1,10.2,10.2,609
2020-06-25,10.1,10.3,10.1,10.3,10.3,127
2020-06-26,10.2,10.3,10.2,10.3,10.3,43
2020-06-29,10.1,10.3,10.1,10.3,10.3,258
2020-06-30,10.3,10.3,10.2,10.3,10.3,252
2020-07-01,10.2,10.3,10.1,10.2,10.2,351
2020-07-02,10.3,10.5,10.3,10.5,10.5,235
2020-07-03,10.5,10.5,10.3,10.4,10.4,71
2020-07-07,10.3,10.4,10.3,10.4,10.4,190
2020-07-08,10.3,10.4,10.3,10.4,10.4,16
2020-07-09,10.3,10.3,10.2,10.2,10.2,151
