Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,4.94,4.94,4.94,4.94,4.94,1100
2020-09-16,4.88,4.96,4.88,4.94,4.94,13000
2020-09-17,4.88,4.94,4.88,4.92,4.92,8000
2020-09-18,4.88,4.96,4.88,4.96,4.96,11400
2020-09-21,4.98,5.3,4.96,5.0,5.0,246200
2020-09-22,5.15,5.2,4.94,5.15,5.15,99600
2020-09-23,5.2,5.2,5.1,5.15,5.15,15600
2020-09-24,5.05,5.15,5.05,5.15,5.15,15200
2020-09-28,5.15,5.15,5.0,5.1,5.1,40300
2020-09-29,5.1,5.1,4.64,4.94,4.94,26400
2020-09-30,5.0,5.05,4.92,4.92,4.92,56900
2020-10-01,4.98,4.98,4.9,4.92,4.92,90400
2020-10-02,5.0,5.0,4.9,4.98,4.98,9400
2020-10-05,4.94,4.94,4.8,4.88,4.88,422800
2020-10-06,4.9,4.9,4.8,4.82,4.82,178900
2020-10-07,4.84,4.84,4.8,4.8,4.8,141000
2020-10-08,4.82,4.86,4.8,4.86,4.86,62700
2020-10-09,4.84,4.86,4.8,4.82,4.82,36300
2020-10-12,4.84,4.88,4.84,4.88,4.88,13900
2020-10-14,4.84,4.96,4.84,4.9,4.9,2900
2020-10-15,4.92,4.92,4.84,4.9,4.9,12500
2020-10-16,4.98,4.98,4.82,4.82,4.82,14100
2020-10-19,4.82,4.86,4.82,4.84,4.84,7600
2020-10-20,4.92,4.92,4.82,4.82,4.82,13500
2020-10-21,4.92,4.94,4.82,4.82,4.82,900
2020-10-26,4.82,4.96,4.82,4.94,4.94,6900
2020-10-27,4.96,4.96,4.82,4.82,4.82,9400
2020-10-29,4.84,4.84,4.84,4.84,4.84,9600
2020-10-30,4.94,4.94,4.82,4.9,4.9,5600
2020-11-03,4.92,4.96,4.86,4.96,4.96,64600
2020-11-04,4.98,5.0,4.88,4.98,4.98,50600
2020-11-05,5.0,5.0,4.98,5.0,5.0,75800
2020-11-06,4.92,5.0,4.9,4.9,4.9,6100
2020-11-09,5.0,5.05,4.98,5.05,5.05,105300
2020-11-10,5.0,5.1,5.0,5.05,5.05,62000
2020-11-11,5.15,5.15,5.0,5.0,5.0,71400
2020-11-12,4.98,5.1,4.98,5.0,5.0,4100
2020-11-13,4.98,5.1,4.98,5.1,5.1,15400
2020-11-16,5.1,5.2,5.0,5.0,5.0,61200
2020-11-17,5.15,5.15,5.0,5.1,5.1,13500
2020-11-18,5.0,5.1,5.0,5.1,5.1,12400
