Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,1.56,1.58,1.51,1.52,1.52,117000
2020-09-14,1.51,1.52,1.45,1.45,1.45,111300
2020-09-15,1.45,1.48,1.45,1.48,1.48,44200
2020-09-16,1.48,1.48,1.46,1.46,1.46,4100
2020-09-17,1.47,1.47,1.47,1.47,1.47,300
2020-09-18,1.48,1.48,1.47,1.48,1.48,7700
2020-09-21,1.49,1.5,1.44,1.46,1.46,45900
2020-09-22,1.47,1.5,1.47,1.5,1.5,81400
2020-09-23,1.49,1.51,1.49,1.51,1.51,130300
2020-09-24,1.51,1.51,1.48,1.49,1.49,12600
2020-09-25,1.5,1.5,1.48,1.5,1.5,392300
2020-09-28,1.5,1.5,1.46,1.5,1.5,179400
2020-09-29,1.5,1.5,1.47,1.48,1.48,36300
2020-09-30,1.48,1.48,1.44,1.44,1.44,150100
2020-10-01,1.45,1.45,1.45,1.45,1.45,100
2020-10-05,1.39,1.43,1.39,1.43,1.43,48300
2020-10-07,1.4,1.41,1.4,1.4,1.4,38200
2020-10-08,1.4,1.44,1.4,1.44,1.44,17700
2020-10-09,1.42,1.45,1.42,1.45,1.45,20500
2020-10-14,1.44,1.44,1.43,1.43,1.43,9700
2020-10-16,1.42,1.44,1.41,1.44,1.44,62000
2020-10-19,1.42,1.42,1.36,1.38,1.38,171300
2020-10-21,1.38,1.4,1.38,1.38,1.38,369900
2020-10-22,1.37,1.39,1.37,1.38,1.38,260500
2020-10-26,1.38,1.38,1.34,1.34,1.34,200000
2020-10-27,1.34,1.37,1.34,1.37,1.37,41100
2020-10-28,1.36,1.36,1.33,1.35,1.35,3800
2020-10-29,1.34,1.36,1.34,1.36,1.36,15100
2020-10-30,1.35,1.35,1.33,1.33,1.33,1900
2020-11-02,1.34,1.35,1.33,1.33,1.33,12800
2020-11-03,1.35,1.36,1.35,1.35,1.35,900
2020-11-04,1.35,1.39,1.35,1.39,1.39,43600
2020-11-05,1.37,1.42,1.37,1.4,1.4,44400
2020-11-06,1.4,1.4,1.33,1.35,1.35,602600
2020-11-09,1.35,1.38,1.35,1.38,1.38,12900
2020-11-10,1.38,1.38,1.34,1.36,1.36,109000
2020-11-11,1.37,1.38,1.34,1.38,1.38,67700
2020-11-12,1.36,1.39,1.35,1.38,1.38,72300
2020-11-16,1.38,1.41,1.36,1.38,1.38,73200
2020-11-18,1.39,1.39,1.39,1.39,1.39,4500
2020-11-19,1.39,1.41,1.39,1.41,1.41,67300
2020-11-20,1.41,1.47,1.41,1.47,1.47,338800
2020-11-23,1.47,1.61,1.47,1.58,1.58,781300
2020-11-24,1.58,1.59,1.57,1.57,1.57,379500
2020-11-25,1.57,1.57,1.54,1.56,1.56,112200
2020-11-26,1.54,1.56,1.54,1.56,1.56,121800
2020-11-27,1.56,1.57,1.54,1.57,1.57,108100
2020-11-30,1.55,1.56,1.54,1.56,1.56,167600
2020-12-01,1.56,1.57,1.55,1.55,1.55,51800
2020-12-02,1.55,1.58,1.55,1.58,1.58,110200
2020-12-03,1.57,1.6,1.57,1.58,1.58,147300
2020-12-04,1.57,1.64,1.57,1.64,1.64,464700
2020-12-08,1.66,1.81,1.65,1.79,1.79,1617800
2020-12-09,1.78,1.78,1.73,1.76,1.76,547100
2020-12-14,1.77,1.92,1.77,1.91,1.91,1566600
2020-12-15,1.91,2.2,1.89,2.1,2.1,3671100
2020-12-16,2.14,2.24,2.02,2.16,2.16,1468300
2020-12-17,2.22,2.22,2.14,2.16,2.16,192700
2020-12-18,2.14,2.36,2.14,2.26,2.26,1144500
2020-12-21,2.24,2.24,2.14,2.16,2.16,729600
2020-12-22,2.16,2.24,2.1,2.2,2.2,497000
2020-12-23,2.2,2.22,2.12,2.14,2.14,218400
2020-12-24,2.12,2.44,2.12,2.24,2.24,1565000
2020-12-25,2.24,2.32,2.24,2.26,2.26,311500
2020-12-28,2.24,2.26,2.22,2.22,2.22,117800
2020-12-29,2.22,2.48,2.2,2.48,2.48,2829900
2020-12-30,2.52,2.54,2.24,2.32,2.32,1807600
2021-01-04,2.22,2.32,2.22,2.32,2.32,392100
2021-01-05,2.32,2.34,2.26,2.26,2.26,190700
2021-01-06,2.24,2.38,2.22,2.26,2.26,506500
2021-01-07,2.26,2.36,2.26,2.3,2.3,256900
2021-01-08,2.3,2.3,2.26,2.28,2.28,78000
2021-01-11,2.24,2.28,2.24,2.28,2.28,48300
2021-01-12,2.3,2.32,2.26,2.28,2.28,122100
2021-01-13,2.28,2.28,2.26,2.28,2.28,122000
2021-01-14,2.3,2.3,2.28,2.28,2.28,36000
2021-01-15,2.28,2.28,2.22,2.22,2.22,136700
2021-01-18,2.24,2.28,2.24,2.26,2.26,12400
2021-01-19,2.28,2.32,2.26,2.26,2.26,198000
2021-01-20,2.3,2.3,2.2,2.26,2.26,148200
2021-01-21,2.26,2.28,2.24,2.26,2.26,13900
2021-01-22,2.24,2.24,2.22,2.22,2.22,114400
2021-01-26,2.22,2.24,2.2,2.24,2.24,41900
2021-01-27,2.22,2.24,2.2,2.2,2.2,62500
2021-01-28,2.2,2.24,2.2,2.2,2.2,64400
2021-01-29,2.22,2.22,2.08,2.1,2.1,373200
2021-02-01,2.1,2.16,2.1,2.16,2.16,57000
2021-02-02,2.16,2.18,2.14,2.14,2.14,79500
2021-02-03,2.14,2.22,2.14,2.16,2.16,106400
2021-02-04,2.16,2.32,2.16,2.26,2.26,1153900
2021-02-05,2.32,2.34,2.26,2.28,2.28,332600
2021-02-08,2.34,2.4,2.3,2.32,2.32,1289600
2021-02-09,2.32,2.38,2.28,2.32,2.32,538600
2021-02-10,2.32,2.36,2.28,2.34,2.34,332800
2021-02-11,2.34,2.34,2.3,2.32,2.32,56300
2021-02-15,2.3,2.3,2.22,2.28,2.28,945500
