Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,59.0,59.75,59.0,59.0,59.0,21724500
2020-09-24,57.0,57.25,56.0,56.5,56.5,49131300
2020-09-25,57.0,58.0,56.5,57.5,57.5,30380700
2020-09-28,58.0,59.0,57.5,58.75,58.75,20559300
2020-09-29,58.75,59.0,57.75,58.0,58.0,17331000
2020-09-30,58.25,58.25,56.5,56.5,56.5,24524800
2020-10-01,56.75,57.0,56.0,56.5,56.5,22234100
2020-10-02,56.25,56.5,55.75,56.0,56.0,18663600
2020-10-05,57.0,57.25,55.5,56.25,56.25,19584400
2020-10-06,56.75,57.0,55.5,55.5,55.5,21667700
2020-10-07,55.0,57.75,54.25,57.25,57.25,30795400
2020-10-08,57.25,57.75,56.75,57.25,57.25,23317700
2020-10-09,57.5,58.5,57.0,57.5,57.5,18364200
2020-10-12,57.5,58.0,57.0,57.5,57.5,12017000
2020-10-14,57.0,57.25,56.5,57.25,57.25,17876700
2020-10-15,56.5,56.75,55.5,55.75,55.75,18417500
2020-10-16,56.0,56.25,55.0,56.0,56.0,14897900
2020-10-19,55.5,55.75,52.75,53.5,53.5,45064100
2020-10-20,53.0,55.0,52.75,54.25,54.25,24191600
2020-10-21,54.5,55.75,54.25,55.0,55.0,23032500
2020-10-22,54.75,55.5,53.5,54.0,54.0,26987500
2020-10-26,54.0,54.5,53.5,53.75,53.75,10972900
2020-10-27,52.5,54.5,52.25,54.25,54.25,33519700
2020-10-28,53.75,53.75,52.75,53.0,53.0,30797900
2020-10-29,52.75,53.25,51.25,51.25,51.25,32311500
2020-10-30,51.5,52.0,50.5,51.75,51.75,41447200
2020-11-02,51.75,53.25,51.5,52.75,52.75,24684900
2020-11-03,53.25,53.75,52.75,53.0,53.0,17421700
2020-11-04,53.0,54.75,53.0,54.5,54.5,21571100
2020-11-05,55.0,57.25,54.5,56.75,56.75,38763400
2020-11-06,57.0,57.0,55.0,55.75,55.75,30347100
2020-11-09,57.25,57.75,56.5,57.25,57.25,34816200
2020-11-10,68.0,69.0,63.0,67.75,67.75,322032000
2020-11-11,68.25,68.75,67.0,67.75,67.75,108332300
2020-11-12,66.75,66.75,64.5,65.5,65.5,59557600
2020-11-13,64.5,66.5,64.0,65.5,65.5,36679400
2020-11-16,66.25,66.5,65.25,65.75,65.75,21799600
2020-11-17,66.75,67.5,66.0,66.0,66.0,45547800
2020-11-18,65.75,66.75,65.25,66.75,66.75,25682200
2020-11-19,66.5,67.5,66.25,67.0,67.0,29886400
2020-11-20,66.5,68.0,66.25,67.75,67.75,23158700
2020-11-23,67.75,68.75,67.25,68.25,68.25,37533400
2020-11-24,69.0,69.25,67.0,67.25,67.25,33648500
2020-11-25,67.5,68.25,64.25,67.0,67.0,66044000
2020-11-26,67.25,67.75,67.0,67.25,67.25,22466000
2020-11-27,67.0,67.5,66.0,66.25,66.25,28175900
2020-11-30,65.5,66.0,64.0,64.0,64.0,49764800
2020-12-01,65.0,66.0,64.75,65.5,65.5,23560700
2020-12-02,64.75,65.5,64.25,64.25,64.25,28534200
