Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,7.1,8.1,7.05,7.8,7.8,7355500
2020-09-23,7.85,8.05,7.5,7.6,7.6,2663400
2020-09-24,7.55,7.65,7.4,7.4,7.4,181500
2020-09-25,7.35,7.35,7.2,7.3,7.3,375700
2020-09-28,7.35,7.35,7.25,7.35,7.35,64900
2020-09-29,7.35,7.35,7.25,7.35,7.35,8200
2020-09-30,7.4,7.4,7.2,7.35,7.35,66000
2020-10-01,7.3,7.35,7.2,7.3,7.3,34500
2020-10-02,7.25,7.3,7.2,7.25,7.25,15200
2020-10-05,7.15,7.4,7.15,7.3,7.3,27400
2020-10-06,7.25,7.3,7.25,7.25,7.25,27000
2020-10-07,7.2,7.25,7.2,7.2,7.2,114700
2020-10-08,7.25,7.35,7.15,7.3,7.3,75200
2020-10-09,7.3,7.3,7.2,7.3,7.3,26600
2020-10-12,7.25,7.3,7.2,7.3,7.3,54800
2020-10-14,7.25,7.25,7.2,7.25,7.25,15600
2020-10-15,7.15,7.2,7.15,7.2,7.2,83900
2020-10-16,7.15,7.2,7.05,7.05,7.05,125100
2020-10-19,6.95,7.05,6.75,6.95,6.95,193900
2020-10-20,6.75,6.95,6.75,6.85,6.85,10500
2020-10-21,6.95,7.0,6.95,6.95,6.95,13000
2020-10-22,7.0,7.0,7.0,7.0,7.0,6100
2020-10-26,7.2,7.2,7.0,7.05,7.05,18900
2020-10-27,7.0,7.1,7.0,7.1,7.1,10600
2020-10-28,7.1,7.1,7.0,7.0,7.0,5600
2020-10-29,7.0,7.0,6.9,6.95,6.95,72200
2020-10-30,6.95,6.95,6.85,6.85,6.85,52300
2020-11-02,6.8,6.9,6.75,6.9,6.9,48300
2020-11-03,6.9,7.0,6.9,7.0,7.0,21600
2020-11-04,7.0,7.0,7.0,7.0,7.0,3700
2020-11-05,7.1,7.1,7.0,7.0,7.0,11800
2020-11-06,7.1,7.1,6.9,7.0,7.0,35400
2020-11-09,7.4,7.4,6.8,7.0,7.0,172600
2020-11-10,7.25,7.25,7.05,7.2,7.2,137600
2020-11-11,7.2,7.35,7.15,7.15,7.15,81600
2020-11-12,7.2,7.2,7.0,7.05,7.05,67500
2020-11-13,7.0,7.1,7.0,7.0,7.0,84800
2020-11-16,7.1,7.1,7.0,7.05,7.05,125800
2020-11-17,7.15,7.15,7.05,7.05,7.05,142800
2020-11-18,7.05,7.1,7.0,7.0,7.0,32500
2020-11-19,7.05,7.1,7.05,7.1,7.1,34200
2020-11-20,7.1,7.15,7.05,7.1,7.1,126000
2020-11-23,7.2,7.3,7.2,7.25,7.25,419400
2020-11-24,7.25,7.35,7.2,7.25,7.25,305600
2020-11-25,7.25,7.35,7.25,7.3,7.3,279700
2020-11-26,7.3,7.35,7.25,7.35,7.35,170500
2020-11-27,7.3,7.5,7.3,7.5,7.5,129600
2020-11-30,7.45,7.45,7.35,7.35,7.35,59200
2020-12-01,7.35,7.4,7.3,7.3,7.3,69700
2020-12-02,7.3,7.4,7.3,7.35,7.35,115700
2020-12-03,7.35,7.45,7.35,7.4,7.4,86300
2020-12-04,7.4,7.4,7.3,7.35,7.35,111200
2020-12-08,7.35,7.5,7.35,7.35,7.35,100000
2020-12-09,7.35,7.5,7.35,7.4,7.4,93800
2020-12-14,7.5,7.65,7.5,7.5,7.5,39900
2020-12-15,7.5,7.6,7.45,7.5,7.5,68600
2020-12-16,7.5,7.65,7.45,7.45,7.45,164700
2020-12-17,7.45,7.65,7.45,7.6,7.6,249300
2020-12-18,7.65,7.65,7.5,7.55,7.55,30700
2020-12-21,7.0,7.45,7.0,7.15,7.15,356500
2020-12-22,7.05,7.45,7.0,7.4,7.4,61900
2020-12-23,7.35,7.35,7.25,7.35,7.35,50900
2020-12-24,7.4,7.4,7.25,7.25,7.25,56800
2020-12-25,7.25,7.4,7.25,7.35,7.35,39800
2020-12-28,7.35,7.35,7.3,7.3,7.3,26000
2020-12-29,7.3,7.35,7.15,7.25,7.25,41900
2020-12-30,7.3,7.3,7.2,7.25,7.25,56700
2021-01-04,7.2,7.45,7.1,7.3,7.3,82100
2021-01-05,7.45,7.5,7.4,7.4,7.4,40600
2021-01-06,7.6,7.65,7.5,7.55,7.55,111000
2021-01-07,7.7,7.7,7.45,7.65,7.65,67300
