Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,3.3,3.3,3.12,3.12,3.12,339600
2020-09-23,3.18,3.2,3.14,3.18,3.18,177600
2020-09-24,3.16,3.18,3.08,3.14,3.14,195300
2020-09-25,3.14,3.18,3.14,3.14,3.14,41100
2020-09-28,3.12,3.12,3.06,3.12,3.12,484900
2020-09-29,3.08,3.12,3.06,3.12,3.12,858500
2020-09-30,3.14,3.14,3.08,3.1,3.1,15200
2020-10-01,3.12,3.12,3.08,3.1,3.1,159400
2020-10-02,3.1,3.14,3.06,3.1,3.1,457800
2020-10-05,3.08,3.14,3.08,3.1,3.1,341600
2020-10-06,3.1,3.12,3.1,3.12,3.12,159000
2020-10-07,3.1,3.12,3.04,3.12,3.12,301300
2020-10-08,3.12,3.14,3.1,3.14,3.14,16200
2020-10-09,3.1,3.12,3.08,3.12,3.12,98100
2020-10-12,3.12,3.12,3.08,3.1,3.1,19500
2020-10-14,3.14,3.14,3.08,3.14,3.14,43500
2020-10-15,3.12,3.14,3.06,3.12,3.12,204800
2020-10-16,3.12,3.12,3.08,3.1,3.1,79400
2020-10-19,3.06,3.1,3.02,3.04,3.04,145000
2020-10-20,3.04,3.14,3.04,3.12,3.12,204200
2020-10-21,3.12,3.14,3.08,3.1,3.1,30900
2020-10-22,3.1,3.12,3.1,3.12,3.12,5000
2020-10-26,3.06,3.12,3.04,3.1,3.1,76900
2020-10-27,3.1,3.14,3.06,3.12,3.12,34100
2020-10-28,3.12,3.14,3.1,3.1,3.1,23800
2020-10-29,3.12,3.12,3.06,3.1,3.1,290700
2020-10-30,3.12,3.12,3.1,3.12,3.12,3800
2020-11-02,3.08,3.14,3.08,3.14,3.14,522800
2020-11-03,3.16,3.18,3.12,3.18,3.18,199700
2020-11-04,3.2,3.22,3.18,3.22,3.22,86800
2020-11-05,3.3,3.3,3.16,3.24,3.24,132800
2020-11-06,3.2,3.24,3.16,3.22,3.22,330800
2020-11-09,3.28,3.34,3.2,3.34,3.34,593500
2020-11-10,3.34,3.36,3.26,3.3,3.3,393000
2020-11-11,3.3,3.34,3.28,3.32,3.32,263400
2020-11-12,3.34,3.34,3.3,3.32,3.32,94200
2020-11-13,3.32,3.34,3.32,3.32,3.32,102900
2020-11-16,3.34,3.34,3.28,3.34,3.34,43100
2020-11-17,3.34,3.34,3.14,3.32,3.32,227700
2020-11-18,3.2,3.3,3.18,3.3,3.3,14600
2020-11-19,3.28,3.34,3.28,3.32,3.32,111800
2020-11-20,3.32,3.32,3.3,3.32,3.32,238000
2020-11-23,3.3,3.34,3.28,3.34,3.34,177400
2020-11-24,3.34,3.42,3.32,3.32,3.32,228600
2020-11-25,3.36,3.36,3.26,3.34,3.34,165200
2020-11-26,3.3,3.4,3.3,3.38,3.38,106300
2020-11-27,3.38,3.4,3.34,3.38,3.38,130200
2020-11-30,3.38,3.38,3.32,3.36,3.36,50200
2020-12-01,3.26,3.38,3.26,3.38,3.38,53200
2020-12-02,3.38,3.38,3.36,3.38,3.38,34300
2020-12-03,3.4,3.4,3.36,3.38,3.38,80600
2020-12-04,3.4,3.42,3.34,3.42,3.42,314400
2020-12-08,3.42,3.56,3.42,3.52,3.52,208000
2020-12-09,3.56,3.58,3.52,3.52,3.52,220400
2020-12-14,3.5,3.58,3.48,3.56,3.56,216500
2020-12-15,3.56,3.58,3.52,3.54,3.54,98400
2020-12-16,3.54,3.56,3.5,3.54,3.54,141800
2020-12-17,3.56,3.56,3.54,3.56,3.56,72600
2020-12-18,3.56,3.56,3.52,3.56,3.56,101100
2020-12-21,3.42,3.52,3.36,3.42,3.42,299400
2020-12-22,3.38,3.42,3.3,3.36,3.36,96800
2020-12-23,3.36,3.38,3.36,3.36,3.36,108600
2020-12-24,3.36,3.38,3.3,3.38,3.38,58000
2020-12-25,3.38,3.52,3.32,3.42,3.42,72700
2020-12-28,3.48,3.48,3.44,3.44,3.44,14400
