Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,1.25,1.25,1.22,1.23,1.23,295900
2020-09-23,1.23,1.34,1.23,1.33,1.33,2911100
2020-09-24,1.3,1.37,1.29,1.3,1.3,1299700
2020-09-25,1.32,1.39,1.32,1.37,1.37,1258000
2020-09-28,1.39,1.39,1.35,1.37,1.37,235700
2020-09-29,1.38,1.38,1.3,1.31,1.31,272400
2020-09-30,1.33,1.35,1.32,1.32,1.32,120000
2020-10-01,1.33,1.34,1.32,1.33,1.33,103900
2020-10-02,1.34,1.37,1.33,1.37,1.37,447300
2020-10-05,1.38,1.38,1.36,1.37,1.37,199800
2020-10-06,1.38,1.4,1.37,1.38,1.38,565700
2020-10-07,1.38,1.4,1.37,1.38,1.38,184700
2020-10-08,1.39,1.39,1.37,1.37,1.37,168400
2020-10-09,1.38,1.38,1.36,1.36,1.36,69900
2020-10-12,1.36,1.38,1.36,1.36,1.36,103500
2020-10-14,1.39,1.39,1.35,1.36,1.36,133400
2020-10-15,1.36,1.38,1.34,1.37,1.37,252600
2020-10-16,1.37,1.39,1.33,1.36,1.36,201000
2020-10-19,1.33,1.37,1.33,1.35,1.35,96000
2020-10-20,1.37,1.38,1.36,1.37,1.37,20600
2020-10-21,1.38,1.38,1.36,1.37,1.37,110400
2020-10-22,1.35,1.37,1.35,1.37,1.37,16000
2020-10-26,1.34,1.38,1.34,1.38,1.38,56300
2020-10-27,1.37,1.39,1.36,1.39,1.39,57700
2020-10-28,1.41,1.41,1.39,1.41,1.41,278900
2020-10-29,1.41,1.42,1.38,1.38,1.38,53300
2020-10-30,1.38,1.41,1.37,1.39,1.39,47400
2020-11-03,1.39,1.4,1.38,1.39,1.39,16000
2020-11-04,1.39,1.41,1.38,1.39,1.39,36500
2020-11-05,1.36,1.41,1.36,1.4,1.4,151800
2020-11-06,1.39,1.41,1.37,1.4,1.4,40600
2020-11-09,1.4,1.42,1.4,1.42,1.42,304400
2020-11-10,1.42,1.45,1.39,1.4,1.4,214800
2020-11-11,1.4,1.41,1.38,1.38,1.38,43600
2020-11-12,1.39,1.39,1.36,1.38,1.38,87300
2020-11-13,1.38,1.39,1.36,1.36,1.36,65100
2020-11-16,1.35,1.38,1.35,1.36,1.36,70900
2020-11-17,1.37,1.4,1.37,1.39,1.39,66600
2020-11-18,1.4,1.4,1.38,1.39,1.39,28100
2020-11-19,1.39,1.4,1.36,1.4,1.4,105100
2020-11-20,1.4,1.53,1.39,1.5,1.5,3057800
2020-11-23,1.55,1.55,1.51,1.51,1.51,571500
2020-11-24,1.52,1.52,1.5,1.5,1.5,486500
2020-11-25,1.5,1.51,1.49,1.5,1.5,131800
2020-11-26,1.49,1.53,1.49,1.53,1.53,157200
2020-11-27,1.53,1.54,1.5,1.52,1.52,54900
2020-11-30,1.53,1.54,1.5,1.54,1.54,160300
2020-12-01,1.55,1.55,1.53,1.53,1.53,263500
2020-12-02,1.53,1.53,1.47,1.47,1.47,630000
2020-12-03,1.47,1.49,1.47,1.48,1.48,437300
2020-12-04,1.48,1.51,1.47,1.49,1.49,576100
2020-12-08,1.48,1.56,1.47,1.51,1.51,715800
2020-12-09,1.52,1.6,1.51,1.51,1.51,3188600
2020-12-14,1.5,1.57,1.5,1.54,1.54,553800
2020-12-15,1.54,1.55,1.51,1.53,1.53,494100
2020-12-16,1.55,1.55,1.53,1.54,1.54,687200
2020-12-17,1.56,1.57,1.51,1.52,1.52,1110200
2020-12-18,1.52,1.58,1.51,1.54,1.54,1182900
2020-12-21,1.53,1.53,1.46,1.47,1.47,949800
2020-12-22,1.41,1.48,1.38,1.48,1.48,310100
2020-12-23,1.48,1.48,1.47,1.47,1.47,202000
2020-12-24,1.49,1.55,1.49,1.52,1.52,501200
2020-12-25,1.53,1.53,1.49,1.53,1.53,203600
2020-12-28,1.53,1.54,1.51,1.51,1.51,116800
2020-12-29,1.5,1.54,1.5,1.52,1.52,147600
2020-12-30,1.52,1.6,1.48,1.48,1.48,3351300
2021-01-04,1.45,1.54,1.45,1.53,1.53,542300
2021-01-05,1.54,1.55,1.52,1.52,1.52,217200
2021-01-06,1.56,1.56,1.52,1.52,1.52,533600
2021-01-07,1.54,1.56,1.53,1.53,1.53,979100
2021-01-08,1.56,1.58,1.53,1.53,1.53,1133600
2021-01-11,1.52,1.55,1.52,1.53,1.53,381500
2021-01-12,1.53,1.54,1.52,1.53,1.53,309000
2021-01-13,1.54,1.55,1.53,1.54,1.54,441400
2021-01-14,1.55,1.55,1.53,1.54,1.54,274900
2021-01-15,1.54,1.55,1.54,1.54,1.54,581100
2021-01-18,1.55,2.0,1.54,2.0,2.0,24977100
2021-01-19,2.12,2.3,2.02,2.08,2.08,28559400
2021-01-20,2.1,2.16,2.0,2.0,2.0,5067000
2021-01-21,2.04,2.16,1.96,1.99,1.99,5100700
