Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.68,1.68,1.67,1.68,1.68,946200
2020-09-24,1.67,1.68,1.65,1.67,1.67,2212600
2020-09-25,1.68,1.68,1.65,1.67,1.67,1350900
2020-09-28,1.67,1.7,1.67,1.7,1.7,1511000
2020-09-29,1.7,1.7,1.68,1.69,1.69,1843200
2020-09-30,1.7,1.7,1.68,1.68,1.68,1723200
2020-10-01,1.7,1.7,1.68,1.69,1.69,610000
2020-10-02,1.7,1.7,1.68,1.69,1.69,2605900
2020-10-05,1.69,1.69,1.67,1.68,1.68,925200
2020-10-06,1.69,1.69,1.68,1.69,1.69,201500
2020-10-07,1.68,1.69,1.67,1.68,1.68,2019400
2020-10-08,1.68,1.71,1.68,1.7,1.7,3053500
2020-10-09,1.7,1.71,1.69,1.69,1.69,343400
2020-10-12,1.69,1.7,1.68,1.7,1.7,1243400
2020-10-14,1.69,1.7,1.68,1.69,1.69,333300
2020-10-15,1.69,1.7,1.68,1.68,1.68,1063200
2020-10-16,1.67,1.69,1.67,1.67,1.67,591500
2020-10-19,1.67,1.68,1.66,1.67,1.67,1741700
2020-10-20,1.67,1.68,1.66,1.67,1.67,1226900
2020-10-21,1.67,1.69,1.66,1.68,1.68,559700
2020-10-22,1.67,1.7,1.67,1.69,1.69,637200
2020-10-26,1.68,1.69,1.68,1.68,1.68,191000
2020-10-27,1.67,1.69,1.67,1.68,1.68,445300
2020-10-28,1.68,1.69,1.66,1.66,1.66,4162600
2020-10-29,1.67,1.68,1.67,1.67,1.67,279000
2020-10-30,1.67,1.68,1.66,1.66,1.66,1074100
2020-11-02,1.67,1.69,1.67,1.68,1.68,1022100
2020-11-03,1.68,1.71,1.68,1.71,1.71,1841900
2020-11-04,1.71,1.72,1.7,1.7,1.7,1221900
2020-11-05,1.71,1.73,1.71,1.72,1.72,738300
2020-11-06,1.73,1.73,1.71,1.72,1.72,960300
2020-11-09,1.74,1.76,1.73,1.75,1.75,2970900
2020-11-10,1.75,1.8,1.75,1.8,1.8,9489400
2020-11-11,1.81,1.83,1.78,1.79,1.79,5464600
2020-11-12,1.78,1.79,1.77,1.78,1.78,1313200
2020-11-13,1.78,1.81,1.77,1.79,1.79,4041900
2020-11-16,1.8,1.81,1.79,1.8,1.8,2737400
2020-11-17,1.82,1.85,1.81,1.82,1.82,5536200
2020-11-18,1.83,1.84,1.82,1.83,1.83,2401000
2020-11-19,1.83,1.86,1.83,1.86,1.86,2665600
2020-11-20,1.87,1.89,1.85,1.89,1.89,3986300
2020-11-23,1.89,1.95,1.89,1.95,1.95,6497700
2020-11-24,1.98,2.0,1.93,1.99,1.99,8823700
2020-11-25,2.02,2.06,2.0,2.04,2.04,8588300
2020-11-26,2.08,2.08,2.04,2.06,2.06,4403400
2020-11-27,2.08,2.12,2.08,2.1,2.1,5957700
2020-11-30,2.1,2.1,2.0,2.02,2.02,7565600
2020-12-01,2.0,2.04,2.0,2.02,2.02,3599500
2020-12-02,2.04,2.06,1.99,2.0,2.0,3886000
2020-12-03,2.0,2.08,2.0,2.04,2.04,5468000
2020-12-04,2.06,2.08,2.04,2.06,2.06,5462300
2020-12-08,2.08,2.2,2.06,2.2,2.2,10513200
2020-12-09,2.22,2.32,2.22,2.24,2.24,14479500
2020-12-14,2.28,2.3,2.24,2.26,2.26,5047000
2020-12-15,2.22,2.26,2.18,2.26,2.26,6102300
2020-12-16,2.26,2.3,2.24,2.26,2.26,6344200
2020-12-17,2.26,2.32,2.26,2.28,2.28,5358000
2020-12-18,2.28,2.34,2.28,2.28,2.28,5794200
2020-12-21,2.14,2.2,2.1,2.1,2.1,14405200
2020-12-22,2.1,2.14,2.06,2.14,2.14,4779800
2020-12-23,2.12,2.18,2.1,2.12,2.12,3345900
2020-12-24,2.12,2.18,2.12,2.18,2.18,3275800
2020-12-25,2.2,2.26,2.2,2.24,2.24,3642500
2020-12-28,2.24,2.3,2.22,2.24,2.24,3569500
2020-12-29,2.24,2.26,2.2,2.22,2.22,2744200
2020-12-30,2.22,2.26,2.16,2.18,2.18,3790300
2021-01-04,2.16,2.2,2.1,2.18,2.18,3902600
2021-01-05,2.18,2.24,2.14,2.24,2.24,4440100
2021-01-06,2.24,2.26,2.2,2.22,2.22,3275300
2021-01-07,2.24,2.3,2.24,2.28,2.28,4514700
2021-01-08,2.3,2.36,2.24,2.26,2.26,13649400
2021-01-11,2.26,2.28,2.24,2.24,2.24,4180200
2021-01-12,2.28,2.3,2.26,2.3,2.3,4039900
2021-01-13,2.3,2.3,2.26,2.26,2.26,5857700
2021-01-14,2.26,2.28,2.22,2.24,2.24,2987100
2021-01-15,2.26,2.28,2.24,2.24,2.24,3133700
2021-01-18,2.24,2.3,2.24,2.26,2.26,4844600
2021-01-19,2.28,2.3,2.26,2.28,2.28,1687200
2021-01-20,2.28,2.3,2.26,2.26,2.26,1133000
2021-01-21,2.26,2.28,2.24,2.24,2.24,1928500
