Date,Open,High,Low,Close,Adj Close,Volume
2020-11-25,9.75,9.85,9.55,9.6,9.6,4080800
2020-11-26,9.65,9.8,9.6,9.65,9.65,1707600
2020-11-27,9.65,9.9,9.65,9.75,9.75,1994200
2020-11-30,9.75,9.8,9.5,9.5,9.5,1317400
2020-12-01,9.55,9.65,9.5,9.5,9.5,3307600
2020-12-02,9.55,9.7,9.45,9.45,9.45,2403200
2020-12-03,9.5,9.65,9.45,9.6,9.6,1283200
2020-12-04,9.65,9.7,9.55,9.7,9.7,1372100
2020-12-08,9.75,10.4,9.75,10.2,10.2,11713100
2020-12-09,10.2,10.7,10.0,10.4,10.4,12554100
2020-12-14,10.5,10.7,10.3,10.4,10.4,4890900
2020-12-15,10.4,10.5,10.0,10.2,10.2,2794500
2020-12-16,10.3,10.6,10.1,10.3,10.3,3209700
2020-12-17,10.4,10.7,10.2,10.4,10.4,8289900
2020-12-18,10.4,10.9,10.1,10.7,10.7,10344200
2020-12-21,9.8,10.2,9.65,9.75,9.75,17682500
2020-12-22,9.7,9.95,9.45,9.9,9.9,4731100
2020-12-23,10.0,10.5,9.95,10.2,10.2,8368700
2020-12-24,11.0,11.2,10.5,10.8,10.8,20547700
2020-12-25,10.8,11.2,10.7,10.9,10.9,10696600
2020-12-28,10.9,11.6,10.7,10.9,10.9,11764100
2020-12-29,10.9,11.2,10.6,10.9,10.9,7555800
2020-12-30,11.0,11.0,10.5,10.7,10.7,11083400
2021-01-04,10.3,10.7,10.1,10.4,10.4,4792400
2021-01-05,10.5,10.7,10.2,10.5,10.5,2985900
2021-01-06,10.5,10.5,10.1,10.2,10.2,3990700
2021-01-07,10.3,10.4,10.1,10.3,10.3,2667900
2021-01-08,10.5,10.6,10.3,10.4,10.4,2937300
2021-01-11,10.3,10.4,10.2,10.2,10.2,2273200
2021-01-12,10.3,10.5,10.2,10.4,10.4,2066700
2021-01-13,10.5,10.6,10.2,10.4,10.4,2696600
2021-01-14,10.4,10.4,10.2,10.3,10.3,1349200
2021-01-15,10.3,10.3,10.1,10.2,10.2,1854100
2021-01-18,10.2,10.2,10.1,10.1,10.1,1340700
2021-01-19,10.1,10.5,10.0,10.2,10.2,6016300
2021-01-20,10.3,10.5,10.2,10.4,10.4,3084600
2021-01-21,10.5,10.6,10.2,10.2,10.2,4206200
2021-01-22,10.2,10.3,10.1,10.1,10.1,1607500
2021-01-25,10.1,10.2,10.0,10.2,10.2,1234200
2021-01-26,10.2,10.3,10.1,10.3,10.3,1222200
2021-01-27,10.4,10.5,10.3,10.3,10.3,2259300
2021-01-28,10.2,10.3,10.1,10.2,10.2,2074000
2021-01-29,10.2,10.2,9.95,10.0,10.0,3006100
2021-02-01,10.0,10.2,9.95,10.2,10.2,1505800
