Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,9.7,9.9,9.5,9.5,9.5,2872800
2021-01-11,9.5,9.65,9.35,9.4,9.4,1898600
2021-01-12,9.45,9.7,9.4,9.6,9.6,2861800
2021-01-13,9.6,10.6,9.6,10.6,10.6,12750100
2021-01-14,10.9,11.0,10.4,10.5,10.5,13440600
2021-01-15,10.6,10.7,10.4,10.6,10.6,4021600
2021-01-18,10.7,11.2,10.7,11.1,11.1,15277600
2021-01-19,11.4,11.4,11.1,11.1,11.1,7334700
2021-01-20,11.0,11.2,10.8,10.9,10.9,3938500
2021-01-21,10.9,10.9,10.5,10.5,10.5,3088500
2021-01-22,10.4,10.4,9.95,10.0,10.0,6279000
2021-01-25,9.9,10.0,9.8,10.0,10.0,2146700
2021-01-26,9.9,10.0,9.8,9.8,9.8,4123900
2021-01-27,9.8,10.4,9.65,10.3,10.3,6000900
2021-01-28,10.1,10.8,10.1,10.4,10.4,7055300
2021-01-29,10.6,11.1,10.5,10.9,10.9,13293800
2021-02-01,11.1,11.2,10.7,10.7,10.7,9622000
2021-02-02,10.8,11.8,10.6,11.7,11.7,20894200
2021-02-03,11.9,12.2,11.5,11.5,11.5,16949700
2021-02-04,11.7,11.9,11.3,11.6,11.6,7176600
2021-02-05,11.7,11.7,11.4,11.4,11.4,3513000
2021-02-08,11.5,11.6,10.9,11.1,11.1,7054800
2021-02-09,11.1,11.4,10.9,11.2,11.2,4951000
2021-02-10,11.2,11.8,11.2,11.8,11.8,11256200
2021-02-11,11.7,11.8,11.4,11.5,11.5,4454000
2021-02-15,11.6,11.6,11.2,11.3,11.3,3058000
2021-02-16,11.4,11.6,11.2,11.5,11.5,2988100
2021-02-17,11.5,11.8,11.3,11.3,11.3,7492600
2021-02-18,11.3,11.4,10.6,10.9,10.9,7624200
2021-02-19,10.8,11.0,10.6,11.0,11.0,3178400
2021-02-22,11.1,11.1,10.5,10.6,10.6,5083100
2021-02-23,10.6,10.9,10.5,10.8,10.8,1790300
2021-02-24,10.7,11.0,10.7,10.8,10.8,1025800
2021-02-25,10.9,11.1,10.7,10.7,10.7,4160400
2021-03-01,10.6,10.6,10.0,10.1,10.1,4872400
2021-03-02,10.1,10.2,9.9,9.95,9.95,6489600
2021-03-03,9.95,10.2,9.95,10.2,10.2,3531700
2021-03-04,10.2,10.3,10.0,10.1,10.1,3489800
2021-03-05,10.2,10.2,9.95,9.95,9.95,3164900
2021-03-08,10.1,10.2,9.9,9.9,9.9,3757000
2021-03-09,9.95,10.2,9.95,10.0,10.0,5825600
2021-03-10,9.95,10.2,9.95,9.95,9.95,5522900
2021-03-11,10.0,10.7,10.0,10.5,10.5,17601400
2021-03-12,10.5,10.5,9.95,10.0,10.0,17767000
2021-03-15,10.0,10.2,10.0,10.1,10.1,4753400
2021-03-16,10.1,10.2,10.0,10.0,10.0,2219000
2021-03-17,10.1,10.6,10.1,10.4,10.4,13254600
2021-03-18,10.9,11.2,10.8,11.2,11.2,23720000
2021-03-19,11.0,11.3,10.9,10.9,10.9,10748200
2021-03-22,10.9,11.0,10.5,10.8,10.8,5864100
2021-03-23,10.8,11.0,10.6,11.0,11.0,4876500
2021-03-24,10.9,11.6,10.8,11.5,11.5,21529700
2021-03-25,11.7,11.8,11.1,11.1,11.1,13156600
2021-03-26,11.3,11.3,10.8,10.8,10.8,7376000
2021-03-29,11.0,11.0,10.7,10.8,10.8,3958900
2021-03-30,10.9,11.2,10.8,11.0,11.0,4081000
2021-03-31,11.1,11.1,10.9,11.0,11.0,2158000
2021-04-01,11.1,11.3,11.0,11.1,11.1,2826900
2021-04-02,11.1,11.2,11.0,11.0,11.0,1726700
2021-04-05,11.0,11.1,10.6,10.7,10.7,4835100
2021-04-07,10.5,10.6,10.2,10.2,10.2,4639100
2021-04-08,10.2,10.5,10.2,10.2,10.2,5722200
2021-04-09,10.2,10.4,10.2,10.2,10.2,2481700
2021-04-12,10.2,10.3,10.0,10.1,10.1,2701900
2021-04-16,10.0,10.1,9.7,9.95,9.95,4888100
2021-04-19,10.2,10.3,10.0,10.3,10.3,3957400
2021-04-20,10.1,10.2,10.0,10.1,10.1,2519000
2021-04-21,10.2,10.4,10.1,10.3,10.3,3002900
2021-04-22,10.3,10.4,10.1,10.1,10.1,1772700
2021-04-23,10.1,10.2,9.9,9.9,9.9,3098600
2021-04-26,9.95,10.1,9.9,9.95,9.95,4190700
2021-04-27,10.0,10.2,9.95,10.0,10.0,2215700
2021-04-28,10.0,10.3,10.0,10.1,10.1,2683000
2021-04-29,10.1,10.3,10.1,10.2,10.2,1725400
2021-04-30,10.2,10.3,10.1,10.2,10.2,2112500
2021-05-05,10.2,10.2,9.7,9.9,9.9,5303300
2021-05-06,9.9,10.1,9.8,9.95,9.95,2635500
2021-05-07,10.0,10.1,9.85,9.95,9.95,2055800
2021-05-10,9.95,10.2,9.85,10.0,10.0,3022100
2021-05-11,9.95,10.1,9.85,9.9,9.9,3065000
2021-05-12,9.85,10.1,9.85,10.0,10.0,2188600
2021-05-13,9.9,10.0,9.2,9.75,9.75,3808100
2021-05-14,9.8,9.9,9.65,9.7,9.7,1269300
2021-05-17,9.75,10.6,9.7,10.6,10.6,12993100
2021-05-18,10.7,10.7,10.3,10.4,10.4,5827000
2021-05-19,10.5,10.5,10.1,10.2,10.2,4257600
2021-05-20,10.4,11.0,10.1,10.2,10.2,24822400
2021-05-21,10.4,10.5,10.2,10.2,10.2,4609300
2021-05-24,10.3,10.6,10.2,10.3,10.3,5161600
2021-05-25,10.4,11.2,10.4,11.0,11.0,19683200
2021-05-27,10.9,11.0,10.5,10.7,10.7,11141000
2021-05-28,10.7,11.0,10.6,10.7,10.7,5190200
2021-05-31,10.7,11.2,10.7,10.8,10.8,9683900
2021-06-01,10.8,10.9,10.7,10.7,10.7,3220800
2021-06-02,10.7,10.7,10.3,10.5,10.5,6497400
2021-06-04,10.5,10.8,10.5,10.6,10.6,2707300
2021-06-07,10.7,10.9,10.6,10.7,10.7,4138500
2021-06-08,10.7,10.8,10.5,10.6,10.6,1723300
2021-06-09,10.6,10.8,10.6,10.6,10.6,1715700
2021-06-10,10.7,10.9,10.5,10.6,10.6,3467200
2021-06-11,10.6,10.8,10.6,10.7,10.7,1352900
2021-06-14,10.7,10.8,10.4,10.6,10.6,3564500
2021-06-15,10.6,10.7,10.4,10.5,10.5,3429700
2021-06-16,10.5,10.5,10.3,10.4,10.4,2014500
2021-06-17,10.3,10.4,10.2,10.4,10.4,2493900
2021-06-18,10.4,10.4,10.2,10.3,10.3,1512200
2021-06-21,10.1,10.3,9.95,10.1,10.1,4447500
2021-06-22,10.1,10.2,10.0,10.1,10.1,2528500
2021-06-23,10.1,10.3,10.0,10.1,10.1,1500900
2021-06-24,10.1,10.2,9.9,10.1,10.1,2283600
2021-06-25,10.1,10.2,9.85,9.9,9.9,4632100
2021-06-28,9.8,9.95,9.75,9.9,9.9,1357900
2021-06-29,9.85,10.1,9.85,10.0,10.0,1398800
2021-06-30,10.0,10.2,9.95,10.0,10.0,1560900
2021-07-01,10.1,10.2,10.0,10.0,10.0,999500
2021-07-02,10.1,10.4,10.0,10.1,10.1,5782000
2021-07-05,10.1,10.2,10.0,10.0,10.0,809300
2021-07-06,10.0,10.2,10.0,10.1,10.1,1655500
2021-07-07,10.1,10.1,9.95,10.0,10.0,1216700
2021-07-08,9.85,9.9,9.55,9.55,9.55,5041400
2021-07-09,9.45,9.7,9.4,9.7,9.7,2261300
2021-07-12,9.75,9.8,9.6,9.6,9.6,974900
2021-07-13,9.6,9.85,9.6,9.85,9.85,899600
2021-07-14,9.8,10.1,9.7,10.1,10.1,1969700
2021-07-15,10.1,10.2,10.0,10.1,10.1,1587300
2021-07-16,10.1,10.2,10.0,10.0,10.0,1053200
2021-07-19,9.95,10.2,9.9,10.0,10.0,2232000
2021-07-20,9.9,10.0,9.8,9.85,9.85,2028700
2021-07-21,9.85,9.9,9.8,9.85,9.85,919500
2021-07-22,9.9,9.95,9.8,9.8,9.8,684500
2021-07-23,9.8,9.9,9.75,9.75,9.75,836200
2021-07-27,9.8,9.9,9.75,9.75,9.75,470200
2021-07-29,9.75,9.8,9.6,9.6,9.6,1384900
2021-07-30,9.6,9.95,9.5,9.7,9.7,2453900
2021-08-02,9.55,9.7,9.55,9.65,9.65,768600
2021-08-03,9.65,9.9,9.65,9.9,9.9,1183400
2021-08-04,9.9,9.9,9.75,9.75,9.75,928800
2021-08-05,9.8,9.85,9.65,9.65,9.65,1228000
2021-08-06,9.65,9.8,9.55,9.55,9.55,1873300
2021-08-09,9.65,9.7,9.6,9.6,9.6,963000
2021-08-10,9.6,9.65,9.55,9.6,9.6,755800
2021-08-11,9.6,9.65,9.5,9.5,9.5,1275700
2021-08-13,9.5,9.6,9.3,9.35,9.35,1269700
2021-08-16,9.3,9.35,9.05,9.2,9.2,2646500
2021-08-17,9.15,9.3,9.15,9.25,9.25,870900
2021-08-18,9.25,9.35,9.2,9.35,9.35,564000
2021-08-19,9.35,9.5,9.35,9.45,9.45,1129300
2021-08-20,9.4,9.55,9.35,9.45,9.45,1118300
2021-08-23,9.45,9.65,9.45,9.55,9.55,3085400
2021-08-24,9.55,9.65,9.55,9.6,9.6,1245800
2021-08-25,9.6,9.7,9.55,9.55,9.55,1678700
2021-08-26,9.5,9.5,9.35,9.5,9.5,1547800
2021-08-27,9.4,9.55,9.4,9.45,9.45,2434000
2021-08-30,9.5,9.8,9.4,9.75,9.75,4606000
2021-08-31,9.75,10.0,9.7,9.9,9.9,6142200
2021-09-01,9.9,9.9,9.6,9.75,9.75,3060300
2021-09-02,9.75,9.8,9.55,9.7,9.7,2084800
2021-09-03,9.65,9.75,9.6,9.7,9.7,1234300
2021-09-06,9.7,9.7,9.55,9.55,9.55,2919700
2021-09-07,9.55,9.65,9.45,9.55,9.55,1486500
2021-09-08,9.6,9.6,9.45,9.55,9.55,962700
2021-09-09,9.5,9.6,9.5,9.55,9.55,918100
2021-09-10,9.55,9.55,9.4,9.5,9.5,1176700
2021-09-13,9.45,9.55,9.4,9.45,9.45,1453700
2021-09-14,9.55,9.8,9.45,9.7,9.7,4776200
2021-09-15,9.75,9.75,9.5,9.55,9.55,2217100
2021-09-16,9.55,9.7,9.5,9.6,9.6,2790400
2021-09-17,9.6,9.65,9.5,9.5,9.5,2157400
2021-09-20,9.5,9.55,9.45,9.45,9.45,794900
2021-09-21,9.4,9.4,9.25,9.4,9.4,2458600
2021-09-22,9.5,9.65,9.4,9.6,9.6,1941800
2021-09-23,9.65,9.65,9.4,9.45,9.45,1762900
2021-09-27,9.55,9.55,9.3,9.35,9.35,1560200
2021-09-28,9.4,9.4,9.3,9.3,9.3,696200
2021-09-29,9.3,9.4,9.3,9.35,9.35,635700
2021-09-30,9.3,9.4,9.25,9.3,9.3,522000
2021-10-01,9.3,9.3,9.2,9.25,9.25,909700
2021-10-04,9.25,9.3,9.25,9.25,9.25,626400
2021-10-05,9.25,9.35,9.2,9.3,9.3,597700
2021-10-06,9.35,9.35,9.25,9.3,9.3,1053500
2021-10-07,9.35,9.35,9.25,9.35,9.35,757500
2021-10-08,9.3,9.5,9.3,9.4,9.4,731100
2021-10-11,9.4,9.45,9.3,9.4,9.4,762800
2021-10-12,9.4,9.4,9.3,9.4,9.4,449700
2021-10-14,9.4,9.5,9.4,9.4,9.4,1109600
2021-10-15,9.4,9.5,9.35,9.35,9.35,1046200
2021-10-18,9.4,9.4,9.3,9.35,9.35,934300
2021-10-19,9.3,9.35,9.3,9.35,9.35,558800
2021-10-20,9.3,9.35,9.25,9.35,9.35,1174600
2021-10-21,9.3,9.35,9.2,9.2,9.2,2307400
2021-10-25,9.25,9.3,9.25,9.25,9.25,476300
2021-10-26,9.25,9.3,9.2,9.25,9.25,482100
2021-10-27,9.25,9.3,9.2,9.25,9.25,421400
2021-10-28,9.25,9.25,9.1,9.25,9.25,1729000
2021-10-29,9.25,9.25,9.15,9.2,9.2,353700
2021-11-01,9.25,9.25,9.1,9.15,9.15,848200
2021-11-02,9.2,9.2,9.05,9.05,9.05,1135700
2021-11-03,9.15,9.15,9.05,9.05,9.05,634600
2021-11-04,9.05,9.15,9.05,9.1,9.1,986400
2021-11-05,9.1,9.2,9.1,9.2,9.2,236900
2021-11-08,9.2,9.2,9.05,9.15,9.15,739800
2021-11-09,9.1,9.15,9.1,9.1,9.1,424000
2021-11-10,9.1,9.3,9.1,9.25,9.25,1096700
2021-11-11,9.3,9.3,9.2,9.25,9.25,808300
2021-11-12,9.3,9.3,9.2,9.3,9.3,524700
2021-11-15,9.5,9.75,9.45,9.75,9.75,12188600
2021-11-16,9.7,10.0,9.6,9.95,9.95,9725100
2021-11-17,9.95,10.1,9.85,10.0,10.0,5495300
2021-11-18,10.0,10.2,10.0,10.0,10.0,3963600
2021-11-19,10.0,10.1,9.85,10.0,10.0,3448700
2021-11-22,10.1,10.1,9.85,9.85,9.85,3706100
2021-11-23,9.85,10.1,9.8,10.0,10.0,3348000
2021-11-24,10.1,10.1,9.9,9.95,9.95,2548500
2021-11-25,9.95,10.1,9.95,9.95,9.95,2405300
2021-11-26,9.95,10.2,9.8,9.85,9.85,5822300
2021-11-29,9.85,9.9,9.45,9.55,9.55,5105400
2021-11-30,9.8,9.85,9.1,9.15,9.15,9309900
2021-12-01,9.25,9.45,9.15,9.35,9.35,2213800
2021-12-02,9.3,9.45,9.25,9.35,9.35,1291600
2021-12-03,9.3,9.4,9.2,9.2,9.2,1616700
2021-12-07,9.2,9.4,9.15,9.4,9.4,2001100
2021-12-08,9.4,9.55,9.4,9.55,9.55,1501000
2021-12-09,9.5,9.5,9.35,9.4,9.4,1477700
2021-12-13,9.4,9.55,9.35,9.5,9.5,1359600
2021-12-14,9.5,9.9,9.5,9.75,9.75,3605900
2021-12-15,9.95,10.2,9.85,10.2,10.2,6256700
2021-12-16,10.2,10.3,10.0,10.3,10.3,4977000
2021-12-17,10.2,10.3,10.1,10.2,10.2,2086500
2021-12-20,10.4,10.9,10.2,10.2,10.2,17828600
2021-12-21,10.5,10.6,10.3,10.5,10.5,3946500
2021-12-22,10.6,10.7,10.4,10.5,10.5,2766300
2021-12-23,10.5,10.5,10.3,10.3,10.3,1662400
2021-12-24,10.3,10.4,10.2,10.3,10.3,1350900
2021-12-27,10.4,10.5,10.4,10.5,10.5,1036700
2021-12-28,10.5,10.5,10.2,10.2,10.2,1622100
2021-12-29,10.1,10.3,10.0,10.1,10.1,2135700
2021-12-30,10.2,10.4,10.1,10.3,10.3,1930900
2022-01-04,10.4,10.5,10.2,10.4,10.4,2365100
2022-01-05,10.3,10.4,10.1,10.1,10.1,4656300
2022-01-06,10.1,10.2,9.95,9.95,9.95,3360100
2022-01-07,9.85,10.1,9.8,9.95,9.95,3125000
2022-01-10,10.0,10.0,9.85,9.85,9.85,2043200
2022-01-11,9.85,10.1,9.85,10.1,10.1,2968700
2022-01-12,10.1,10.2,10.0,10.0,10.0,2701400
2022-01-13,10.0,10.1,10.0,10.1,10.1,1185100
2022-01-14,10.1,10.1,10.0,10.1,10.1,2157400
2022-01-17,10.1,10.3,10.0,10.1,10.1,2943000
2022-01-18,10.2,10.2,9.9,9.9,9.9,2948100
2022-01-19,9.9,9.9,9.55,9.6,9.6,5025200
2022-01-20,9.5,9.75,9.5,9.55,9.55,1768500
2022-01-21,9.55,9.7,9.5,9.65,9.65,1442900
2022-01-24,9.65,9.65,9.4,9.4,9.4,2072100
2022-01-25,9.35,9.5,9.25,9.4,9.4,2128100
2022-01-26,9.4,9.65,9.4,9.5,9.5,1089600
2022-01-27,9.5,9.55,9.4,9.5,9.5,1001600
