Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,19.6,19.799999,19.6,19.700001,19.700001,112800
2020-09-24,19.700001,20.0,19.5,19.9,19.9,253500
2020-09-25,19.9,19.9,19.700001,19.9,19.9,57100
2020-09-28,19.9,20.200001,19.9,20.1,20.1,227200
2020-09-29,20.0,20.1,19.700001,19.700001,19.700001,196700
2020-09-30,19.700001,19.9,19.5,19.5,19.5,144300
2020-10-01,19.700001,19.799999,19.5,19.5,19.5,141700
2020-10-02,19.6,19.700001,19.299999,19.299999,19.299999,157100
2020-10-05,19.4,19.6,19.1,19.1,19.1,140100
2020-10-06,19.200001,20.299999,19.200001,19.4,19.4,899900
2020-10-07,19.5,19.6,19.4,19.5,19.5,254500
2020-10-08,19.6,19.799999,19.6,19.6,19.6,294800
2020-10-09,19.700001,19.700001,19.5,19.6,19.6,136900
2020-10-12,19.700001,19.799999,19.6,19.6,19.6,78400
2020-10-14,19.6,19.700001,19.5,19.700001,19.700001,78400
2020-10-15,19.6,20.0,19.6,19.9,19.9,244900
2020-10-16,19.9,19.9,19.4,19.5,19.5,204100
2020-10-19,19.4,19.4,18.700001,18.799999,18.799999,408000
2020-10-20,18.799999,19.1,18.799999,18.799999,18.799999,344400
2020-10-21,19.1,19.299999,18.700001,18.9,18.9,871700
2020-10-22,19.200001,19.4,18.9,18.9,18.9,1387100
2020-10-26,19.0,19.0,18.799999,19.0,19.0,369900
2020-10-27,19.0,19.1,18.9,18.9,18.9,198100
2020-10-28,19.0,19.1,18.799999,18.9,18.9,327500
2020-10-29,18.9,19.1,18.799999,19.0,19.0,247700
2020-10-30,19.1,19.1,18.9,18.9,18.9,152400
2020-11-02,19.0,19.1,18.799999,19.0,19.0,84100
2020-11-03,19.1,19.4,19.1,19.299999,19.299999,394400
2020-11-04,19.5,19.5,19.299999,19.4,19.4,205100
2020-11-05,19.6,20.1,19.6,19.9,19.9,569100
2020-11-06,20.1,20.4,19.9,20.1,20.1,594300
2020-11-09,20.5,20.799999,20.200001,20.700001,20.700001,553000
2020-11-10,21.6,22.4,21.299999,22.0,22.0,2796700
2020-11-11,22.299999,22.700001,21.9,22.4,22.4,1694600
2020-11-12,22.299999,22.9,21.799999,22.9,22.9,750200
2020-11-13,23.0,23.200001,22.6,22.6,22.6,1466300
2020-11-16,22.9,23.1,22.700001,22.700001,22.700001,731600
2020-11-17,22.9,23.200001,22.6,22.6,22.6,1142800
2020-11-18,22.6,23.0,22.4,23.0,23.0,393200
2020-11-19,23.0,23.799999,22.9,23.700001,23.700001,1422300
2020-11-20,23.799999,24.9,23.700001,24.9,24.9,2239800
2020-11-23,25.0,26.0,25.0,26.0,26.0,1839000
2020-11-24,26.25,26.25,25.25,25.75,25.75,1569700
2020-11-25,26.0,26.5,25.5,25.75,25.75,1387800
2020-11-26,25.75,26.25,25.5,26.25,26.25,947200
2020-11-27,26.25,26.25,25.75,26.0,26.0,425000
2020-11-30,26.0,26.0,24.9,24.9,24.9,523900
2020-12-01,25.25,25.75,25.0,25.5,25.5,497100
2020-12-02,25.25,25.75,24.799999,25.0,25.0,337400
2020-12-03,25.25,25.75,25.0,25.25,25.25,291400
2020-12-04,25.5,26.0,25.25,25.5,25.5,658900
2020-12-08,25.75,27.25,25.5,26.5,26.5,1346700
2020-12-09,27.0,27.5,26.25,27.25,27.25,2004100
2020-12-14,27.75,28.0,26.5,27.75,27.75,1016000
2020-12-15,26.75,27.5,26.25,27.5,27.5,789200
2020-12-16,27.5,27.5,26.75,27.5,27.5,761800
2020-12-17,27.5,27.5,26.75,27.5,27.5,608800
2020-12-18,27.5,27.5,26.5,26.75,26.75,451600
2020-12-21,24.700001,26.0,24.5,24.6,24.6,1458800
2020-12-22,25.0,25.5,24.799999,25.0,25.0,522100
2020-12-23,25.0,25.5,24.9,25.25,25.25,314700
2020-12-24,25.25,25.75,24.9,25.75,25.75,263800
2020-12-25,27.5,33.25,27.5,33.25,33.25,22862400
2020-12-28,38.0,40.75,32.0,32.5,32.5,67769800
2020-12-29,31.75,32.5,30.25,31.5,31.5,10328500
