Date,Open,High,Low,Close,Adj Close,Volume
2022-03-16,10.5,10.5,10.5,10.5,10.5,0
2022-03-17,10.1,10.8,9.85,10.5,10.5,431499700
2022-03-18,10.7,10.8,10.1,10.1,10.1,163846100
2022-03-21,10.2,10.3,10.0,10.1,10.1,46513400
2022-03-22,10.2,10.4,10.1,10.4,10.4,28401800
2022-03-23,10.4,10.6,10.3,10.3,10.3,37554400
2022-03-24,10.3,10.5,10.1,10.4,10.4,38526600
2022-03-25,10.4,10.6,10.4,10.4,10.4,36145900
2022-03-28,10.4,10.5,10.3,10.3,10.3,22419900
2022-03-29,10.4,10.4,10.2,10.3,10.3,14960800
2022-03-30,10.3,10.3,10.2,10.3,10.3,5405200
2022-03-31,10.3,10.3,10.0,10.0,10.0,29057400
2022-04-01,9.9,10.1,9.85,10.0,10.0,25058700
2022-04-04,10.1,10.1,9.95,10.0,10.0,4038300
2022-04-05,10.1,10.2,10.0,10.1,10.1,11938500
2022-04-07,10.0,10.1,9.95,10.0,10.0,8705100
2022-04-08,10.0,10.0,9.9,10.0,10.0,7570100
2022-04-11,10.0,10.0,9.9,9.95,9.95,6614600
2022-04-12,9.95,10.4,9.9,10.4,10.4,11322400
2022-04-18,10.2,10.2,10.1,10.1,10.1,1767900
2022-04-19,10.2,10.2,9.95,9.95,9.95,3343200
2022-04-20,10.0,10.1,9.95,10.1,10.1,2038900
2022-04-21,10.0,10.1,10.0,10.0,10.0,2133800
2022-04-22,10.0,10.1,9.95,10.1,10.1,3201900
2022-04-25,10.0,10.1,9.95,9.95,9.95,2029100
2022-04-26,9.95,10.0,9.9,9.9,9.9,3192300
2022-04-27,9.9,9.95,9.7,9.8,9.8,5840400
2022-04-28,9.85,9.95,9.75,9.9,9.9,3113400
2022-04-29,9.95,9.95,9.8,9.8,9.8,1582100
2022-05-03,9.8,9.85,9.7,9.75,9.75,1556700
2022-05-05,9.8,9.8,9.65,9.65,9.65,2579500
2022-05-06,9.5,9.55,9.35,9.4,9.4,3536700
2022-05-09,9.45,9.5,9.2,9.2,9.2,2789700
2022-05-10,9.2,9.2,8.8,9.05,9.05,4492900
2022-05-11,9.1,9.15,8.65,8.7,8.7,5757100
2022-05-12,8.7,8.8,8.25,8.25,8.25,6358400
2022-05-13,8.35,8.45,8.25,8.25,8.25,2863700
2022-05-17,8.35,8.65,8.3,8.65,8.65,2760700
2022-05-18,8.65,8.75,8.55,8.75,8.75,1460900
2022-05-19,8.55,8.75,8.55,8.75,8.75,905200
2022-05-20,8.75,8.95,8.75,8.85,8.85,1543100
2022-05-23,8.95,8.95,8.6,8.65,8.65,3065913
2022-05-24,8.55,8.65,8.5,8.6,8.6,744267
2022-05-25,8.6,8.8,8.55,8.55,8.55,1196168
2022-05-26,8.55,8.7,8.5,8.5,8.5,1239324
2022-05-27,8.55,8.65,8.45,8.55,8.55,2582657
2022-05-30,8.6,8.8,8.6,8.75,8.75,1613690
2022-05-31,8.7,8.8,8.6,8.7,8.7,1212532
2022-06-01,8.75,9.0,8.7,9.0,9.0,2446896
2022-06-02,9.0,9.05,8.85,8.9,8.9,1980945
2022-06-06,8.9,8.95,8.75,8.8,8.8,882326
2022-06-07,8.8,8.85,8.75,8.75,8.75,488864
2022-06-08,8.8,8.85,8.7,8.8,8.8,745644
2022-06-09,8.8,9.1,8.8,8.85,8.85,5515829
2022-06-10,8.85,8.9,8.75,8.8,8.8,1430822
2022-06-13,8.7,8.7,8.5,8.55,8.55,2790107
2022-06-14,8.5,8.6,8.45,8.5,8.5,711504
2022-06-15,8.55,8.6,8.3,8.3,8.3,1627163
2022-06-16,8.35,8.4,8.1,8.15,8.15,2561265
2022-06-17,8.1,8.1,7.75,7.95,7.95,5165862
2022-06-20,7.95,8.0,7.8,7.8,7.8,1218212
2022-06-21,7.9,8.05,7.85,8.05,8.05,1124812
2022-06-22,8.05,8.05,7.85,7.85,7.85,833965
2022-06-23,7.85,7.85,7.8,7.85,7.85,462616
2022-06-24,7.8,7.9,7.75,7.85,7.85,382938
2022-06-27,7.85,7.95,7.85,7.9,7.9,363341
2022-06-28,7.9,8.1,7.9,8.05,8.05,1358793
2022-06-29,8.05,8.15,7.95,8.1,8.1,955559
2022-06-30,8.15,8.15,7.95,8.05,8.05,642991
2022-07-01,8.05,8.15,8.0,8.15,8.15,764805
2022-07-04,8.1,8.1,7.9,7.9,7.9,867168
2022-07-05,7.95,7.95,7.55,7.55,7.55,2247939
2022-07-06,7.6,7.65,7.5,7.55,7.55,597644
2022-07-07,7.55,7.65,7.5,7.6,7.6,703424
2022-07-08,7.65,7.75,7.6,7.6,7.6,519953
2022-07-11,7.65,7.65,7.55,7.6,7.6,218145
2022-07-12,7.6,7.65,7.55,7.6,7.6,187841
2022-07-14,7.6,7.65,7.5,7.55,7.55,442706
2022-07-15,7.5,7.55,7.4,7.45,7.45,800598
2022-07-18,7.45,7.55,7.4,7.5,7.5,336589
2022-07-19,7.5,7.55,7.35,7.45,7.45,452615
2022-07-20,7.5,7.55,7.4,7.4,7.4,880011
2022-07-21,7.45,7.45,7.15,7.3,7.3,1382793
2022-07-22,7.3,7.35,7.25,7.3,7.3,935361
2022-07-25,7.3,7.4,7.3,7.35,7.35,648451
2022-07-26,7.35,7.6,7.35,7.55,7.55,1744959
2022-07-27,7.55,7.55,7.45,7.55,7.55,821950
2022-08-01,7.55,7.65,7.4,7.5,7.5,982849
2022-08-02,7.45,7.9,7.45,7.8,7.8,2364278
2022-08-03,7.7,7.9,7.6,7.7,7.7,968927
2022-08-04,7.75,7.95,7.7,7.85,7.85,1251363
2022-08-05,7.85,7.85,7.7,7.7,7.7,225350
2022-08-08,7.7,7.7,7.5,7.5,7.5,852748
2022-08-09,7.5,7.6,7.5,7.55,7.55,333325
2022-08-10,7.4,7.55,7.4,7.45,7.45,743894
2022-08-11,7.45,7.45,7.35,7.4,7.4,615119
2022-08-15,7.4,7.7,7.35,7.7,7.7,1055057
2022-08-16,7.7,7.8,7.6,7.6,7.6,525179
2022-08-17,7.6,7.8,7.6,7.8,7.8,571806
2022-08-18,7.8,7.85,7.7,7.85,7.85,902752
2022-08-19,7.9,7.9,7.65,7.65,7.65,609226
2022-08-22,7.65,7.65,7.55,7.6,7.6,274175
2022-08-23,7.6,7.65,7.5,7.65,7.65,201689
2022-08-24,7.65,7.65,7.5,7.5,7.5,802745
2022-08-25,7.5,7.6,7.45,7.55,7.55,431717
2022-08-26,7.6,7.95,7.6,7.7,7.7,1920964
2022-08-29,7.55,7.65,7.55,7.55,7.55,434807
2022-08-30,7.6,7.65,7.4,7.4,7.4,1657830
2022-08-31,7.45,7.45,7.25,7.25,7.25,3680641
2022-09-01,7.25,7.35,7.2,7.2,7.2,1576961
2022-09-02,7.25,7.3,7.15,7.25,7.25,758122
