Date,Open,High,Low,Close,Adj Close,Volume
2021-08-19,14.2,14.3,14.1,14.1,14.1,2925300
2021-08-20,14.2,14.3,14.1,14.2,14.2,4096800
2021-08-23,14.4,14.4,14.1,14.4,14.4,7538200
2021-08-24,14.4,14.6,14.1,14.2,14.2,18416800
2021-08-25,14.2,14.7,14.2,14.7,14.7,20746900
2021-08-26,14.7,14.9,14.5,14.6,14.6,25151500
2021-08-27,14.6,14.7,14.5,14.5,14.5,8625100
2021-08-30,14.6,14.8,14.5,14.8,14.8,11890200
2021-08-31,14.7,15.1,14.7,14.8,14.8,27077700
2021-09-01,14.9,14.9,14.5,14.6,14.6,9796200
2021-09-02,14.6,14.8,14.5,14.6,14.6,10746200
2021-09-03,14.7,14.8,14.6,14.6,14.6,3473400
2021-09-06,14.6,14.8,14.4,14.4,14.4,12328900
2021-09-07,14.3,14.4,13.9,14.0,14.0,15096400
2021-09-08,14.0,14.2,13.9,14.1,14.1,8826400
2021-09-09,14.1,14.2,14.0,14.0,14.0,9805400
2021-09-10,14.1,14.2,13.9,14.1,14.1,9255700
2021-09-13,14.1,14.3,14.0,14.2,14.2,5044100
2021-09-14,14.3,14.4,14.1,14.2,14.2,6331100
2021-09-15,14.2,14.3,14.1,14.2,14.2,4692500
2021-09-16,14.2,14.3,14.1,14.2,14.2,5905100
2021-09-17,14.2,14.2,13.8,14.0,14.0,12597100
2021-09-20,14.0,14.1,13.9,13.9,13.9,6203900
2021-09-21,13.9,14.0,13.8,14.0,14.0,6690500
2021-09-22,13.9,14.0,13.8,14.0,14.0,6108100
2021-09-23,14.0,14.0,13.6,13.7,13.7,16867500
2021-09-27,13.7,14.0,13.7,13.7,13.7,8460800
2021-09-28,13.7,13.9,13.7,13.7,13.7,4680100
2021-09-29,13.7,13.9,13.7,13.7,13.7,4158700
2021-09-30,13.8,13.9,13.7,13.7,13.7,6093700
2021-10-01,13.7,13.8,13.6,13.6,13.6,5213500
2021-10-04,13.7,13.8,13.6,13.6,13.6,2348300
2021-10-05,13.7,13.8,13.6,13.8,13.8,3231100
2021-10-06,13.7,13.9,13.7,13.7,13.7,2993300
