Date,Open,High,Low,Close,Adj Close,Volume
2022-01-10,6.333337,6.333337,6.200003,6.233337,6.233337,240299
2022-01-11,6.300003,6.300003,6.16667,6.200003,6.200003,321449
2022-01-12,6.233337,6.433336,6.133336,6.36667,6.36667,1401449
2022-01-13,6.400003,6.46667,6.233337,6.400003,6.400003,1093349
2022-01-14,6.433336,6.433336,6.233337,6.400003,6.400003,1437599
2022-01-17,6.36667,6.400003,6.300003,6.333337,6.333337,151199
2022-01-18,6.400003,6.400003,6.233337,6.26667,6.26667,555149
2022-01-19,6.26667,6.26667,6.100003,6.16667,6.16667,464549
2022-01-20,6.16667,6.16667,6.033336,6.100003,6.100003,591449
2022-01-21,6.100003,6.100003,5.96667,6.06667,6.06667,432749
2022-01-24,6.16667,6.16667,5.900003,5.900003,5.900003,704399
2022-01-25,5.900003,5.900003,5.56667,5.700003,5.700003,1559099
2022-01-26,5.66667,5.833336,5.66667,5.700003,5.700003,269699
2022-01-27,5.66667,5.66667,5.433336,5.600003,5.600003,855599
2022-01-28,5.56667,5.733336,5.56667,5.600003,5.600003,287249
2022-01-31,5.800003,5.800003,5.56667,5.600003,5.600003,289349
2022-02-01,5.66667,5.766669,5.633336,5.733336,5.733336,166199
2022-02-02,5.86667,5.933336,5.800003,5.833336,5.833336,429299
2022-02-03,5.833336,5.86667,5.766669,5.800003,5.800003,169799
2022-02-04,5.733336,5.833336,5.733336,5.800003,5.800003,146099
2022-02-07,5.766669,5.766669,5.66667,5.700003,5.700003,235499
2022-02-08,5.66667,5.700003,5.600003,5.633336,5.633336,179099
2022-02-09,5.600003,5.633336,5.500003,5.500003,5.500003,707399
2022-02-10,5.533336,5.633336,5.533336,5.56667,5.56667,438149
2022-02-11,5.56667,5.56667,5.500003,5.500003,5.500003,154199
2022-02-14,5.56667,5.56667,5.433336,5.433336,5.433336,449249
2022-02-15,5.500003,5.533336,5.400003,5.466669,5.466669,370499
2022-02-17,5.433336,5.533336,5.433336,5.466669,5.466669,282749
2022-02-18,5.466669,5.500003,5.400003,5.500003,5.500003,346499
2022-02-21,5.500003,5.66667,5.466669,5.500003,5.500003,609899
2022-02-22,5.500003,5.500003,5.333336,5.433336,5.433336,308099
2022-02-23,5.500003,5.700003,5.466669,5.600003,5.600003,839999
2022-02-24,6.600003,6.800003,6.000003,6.16667,6.16667,22488138
2022-02-25,6.36667,6.46667,6.233337,6.26667,6.26667,3527248
2022-02-28,6.26667,6.36667,6.233337,6.300003,6.300003,1242299
2022-03-01,6.333337,6.500003,6.333337,6.433336,6.433336,2532448
2022-03-02,6.46667,6.500003,6.26667,6.333337,6.333337,2264098
2022-03-03,6.333337,6.36667,6.333337,6.333337,6.333337,1069349
2022-03-04,6.333337,6.400003,6.26667,6.300003,6.300003,1998749
2022-03-07,6.300003,6.333337,6.033336,6.133336,6.133336,2435398
2022-03-08,6.100003,6.200003,5.833336,6.06667,6.06667,2094298
2022-03-09,6.16667,6.36667,6.100003,6.233337,6.233337,2215048
2022-03-10,6.300003,6.433336,6.26667,6.300003,6.300003,2057548
2022-03-11,6.233337,6.36667,6.233337,6.300003,6.300003,1112849
2022-03-14,6.300003,6.333337,6.16667,6.233337,6.233337,1300049
2022-03-15,6.300003,6.36667,6.200003,6.233337,6.233337,1410449
2022-03-16,6.26667,6.36667,6.200003,6.300003,6.300003,1364549
2022-03-17,6.333337,6.36667,6.300003,6.36667,6.36667,1069949
2022-03-18,6.400003,6.46667,6.300003,6.433336,6.433336,1817399
2022-03-21,6.46667,6.800003,6.433336,6.600003,6.600003,8146195
