Date,Open,High,Low,Close,Adj Close,Volume
2022-01-26,2.16,2.2,2.16,2.2,2.2,1109700
2022-01-27,2.18,2.18,2.1,2.14,2.14,3641200
2022-01-28,2.14,2.18,2.14,2.16,2.16,2575500
2022-01-31,2.16,2.2,2.12,2.2,2.2,1142500
2022-02-01,2.22,2.26,2.2,2.24,2.24,1780700
2022-02-02,2.26,2.26,2.18,2.24,2.24,798200
2022-02-03,2.24,2.24,2.2,2.22,2.22,529400
2022-02-04,2.22,2.24,2.18,2.24,2.24,2002300
2022-02-07,2.26,2.26,2.2,2.22,2.22,2027000
2022-02-08,2.24,2.24,2.2,2.24,2.24,1196600
2022-02-09,2.24,2.24,2.18,2.2,2.2,1039100
2022-02-10,2.2,2.2,2.14,2.16,2.16,1757300
2022-02-11,2.16,2.18,2.12,2.14,2.14,1268000
2022-02-14,2.1,2.14,2.1,2.14,2.14,1504100
2022-02-15,2.14,2.18,2.1,2.16,2.16,991300
2022-02-17,2.18,2.24,2.16,2.2,2.2,4716200
2022-02-18,2.2,2.2,2.16,2.16,2.16,2038800
2022-02-21,2.18,2.2,2.14,2.16,2.16,1197200
2022-02-22,2.14,2.16,2.1,2.14,2.14,1904800
2022-02-23,2.16,2.18,2.14,2.18,2.18,616600
2022-02-24,2.18,2.18,2.02,2.04,2.04,5448200
2022-02-25,2.04,2.12,2.04,2.1,2.1,2137900
2022-02-28,2.12,2.12,2.06,2.1,2.1,1899900
2022-03-01,2.1,2.14,2.1,2.12,2.12,1000100
2022-03-02,2.14,2.14,2.08,2.12,2.12,1963000
2022-03-03,2.14,2.14,2.06,2.14,2.14,2652400
2022-03-04,2.08,2.2,2.08,2.1,2.1,5008800
2022-03-07,2.1,2.1,1.99,1.99,1.99,4737300
2022-03-08,1.96,1.99,1.86,1.92,1.92,6165800
2022-03-09,1.94,1.99,1.91,1.99,1.99,1392000
2022-03-10,2.04,2.04,1.99,2.02,2.02,1671200
2022-03-11,1.99,2.04,1.97,2.04,2.04,2122200
