Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2.68,2.68,2.68,2.68,2.68,0
2020-01-03,2.68,2.68,2.66,2.66,2.66,0
2020-01-06,2.66,2.66,2.62,2.62,2.62,0
2020-01-07,2.66,2.7,2.66,2.68,2.68,0
2020-01-08,2.64,2.68,2.62,2.62,2.62,0
2020-01-09,2.64,2.64,2.6,2.62,2.62,0
2020-01-10,2.62,2.62,2.58,2.6,2.6,0
2020-01-13,2.6,2.6,2.58,2.6,2.6,0
2020-01-14,2.6,2.6,2.56,2.56,2.56,0
2020-01-15,2.62,2.62,2.52,2.56,2.56,0
2020-01-16,2.56,2.56,2.5,2.52,2.52,0
2020-01-17,2.54,2.54,2.48,2.54,2.54,0
2020-01-20,2.56,2.56,2.52,2.54,2.54,0
2020-01-21,2.56,2.6,2.52,2.52,2.52,0
2020-01-22,2.54,2.54,2.52,2.52,2.52,0
2020-01-23,2.52,2.56,2.52,2.56,2.56,0
2020-01-24,2.54,2.56,2.5,2.52,2.52,0
2020-01-27,2.5,2.6,2.42,2.6,2.6,0
2020-01-28,2.5,2.56,2.5,2.5,2.5,0
2020-01-29,2.52,2.52,2.46,2.5,2.5,0
2020-01-30,2.46,2.5,2.46,2.48,2.48,0
2020-01-31,2.46,2.48,2.46,2.48,2.48,0
2020-02-03,2.46,2.46,2.44,2.46,2.46,0
2020-02-04,2.48,2.5,2.44,2.48,2.48,0
2020-02-05,2.48,2.5,2.48,2.48,2.48,0
2020-02-06,2.48,2.48,2.4,2.44,2.44,0
2020-02-07,2.44,2.44,2.42,2.44,2.44,0
2020-02-11,2.42,2.44,1.72,2.42,2.42,0
2020-02-12,2.42,2.42,2.36,2.42,2.42,0
2020-02-13,2.42,2.62,2.38,2.6,2.6,0
2020-02-14,2.5,2.6,2.38,2.4,2.4,0
2020-02-17,2.4,2.4,2.36,2.36,2.36,0
2020-02-18,2.36,2.36,2.32,2.36,2.36,0
2020-02-19,2.32,2.48,2.2800000000000002,2.32,2.32,0
2020-02-20,2.34,2.4,2.3,2.4,2.4,0
2020-02-21,2.38,2.5,2.3,2.44,2.44,0
2020-02-24,2.44,2.5,2.32,2.32,2.32,0
2020-02-25,2.26,2.4,2.26,2.38,2.38,0
2020-02-26,2.44,2.48,2.26,2.26,2.26,0
2020-02-27,2.2800000000000002,2.3,2.2800000000000002,2.3,2.3,0
2020-02-28,2.16,2.32,2.16,2.3,2.3,0
2020-03-02,2.12,2.2800000000000002,2.1,2.1,2.1,0
2020-03-03,2.08,2.3,2.08,2.14,2.14,0
2020-03-04,2.16,2.16,2.12,2.14,2.14,0
2020-03-05,2.18,2.32,2.18,2.18,2.18,0
2020-03-06,2.22,2.22,2.14,2.22,2.22,0
2020-03-09,2.16,2.2,2.12,2.2,2.2,0
2020-03-10,2.18,2.22,2.16,2.2,2.2,0
2020-03-11,2.16,2.2,2.12,2.14,2.14,0
2020-03-12,2.12,2.14,1.9100000000000001,2.0,2.0,0
2020-03-13,1.8,2.14,1.4,2.0,2.0,0
