Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,1.04,1.06,1.03,1.03,1.03,45715400
2020-09-25,1.03,1.04,1.02,1.03,1.03,14763400
2020-09-28,1.03,1.04,1.0,1.03,1.03,16566700
2020-09-29,1.03,1.03,1.0,1.0,1.0,9820700
2020-09-30,1.01,1.01,0.99,0.99,0.99,10092600
2020-10-01,0.99,1.0,0.99,1.0,1.0,3647000
2020-10-02,1.0,1.0,0.98,1.0,1.0,9472400
2020-10-05,1.0,1.0,0.98,0.99,0.99,6158700
2020-10-06,0.99,1.0,0.99,1.0,1.0,2136100
2020-10-07,1.0,1.0,0.97,0.98,0.98,14840500
2020-10-08,0.98,0.99,0.97,0.98,0.98,4928700
2020-10-09,0.97,0.98,0.97,0.97,0.97,5449300
2020-10-12,0.98,0.98,0.97,0.98,0.98,2120000
2020-10-14,0.98,0.99,0.97,0.97,0.97,3699300
2020-10-15,0.97,0.98,0.96,0.96,0.96,4382900
2020-10-16,0.97,0.97,0.95,0.96,0.96,3892900
2020-10-19,0.96,0.96,0.91,0.94,0.94,20821000
2020-10-20,0.93,0.95,0.92,0.95,0.95,16506800
2020-10-21,0.95,0.96,0.93,0.95,0.95,8020700
2020-10-22,0.95,0.98,0.94,0.98,0.98,16477300
2020-10-26,0.98,1.05,0.96,0.99,0.99,28156500
2020-10-27,0.99,1.0,0.97,1.0,1.0,6004600
2020-10-28,1.0,1.0,0.99,0.99,0.99,2404700
2020-10-29,0.99,1.0,0.98,0.99,0.99,2528400
2020-10-30,0.99,1.0,0.97,0.97,0.97,7061400
2020-11-02,0.97,0.99,0.97,0.98,0.98,4129500
2020-11-03,0.99,1.0,0.99,1.0,1.0,2613900
2020-11-04,1.0,1.0,0.99,0.99,0.99,2536900
2020-11-05,0.99,1.02,0.99,1.01,1.01,13242300
2020-11-06,1.01,1.01,1.0,1.0,1.0,4759400
2020-11-09,1.01,1.02,1.0,1.01,1.01,2757700
2020-11-10,1.03,1.04,1.01,1.03,1.03,14235300
2020-11-11,1.03,1.04,1.02,1.03,1.03,7722100
2020-11-12,1.03,1.03,1.01,1.02,1.02,6152200
2020-11-13,1.02,1.02,1.0,1.01,1.01,11312100
2020-11-16,1.02,1.02,1.0,1.02,1.02,6390500
2020-11-17,1.02,1.06,1.01,1.02,1.02,44112300
2020-11-18,1.02,1.03,1.01,1.02,1.02,6409400
2020-11-19,1.02,1.03,1.01,1.02,1.02,9301800
2020-11-20,1.03,1.03,1.01,1.03,1.03,16277500
2020-11-23,1.04,1.07,1.02,1.06,1.06,32400200
2020-11-24,1.06,1.06,1.02,1.02,1.02,23211100
2020-11-25,1.03,1.05,1.02,1.04,1.04,9561400
2020-11-26,1.04,1.04,1.02,1.04,1.04,7959800
