Date,Open,High,Low,Close,Adj Close,Volume
2022-05-09,5.55,5.6,5.25,5.35,5.35,344900
2022-05-10,5.3,5.45,5.15,5.45,5.45,372500
2022-05-11,5.4,5.4,5.3,5.35,5.35,97800
2022-05-12,5.35,5.95,5.35,5.8,5.8,3978000
2022-05-13,6.1,6.15,5.75,5.75,5.75,1856600
2022-05-17,5.9,5.95,5.8,5.95,5.95,1395900
2022-05-18,6.05,6.1,5.9,5.95,5.95,1541200
2022-05-19,5.7,5.9,5.7,5.85,5.85,824200
2022-05-20,5.8,5.85,5.75,5.85,5.85,522200
2022-05-23,5.85,5.9,5.7,5.75,5.75,811532
2022-05-24,5.75,5.8,5.5,5.65,5.65,1189927
2022-05-25,5.85,6.2,5.85,6.15,6.15,5490240
2022-05-26,6.35,6.5,6.2,6.2,6.2,4354294
2022-05-27,6.35,6.35,6.1,6.1,6.1,1004865
2022-05-30,6.2,6.35,6.15,6.2,6.2,792410
2022-05-31,6.25,6.3,6.2,6.25,6.25,577010
2022-06-01,6.25,6.3,6.15,6.2,6.2,732200
2022-06-02,6.25,6.4,6.15,6.2,6.2,1324108
2022-06-06,6.15,6.4,6.15,6.4,6.4,1130020
2022-06-07,6.35,6.45,6.3,6.35,6.35,554508
2022-06-08,6.35,6.45,6.15,6.25,6.25,1749000
2022-06-09,6.3,6.3,6.1,6.15,6.15,1632418
2022-06-10,6.15,6.25,6.1,6.15,6.15,659700
2022-06-13,6.05,6.15,5.85,6.15,6.15,1297605
2022-06-14,6.15,6.2,6.0,6.05,6.05,1151680
2022-06-15,6.1,6.2,6.1,6.1,6.1,992130
2022-06-16,6.1,6.3,5.75,5.8,5.8,2989601
2022-06-17,5.65,5.85,5.5,5.75,5.75,1052800
2022-06-20,5.65,5.7,5.55,5.65,5.65,439060
2022-06-21,5.6,5.7,5.4,5.6,5.6,1266302
2022-06-22,5.55,5.65,5.4,5.5,5.5,505500
2022-06-23,5.45,5.55,5.2,5.35,5.35,2163600
2022-06-24,5.35,5.55,5.35,5.4,5.4,558501
2022-06-27,5.65,5.95,5.6,5.8,5.8,1548639
2022-06-28,5.95,5.95,5.7,5.85,5.85,1327520
2022-06-29,5.75,5.8,5.7,5.75,5.75,693512
2022-06-30,5.75,5.8,5.55,5.55,5.55,528806
2022-07-01,5.55,5.7,5.55,5.7,5.7,306000
2022-07-04,5.85,5.85,5.3,5.3,5.3,638649
2022-07-05,5.3,5.35,5.1,5.1,5.1,981563
2022-07-06,5.05,5.3,5.0,5.15,5.15,690520
2022-07-07,5.15,5.4,5.15,5.35,5.35,292102
2022-07-08,5.35,5.4,5.3,5.3,5.3,280301
2022-07-11,5.35,5.4,5.3,5.3,5.3,288401
2022-07-12,5.35,5.5,5.2,5.2,5.2,720800
2022-07-14,5.35,5.35,5.15,5.2,5.2,103700
2022-07-15,5.25,5.25,5.05,5.25,5.25,273902
2022-07-18,5.2,5.3,5.2,5.2,5.2,260200
2022-07-19,5.2,5.2,5.0,5.05,5.05,431900
2022-07-20,5.1,5.1,5.0,5.1,5.1,281703
2022-07-21,5.05,5.25,5.05,5.15,5.15,355500
2022-07-22,5.1,5.2,5.1,5.15,5.15,255800
2022-07-25,5.1,5.15,5.05,5.15,5.15,493400
2022-07-26,5.15,5.15,5.05,5.05,5.05,151402
2022-07-27,5.1,5.25,5.05,5.2,5.2,475300
2022-08-01,5.4,5.4,5.2,5.25,5.25,797901
2022-08-02,5.3,5.35,5.2,5.25,5.25,317201
2022-08-03,5.25,5.25,5.15,5.2,5.2,168310
2022-08-04,5.25,5.35,5.25,5.25,5.25,67800
2022-08-05,5.25,5.3,5.25,5.25,5.25,53402
2022-08-08,5.3,5.3,5.2,5.2,5.2,155700
2022-08-09,5.3,5.35,5.25,5.3,5.3,171710
2022-08-10,5.35,5.5,5.2,5.45,5.45,848702
