Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,8.8,8.9,8.7,8.9,8.9,134392895
2022-06-01,8.9,8.9,8.75,8.8,8.8,24815634
2022-06-02,8.8,8.8,8.7,8.8,8.8,27323824
2022-06-06,8.8,8.8,8.6,8.7,8.7,51730384
2022-06-07,8.7,8.7,8.6,8.6,8.6,31835433
2022-06-08,8.65,8.65,8.55,8.6,8.6,30445499
2022-06-09,8.55,8.6,8.5,8.55,8.55,48001358
2022-06-10,8.65,8.65,8.5,8.5,8.5,37041691
2022-06-13,8.45,8.5,8.4,8.4,8.4,29234577
2022-06-14,8.4,8.45,8.35,8.45,8.45,30325455
2022-06-15,8.45,8.5,8.3,8.35,8.35,43056266
2022-06-16,8.4,8.4,8.2,8.2,8.2,63037624
2022-06-17,8.2,8.5,8.15,8.5,8.5,65445637
2022-06-20,8.45,8.5,8.4,8.45,8.45,12440626
2022-06-21,8.45,8.5,8.4,8.45,8.45,28679058
2022-06-22,8.45,8.5,8.3,8.35,8.35,22505261
2022-06-23,8.4,8.45,8.3,8.4,8.4,18613704
2022-06-24,8.45,8.5,8.4,8.45,8.45,20489177
2022-06-27,8.5,8.6,8.45,8.55,8.55,20620943
2022-06-28,8.55,8.7,8.5,8.7,8.7,50744556
2022-06-29,8.7,8.7,8.6,8.65,8.65,28363399
2022-06-30,8.6,8.65,8.45,8.55,8.55,38479405
2022-07-01,8.55,8.6,8.5,8.55,8.55,14016590
2022-07-04,8.6,8.6,8.4,8.5,8.5,35550929
2022-07-05,8.55,8.6,8.4,8.45,8.45,39286313
2022-07-06,8.45,8.5,8.35,8.45,8.45,27104226
2022-07-07,8.4,8.55,8.4,8.55,8.55,42919012
2022-07-08,8.55,8.65,8.5,8.65,8.65,41241315
2022-07-11,8.6,8.65,8.55,8.65,8.65,9247060
2022-07-12,8.65,8.65,8.55,8.6,8.6,16345447
2022-07-14,8.6,8.65,8.5,8.6,8.6,31184120
2022-07-15,8.65,8.65,8.45,8.6,8.6,22991097
2022-07-18,8.6,8.7,8.6,8.7,8.7,15348666
2022-07-19,8.65,8.7,8.55,8.65,8.65,20923855
2022-07-20,8.7,8.7,8.55,8.6,8.6,23400853
2022-07-21,8.6,8.7,8.6,8.65,8.65,25268369
2022-07-22,8.65,8.65,8.55,8.65,8.65,31927296
2022-07-25,8.65,8.65,8.45,8.6,8.6,24335243
2022-07-26,8.6,8.6,8.55,8.6,8.6,13279255
2022-07-27,8.6,8.6,8.5,8.6,8.6,23492931
2022-08-01,8.6,8.75,8.55,8.7,8.7,55754216
2022-08-02,8.65,8.75,8.65,8.7,8.7,33296879
2022-08-03,8.55,8.6,8.5,8.55,8.55,20927921
2022-08-04,8.55,8.6,8.55,8.6,8.6,9980301
2022-08-05,8.6,8.65,8.55,8.6,8.6,22089578
2022-08-08,8.6,8.65,8.55,8.65,8.65,15927678
2022-08-09,8.65,8.7,8.6,8.65,8.65,20722658
2022-08-10,8.65,8.7,8.6,8.7,8.7,19953300
2022-08-11,8.7,8.7,8.65,8.7,8.7,7774249
2022-08-15,8.7,8.75,8.7,8.7,8.7,10575930
2022-08-16,8.7,8.7,8.5,8.5,8.5,39377117
2022-08-17,8.5,8.55,8.3,8.45,8.45,52519497
2022-08-18,8.45,8.5,8.35,8.4,8.4,45890466
2022-08-19,8.4,8.45,8.35,8.4,8.4,22458053
2022-08-22,8.4,8.4,8.3,8.4,8.4,17271392
2022-08-23,8.35,8.45,8.35,8.4,8.4,18873053
2022-08-24,8.4,8.45,8.3,8.3,8.3,37239737
2022-08-25,8.35,8.4,8.3,8.35,8.35,19200806
2022-08-26,8.4,8.45,8.3,8.4,8.4,28956073
2022-08-29,8.3,8.35,8.25,8.35,8.35,25266796
2022-08-30,8.3,8.4,8.3,8.4,8.4,17799031
2022-08-31,8.35,8.4,8.3,8.4,8.4,37787739
2022-09-01,8.35,8.4,8.3,8.3,8.3,11823739
2022-09-02,8.3,8.6,8.25,8.6,8.6,70415757
2022-09-05,8.6,8.6,8.5,8.5,8.5,28922772
2022-09-06,8.55,8.75,8.5,8.65,8.65,82855728
2022-09-07,8.65,9.0,8.6,8.8,8.8,184516762
2022-09-08,8.8,8.85,8.65,8.65,8.65,49147917
2022-09-09,8.7,8.75,8.6,8.65,8.65,26701200
2022-09-12,8.7,8.75,8.65,8.65,8.65,15825279
2022-09-13,8.75,8.9,8.7,8.9,8.9,70060187
2022-09-14,8.8,8.9,8.75,8.85,8.85,43907325
2022-09-15,8.9,8.9,8.7,8.75,8.75,18538090
2022-09-16,8.75,8.85,8.7,8.85,8.85,61658294
2022-09-19,8.85,8.85,8.7,8.75,8.75,25659774
2022-09-20,8.8,8.8,8.65,8.7,8.7,24348525
2022-09-21,8.7,8.75,8.65,8.65,8.65,31990219
2022-09-22,8.6,8.7,8.6,8.7,8.7,26089511
2022-09-23,8.65,8.7,8.6,8.65,8.65,21930703
2022-09-26,8.7,8.7,8.5,8.65,8.65,46904190
2022-09-27,8.65,8.75,8.6,8.6,8.6,33792893
2022-09-28,8.55,8.6,8.35,8.35,8.35,45440400
2022-09-29,8.35,8.45,8.3,8.35,8.35,40323818
2022-09-30,8.35,8.4,8.3,8.3,8.3,27250151
2022-10-03,8.3,8.35,8.0,8.05,8.05,98209144
2022-10-04,8.15,8.2,8.05,8.05,8.05,37714586
2022-10-05,8.1,8.15,8.0,8.05,8.05,33494619
2022-10-06,8.05,8.1,8.0,8.0,8.0,31694268
2022-10-07,8.05,8.05,7.95,8.0,8.0,27507944
2022-10-10,7.95,8.0,7.9,7.9,7.9,36420574
2022-10-11,7.9,7.95,7.85,7.9,7.9,27298677
2022-10-12,8.0,8.0,7.9,8.0,8.0,14683250
2022-10-17,7.95,8.1,7.95,8.1,8.1,19999911
2022-10-18,8.1,8.2,8.1,8.2,8.2,28298812
2022-10-19,8.2,8.25,8.15,8.2,8.2,17489648
2022-10-20,8.2,8.2,8.1,8.15,8.15,24115680
2022-10-21,8.2,8.3,8.15,8.25,8.25,22632985
2022-10-25,8.3,8.35,8.25,8.3,8.3,20441221
2022-10-26,8.3,8.35,8.2,8.25,8.25,27285586
2022-10-27,8.25,8.3,8.2,8.3,8.3,12115131
2022-10-28,8.3,8.4,8.25,8.3,8.3,26654854
2022-10-31,8.35,8.4,8.25,8.3,8.3,15164787
2022-11-01,8.35,8.4,8.3,8.35,8.35,21037129
2022-11-02,8.35,8.4,8.3,8.35,8.35,14427985
2022-11-03,8.35,8.35,8.25,8.3,8.3,16035625
2022-11-04,8.3,8.3,8.2,8.2,8.2,26298581
2022-11-07,8.2,8.25,8.2,8.2,8.2,15904189
2022-11-08,8.25,8.35,8.2,8.35,8.35,19562465
2022-11-09,8.35,8.4,8.25,8.3,8.3,13295759
2022-11-10,8.35,8.35,8.3,8.35,8.35,6648349
2022-11-11,8.4,8.4,8.3,8.4,8.4,20013028
2022-11-14,8.35,8.4,8.3,8.35,8.35,14546289
2022-11-15,8.3,8.4,8.25,8.35,8.35,32297892
2022-11-16,8.35,8.35,8.15,8.15,8.15,23333610
2022-11-17,8.15,8.2,8.1,8.15,8.15,20218648
2022-11-18,8.15,8.2,8.05,8.1,8.1,28530414
2022-11-21,8.05,8.15,8.0,8.15,8.15,17050678
2022-11-22,8.15,8.25,8.1,8.15,8.15,12588784
2022-11-23,8.2,8.2,8.1,8.2,8.2,11498822
2022-11-24,8.2,8.25,8.1,8.15,8.15,18020572
2022-11-25,8.1,8.15,8.05,8.05,8.05,28989508
2022-11-28,8.05,8.15,8.05,8.1,8.1,11508812
2022-11-29,8.1,8.25,8.1,8.25,8.25,17920105
2022-11-30,8.25,8.4,8.25,8.4,8.4,55016767
2022-12-01,8.4,8.45,8.3,8.35,8.35,30764379
2022-12-02,8.35,8.35,8.25,8.35,8.35,17652249
2022-12-06,8.35,8.35,8.25,8.25,8.25,15475830
2022-12-07,8.25,8.35,8.25,8.3,8.3,24239307
2022-12-08,8.3,8.35,8.25,8.35,8.35,12345440
2022-12-09,8.35,8.35,8.3,8.3,8.3,5059104
2022-12-13,8.35,8.4,8.3,8.35,8.35,17553526
