Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.85793,2.883677,2.742068,2.767816,2.767816,6343389
2020-09-24,2.754942,2.754942,2.613333,2.613333,2.613333,5759401
2020-09-25,2.613333,2.754942,2.613333,2.690574,2.690574,5922371
2020-09-28,2.690574,2.754942,2.664827,2.664827,2.664827,3363016
2020-09-29,2.6777,2.690574,2.613333,2.613333,2.613333,1783655
2020-09-30,2.664827,2.690574,2.587586,2.600459,2.600459,2790836
2020-10-01,2.613333,2.651953,2.45885,2.484597,2.484597,3664875
2020-10-02,2.445976,2.613333,2.445976,2.600459,2.600459,3218534
2020-10-05,2.651953,2.651953,2.587586,2.600459,2.600459,1045553
2020-10-06,2.600459,2.626206,2.523218,2.536091,2.536091,1869102
2020-10-07,2.510344,2.613333,2.510344,2.574712,2.574712,1506653
2020-10-08,2.574712,2.780689,2.574712,2.754942,2.754942,12710547
2020-10-09,2.896551,2.896551,2.664827,2.6777,2.6777,11516317
2020-10-12,2.690574,2.742068,2.626206,2.6777,2.6777,2425591
2020-10-14,2.6777,2.716321,2.63908,2.651953,2.651953,1882618
2020-10-15,2.626206,2.729195,2.587586,2.613333,2.613333,3124698
2020-10-16,2.613333,2.63908,2.433103,2.523218,2.523218,2578929
2020-10-19,2.381609,2.407356,2.252873,2.265747,2.265747,3029154
2020-10-20,2.227126,2.317241,2.227126,2.252873,2.252873,1404273
2020-10-21,2.201379,2.227126,2.137011,2.149884,2.149884,3895581
2020-10-22,2.149884,2.162758,2.072643,2.09839,2.09839,1714832
2020-10-26,2.085517,2.317241,2.05977,2.317241,2.317241,4214529
2020-10-27,2.265747,2.291494,2.227126,2.239999,2.239999,1409400
2020-10-28,2.239999,2.355862,2.227126,2.252873,2.252873,3009423
2020-10-29,2.252873,2.265747,2.201379,2.214252,2.214252,1201221
2020-10-30,2.201379,2.252873,2.137011,2.137011,2.137011,1464707
2020-11-02,2.162758,2.162758,2.111264,2.111264,2.111264,902780
2020-11-03,2.149884,2.214252,2.149884,2.175632,2.175632,725362
2020-11-04,2.188505,2.227126,2.149884,2.188505,2.188505,1260257
2020-11-05,2.188505,2.227126,2.149884,2.162758,2.162758,1476670
2020-11-06,2.188505,2.188505,2.124137,2.124137,2.124137,861766
2020-11-09,2.137011,2.175632,2.072643,2.072643,2.072643,1321623
