Date,Open,High,Low,Close,Adj Close,Volume
2022-07-26,0.9,0.9,0.9,0.9,0.9,0.0
2022-07-27,0.93,1.04,0.93,0.95,0.95,2167355490.0
2022-08-01,0.95,0.96,0.84,0.84,0.84,260028943.0
2022-08-02,0.83,0.84,0.8,0.8,0.8,80582382.0
2022-08-03,0.81,0.82,0.77,0.82,0.82,75651623.0
2022-08-04,0.84,0.84,0.81,0.81,0.81,55583705.0
2022-08-05,0.81,0.82,0.78,0.79,0.79,29588561.0
2022-08-08,0.79,0.83,0.78,0.8,0.8,42151840.0
2022-08-09,0.8,0.83,0.79,0.81,0.81,33434074.0
2022-08-10,0.81,0.81,0.78,0.78,0.78,23097845.0
2022-08-11,0.79,0.83,0.78,0.82,0.82,41498787.0
2022-08-15,0.82,0.86,0.81,0.84,0.84,107168462.0
2022-08-16,0.8,0.82,0.79,0.8,0.8,31562384.0
2022-08-17,0.81,0.81,0.79,0.8,0.8,19121150.0
2022-08-18,0.8,0.8,0.78,0.78,0.78,14145110.0
2022-08-19,0.78,0.79,0.77,0.77,0.77,32868050.0
2022-08-22,0.78,0.81,0.77,0.77,0.77,55786640.0
2022-08-23,0.77,0.79,0.77,0.77,0.77,19418643.0
2022-08-24,0.77,0.79,0.77,0.77,0.77,9934647.0
2022-08-25,0.78,0.81,0.77,0.8,0.8,28720083.0
2022-08-26,0.81,0.81,0.79,0.79,0.79,14535664.0
2022-08-29,0.78,0.8,0.77,0.79,0.79,11767824.0
2022-08-30,0.79,0.83,0.79,0.8,0.8,29182792.0
2022-08-31,0.81,0.83,0.8,0.81,0.81,43786697.0
2022-09-01,0.81,0.82,0.8,0.8,0.8,12574703.0
2022-09-02,0.8,0.81,0.79,0.8,0.8,5537482.0
2022-09-05,0.8,0.84,0.8,0.84,0.84,25436943.0
2022-09-06,0.83,0.84,0.81,0.82,0.82,12787551.0
2022-09-07,0.81,0.91,0.81,0.89,0.89,83367160.0
2022-09-08,0.88,0.93,0.87,0.91,0.91,64294819.0
2022-09-09,0.9,0.91,0.86,0.88,0.88,35635252.0
2022-09-12,0.88,0.93,0.87,0.9,0.9,38252503.0
2022-09-13,0.91,0.92,0.89,0.89,0.89,20859587.0
2022-09-14,0.88,0.92,0.87,0.91,0.91,23317588.0
2022-09-15,0.91,0.94,0.89,0.9,0.9,35861368.0
2022-09-16,0.9,0.92,0.89,0.9,0.9,20158076.0
2022-09-19,0.9,0.92,0.89,0.9,0.9,20048905.0
2022-09-20,0.9,0.93,0.9,0.93,0.93,51178840.0
2022-09-21,0.96,1.18,0.95,1.04,1.04,596240370.0
2022-09-22,1.12,1.2,1.09,1.11,1.11,407073300.0
2022-09-23,1.12,1.18,1.1,1.11,1.11,116716087.0
2022-09-26,1.08,1.09,0.99,1.03,1.03,52017998.0
2022-09-27,1.02,1.05,0.92,0.95,0.95,37055237.0
2022-09-28,0.94,0.95,0.89,0.93,0.93,23316412.0
2022-09-29,0.93,0.96,0.9,0.91,0.91,15213438.0
2022-09-30,0.91,0.93,0.91,0.92,0.92,3923409.0
2022-10-03,0.91,0.98,0.91,0.98,0.98,14923243.0
2022-10-04,0.99,0.99,0.94,0.96,0.96,16960632.0
2022-10-05,0.96,1.01,0.96,0.99,0.99,13393679.0
2022-10-06,1.0,1.02,0.98,1.0,1.0,15499917.0
2022-10-07,1.0,1.01,0.98,1.01,1.01,8272051.0
2022-10-10,1.0,1.03,1.0,1.02,1.02,7272950.0
2022-10-11,1.02,1.05,1.01,1.03,1.03,18494382.0
2022-10-12,1.03,1.09,1.03,1.07,1.07,64101004.0
2022-10-17,1.06,1.06,0.94,0.95,0.95,65566087.0
2022-10-18,0.96,1.02,0.94,0.97,0.97,58868628.0
2022-10-19,0.98,1.0,0.95,0.96,0.96,17750580.0
2022-10-20,0.95,0.98,0.95,0.96,0.96,5365615.0
2022-10-21,0.96,0.97,0.94,0.95,0.95,6208047.0
2022-10-25,0.95,1.01,0.95,1.0,1.0,25358443.0
2022-10-26,0.98,1.02,0.98,0.99,0.99,13568613.0
2022-10-27,1.0,1.03,0.99,0.99,0.99,21114503.0
2022-10-28,0.99,0.99,0.97,0.97,0.97,10571013.0
2022-10-31,0.96,1.0,0.96,0.97,0.97,8120858.0
2022-11-01,0.97,1.02,0.97,1.02,1.02,21913239.0
2022-11-02,1.03,1.03,0.99,0.99,0.99,12270933.0
2022-11-03,0.98,0.99,0.97,0.99,0.99,7853736.0
2022-11-04,0.99,1.03,0.98,1.02,1.02,20285678.0
2022-11-07,1.02,1.06,1.01,1.05,1.05,34721477.0
2022-11-08,1.05,1.06,1.0,1.01,1.01,29893317.0
2022-11-09,1.02,1.02,0.97,0.99,0.99,13585246.0
2022-11-10,0.98,1.0,0.97,0.99,0.99,6084803.0
2022-11-11,1.0,1.01,0.98,0.98,0.98,10288589.0
2022-11-14,0.98,0.99,0.88,0.9,0.9,23566309.0
2022-11-15,0.84,0.87,0.82,0.83,0.83,31800746.0
2022-11-16,0.82,0.86,0.82,0.85,0.85,12831906.0
2022-11-17,0.85,0.88,0.84,0.87,0.87,6760409.0
2022-11-18,0.88,0.89,0.87,0.88,0.88,3913000.0
2022-11-21,0.88,0.88,0.85,0.87,0.87,2317724.0
2022-11-22,0.86,0.87,0.84,0.84,0.84,2964243.0
2022-11-23,0.84,0.86,0.83,0.84,0.84,2316610.0
2022-11-24,0.85,0.85,0.8,0.84,0.84,6775729.0
2022-11-25,0.84,0.85,0.83,0.83,0.83,1443934.0
2022-11-28,0.84,0.87,0.83,0.84,0.84,6175510.0
2022-11-29,0.85,0.87,0.84,0.85,0.85,5426563.0
2022-11-30,0.85,0.87,0.85,0.86,0.86,3054200.0
2022-12-01,0.87,0.87,0.84,0.85,0.85,3574682.0
2022-12-02,0.85,0.85,0.84,0.84,0.84,1760300.0
2022-12-06,0.83,0.85,0.82,0.82,0.82,4193901.0
2022-12-07,0.83,0.84,0.81,0.82,0.82,3942405.0
2022-12-08,0.82,0.83,0.81,0.83,0.83,802300.0
2022-12-09,0.83,0.84,0.82,0.83,0.83,1434610.0
2022-12-13,0.83,0.83,0.81,0.81,0.81,1200101.0
2022-12-14,0.82,0.84,0.82,0.83,0.83,2408000.0
2022-12-15,0.83,0.83,0.82,0.82,0.82,831600.0
2022-12-16,0.83,0.83,0.82,0.82,0.82,924100.0
2022-12-19,0.82,0.84,0.82,0.82,0.82,810800.0
2022-12-20,0.82,0.82,0.8,0.8,0.8,4033401.0
2022-12-21,0.8,0.8,0.79,0.8,0.8,3118506.0
2022-12-22,0.8,0.81,0.79,0.8,0.8,1087500.0
2022-12-23,0.8,0.81,0.79,0.8,0.8,728905.0
2022-12-26,0.8,0.81,0.79,0.8,0.8,1317923.0
2022-12-27,0.8,0.82,0.8,0.82,0.82,1043300.0
2022-12-28,0.83,0.85,0.82,0.82,0.82,6435374.0
2022-12-29,0.81,0.83,0.78,0.8,0.8,8125850.0
