Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,125.0,125.0,124.0,124.0,124.0,400
2019-03-19,130.0,130.0,129.5,129.5,129.5,200
2019-03-21,129.5,129.5,124.0,129.5,129.5,400
2019-03-27,125.0,125.5,125.0,125.5,125.5,200
2019-03-29,125.0,125.0,124.0,124.0,124.0,700
2019-04-01,124.0,124.0,121.0,124.0,124.0,700
2019-04-02,124.0,124.0,123.0,123.0,123.0,700
2019-04-03,126.0,126.0,126.0,126.0,126.0,100
2019-04-05,126.0,126.0,126.0,126.0,126.0,100
2019-04-11,124.0,124.0,124.0,124.0,124.0,200
2019-04-17,121.5,122.0,121.5,122.0,122.0,200
2019-04-18,122.0,124.0,122.0,122.5,122.5,500
2019-04-19,123.5,123.5,122.5,122.5,122.5,300
2019-04-22,122.5,123.0,122.5,123.0,123.0,300
2019-04-23,123.0,123.0,123.0,123.0,123.0,500
2019-04-24,125.0,126.0,125.0,126.0,126.0,500
2019-05-02,121.0,125.0,119.0,119.0,119.0,3900
2019-05-03,119.0,119.0,118.5,119.0,119.0,400
2019-05-07,118.0,118.5,115.0,115.0,115.0,2400
2019-05-08,115.0,115.5,114.0,114.0,114.0,1800
2019-05-09,112.0,112.0,106.5,108.5,108.5,8400
2019-05-10,106.0,108.5,106.0,106.0,106.0,4100
2019-05-13,106.0,106.5,105.0,105.0,105.0,2400
2019-05-14,104.0,104.0,103.0,103.0,103.0,2200
2019-05-15,102.5,103.0,101.5,102.0,102.0,3000
2019-05-16,102.5,102.5,99.5,99.5,99.5,2800
2019-05-17,100.0,100.5,99.5,99.5,99.5,1200
2019-05-21,99.5,104.0,99.5,103.0,103.0,1400
2019-05-22,103.0,103.5,100.5,100.5,100.5,900
2019-05-23,101.5,101.5,101.5,101.5,101.5,200
2019-05-24,102.5,102.5,101.5,101.5,101.5,300
2019-05-27,102.0,102.0,101.5,101.5,101.5,600
2019-05-29,101.5,101.5,101.5,101.5,101.5,200
2019-05-30,100.0,101.0,100.0,101.0,101.0,400
2019-06-05,100.0,100.0,100.0,100.0,100.0,200
2019-06-07,102.0,102.0,102.0,102.0,102.0,200
2019-06-10,101.5,101.5,101.5,101.5,101.5,200
2019-06-12,102.0,102.0,102.0,102.0,102.0,200
2019-06-14,101.0,102.0,101.0,102.0,102.0,600
2019-06-17,102.5,102.5,102.5,102.5,102.5,100
2019-06-18,102.0,103.0,102.0,103.0,103.0,300
2019-06-19,102.0,103.0,102.0,103.0,103.0,400
2019-06-21,101.5,101.5,101.0,101.5,101.5,700
2019-06-24,101.5,101.5,101.5,101.5,101.5,100
2019-07-01,103.0,103.0,102.0,103.0,103.0,300
2019-07-03,104.0,104.0,102.0,102.5,102.5,500
2019-07-04,102.0,102.0,102.0,102.0,102.0,200
2019-07-17,101.0,101.0,101.0,101.0,101.0,400
2019-07-18,101.0,101.0,101.0,101.0,101.0,100
2019-07-19,103.5,103.5,103.5,103.5,103.5,100
2019-07-25,102.0,102.0,102.0,102.0,102.0,200
2019-07-26,103.5,103.5,103.5,103.5,103.5,100
2019-08-07,102.0,102.0,101.0,101.0,101.0,300
2019-08-08,101.0,102.0,101.0,102.0,102.0,400
2019-08-13,100.0,100.0,99.5,99.5,99.5,1600
2019-08-15,99.5,99.5,97.0,99.0,99.0,3200
2019-08-16,99.0,99.0,98.0,98.0,98.0,1000
2019-08-19,98.0,98.0,97.0,98.0,98.0,1100
2019-08-23,98.0,98.0,97.0,97.0,97.0,500
2019-08-26,96.5,96.5,94.0,96.5,96.5,2100
2019-08-27,96.5,96.5,96.0,96.0,96.0,600
2019-08-28,95.0,95.0,95.0,95.0,95.0,100
2019-08-29,95.0,95.75,95.0,95.75,95.75,800
2019-08-30,95.25,95.25,95.25,95.25,95.25,200
2019-09-03,95.0,95.0,95.0,95.0,95.0,200
2019-09-06,95.0,95.0,94.0,94.0,94.0,700
2019-09-09,94.0,94.0,94.0,94.0,94.0,200
2019-09-10,94.25,94.25,94.25,94.25,94.25,100
2019-09-12,93.5,93.5,93.0,93.0,93.0,1100
2019-09-17,92.5,92.75,92.25,92.5,92.5,5800
2019-09-18,92.5,93.5,90.75,90.75,90.75,500
2019-09-20,91.5,91.5,90.5,90.5,90.5,1300
2019-09-24,91.0,91.0,89.0,89.0,89.0,2000
2019-09-26,88.5,88.5,88.5,88.5,88.5,1000
2019-09-27,89.0,89.0,87.0,87.0,87.0,2200
2019-09-30,87.0,87.25,84.25,84.25,84.25,1600
2019-10-01,85.0,85.5,84.0,84.0,84.0,1200
2019-10-02,83.0,84.0,83.0,83.0,83.0,900
2019-10-03,83.5,83.5,83.5,83.5,83.5,100
2019-10-07,83.25,83.25,83.0,83.0,83.0,200
2019-10-09,83.5,83.5,83.5,83.5,83.5,100
2019-10-10,82.75,83.0,82.75,83.0,83.0,200
2019-10-11,83.25,83.5,83.25,83.5,83.5,200
2019-10-15,83.5,83.5,83.5,83.5,83.5,200
2019-10-17,83.5,84.0,83.0,84.0,84.0,400
2019-10-21,84.5,84.5,84.0,84.0,84.0,300
2019-10-24,83.75,83.75,83.5,83.5,83.5,300
2019-10-25,83.25,83.25,82.75,82.75,82.75,500
2019-10-28,82.25,82.25,82.0,82.0,82.0,500
2019-10-29,83.0,83.0,82.0,82.0,82.0,500
2019-10-30,82.0,82.5,82.0,82.5,82.5,300
2019-11-01,81.0,81.0,78.0,78.0,78.0,6100
2019-11-13,80.0,80.0,80.0,80.0,80.0,100
2019-11-14,79.0,82.5,79.0,82.5,82.5,300
2019-11-15,82.0,82.0,82.0,82.0,82.0,300
2019-11-19,82.0,82.0,82.0,82.0,82.0,200
2019-11-21,81.0,81.0,81.0,81.0,81.0,100
2019-11-25,80.0,80.0,80.0,80.0,80.0,100
2019-11-27,80.0,80.0,80.0,80.0,80.0,1000
2019-11-29,79.5,79.75,79.0,79.75,79.75,600
2019-12-03,80.0,80.0,80.0,80.0,80.0,200
2019-12-04,79.5,79.5,79.5,79.5,79.5,100
2019-12-11,80.0,80.0,80.0,80.0,80.0,500
2019-12-12,80.0,80.0,78.5,78.5,78.5,300
2019-12-16,78.5,79.5,78.5,79.5,79.5,200
2019-12-19,79.5,79.5,79.5,79.5,79.5,100
2019-12-23,79.75,79.75,79.75,79.75,79.75,100
2019-12-25,78.25,78.25,78.25,78.25,78.25,200
2019-12-30,79.0,79.0,79.0,79.0,79.0,300
2020-01-02,79.25,80.0,78.75,80.0,80.0,900
2020-01-03,80.0,80.0,79.0,79.0,79.0,700
2020-01-06,79.5,79.5,79.5,79.5,79.5,100
2020-01-08,79.0,79.0,77.0,77.0,77.0,500
2020-01-09,78.0,79.0,77.0,77.0,77.0,2100
2020-01-10,78.0,78.0,77.75,77.75,77.75,300
2020-01-14,77.5,77.5,77.0,77.0,77.0,600
2020-01-15,76.75,76.75,76.75,76.75,76.75,100
2020-01-16,76.0,76.25,74.75,74.75,74.75,900
2020-01-17,74.0,74.5,72.0,73.0,73.0,900
2020-01-22,72.25,72.25,72.25,72.25,72.25,100
2020-01-27,71.75,71.75,69.25,69.25,69.25,800
2020-01-28,69.75,70.25,69.75,69.75,69.75,500
2020-01-29,70.5,71.5,70.5,71.5,71.5,300
2020-01-30,71.0,71.0,70.75,71.0,71.0,500
2020-01-31,69.25,70.0,69.0,70.0,70.0,600
2020-02-04,70.0,70.25,70.0,70.25,70.25,200
2020-02-13,70.25,70.5,69.5,70.0,70.0,400
2020-02-17,70.5,70.5,70.0,70.0,70.0,600
2020-02-19,70.0,70.0,69.75,69.75,69.75,800
2020-02-20,70.0,70.0,69.75,69.75,69.75,400
2020-02-21,69.5,69.5,69.25,69.25,69.25,400
2020-02-24,67.0,67.75,67.0,67.25,67.25,1500
2020-02-25,69.75,69.75,69.5,69.75,69.75,1600
2020-02-27,68.0,68.0,68.0,68.0,68.0,300
2020-02-28,68.0,68.0,60.0,60.0,60.0,2000
2020-03-02,58.0,58.25,53.0,53.0,53.0,1000
2020-03-04,53.0,53.0,53.0,53.0,53.0,500
2020-03-06,52.0,53.0,51.0,51.0,51.0,1000
2020-03-10,52.0,52.0,51.0,51.0,51.0,200
2020-03-11,49.0,50.0,48.0,50.0,50.0,2600
2020-03-13,50.0,50.0,43.0,49.0,49.0,800
2020-03-16,48.0,48.0,47.0,47.0,47.0,900
2020-03-17,49.0,49.0,49.0,49.0,49.0,800
2020-03-27,56.25,56.25,56.25,56.25,56.25,100
2020-03-30,59.0,59.0,53.5,53.5,53.5,300
2020-04-07,58.0,58.0,58.0,58.0,58.0,100
2020-04-08,61.75,63.0,61.75,63.0,63.0,300
2020-04-09,67.0,67.0,65.0,66.0,66.0,700
2020-04-14,66.0,66.0,64.0,64.0,64.0,300
2020-04-15,64.0,64.0,63.0,63.0,63.0,1400
2020-04-17,67.0,67.0,67.0,67.0,67.0,1000
2020-04-20,63.0,63.0,63.0,63.0,63.0,100
2020-04-21,63.0,68.0,63.0,68.0,68.0,400
2020-04-24,68.5,78.0,68.5,70.75,70.75,1700
2020-04-27,75.0,76.0,75.0,76.0,76.0,1300
2020-04-28,75.5,78.0,74.5,78.0,78.0,2400
2020-04-30,75.25,75.25,73.5,73.5,73.5,3200
2020-05-07,73.5,74.0,73.5,73.5,73.5,2100
2020-05-11,73.0,73.0,73.0,73.0,73.0,200
2020-05-12,76.0,76.0,76.0,76.0,76.0,200
2020-05-14,76.0,76.0,75.0,75.0,75.0,300
2020-05-15,72.0,72.0,72.0,72.0,72.0,500
2020-05-18,72.5,72.5,72.5,72.5,72.5,2000
2020-05-19,73.0,73.0,73.0,73.0,73.0,600
2020-05-20,72.0,72.0,67.0,69.5,69.5,2800
2020-05-21,70.0,70.0,70.0,70.0,70.0,500
2020-05-25,70.75,70.75,70.75,70.75,70.75,100
2020-05-27,72.0,72.0,72.0,72.0,72.0,100
2020-06-04,73.0,73.0,73.0,73.0,73.0,300
2020-06-05,74.0,76.0,74.0,76.0,76.0,1600
2020-06-08,73.0,73.0,73.0,73.0,73.0,1000
2020-06-09,72.25,72.25,72.25,72.25,72.25,200
2020-06-10,71.25,71.25,71.25,71.25,71.25,100
2020-06-15,71.0,73.0,71.0,73.0,73.0,300
2020-06-16,71.0,72.0,71.0,72.0,72.0,200
2020-06-17,72.0,73.0,72.0,73.0,73.0,300
2020-06-26,74.0,74.0,74.0,74.0,74.0,100
2020-06-29,74.0,78.75,74.0,78.75,78.75,700
2020-06-30,78.75,78.75,78.5,78.75,78.75,700
2020-07-02,73.0,76.0,73.0,76.0,76.0,600
2020-07-09,76.5,77.0,76.5,77.0,77.0,400
2020-07-10,77.0,77.0,76.0,76.0,76.0,800
2020-07-17,77.5,77.75,77.5,77.75,77.75,900
2020-07-20,77.75,78.0,77.75,78.0,78.0,2600
2020-07-22,76.5,76.5,76.5,76.5,76.5,100
2020-07-23,75.5,76.0,75.5,76.0,76.0,400
2020-07-30,76.0,76.0,76.0,76.0,76.0,100
2020-07-31,76.5,76.5,76.5,76.5,76.5,100
2020-08-03,76.5,76.5,76.5,76.5,76.5,1100
2020-08-05,76.0,76.0,76.0,76.0,76.0,300
2020-08-06,77.75,78.0,77.75,78.0,78.0,300
2020-08-17,68.25,68.25,68.0,68.0,68.0,900
2020-08-18,65.25,66.0,65.25,66.0,66.0,600
2020-08-19,66.25,66.25,66.25,66.25,66.25,1000
2020-08-25,69.75,70.0,69.75,70.0,70.0,900
2020-08-31,67.5,67.5,67.25,67.25,67.25,400
2020-09-01,68.25,68.25,66.25,66.25,66.25,300
2020-09-08,68.0,68.0,68.0,68.0,68.0,400
2020-09-10,69.0,70.0,69.0,70.0,70.0,600
2020-09-11,70.0,70.0,70.0,70.0,70.0,800
2020-09-14,71.0,71.0,71.0,71.0,71.0,100
2020-09-16,70.75,70.75,70.75,70.75,70.75,100
2020-09-22,67.25,67.25,67.0,67.0,67.0,500
2020-09-23,65.0,68.0,65.0,68.0,68.0,5900
