Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,0.67,0.67,0.66,0.66,0.66,59500
2020-08-21,0.66,0.66,0.64,0.64,0.64,63000
2020-08-24,0.64,0.66,0.64,0.64,0.64,5800
2020-08-25,0.64,0.66,0.64,0.66,0.66,3900
2020-08-26,0.66,0.68,0.66,0.68,0.68,36300
2020-08-27,0.68,0.68,0.68,0.68,0.68,2000
2020-08-28,0.68,0.69,0.66,0.69,0.69,71400
2020-08-31,0.67,0.67,0.66,0.66,0.66,17700
2020-09-01,0.69,0.69,0.67,0.67,0.67,2800
2020-09-02,0.67,0.69,0.67,0.68,0.68,16100
2020-09-03,0.68,0.69,0.68,0.69,0.69,5000
2020-09-08,0.68,0.68,0.68,0.68,0.68,8000
2020-09-10,0.69,0.7,0.67,0.69,0.69,19900
2020-09-11,0.67,0.7,0.67,0.7,0.7,5200
2020-09-14,0.7,0.7,0.7,0.7,0.7,600
2020-09-16,0.7,0.7,0.7,0.7,0.7,300
2020-09-17,0.69,0.72,0.69,0.71,0.71,24000
2020-09-21,0.69,0.69,0.69,0.69,0.69,1300
2020-09-22,0.7,0.7,0.64,0.64,0.64,180000
2020-09-23,0.65,0.67,0.65,0.67,0.67,108500
2020-09-24,0.67,0.71,0.67,0.68,0.68,97500
2020-09-25,0.7,0.7,0.68,0.7,0.7,68800
2020-09-28,0.7,0.7,0.69,0.69,0.69,2900
2020-09-30,0.69,0.69,0.65,0.69,0.69,61100
2020-10-01,0.69,0.71,0.69,0.71,0.71,101400
2020-10-05,0.7,0.7,0.7,0.7,0.7,200
2020-10-06,0.69,0.71,0.69,0.7,0.7,201800
2020-10-07,0.69,0.71,0.68,0.68,0.68,85200
2020-10-08,0.7,0.7,0.7,0.7,0.7,300
2020-10-09,0.68,0.71,0.65,0.7,0.7,201100
2020-10-12,0.71,0.71,0.67,0.67,0.67,116700
2020-10-14,0.66,0.7,0.66,0.67,0.67,168200
2020-10-15,0.67,0.71,0.66,0.7,0.7,238400
2020-10-16,0.7,0.7,0.68,0.7,0.7,82600
2020-10-19,0.69,0.69,0.63,0.68,0.68,230700
2020-10-20,0.68,0.68,0.68,0.68,0.68,50700
2020-10-22,0.68,0.68,0.68,0.68,0.68,20100
2020-10-27,0.65,0.68,0.65,0.68,0.68,11000
2020-10-28,0.68,0.68,0.66,0.67,0.67,39000
2020-10-29,0.65,0.65,0.65,0.65,0.65,3200
2020-11-05,0.65,0.65,0.65,0.65,0.65,10400
2020-11-09,0.65,0.65,0.65,0.65,0.65,200
2020-11-12,0.68,0.68,0.67,0.67,0.67,101000
2020-11-17,0.66,0.66,0.65,0.65,0.65,56600
2020-11-18,0.65,0.65,0.63,0.65,0.65,43500
2020-11-19,0.65,0.65,0.65,0.65,0.65,4000
2020-11-20,0.66,0.66,0.64,0.64,0.64,40600
2020-11-23,0.66,0.69,0.64,0.69,0.69,247100
2020-11-24,0.66,0.67,0.66,0.67,0.67,41800
2020-11-25,0.69,0.69,0.67,0.69,0.69,23500
2020-11-26,0.69,0.69,0.67,0.68,0.68,6100
2020-11-27,0.69,0.69,0.69,0.69,0.69,11100
2020-12-01,0.68,0.69,0.67,0.67,0.67,75000
2020-12-03,0.68,0.68,0.68,0.68,0.68,21300
2020-12-04,0.69,0.7,0.68,0.7,0.7,83300
2020-12-08,0.72,0.72,0.7,0.7,0.7,144400
2020-12-09,0.72,0.72,0.69,0.71,0.71,45000
2020-12-14,0.72,0.72,0.71,0.72,0.72,50600
2020-12-15,0.73,0.74,0.72,0.74,0.74,31600
2020-12-16,0.73,0.78,0.73,0.77,0.77,172500
2020-12-17,0.78,0.8,0.77,0.8,0.8,171000
2020-12-18,0.8,0.84,0.77,0.81,0.81,216000
2020-12-21,0.81,0.81,0.76,0.77,0.77,51600
