Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,1.74,1.74,1.69,1.69,1.69,23800
2020-08-20,1.68,1.72,1.68,1.72,1.72,1400
2020-08-21,1.75,1.75,1.7,1.71,1.71,9500
2020-08-24,1.73,1.73,1.73,1.73,1.73,7000
2020-08-25,1.76,1.76,1.73,1.75,1.75,5900
2020-08-26,1.76,1.77,1.75,1.75,1.75,50500
2020-08-27,1.77,1.78,1.74,1.77,1.77,39800
2020-08-28,1.8,1.82,1.8,1.82,1.82,42800
2020-08-31,1.82,1.82,1.77,1.77,1.77,57800
2020-09-01,1.76,1.79,1.76,1.78,1.78,11800
2020-09-02,1.79,1.81,1.79,1.81,1.81,14900
2020-09-03,1.84,1.84,1.79,1.79,1.79,75500
2020-09-08,1.78,1.81,1.78,1.8,1.8,88900
2020-09-09,1.84,1.84,1.79,1.83,1.83,107900
2020-09-10,1.86,1.86,1.82,1.82,1.82,16300
2020-09-11,1.83,1.83,1.83,1.83,1.83,300
2020-09-14,1.83,1.84,1.8,1.84,1.84,38200
2020-09-15,1.82,1.84,1.82,1.82,1.82,11300
2020-09-16,1.82,1.82,1.82,1.82,1.82,6100
2020-09-17,1.81,1.83,1.8,1.83,1.83,74500
2020-09-18,1.83,1.84,1.82,1.82,1.82,41300
2020-09-21,1.82,1.84,1.81,1.84,1.84,33100
2020-09-22,1.82,1.84,1.8,1.84,1.84,51600
2020-09-28,1.82,1.84,1.79,1.84,1.84,77000
2020-09-29,1.84,1.84,1.8,1.8,1.8,90000
2020-09-30,1.81,1.83,1.8,1.8,1.8,70600
2020-10-02,1.8,1.83,1.8,1.81,1.81,51700
2020-10-05,1.81,1.81,1.81,1.81,1.81,20000
2020-10-06,1.82,1.82,1.81,1.82,1.82,20800
2020-10-07,1.83,1.83,1.82,1.83,1.83,94800
2020-10-08,1.82,1.84,1.82,1.84,1.84,11600
2020-10-09,1.84,1.84,1.82,1.84,1.84,25800
2020-10-12,1.84,1.86,1.84,1.86,1.86,1800
2020-10-14,1.84,1.85,1.84,1.85,1.85,28200
2020-10-15,1.84,1.84,1.83,1.83,1.83,71700
2020-10-16,1.82,1.85,1.82,1.85,1.85,9400
2020-10-19,1.84,1.86,1.82,1.85,1.85,32700
2020-10-20,1.82,1.82,1.82,1.82,1.82,20000
2020-10-21,1.78,1.84,1.78,1.84,1.84,57400
2020-10-22,1.82,1.84,1.81,1.84,1.84,32200
2020-10-26,1.83,1.83,1.82,1.82,1.82,15700
2020-10-27,1.82,1.82,1.81,1.81,1.81,61000
2020-10-28,1.8,1.81,1.8,1.81,1.81,51800
2020-10-29,1.8,1.81,1.79,1.81,1.81,41300
2020-10-30,1.81,1.81,1.79,1.79,1.79,109100
2020-11-02,1.79,1.8,1.79,1.8,1.8,26900
2020-11-04,1.8,1.8,1.8,1.8,1.8,10000
2020-11-05,1.79,1.83,1.79,1.83,1.83,11900
2020-11-06,1.83,1.86,1.83,1.86,1.86,700
2020-11-09,1.82,1.83,1.77,1.79,1.79,106200
2020-11-10,1.8,1.82,1.76,1.82,1.82,114800
2020-11-11,1.81,1.81,1.8,1.8,1.8,5800
2020-11-12,1.8,1.8,1.79,1.79,1.79,19900
2020-11-17,1.79,1.83,1.79,1.83,1.83,21500
2020-11-18,1.81,1.81,1.81,1.81,1.81,28000
2020-11-19,1.81,1.85,1.81,1.85,1.85,30300
2020-11-20,1.85,1.86,1.85,1.85,1.85,55600
2020-11-23,1.84,1.85,1.84,1.85,1.85,84200
2020-11-24,1.85,1.85,1.84,1.85,1.85,14700
2020-11-25,1.81,1.84,1.81,1.84,1.84,17300
2020-11-26,1.8,1.84,1.8,1.84,1.84,25300
2020-11-27,1.84,1.85,1.84,1.85,1.85,17400
2020-11-30,1.81,1.83,1.81,1.83,1.83,34800
2020-12-01,1.83,1.84,1.83,1.84,1.84,16800
2020-12-02,1.83,1.83,1.83,1.83,1.83,29100
2020-12-03,1.82,1.84,1.82,1.82,1.82,79300
2020-12-04,1.82,1.84,1.81,1.84,1.84,30200
2020-12-08,1.84,1.84,1.8,1.8,1.8,641800
2020-12-09,1.81,1.82,1.8,1.82,1.82,50600
2020-12-14,1.84,1.84,1.81,1.84,1.84,29200
2020-12-15,1.87,1.87,1.81,1.85,1.85,76600
2020-12-16,1.85,1.85,1.81,1.85,1.85,427900
2020-12-17,1.85,1.85,1.8,1.82,1.82,297600
2020-12-18,1.84,1.85,1.81,1.83,1.83,316300
2020-12-21,1.82,1.82,1.78,1.81,1.81,87200
2020-12-22,1.79,1.81,1.79,1.81,1.81,4100
2020-12-23,1.81,1.81,1.8,1.81,1.81,26000
2020-12-24,1.81,1.83,1.81,1.83,1.83,41100
2020-12-25,1.84,1.84,1.81,1.81,1.81,25800
2020-12-29,1.85,1.85,1.81,1.81,1.81,112200
2020-12-30,1.81,1.85,1.8,1.82,1.82,124500
2021-01-04,1.83,1.83,1.8,1.8,1.8,20600
2021-01-05,1.82,1.84,1.8,1.83,1.83,51500
2021-01-06,1.84,1.84,1.81,1.81,1.81,4200
2021-01-07,1.83,1.83,1.82,1.83,1.83,32100
2021-01-08,1.83,1.84,1.82,1.83,1.83,38600
2021-01-11,1.83,1.84,1.83,1.83,1.83,48000
2021-01-12,1.81,1.83,1.8,1.82,1.82,97100
2021-01-13,1.82,1.83,1.81,1.81,1.81,28000
2021-01-14,1.85,1.85,1.8,1.83,1.83,70100
2021-01-15,1.84,1.84,1.8,1.84,1.84,64200
2021-01-18,1.83,1.83,1.8,1.83,1.83,32100
2021-01-19,1.8,1.83,1.8,1.82,1.82,86000
2021-01-20,1.8,1.82,1.8,1.8,1.8,61500
2021-01-21,1.8,1.83,1.8,1.82,1.82,73700
2021-01-22,1.83,1.83,1.79,1.8,1.8,31100
2021-01-25,1.8,1.81,1.8,1.81,1.81,15200
2021-01-26,1.83,1.83,1.79,1.81,1.81,62200
2021-01-27,1.79,1.79,1.79,1.79,1.79,63800
2021-01-28,1.79,1.81,1.79,1.79,1.79,26600
2021-02-01,1.82,1.82,1.8,1.8,1.8,7100
2021-02-02,1.8,1.81,1.8,1.81,1.81,4700
2021-02-03,1.83,1.83,1.79,1.79,1.79,32400
