Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,1.16,1.16,1.15,1.15,1.15,43400
2020-09-21,1.19,1.2,1.15,1.15,1.15,926700
2020-09-22,1.15,1.18,1.13,1.16,1.16,120300
2020-09-23,1.17,1.17,1.16,1.16,1.16,102800
2020-09-24,1.16,1.16,1.15,1.15,1.15,157900
2020-09-25,1.16,1.17,1.1,1.16,1.16,439600
2020-09-28,1.17,1.18,1.16,1.17,1.17,126100
2020-09-29,1.17,1.21,1.17,1.19,1.19,169300
2020-09-30,1.18,1.21,1.18,1.2,1.2,190300
2020-10-01,1.18,1.21,1.18,1.21,1.21,213100
2020-10-02,1.21,1.21,1.14,1.15,1.15,481900
2020-10-05,1.17,1.19,1.16,1.16,1.16,77200
2020-10-06,1.19,1.19,1.16,1.17,1.17,66700
2020-10-07,1.17,1.18,1.16,1.18,1.18,41900
2020-10-08,1.18,1.2,1.12,1.17,1.17,969900
2020-10-09,1.14,1.18,1.14,1.17,1.17,848300
2020-10-12,1.19,1.21,1.17,1.18,1.18,413000
2020-10-14,1.17,1.19,1.17,1.17,1.17,234900
2020-10-15,1.18,1.19,1.17,1.17,1.17,552800
2020-10-16,1.17,1.17,1.16,1.16,1.16,72300
2020-10-19,1.15,1.17,1.15,1.16,1.16,222500
2020-10-20,1.15,1.18,1.15,1.15,1.15,469400
2020-10-21,1.18,1.19,1.16,1.19,1.19,52500
2020-10-22,1.2,1.2,1.17,1.17,1.17,211600
2020-10-26,1.17,1.17,1.17,1.17,1.17,43900
2020-10-27,1.19,1.19,1.17,1.18,1.18,34600
2020-10-28,1.2,1.24,1.2,1.21,1.21,917500
2020-10-29,1.24,1.24,1.19,1.2,1.2,13400
2020-10-30,1.2,1.56,1.2,1.27,1.27,777000
2020-11-02,1.27,1.33,1.26,1.26,1.26,442900
2020-11-03,1.27,1.3,1.27,1.27,1.27,302600
2020-11-04,1.27,1.29,1.27,1.27,1.27,91800
2020-11-05,1.28,1.33,1.27,1.33,1.33,353900
2020-11-06,1.3,1.33,1.28,1.28,1.28,349700
2020-11-09,1.3,1.3,1.27,1.29,1.29,520900
2020-11-10,1.3,1.3,1.26,1.27,1.27,445500
2020-11-12,1.25,1.25,1.2,1.22,1.22,1111900
2020-11-13,1.2,1.25,1.2,1.25,1.25,288300
2020-11-16,1.21,1.29,1.21,1.28,1.28,309100
2020-11-17,1.25,1.31,1.25,1.27,1.27,94400
2020-11-18,1.26,1.3,1.26,1.3,1.3,861700
2020-11-19,1.31,1.31,1.28,1.29,1.29,130500
2020-11-20,1.28,1.3,1.28,1.28,1.28,71100
2020-11-23,1.31,1.31,1.28,1.29,1.29,405000
2020-11-24,1.3,1.3,1.28,1.29,1.29,130100
2020-11-25,1.29,1.3,1.23,1.29,1.29,179800
2020-11-26,1.29,1.29,1.27,1.27,1.27,53100
2020-11-30,1.31,1.32,1.29,1.32,1.32,44900
2020-12-01,1.31,1.31,1.28,1.3,1.3,88000
2020-12-02,1.28,1.29,1.28,1.28,1.28,505300
2020-12-03,1.28,1.31,1.28,1.3,1.3,170200
2020-12-04,1.3,1.3,1.28,1.29,1.29,137200
2020-12-08,1.29,1.32,1.29,1.3,1.3,997500
2020-12-09,1.31,1.32,1.29,1.29,1.29,324900
2020-12-14,1.29,1.31,1.27,1.29,1.29,310200
2020-12-15,1.29,1.3,1.29,1.3,1.3,23100
2020-12-17,1.31,1.4,1.31,1.35,1.35,701900
2020-12-18,1.34,1.36,1.3,1.32,1.32,179700
2020-12-21,1.3,1.32,1.29,1.31,1.31,702200
2020-12-22,1.32,1.32,1.29,1.31,1.31,136500
2020-12-23,1.29,1.3,1.28,1.29,1.29,313500
2020-12-24,1.31,1.31,1.29,1.3,1.3,130900
2020-12-25,1.3,1.32,1.29,1.32,1.32,192500
2020-12-28,1.31,1.32,1.3,1.32,1.32,282500
2020-12-29,1.24,1.33,1.24,1.32,1.32,208400
2020-12-30,1.31,1.4,1.31,1.36,1.36,78300
2021-01-04,1.34,1.35,1.32,1.35,1.35,540000
2021-01-05,1.34,1.36,1.33,1.34,1.34,330000
2021-01-06,1.36,1.37,1.33,1.33,1.33,201500
2021-01-07,1.33,1.36,1.32,1.36,1.36,101500
2021-01-08,1.36,1.36,1.34,1.35,1.35,20800
2021-01-11,1.37,1.4,1.36,1.38,1.38,177700
2021-01-12,1.38,1.38,1.35,1.35,1.35,94700
2021-01-13,1.38,1.38,1.34,1.34,1.34,164000
2021-01-14,1.31,1.35,1.31,1.33,1.33,1182800
2021-01-15,1.33,1.34,1.31,1.32,1.32,117500
2021-01-18,1.32,1.33,1.3,1.31,1.31,225900
2021-01-19,1.33,1.33,1.3,1.33,1.33,223700
2021-01-20,1.33,1.34,1.31,1.33,1.33,159400
2021-01-21,1.34,1.71,1.34,1.47,1.47,8003900
2021-01-22,1.49,1.49,1.43,1.43,1.43,1134900
2021-01-25,1.58,1.58,1.47,1.57,1.57,1501800
2021-01-26,1.55,1.57,1.53,1.55,1.55,353700
2021-01-27,1.57,1.65,1.56,1.59,1.59,1621800
2021-01-28,1.6,1.62,1.56,1.57,1.57,684400
2021-01-29,1.57,1.59,1.53,1.59,1.59,516900
2021-02-01,1.6,1.61,1.56,1.59,1.59,539300
2021-02-02,1.62,1.62,1.59,1.59,1.59,132300
2021-02-03,1.6,1.67,1.58,1.64,1.64,854700
2021-02-04,1.66,1.73,1.64,1.66,1.66,1913100
2021-02-05,1.69,1.72,1.68,1.71,1.71,907500
2021-02-08,1.72,1.73,1.67,1.7,1.7,950500
2021-02-09,1.69,1.74,1.69,1.74,1.74,543900
2021-02-10,1.7,1.74,1.7,1.73,1.73,480600
2021-02-11,1.72,1.77,1.71,1.74,1.74,346700
2021-02-15,1.76,1.76,1.72,1.72,1.72,463700
2021-02-16,1.71,1.75,1.69,1.73,1.73,511100
2021-02-17,1.73,1.74,1.72,1.73,1.73,370400
2021-02-18,1.71,1.74,1.71,1.73,1.73,629100
2021-02-19,1.71,1.77,1.71,1.73,1.73,554100
2021-02-22,1.73,1.75,1.7,1.7,1.7,513800
2021-02-23,1.7,1.73,1.69,1.71,1.71,534800
2021-02-24,1.7,1.72,1.69,1.7,1.7,560600
2021-02-25,1.7,1.72,1.7,1.7,1.7,313600
2021-03-01,1.61,1.69,1.6,1.64,1.64,1174900
2021-03-02,1.66,1.7,1.64,1.65,1.65,311100
2021-03-03,1.68,1.68,1.59,1.68,1.68,863100
2021-03-04,1.68,1.68,1.63,1.63,1.63,190700
2021-03-05,1.61,1.68,1.61,1.68,1.68,228900
2021-03-08,1.67,1.71,1.64,1.65,1.65,199100
2021-03-09,1.65,1.66,1.63,1.64,1.64,162700
2021-03-10,1.64,1.67,1.63,1.64,1.64,113100
2021-03-11,1.65,1.65,1.57,1.6,1.6,704300
2021-03-12,1.59,1.6,1.57,1.57,1.57,998000
2021-03-15,1.58,1.64,1.58,1.63,1.63,227700
2021-03-16,1.63,1.69,1.62,1.65,1.65,189200
2021-03-17,1.67,1.76,1.67,1.69,1.69,1138900
2021-03-18,1.71,1.71,1.69,1.7,1.7,262700
2021-03-19,1.71,1.72,1.67,1.72,1.72,249900
2021-03-22,1.72,1.93,1.7,1.9,1.9,7910100
2021-03-23,1.9,1.92,1.87,1.88,1.88,582700
2021-03-24,1.9,1.9,1.85,1.9,1.9,691200
2021-03-25,1.9,1.9,1.88,1.89,1.89,91200
2021-03-26,1.9,1.91,1.89,1.89,1.89,393800
2021-03-29,1.9,2.12,1.88,2.06,2.06,3172500
