Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,1.85,1.85,1.8,1.83,1.83,17000
2020-09-21,1.82,1.84,1.82,1.84,1.84,21500
2020-09-22,1.8,1.84,1.79,1.84,1.84,44000
2020-09-23,1.84,1.84,1.84,1.84,1.84,2900
2020-09-24,1.83,1.83,1.83,1.83,1.83,900
2020-09-25,1.82,1.82,1.78,1.79,1.79,62700
2020-09-28,1.78,1.81,1.78,1.81,1.81,400
2020-09-30,1.82,1.82,1.8,1.82,1.82,14000
2020-10-01,1.8,1.81,1.8,1.81,1.81,2400
2020-10-02,1.82,1.82,1.82,1.82,1.82,100
2020-10-06,1.81,1.81,1.8,1.81,1.81,11800
2020-10-07,1.8,1.8,1.79,1.79,1.79,29100
2020-10-08,1.79,1.82,1.79,1.81,1.81,21100
2020-10-09,1.83,1.83,1.83,1.83,1.83,100
2020-10-12,1.85,1.85,1.79,1.82,1.82,20700
2020-10-14,1.8,1.81,1.78,1.8,1.8,21000
2020-10-15,1.81,1.82,1.79,1.79,1.79,9200
2020-10-16,1.79,1.79,1.79,1.79,1.79,30900
2020-10-19,1.8,1.8,1.8,1.8,1.8,1700
2020-10-20,1.79,1.8,1.79,1.79,1.79,35400
2020-10-21,1.8,1.8,1.79,1.79,1.79,15400
2020-10-22,1.79,1.79,1.79,1.79,1.79,600
2020-10-26,1.79,1.84,1.79,1.79,1.79,600
2020-10-27,1.79,1.79,1.78,1.78,1.78,31800
2020-10-28,1.78,1.78,1.76,1.78,1.78,104700
2020-10-29,1.77,1.78,1.75,1.77,1.77,71100
2020-10-30,1.77,1.77,1.76,1.77,1.77,15300
2020-11-02,1.77,1.78,1.77,1.77,1.77,15800
2020-11-04,1.79,1.79,1.74,1.78,1.78,79600
2020-11-05,1.77,1.8,1.76,1.8,1.8,7000
2020-11-06,1.79,1.8,1.78,1.79,1.79,42600
2020-11-09,1.77,1.79,1.77,1.78,1.78,39700
2020-11-10,1.8,1.8,1.78,1.78,1.78,78900
2020-11-11,1.78,1.78,1.76,1.78,1.78,86100
2020-11-12,1.78,1.78,1.76,1.78,1.78,20400
2020-11-13,1.78,1.79,1.76,1.77,1.77,135600
2020-11-16,1.8,1.8,1.76,1.78,1.78,132300
2020-11-17,1.78,1.79,1.77,1.79,1.79,134900
2020-11-18,1.78,1.78,1.72,1.77,1.77,96500
2020-11-19,1.78,1.8,1.78,1.78,1.78,239700
2020-11-20,1.77,1.78,1.76,1.78,1.78,140700
2020-11-23,1.78,1.78,1.77,1.77,1.77,328300
2020-11-24,1.78,1.78,1.76,1.77,1.77,178700
2020-11-25,1.77,1.78,1.76,1.76,1.76,186400
2020-11-26,1.76,1.79,1.76,1.77,1.77,75300
2020-11-27,1.77,1.77,1.75,1.77,1.77,238900
2020-11-30,1.76,1.78,1.76,1.78,1.78,228600
2020-12-01,1.79,1.79,1.77,1.77,1.77,69300
2020-12-02,1.79,1.79,1.76,1.77,1.77,91500
2020-12-03,1.77,1.78,1.76,1.78,1.78,55800
2020-12-04,1.77,1.77,1.76,1.77,1.77,170600
2020-12-08,1.77,1.77,1.76,1.77,1.77,371400
2020-12-09,1.77,1.78,1.77,1.78,1.78,227000
2020-12-14,1.78,1.79,1.76,1.77,1.77,73500
2020-12-15,1.77,1.77,1.76,1.77,1.77,44100
2020-12-16,1.77,1.77,1.76,1.77,1.77,59000
2020-12-17,1.77,1.78,1.76,1.78,1.78,170100
2020-12-18,1.78,1.78,1.76,1.76,1.76,135600
2020-12-21,1.76,1.77,1.74,1.74,1.74,283800
2020-12-22,1.74,1.77,1.72,1.74,1.74,131100
2020-12-23,1.75,1.76,1.74,1.75,1.75,71000
2020-12-24,1.75,1.77,1.74,1.77,1.77,77900
2020-12-25,1.77,1.77,1.75,1.77,1.77,40000
2020-12-28,1.77,1.77,1.75,1.75,1.75,125200
2020-12-29,1.76,1.77,1.75,1.77,1.77,41000
2020-12-30,1.77,1.77,1.74,1.76,1.76,64600
2021-01-04,1.77,1.77,1.74,1.75,1.75,47400
2021-01-05,1.75,1.76,1.74,1.76,1.76,65400
2021-01-06,1.75,1.77,1.74,1.77,1.77,114200
2021-01-07,1.77,1.84,1.76,1.84,1.84,2077400
2021-01-08,1.96,1.99,1.87,1.92,1.92,1937400
2021-01-11,1.95,1.95,1.84,1.87,1.87,457800
2021-01-12,1.85,1.9,1.84,1.86,1.86,223300
2021-01-13,1.86,1.87,1.85,1.87,1.87,90900
2021-01-14,1.86,1.88,1.83,1.86,1.86,155100
2021-01-15,1.87,1.87,1.8,1.8,1.8,146400
2021-01-18,1.8,1.86,1.8,1.81,1.81,72200
2021-01-19,1.81,1.84,1.81,1.81,1.81,62500
2021-01-20,1.81,1.84,1.81,1.81,1.81,530600
2021-01-21,1.83,1.85,1.81,1.83,1.83,405900
2021-01-22,1.81,1.83,1.79,1.79,1.79,257800
2021-01-25,1.79,1.84,1.79,1.83,1.83,97100
2021-01-26,1.83,1.83,1.8,1.81,1.81,172100
2021-01-27,1.81,1.83,1.8,1.82,1.82,42800
2021-01-28,1.82,1.82,1.78,1.81,1.81,80100
2021-01-29,1.81,1.82,1.78,1.79,1.79,33000
2021-02-01,1.8,1.82,1.78,1.82,1.82,17700
2021-02-02,1.82,1.82,1.8,1.8,1.8,3400
2021-02-03,1.82,1.82,1.78,1.78,1.78,65000
2021-02-04,1.82,1.82,1.77,1.78,1.78,78800
2021-02-05,1.75,1.81,1.75,1.78,1.78,154100
2021-02-08,1.76,1.8,1.76,1.78,1.78,288300
2021-02-09,1.8,1.8,1.76,1.76,1.76,247600
2021-02-10,1.77,1.77,1.75,1.77,1.77,231300
2021-02-11,1.76,1.79,1.76,1.77,1.77,55500
2021-02-15,1.77,1.79,1.76,1.76,1.76,408800
2021-02-16,1.78,1.78,1.76,1.76,1.76,46500
2021-02-17,1.76,1.78,1.75,1.77,1.77,471100
2021-02-18,1.78,1.78,1.75,1.77,1.77,287800
2021-02-19,1.77,1.78,1.76,1.76,1.76,209500
2021-02-22,1.75,1.77,1.75,1.76,1.76,106000
2021-02-23,1.76,1.77,1.74,1.76,1.76,43500
2021-02-24,1.77,1.77,1.73,1.75,1.75,432600
2021-02-25,1.76,1.76,1.74,1.76,1.76,362600
2021-03-01,1.76,1.77,1.74,1.75,1.75,252700
2021-03-02,1.75,1.76,1.74,1.75,1.75,120100
2021-03-03,1.76,1.76,1.75,1.76,1.76,25500
2021-03-04,1.76,1.76,1.74,1.75,1.75,179900
2021-03-05,1.76,1.76,1.74,1.75,1.75,327500
2021-03-08,1.76,1.78,1.75,1.77,1.77,1093500
2021-03-09,1.77,1.77,1.75,1.76,1.76,247500
2021-03-10,1.76,1.77,1.76,1.77,1.77,729400
2021-03-11,1.77,1.88,1.76,1.84,1.84,1495800
2021-03-12,1.85,1.86,1.81,1.82,1.82,725900
2021-03-15,1.85,1.85,1.82,1.85,1.85,877700
2021-03-16,1.83,1.83,1.8,1.8,1.8,609200
2021-03-17,1.8,1.81,1.79,1.81,1.81,91900
2021-03-18,1.82,1.83,1.81,1.82,1.82,292300
2021-03-19,1.81,1.82,1.8,1.81,1.81,111000
2021-03-22,1.82,1.82,1.8,1.82,1.82,266200
2021-03-23,1.83,1.93,1.82,1.86,1.86,2642400
2021-03-24,1.87,1.89,1.84,1.87,1.87,328200
2021-03-25,1.87,1.92,1.87,1.89,1.89,1069400
2021-03-26,1.92,1.94,1.88,1.9,1.9,731200
2021-03-29,1.92,1.95,1.89,1.9,1.9,1042200
2021-03-30,1.9,2.0,1.9,1.9,1.9,1427100
2021-03-31,1.9,1.91,1.87,1.89,1.89,300700
2021-04-01,1.89,1.9,1.89,1.89,1.89,199200
2021-04-02,1.89,1.91,1.88,1.91,1.91,414700
2021-04-05,1.92,1.92,1.87,1.87,1.87,342900
