Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,20.125,20.625,20.0,20.625,20.625,11172600
2020-09-24,20.375,20.75,20.0,20.125,20.125,9198600
2020-09-25,20.25,20.5,20.125,20.125,20.125,5472200
2020-09-28,20.375,20.5,20.125,20.5,20.5,5860000
2020-09-29,20.5,21.0,20.125,20.25,20.25,8927400
2020-09-30,20.5,20.5,19.75,19.75,19.75,9778600
2020-10-01,20.25,20.75,19.875,20.625,20.625,15289000
2020-10-02,20.625,21.25,20.375,21.125,21.125,10599200
2020-10-05,21.125,21.25,20.875,21.0,21.0,3253600
2020-10-06,21.125,21.125,20.125,20.25,20.25,13132600
2020-10-07,20.375,21.0,20.375,21.0,21.0,10288200
2020-10-08,21.25,21.875,21.125,21.25,21.25,18315400
2020-10-09,21.5,21.625,21.0,21.125,21.125,9173200
2020-10-12,21.125,21.375,20.75,21.375,21.375,16176200
2020-10-14,21.5,21.625,21.0,21.25,21.25,14528600
2020-10-15,21.125,21.5,20.625,20.75,20.75,11597200
2020-10-16,20.75,20.875,20.125,20.375,20.375,10753000
2020-10-19,20.0,20.375,19.625,19.875,19.875,13239200
2020-10-20,19.875,20.25,19.25,20.0,20.0,16145200
2020-10-21,20.0,20.5,19.875,20.25,20.25,9618000
2020-10-22,20.75,22.0,20.625,22.0,22.0,35634000
2020-10-26,21.875,22.125,21.5,22.0,22.0,14173800
2020-10-27,22.0,22.0,21.625,21.625,21.625,10021800
2020-10-28,21.75,21.75,21.25,21.5,21.5,7802400
2020-10-29,21.375,21.5,20.5,20.75,20.75,20669000
2020-10-30,20.875,21.125,20.5,20.5,20.5,13644600
2020-11-02,20.625,20.875,20.25,20.5,20.5,12183800
2020-11-03,20.625,21.25,20.625,20.875,20.875,10624400
2020-11-04,21.0,21.5,20.875,21.375,21.375,12885600
2020-11-05,21.375,21.625,21.0,21.25,21.25,14478800
2020-11-06,21.25,21.375,20.75,20.875,20.875,13223800
2020-11-09,21.0,21.25,20.625,20.625,20.625,11144000
2020-11-10,20.75,20.75,19.375,19.5,19.5,31073800
2020-11-11,19.5,19.625,18.75,19.375,19.375,40937400
2020-11-12,20.0,20.5,19.875,20.0,20.0,25321800
2020-11-13,20.25,20.5,20.125,20.375,20.375,12249800
2020-11-16,20.5,20.625,19.875,19.875,19.875,19640000
2020-11-17,19.875,20.0,19.625,19.625,19.625,15084600
2020-11-18,19.625,19.875,19.5,19.75,19.75,9926600
2020-11-19,19.75,20.125,19.625,19.75,19.75,15810600
2020-11-20,19.875,20.0,19.625,20.0,20.0,8987000
2020-11-23,20.0,20.25,19.875,20.0,20.0,10406000
2020-11-24,20.0,20.0,19.25,19.25,19.25,16580000
2020-11-25,19.25,19.5,19.0,19.0,19.0,22410600
2020-11-26,19.0,19.5,18.875,19.0,19.0,17020800
2020-11-27,19.125,20.25,19.125,20.125,20.125,30547800
2020-11-30,20.75,21.125,20.5,20.5,20.5,39255400
2020-12-01,20.75,20.875,20.0,20.0,20.0,23445000
2020-12-02,19.875,20.125,19.625,19.75,19.75,16029200
2020-12-03,19.875,20.125,19.625,19.625,19.625,13372000
2020-12-04,19.875,20.125,19.625,19.625,19.625,14588600
2020-12-08,19.75,19.875,19.625,19.625,19.625,16544600
2020-12-09,19.625,19.75,19.25,19.25,19.25,22483400
2020-12-14,19.125,19.375,18.75,19.0,19.0,15866000
2020-12-15,19.125,19.375,18.875,19.0,19.0,10577800
2020-12-16,19.5,19.5,19.25,19.25,19.25,13254800
2020-12-17,19.5,19.75,19.375,19.5,19.5,9841200
2020-12-18,19.75,19.875,19.25,19.375,19.375,14370400
2020-12-21,18.875,19.125,18.375,18.375,18.375,24029800
2020-12-22,18.625,18.875,18.125,18.5,18.5,12228800
2020-12-23,18.5,19.125,18.5,18.875,18.875,9503000
