Date,Open,High,Low,Close,Adj Close,Volume
2021-09-29,5.625,5.625,5.625,5.625,5.625,0.0
2021-09-30,8.15625,8.25,6.703125,6.84375,6.84375,107752533.0
2021-10-01,6.796875,6.796875,6.421875,6.421875,6.421875,16989760.0
2021-10-04,6.46875,6.796875,6.46875,6.703125,6.703125,8331733.0
2021-10-05,6.609375,6.75,6.46875,6.46875,6.46875,5243520.0
2021-10-06,6.46875,6.46875,6.28125,6.28125,6.28125,4689386.0
2021-10-07,6.328125,6.796875,6.328125,6.609375,6.609375,8996800.0
2021-10-08,6.609375,6.65625,6.46875,6.46875,6.46875,3698880.0
2021-10-11,6.515625,6.609375,6.46875,6.515625,6.515625,1970666.0
2021-10-12,6.515625,6.65625,6.515625,6.65625,6.65625,1470933.0
2021-10-14,6.65625,7.03125,6.65625,6.84375,6.84375,9188266.0
2021-10-15,6.9375,7.125,6.890625,6.984375,6.984375,4355733.0
2021-10-18,7.03125,7.171875,6.9375,6.9375,6.9375,1823573.0
2021-10-19,6.984375,7.03125,6.703125,6.796875,6.796875,1870933.0
2021-10-20,6.796875,6.84375,6.75,6.84375,6.84375,338346.0
2021-10-21,6.890625,6.9375,6.84375,6.890625,6.890625,366400.0
2021-10-25,7.03125,7.21875,6.9375,7.03125,7.03125,4539413.0
2021-10-26,7.03125,7.078125,6.890625,6.9375,6.9375,909760.0
2021-10-27,6.9375,7.125,6.890625,6.984375,6.984375,1112000.0
2021-10-28,6.984375,7.078125,6.75,6.75,6.75,1829653.0
2021-10-29,6.796875,6.890625,6.75,6.75,6.75,526506.0
2021-11-01,6.796875,6.84375,6.75,6.75,6.75,517440.0
2021-11-02,6.75,6.796875,6.28125,6.46875,6.46875,1845013.0
2021-11-03,6.328125,6.5625,6.328125,6.46875,6.46875,783466.0
2021-11-04,6.46875,6.65625,6.328125,6.65625,6.65625,528853.0
2021-11-05,6.609375,6.609375,6.46875,6.515625,6.515625,461546.0
2021-11-08,6.515625,6.5625,6.375,6.375,6.375,464640.0
2021-11-09,6.375,6.375,6.1875,6.28125,6.28125,939840.0
2021-11-10,6.28125,6.421875,6.140625,6.328125,6.328125,497386.0
