Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,1.28,1.28,1.25,1.25,1.25,292600
2020-09-16,1.26,1.26,1.24,1.25,1.25,47700
2020-09-17,1.25,1.25,1.25,1.25,1.25,10600
2020-09-18,1.25,1.25,1.25,1.25,1.25,30000
2020-09-21,1.25,1.25,1.25,1.25,1.25,16500
2020-09-22,1.27,1.27,1.27,1.27,1.27,200
2020-09-25,1.25,1.27,1.23,1.25,1.25,122800
2020-09-29,1.22,1.24,1.22,1.22,1.22,123400
2020-09-30,1.25,1.25,1.23,1.24,1.24,7600
2020-10-02,1.26,1.27,1.25,1.26,1.26,117300
2020-10-05,1.24,1.32,1.24,1.29,1.29,564100
2020-10-06,1.29,1.29,1.27,1.27,1.27,56800
2020-10-07,1.3,1.3,1.24,1.25,1.25,133400
2020-10-08,1.24,1.27,1.23,1.26,1.26,61000
2020-10-09,1.23,1.26,1.23,1.26,1.26,32200
2020-10-14,1.26,1.28,1.26,1.28,1.28,174000
2020-10-15,1.27,1.28,1.26,1.26,1.26,70000
2020-10-16,1.25,1.27,1.25,1.27,1.27,11600
2020-10-19,1.27,1.27,1.24,1.25,1.25,13000
2020-10-21,1.24,1.26,1.24,1.26,1.26,89900
2020-10-22,1.28,1.29,1.28,1.28,1.28,144900
2020-10-26,1.29,1.29,1.28,1.28,1.28,73500
2020-10-27,1.3,1.31,1.28,1.28,1.28,58700
2020-10-28,1.28,1.29,1.28,1.29,1.29,133800
2020-10-29,1.28,1.29,1.28,1.28,1.28,105100
2020-10-30,1.28,1.28,1.27,1.28,1.28,76200
2020-11-03,1.28,1.3,1.28,1.3,1.3,81900
2020-11-04,1.3,1.4,1.29,1.33,1.33,2217800
2020-11-05,1.35,1.38,1.33,1.35,1.35,623700
2020-11-06,1.37,1.37,1.32,1.35,1.35,490900
2020-11-09,1.35,1.36,1.33,1.33,1.33,201400
2020-11-10,1.38,1.38,1.35,1.36,1.36,399900
2020-11-11,1.36,1.36,1.34,1.36,1.36,111300
2020-11-12,1.38,1.44,1.36,1.41,1.41,2455600
2020-11-13,1.41,1.41,1.39,1.4,1.4,548300
2020-11-16,1.41,1.41,1.38,1.4,1.4,468200
2020-11-17,1.4,1.42,1.39,1.39,1.39,340900
2020-11-18,1.39,1.4,1.38,1.4,1.4,369300
2020-11-19,1.4,1.41,1.39,1.4,1.4,282900
2020-11-20,1.4,1.4,1.39,1.39,1.39,428100
2020-11-23,1.4,1.47,1.4,1.47,1.47,456900
2020-11-24,1.47,1.54,1.42,1.49,1.49,1932800
2020-11-25,1.51,1.61,1.51,1.61,1.61,2225900
2020-11-26,1.59,1.64,1.57,1.61,1.61,948900
2020-11-27,1.59,1.66,1.58,1.63,1.63,601400
2020-11-30,1.66,1.67,1.64,1.64,1.64,372100
2020-12-01,1.64,1.64,1.58,1.62,1.62,354600
2020-12-02,1.63,1.63,1.59,1.59,1.59,122600
2020-12-03,1.59,1.64,1.59,1.62,1.62,151500
2020-12-04,1.63,1.68,1.62,1.67,1.67,371700
2020-12-08,1.7,1.75,1.66,1.75,1.75,1048300
2020-12-09,1.72,1.84,1.72,1.84,1.84,1798100
2020-12-14,1.83,1.85,1.78,1.83,1.83,686600
2020-12-15,1.83,1.83,1.75,1.78,1.78,396100
2020-12-16,1.77,1.79,1.76,1.76,1.76,240200
2020-12-17,1.76,1.87,1.76,1.87,1.87,857200
2020-12-18,1.87,1.93,1.87,1.91,1.91,626900
2020-12-21,1.88,1.88,1.68,1.69,1.69,865500
2020-12-22,1.7,1.77,1.7,1.76,1.76,568000
2020-12-23,1.76,1.82,1.75,1.76,1.76,383300
2020-12-24,1.76,1.76,1.68,1.69,1.69,660200
2020-12-25,1.72,1.81,1.67,1.73,1.73,2583300
2020-12-28,1.74,1.89,1.74,1.81,1.81,2327500
2020-12-29,1.83,1.84,1.77,1.79,1.79,648200
2020-12-30,1.82,1.82,1.78,1.8,1.8,134800
2021-01-04,1.78,1.86,1.78,1.81,1.81,741400
2021-01-05,1.81,1.84,1.81,1.83,1.83,407100
2021-01-06,1.82,1.88,1.82,1.87,1.87,616700
2021-01-07,1.87,1.97,1.87,1.95,1.95,1307500
2021-01-08,1.99,2.06,1.95,2.06,2.06,3190800
2021-01-11,2.08,2.14,2.06,2.08,2.08,641300
2021-01-12,2.1,2.1,1.9,1.94,1.94,1853200
2021-01-13,1.94,1.96,1.8,1.87,1.87,3858000
2021-01-14,1.86,1.9,1.86,1.87,1.87,596500
2021-01-15,1.89,1.89,1.85,1.86,1.86,309300
2021-01-18,1.87,1.9,1.86,1.89,1.89,572400
2021-01-19,1.91,1.94,1.89,1.92,1.92,807100
2021-01-20,1.92,1.95,1.92,1.93,1.93,263800
2021-01-21,1.94,1.94,1.91,1.91,1.91,238900
2021-01-22,1.94,1.94,1.87,1.89,1.89,322000
2021-01-25,1.89,1.91,1.85,1.86,1.86,284300
2021-01-26,1.85,1.87,1.84,1.84,1.84,188900
2021-01-27,1.85,1.86,1.84,1.84,1.84,145900
2021-01-28,1.86,1.89,1.84,1.85,1.85,176600
2021-01-29,1.86,1.88,1.84,1.85,1.85,191100
2021-02-01,1.85,1.86,1.84,1.85,1.85,89000
2021-02-02,1.85,1.91,1.85,1.9,1.9,263200
2021-02-03,1.92,1.92,1.87,1.89,1.89,117400
2021-02-04,1.9,1.9,1.85,1.88,1.88,217700
