Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,32.75,33.5,32.5,33.25,33.25,0
2020-01-03,33.0,33.75,33.0,33.5,33.5,0
2020-01-06,33.5,33.75,33.0,33.75,33.75,0
2020-01-07,33.75,34.0,33.5,34.0,34.0,0
2020-01-08,34.0,34.25,33.25,33.25,33.25,0
2020-01-09,33.5,34.25,33.5,33.5,33.5,0
2020-01-10,33.75,33.75,33.5,33.5,33.5,0
2020-01-13,33.75,34.25,33.5,33.75,33.75,0
2020-01-14,33.75,34.5,33.75,34.25,34.25,0
2020-01-15,34.25,34.25,33.75,34.25,34.25,0
2020-01-16,34.25,34.5,34.0,34.5,34.5,0
2020-01-17,34.5,35.5,34.5,35.25,35.25,0
2020-01-20,35.25,35.75,35.25,35.25,35.25,0
2020-01-21,35.5,35.5,35.25,35.25,35.25,0
2020-01-22,35.25,35.5,35.25,35.25,35.25,0
2020-01-23,35.25,35.5,34.5,35.0,35.0,0
2020-01-24,35.0,35.5,35.0,35.5,35.5,0
2020-01-27,35.0,35.5,34.75,35.5,35.5,0
2020-01-28,35.25,35.5,35.0,35.5,35.5,0
2020-01-29,35.25,35.75,35.25,35.75,35.75,0
2020-01-30,35.75,36.5,35.5,36.0,36.0,0
2020-01-31,36.0,36.25,35.5,36.25,36.25,0
2020-02-03,36.25,36.25,35.5,36.25,36.25,0
2020-02-04,36.25,36.25,36.0,36.0,36.0,0
2020-02-05,36.0,36.5,35.5,36.25,36.25,0
2020-02-06,36.25,36.25,35.75,36.0,36.0,0
2020-02-07,36.0,36.0,34.25,35.0,35.0,0
2020-02-11,35.0,35.75,34.75,35.5,35.5,0
2020-02-12,35.75,36.0,35.5,35.5,35.5,0
2020-02-13,35.5,36.0,35.5,35.75,35.75,0
2020-02-14,35.5,36.0,35.5,35.75,35.75,0
2020-02-17,35.5,36.0,35.25,35.5,35.5,0
2020-02-18,35.5,35.75,34.75,35.5,35.5,0
2020-02-19,35.25,35.25,34.75,35.0,35.0,0
2020-02-20,35.0,35.0,34.0,35.0,35.0,0
2020-02-21,34.75,34.75,34.25,34.5,34.5,0
2020-02-24,34.25,35.25,34.25,34.5,34.5,0
2020-02-25,34.25,34.75,33.5,34.0,34.0,0
2020-02-26,33.5,33.75,32.5,32.5,32.5,0
2020-02-27,32.5,33.5,32.5,33.25,33.25,0
2020-02-28,33.0,33.25,32.25,32.5,32.5,0
2020-03-02,32.25,32.5,31.5,32.0,32.0,0
2020-03-03,32.25,33.5,32.25,33.25,33.25,0
2020-03-04,32.75,33.25,32.5,33.25,33.25,0
2020-03-05,33.0,33.5,32.75,33.5,33.5,0
2020-03-06,33.25,33.25,32.75,33.0,33.0,0
2020-03-09,32.5,32.5,31.75,32.0,32.0,0
2020-03-10,32.0,32.25,31.75,32.0,32.0,0
2020-03-11,32.0,32.25,31.75,31.75,31.75,0
2020-03-12,31.75,32.0,29.5,30.0,30.0,0
2020-03-13,26.5,28.25,21.0,27.5,27.5,0
2020-03-16,25.0,26.75,25.0,26.75,26.75,0
2020-03-17,25.5,27.25,25.5,27.25,27.25,0
2020-03-18,27.5,29.5,27.25,28.0,28.0,0
2020-03-19,27.75,28.75,27.25,28.0,28.0,0
2020-03-20,28.25,28.5,27.5,28.5,28.5,0
2020-03-23,26.0,26.25,24.3,24.3,24.3,0
2020-03-24,24.2,24.2,20.8,21.1,21.1,0
2020-03-25,21.5,24.1,21.5,23.0,23.0,0
2020-03-26,23.0,24.3,23.0,23.9,23.9,0
2020-03-27,24.3,24.7,23.8,24.0,24.0,0
2020-03-30,23.7,24.0,23.4,24.0,24.0,0
2020-03-31,24.2,24.3,23.7,23.8,23.8,0
2020-04-01,23.5,23.8,23.5,23.6,23.6,0
2020-04-02,23.5,24.3,23.5,24.2,24.2,0
2020-04-03,24.1,24.2,23.8,24.0,24.0,0
2020-04-07,24.2,24.3,24.0,24.2,24.2,0
2020-04-08,24.2,24.2,23.4,23.7,23.7,0
2020-04-09,24.0,24.0,23.7,23.8,23.8,0
2020-04-10,23.9,24.9,23.8,24.8,24.8,0
2020-04-13,24.9,26.5,24.8,26.5,26.5,0
2020-04-14,26.25,28.5,26.0,28.0,28.0,0
2020-04-15,28.0,28.25,27.0,28.25,28.25,0
2020-04-16,28.0,28.0,27.25,27.75,27.75,0
2020-04-17,27.75,29.0,27.75,28.75,28.75,0
2020-04-20,29.0,29.0,27.75,27.75,27.75,0
2020-04-21,27.75,28.5,27.25,28.0,28.0,0
2020-04-22,28.0,29.25,28.0,29.25,29.25,0
2020-04-23,29.25,30.25,29.25,30.0,30.0,0
2020-04-24,29.75,30.75,29.5,29.75,29.75,0
2020-04-27,29.0,30.5,28.0,29.75,29.75,0
2020-04-28,29.5,30.0,29.25,29.75,29.75,0
2020-04-29,29.75,29.75,29.5,29.75,29.75,0
2020-04-30,29.75,30.0,29.5,29.75,29.75,0
2020-05-05,29.0,29.5,28.5,29.0,29.0,0
2020-05-07,29.0,29.0,28.75,28.75,28.75,0
2020-05-08,28.75,29.25,28.75,29.25,29.25,0
2020-05-11,29.5,29.75,29.25,29.5,29.5,0
2020-05-12,29.25,29.75,29.25,29.75,29.75,0
2020-05-13,29.75,29.75,29.5,29.75,29.75,0
2020-05-14,29.75,29.75,29.5,29.5,29.5,0
2020-05-15,29.75,29.75,29.25,29.5,29.5,0
2020-05-18,29.5,29.5,28.75,29.25,29.25,0
2020-05-19,29.25,29.5,29.25,29.25,29.25,0
2020-05-20,29.5,29.5,29.0,29.25,29.25,0
2020-05-21,29.25,29.5,29.0,29.5,29.5,0
2020-05-22,29.5,29.5,28.75,28.75,28.75,0
2020-05-25,28.75,28.75,28.25,28.5,28.5,0
2020-05-26,29.0,29.25,28.75,29.25,29.25,0
2020-05-27,29.25,29.5,28.75,29.25,29.25,0
2020-05-28,29.5,29.5,29.0,29.5,29.5,0
2020-05-29,29.5,29.5,28.75,29.0,29.0,0
2020-06-01,28.75,29.25,27.75,28.0,28.0,0
2020-06-02,28.25,28.75,28.0,28.25,28.25,0
2020-06-04,28.5,29.25,28.25,28.75,28.75,0
2020-06-05,29.0,29.0,28.5,29.0,29.0,0
2020-06-08,29.0,29.25,28.5,29.0,29.0,0
2020-06-09,29.0,29.0,28.25,28.25,28.25,0
2020-06-10,28.25,28.75,28.25,28.5,28.5,0
2020-06-11,28.5,28.75,28.25,28.25,28.25,0
2020-06-12,28.0,28.25,27.5,28.0,28.0,0
2020-06-15,28.0,28.25,27.5,27.5,27.5,0
2020-06-16,27.75,28.25,27.75,28.0,28.0,0
2020-06-17,28.25,28.5,28.0,28.0,28.0,0
2020-06-18,28.0,28.0,27.75,28.0,28.0,0
2020-06-19,27.75,28.5,27.75,28.5,28.5,0
2020-06-22,28.5,28.5,27.75,28.0,28.0,0
2020-06-23,28.0,28.25,27.75,27.75,27.75,0
2020-06-24,28.0,28.0,27.25,27.25,27.25,0
2020-06-25,27.0,27.25,26.75,27.0,27.0,0
2020-06-26,27.25,27.25,27.0,27.25,27.25,0
2020-06-29,27.0,27.0,25.25,26.0,26.0,0
2020-06-30,26.0,26.5,26.0,26.0,26.0,0
2020-07-01,26.25,26.75,26.0,26.0,26.0,0
2020-07-02,26.5,27.5,26.25,27.0,27.0,0
2020-07-03,27.5,27.5,26.5,26.75,26.75,0
2020-07-07,27.5,27.75,27.0,27.25,27.25,0
2020-07-08,27.0,27.5,26.75,27.0,27.0,0
2020-07-09,26.75,27.25,26.75,27.25,27.25,0
2020-07-10,27.0,27.25,26.75,26.75,26.75,0
2020-07-13,27.0,27.0,26.0,26.0,26.0,0
2020-07-14,26.0,26.0,25.0,25.5,25.5,0
2020-07-15,25.5,26.0,25.25,25.5,25.5,0
2020-07-16,25.5,26.0,25.25,25.75,25.75,0
2020-07-17,25.75,25.75,25.5,25.75,25.75,0
2020-07-20,25.5,25.5,25.0,25.0,25.0,0
2020-07-21,25.25,25.25,25.0,25.25,25.25,0
2020-07-22,25.25,25.5,25.0,25.5,25.5,0
2020-07-23,25.25,25.75,24.9,25.5,25.5,0
2020-07-24,25.25,25.5,24.9,24.9,24.9,0
2020-07-29,24.9,25.0,24.3,24.9,24.9,0
2020-07-30,24.9,24.9,24.3,24.4,24.4,0
2020-07-31,24.3,24.7,24.3,24.5,24.5,0
2020-08-03,24.6,24.6,24.2,24.3,24.3,0
2020-08-04,24.3,24.3,23.5,23.8,23.8,0
2020-08-05,23.7,23.7,22.9,23.2,23.2,0
2020-08-06,23.1,23.5,23.0,23.0,23.0,0
2020-08-07,23.1,23.1,22.5,22.7,22.7,0
2020-08-10,22.7,22.8,21.8,22.0,22.0,0
2020-08-11,22.0,23.8,21.9,23.4,23.4,0
2020-08-13,23.5,24.5,23.1,24.5,24.5,0
2020-08-14,24.4,24.5,23.9,23.9,23.9,0
2020-08-17,23.5,24.0,23.5,23.6,23.6,0
2020-08-18,23.8,23.8,23.3,23.4,23.4,0
2020-08-19,23.4,23.4,22.9,22.9,22.9,0
2020-08-20,23.0,23.3,23.0,23.0,23.0,0
2020-08-21,23.0,23.2,22.8,22.8,22.8,0
2020-08-24,22.8,22.9,22.5,22.6,22.6,0
2020-08-25,22.6,23.2,22.6,23.1,23.1,0
2020-08-26,23.1,23.9,23.1,23.9,23.9,0
2020-08-27,23.9,23.9,23.5,23.7,23.7,0
2020-08-28,23.7,24.4,23.5,24.0,24.0,0
2020-08-31,24.0,24.3,23.9,24.1,24.1,0
2020-09-01,24.4,24.9,24.2,24.6,24.6,0
2020-09-02,24.7,25.25,24.7,25.0,25.0,0
2020-09-03,24.7,25.0,24.7,24.9,24.9,0
2020-09-08,24.7,24.7,23.2,24.3,24.3,0
2020-09-09,24.0,24.4,24.0,24.3,24.3,0
2020-09-10,24.6,24.6,24.2,24.6,24.6,0
2020-09-11,24.5,24.9,24.5,24.5,24.5,0
2020-09-14,24.8,24.8,24.5,24.5,24.5,0
2020-09-15,24.5,24.7,24.5,24.6,24.6,0
2020-09-16,24.7,24.8,24.6,24.6,24.6,0
2020-09-17,24.7,25.25,24.6,24.6,24.6,0
2020-09-18,24.7,25.0,24.7,25.0,25.0,0
2020-09-21,24.7,25.25,24.7,24.8,24.8,0
2020-09-22,24.9,24.9,24.5,24.7,24.7,0
2020-09-23,24.5,24.8,24.4,24.6,24.6,0
2020-09-24,24.6,24.9,24.5,24.9,24.9,0
2020-09-25,24.9,24.9,24.6,24.9,24.9,0
2020-09-28,24.9,24.9,24.7,24.9,24.9,0
2020-09-29,24.8,24.8,24.5,24.5,24.5,0
2020-09-30,24.5,24.6,24.4,24.4,24.4,0
2020-10-01,24.4,24.4,23.7,23.9,23.9,0
2020-10-02,24.0,24.0,23.5,23.6,23.6,0
2020-10-05,23.2,23.3,22.6,22.6,22.6,0
2020-10-06,22.7,23.1,22.7,22.7,22.7,0
2020-10-07,22.7,22.8,22.4,22.4,22.4,0
2020-10-08,22.4,22.5,21.7,21.7,21.7,0
2020-10-09,21.8,22.0,21.6,21.7,21.7,0
2020-10-12,21.5,22.3,21.5,21.9,21.9,0
2020-10-14,21.9,22.0,21.6,21.9,21.9,0
2020-10-15,21.9,21.9,21.6,21.7,21.7,0
2020-10-16,21.7,21.7,21.3,21.4,21.4,0
2020-10-19,21.3,21.3,20.4,20.5,20.5,0
2020-10-20,20.7,20.8,19.8,20.0,20.0,0
2020-10-21,20.0,20.0,18.8,18.9,18.9,0
2020-10-22,18.8,18.8,16.8,17.4,17.4,0
2020-10-26,17.3,18.0,17.3,17.5,17.5,0
2020-10-27,17.5,17.8,17.3,17.6,17.6,0
2020-10-28,17.9,18.4,17.8,18.3,18.3,0
2020-10-29,18.2,18.2,17.8,18.1,18.1,0
2020-10-30,18.0,18.5,18.0,18.2,18.2,0
2020-11-02,18.2,19.1,18.2,18.7,18.7,0
2020-11-03,18.8,18.8,18.5,18.6,18.6,0
2020-11-04,18.6,18.6,18.4,18.4,18.4,0
2020-11-05,18.6,18.9,18.5,18.7,18.7,0
2020-11-06,18.7,18.7,18.6,18.6,18.6,0
