Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.86,1.98,1.86,1.98,1.98,8537900
2020-09-24,1.98,2.06,1.91,1.99,1.99,23508400
2020-09-25,2.04,2.24,2.02,2.24,2.24,69623100
2020-09-28,2.2,2.26,2.16,2.22,2.22,20564800
2020-09-29,2.28,2.36,2.18,2.2,2.2,29160100
2020-09-30,2.2,2.22,2.08,2.12,2.12,10887300
2020-10-01,2.18,2.24,2.06,2.2,2.2,13811000
2020-10-02,2.28,2.32,2.2,2.22,2.22,18207100
2020-10-05,2.22,2.38,2.22,2.32,2.32,27119200
2020-10-06,2.36,2.56,2.36,2.54,2.54,46709600
2020-10-07,2.54,2.7,2.5,2.6,2.6,41046700
2020-10-08,2.64,2.66,2.42,2.54,2.54,26026200
2020-10-09,2.54,2.58,2.44,2.54,2.54,18051700
2020-10-12,2.56,2.66,2.5,2.54,2.54,17617900
2020-10-14,2.54,2.58,2.48,2.5,2.5,10387000
2020-10-15,2.46,2.5,2.38,2.4,2.4,10730500
2020-10-16,2.36,2.44,2.16,2.28,2.28,18146500
2020-10-19,2.2,2.2,2.04,2.12,2.12,14281200
2020-10-20,2.12,2.28,2.12,2.28,2.28,11106600
2020-10-21,2.38,2.38,2.24,2.24,2.24,10902900
2020-10-22,2.22,2.3,2.16,2.22,2.22,6049200
2020-10-26,2.2,2.32,2.18,2.26,2.26,4828100
2020-10-27,2.26,2.38,2.26,2.38,2.38,10396400
2020-10-28,2.42,2.48,2.38,2.38,2.38,10198500
2020-10-29,2.32,2.36,2.26,2.32,2.32,3780200
2020-10-30,2.28,2.32,2.24,2.24,2.24,3419800
2020-11-02,2.26,2.26,2.2,2.24,2.24,2016600
2020-11-03,2.28,2.32,2.24,2.3,2.3,4633400
2020-11-04,2.3,2.32,2.24,2.28,2.28,2777100
2020-11-05,2.28,2.32,2.26,2.28,2.28,2562000
2020-11-06,2.28,2.34,2.24,2.26,2.26,6329500
2020-11-09,2.3,2.3,2.26,2.26,2.26,2690500
2020-11-10,2.26,2.26,2.06,2.06,2.06,11500000
2020-11-11,2.1,2.1,1.99,2.08,2.08,4707700
2020-11-12,2.06,2.14,2.06,2.12,2.12,3161800
2020-11-13,2.02,2.08,1.99,2.06,2.06,4537200
2020-11-16,2.08,2.16,2.06,2.16,2.16,4716100
2020-11-17,2.18,2.24,2.1,2.1,2.1,4271400
2020-11-18,2.1,2.14,2.08,2.12,2.12,1869000
2020-11-19,2.12,2.2,2.1,2.18,2.18,3635700
2020-11-20,2.18,2.2,2.14,2.18,2.18,3144600
2020-11-23,2.2,2.2,2.14,2.16,2.16,2598900
2020-11-24,2.16,2.18,2.12,2.12,2.12,2814900
2020-11-25,2.12,2.16,2.1,2.1,2.1,2810800
2020-11-26,2.1,2.18,2.08,2.18,2.18,2780700
2020-11-27,2.22,2.36,2.2,2.36,2.36,20006100
2020-11-30,2.46,2.52,2.36,2.38,2.38,28972900
2020-12-01,2.38,2.42,2.22,2.3,2.3,9949700
2020-12-02,2.34,2.34,2.24,2.26,2.26,4374100
2020-12-03,2.28,2.32,2.28,2.28,2.28,2830200
2020-12-04,2.28,2.32,2.24,2.26,2.26,3130100
2020-12-08,2.26,2.26,2.12,2.14,2.14,7431100
2020-12-09,2.16,2.16,2.1,2.12,2.12,4406700
2020-12-14,2.14,2.16,2.06,2.1,2.1,4968800
2020-12-15,2.1,2.12,2.06,2.1,2.1,2410600
2020-12-16,2.14,2.24,2.12,2.18,2.18,6580200
2020-12-17,2.22,2.22,2.18,2.2,2.2,2709100
2020-12-18,2.16,2.2,2.14,2.18,2.18,2416500
2020-12-21,2.0,2.14,1.99,2.04,2.04,4679600
2020-12-22,2.02,2.06,1.98,2.02,2.02,2790400
2020-12-23,2.04,2.1,2.02,2.06,2.06,2000100
2020-12-24,2.06,2.1,2.04,2.08,2.08,1659200
2020-12-25,2.08,2.1,2.04,2.06,2.06,1150500
2020-12-28,2.04,2.04,1.98,2.02,2.02,2573100
2020-12-29,2.0,2.06,2.0,2.06,2.06,1126200
2020-12-30,2.08,2.08,2.0,2.02,2.02,1412800
2021-01-04,1.95,2.08,1.95,2.04,2.04,1353700
2021-01-05,2.04,2.08,2.02,2.04,2.04,2085700
2021-01-06,2.04,2.1,2.04,2.08,2.08,2605500
2021-01-07,2.1,2.18,2.06,2.16,2.16,4781700
2021-01-08,2.18,2.2,2.1,2.1,2.1,3996100
2021-01-11,2.14,2.26,2.1,2.26,2.26,15000400
2021-01-12,2.26,2.28,2.2,2.2,2.2,5859100
2021-01-13,2.22,2.22,2.14,2.14,2.14,3900900
2021-01-14,2.18,2.36,2.16,2.34,2.34,25657100
2021-01-15,2.28,2.3,2.22,2.26,2.26,11462100
2021-01-18,2.22,2.3,2.22,2.28,2.28,4357200
2021-01-19,2.3,2.36,2.26,2.32,2.32,9425400
2021-01-20,2.34,2.34,2.24,2.24,2.24,4270900
2021-01-21,2.24,2.28,2.2,2.22,2.22,3405500
2021-01-22,2.22,2.24,2.1,2.14,2.14,5104800
2021-01-25,2.14,2.16,2.1,2.14,2.14,2511900
2021-01-26,2.16,2.16,2.1,2.12,2.12,2693200
2021-01-27,2.12,2.14,2.08,2.12,2.12,3135800
2021-01-28,2.12,2.18,2.04,2.04,2.04,5800800
2021-01-29,2.08,2.1,2.06,2.1,2.1,2448400
2021-02-01,2.08,2.14,2.06,2.12,2.12,2757100
2021-02-02,2.12,2.16,2.12,2.14,2.14,3906700
2021-02-03,2.16,2.26,2.16,2.22,2.22,13760900
2021-02-04,2.26,2.28,2.18,2.18,2.18,5436300
2021-02-05,2.2,2.34,2.18,2.32,2.32,21624700
2021-02-08,2.38,2.44,2.34,2.34,2.34,22966900
2021-02-09,2.36,2.38,2.28,2.36,2.36,7353800
2021-02-10,2.36,2.44,2.3,2.3,2.3,19162400
2021-02-11,2.3,2.32,2.22,2.26,2.26,7173600
2021-02-15,2.28,2.28,2.22,2.24,2.24,3771200
2021-02-16,2.24,2.32,2.24,2.26,2.26,7620400
2021-02-17,2.28,2.46,2.28,2.42,2.42,37746900
2021-02-18,2.44,2.48,2.32,2.32,2.32,35508200
2021-02-19,2.34,2.4,2.24,2.36,2.36,16823100
2021-02-22,2.36,2.42,2.26,2.26,2.26,9305400
2021-02-23,2.18,2.24,2.14,2.22,2.22,11987600
2021-02-24,2.26,2.36,2.26,2.3,2.3,15893200
2021-02-25,2.34,2.42,2.28,2.3,2.3,19145800
2021-03-01,2.3,2.36,2.26,2.32,2.32,4764300
2021-03-02,2.34,2.64,2.32,2.44,2.44,83664400
2021-03-03,2.44,2.54,2.4,2.5,2.5,23472000
2021-03-04,2.52,2.66,2.48,2.52,2.52,37727400
2021-03-05,2.44,2.5,2.44,2.44,2.44,5613000
2021-03-08,2.46,2.5,2.38,2.4,2.4,7522400
2021-03-09,2.44,2.6,2.4,2.5,2.5,21731200
2021-03-10,2.52,2.6,2.48,2.56,2.56,10371400
2021-03-11,2.62,2.64,2.52,2.52,2.52,6769600
2021-03-12,2.54,2.58,2.46,2.5,2.5,6292500
2021-03-15,2.56,2.56,2.46,2.48,2.48,4965900
2021-03-16,2.5,2.8,2.48,2.78,2.78,70069700
2021-03-17,2.88,2.96,2.82,2.82,2.82,29665600
2021-03-18,2.86,3.06,2.84,3.0,3.0,30121200
2021-03-19,3.0,3.24,2.96,3.16,3.16,30574400
2021-03-22,3.18,3.26,3.12,3.2,3.2,21656100
2021-03-23,3.22,3.22,3.0,3.12,3.12,13853500
2021-03-24,3.1,3.14,3.06,3.1,3.1,3602100
2021-03-25,3.16,3.22,3.1,3.12,3.12,5177100
2021-03-26,3.12,3.16,3.02,3.1,3.1,5751600
2021-03-29,3.1,3.14,3.06,3.12,3.12,4043300
2021-03-30,3.1,3.46,3.1,3.4,3.4,23505600
2021-03-31,3.36,3.36,3.22,3.34,3.34,7937900
2021-04-01,3.36,3.48,3.3,3.44,3.44,11261200
2021-04-02,3.44,3.46,3.28,3.32,3.32,4974100
2021-04-05,3.32,3.38,3.12,3.16,3.16,6858800
2021-04-07,3.08,3.14,3.0,3.12,3.12,6920000
2021-04-08,3.06,3.22,3.06,3.2,3.2,4597800
2021-04-09,3.28,3.36,3.18,3.2,3.2,8965700
2021-04-12,3.18,3.18,3.08,3.1,3.1,3569900
2021-04-16,3.1,3.2,3.04,3.2,3.2,6070800
2021-04-19,3.28,3.68,3.26,3.66,3.66,36658800
2021-04-20,3.64,3.66,3.54,3.6,3.6,8199200
2021-04-21,3.6,3.98,3.58,3.88,3.88,18558700
2021-04-22,3.98,4.0,3.88,3.88,3.88,6778100
2021-04-23,3.92,3.92,3.64,3.72,3.72,6939200
2021-04-26,3.7,3.82,3.66,3.72,3.72,3894500
2021-04-27,3.74,3.84,3.72,3.84,3.84,5794100
2021-04-28,3.86,4.16,3.72,3.88,3.88,19885300
2021-04-29,3.9,3.92,3.74,3.8,3.8,3610100
2021-04-30,3.82,3.92,3.82,3.88,3.88,3087800
2021-05-05,3.94,3.96,3.86,3.88,3.88,4195000
2021-05-06,3.88,4.4,3.86,4.28,4.28,22965600
2021-05-07,4.42,4.52,4.34,4.42,4.42,12080200
2021-05-10,4.4,4.5,4.34,4.5,4.5,4299400
2021-05-11,4.5,4.6,4.36,4.5,4.5,7604100
2021-05-12,4.5,4.52,4.36,4.4,4.4,2769500
2021-05-13,4.34,4.46,3.1,4.26,4.26,14693700
2021-05-14,4.3,4.32,4.0,4.12,4.12,6087600
2021-05-17,4.02,4.02,3.8,3.92,3.92,4970700
2021-05-18,3.82,3.94,3.82,3.82,3.82,5615300
2021-05-19,3.84,3.98,3.82,3.88,3.88,3059000
2021-05-20,3.9,3.96,3.86,3.9,3.9,3658300
2021-05-21,3.94,4.02,3.72,3.78,3.78,11891300
2021-05-24,3.78,3.84,3.64,3.7,3.7,2803100
2021-05-25,3.76,3.76,3.6,3.6,3.6,5252100
2021-05-27,3.62,3.7,3.6,3.62,3.62,3918300
2021-05-28,3.64,3.74,3.64,3.68,3.68,3913500
2021-05-31,3.68,3.68,3.56,3.6,3.6,2993000
2021-06-01,3.62,3.74,3.56,3.7,3.7,3794400
2021-06-02,3.74,4.0,3.72,4.0,4.0,11959600
2021-06-04,3.96,4.18,3.92,4.04,4.04,19073200
2021-06-07,4.14,4.14,4.04,4.04,4.04,5802400
2021-06-08,4.08,4.08,3.92,3.98,3.98,3167800
2021-06-09,3.98,4.0,3.86,3.88,3.88,4846300
2021-06-10,3.9,3.96,3.88,3.92,3.92,2098300
2021-06-11,3.92,3.94,3.84,3.86,3.86,1611900
2021-06-14,3.78,3.88,3.78,3.82,3.82,3407800
2021-06-15,3.82,3.86,3.66,3.68,3.68,6152900
2021-06-16,3.62,3.78,3.62,3.74,3.74,3466000
2021-06-17,3.76,3.82,3.74,3.76,3.76,3175800
2021-06-18,3.82,3.82,3.74,3.74,3.74,1608000
2021-06-21,3.72,3.74,3.68,3.7,3.7,997000
2021-06-22,3.76,4.14,3.7,4.08,4.08,30166300
2021-06-23,4.1,4.26,3.94,3.96,3.96,31873700
2021-06-24,3.92,4.1,3.92,4.04,4.04,10034600
2021-06-25,4.1,4.3,4.04,4.16,4.16,36117400
2021-06-28,4.16,4.34,4.08,4.2,4.2,38851300
2021-06-29,4.2,4.2,4.08,4.1,4.1,10701900
2021-06-30,4.12,4.18,4.06,4.08,4.08,4259900
2021-07-01,4.1,4.14,4.02,4.02,4.02,8695300
