Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.62,2.66,2.56,2.6,2.6,2250300
2020-09-24,2.58,2.62,2.5,2.54,2.54,1141100
2020-09-25,2.56,2.6,2.54,2.54,2.54,1126200
2020-09-28,2.56,2.68,2.54,2.58,2.58,2639100
2020-09-29,2.62,2.74,2.6,2.6,2.6,6942000
2020-09-30,2.62,2.62,2.52,2.52,2.52,2002000
2020-10-01,2.52,2.54,2.42,2.48,2.48,2385800
2020-10-02,2.46,2.54,2.46,2.5,2.5,792100
2020-10-05,2.5,2.64,2.5,2.62,2.62,2361200
2020-10-06,2.62,2.62,2.56,2.56,2.56,934700
2020-10-07,2.6,2.62,2.56,2.6,2.6,3563300
2020-10-08,2.66,2.66,2.48,2.5,2.5,7350800
2020-10-09,2.5,2.54,2.44,2.44,2.44,3040000
2020-10-12,2.44,2.5,2.4,2.42,2.42,3062400
2020-10-14,2.42,2.52,2.4,2.42,2.42,1988100
2020-10-15,2.44,2.46,2.18,2.18,2.18,4897100
2020-10-16,2.2,2.32,2.08,2.08,2.08,7819000
2020-10-19,2.04,2.06,1.95,2.0,2.0,2228000
2020-10-20,2.0,2.04,1.97,1.99,1.99,1189700
2020-10-21,2.04,2.16,2.02,2.06,2.06,7468000
2020-10-22,2.1,2.1,1.95,1.96,1.96,5730700
2020-10-26,1.96,2.06,1.95,2.0,2.0,1735200
2020-10-27,2.0,2.06,1.99,2.02,2.02,2993800
2020-10-28,2.04,2.12,2.02,2.06,2.06,3813400
2020-10-29,2.06,2.06,1.99,2.02,2.02,1523100
2020-10-30,2.02,2.04,1.97,1.98,1.98,925100
2020-11-02,2.0,2.0,1.97,1.98,1.98,309200
2020-11-03,1.99,2.04,1.99,2.02,2.02,1172400
2020-11-04,2.0,2.04,1.99,2.0,2.0,758800
2020-11-05,2.02,2.04,2.0,2.02,2.02,1054300
2020-11-06,2.04,2.04,2.0,2.02,2.02,704600
2020-11-09,2.02,2.04,2.0,2.02,2.02,963300
2020-11-10,2.0,2.04,1.98,1.98,1.98,1594200
2020-11-11,2.0,2.0,1.98,1.98,1.98,558000
2020-11-12,1.99,2.02,1.99,1.99,1.99,420500
2020-11-13,1.99,2.08,1.99,2.04,2.04,2560200
2020-11-16,2.02,2.08,2.02,2.06,2.06,1662900
2020-11-17,2.06,2.1,2.0,2.02,2.02,1851600
2020-11-18,2.06,2.12,2.04,2.06,2.06,3418400
2020-11-19,2.08,2.28,2.06,2.24,2.24,10511200
2020-11-20,2.26,2.34,2.22,2.3,2.3,6027700
2020-11-23,2.32,2.34,2.26,2.26,2.26,2737300
2020-11-24,2.26,2.44,2.24,2.4,2.4,7957000
2020-11-25,2.5,2.56,2.38,2.42,2.42,23868600
2020-11-26,2.42,2.52,2.42,2.5,2.5,5068000
2020-11-27,2.58,2.6,2.48,2.48,2.48,8888400
2020-11-30,2.48,2.48,2.36,2.38,2.38,3798700
2020-12-01,2.38,2.42,2.36,2.38,2.38,2244100
2020-12-02,2.38,2.44,2.34,2.34,2.34,2384600
2020-12-03,2.38,2.4,2.34,2.4,2.4,1930900
2020-12-04,2.44,2.46,2.38,2.38,2.38,3081700
2020-12-08,2.34,2.4,2.32,2.36,2.36,1881200
2020-12-09,2.36,2.46,2.36,2.42,2.42,5074200
2020-12-14,2.46,2.58,2.46,2.56,2.56,18795000
2020-12-15,2.56,2.58,2.48,2.52,2.52,6362000
2020-12-16,2.54,2.54,2.48,2.5,2.5,2689000
2020-12-17,2.5,2.58,2.5,2.5,2.5,2641300
2020-12-18,2.54,2.68,2.54,2.68,2.68,10145300
2020-12-21,2.56,2.62,2.34,2.34,2.34,13152800
