Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,153.5,154.5,150.0,151.5,151.5,3000000
2020-09-24,151.0,156.5,150.5,156.0,156.0,5204800
2020-09-25,157.0,158.0,152.0,153.0,153.0,3627600
2020-09-28,154.5,155.0,148.0,148.5,148.5,3354500
2020-09-29,150.5,161.0,150.0,155.0,155.0,7826800
2020-09-30,154.5,157.0,152.0,156.5,156.5,3225800
2020-10-01,156.5,165.5,156.5,164.5,164.5,4194000
2020-10-02,166.5,178.0,166.0,175.0,175.0,5455400
2020-10-05,176.5,178.5,170.5,175.5,175.5,5122400
2020-10-06,176.5,176.5,171.0,171.0,171.0,3770600
2020-10-07,172.5,182.5,171.5,179.0,179.0,5298000
2020-10-08,180.0,205.0,179.5,195.5,195.5,9901800
2020-10-09,199.0,202.0,192.5,193.5,193.5,3928400
2020-10-12,195.0,198.5,192.5,195.5,195.5,2620300
2020-10-14,196.0,200.0,194.0,200.0,200.0,4206200
2020-10-15,198.5,201.0,185.0,185.0,185.0,6422600
2020-10-16,186.5,190.5,180.0,184.0,184.0,4597800
2020-10-19,186.0,188.0,183.0,186.0,186.0,3187400
2020-10-20,186.5,187.0,181.5,181.5,181.5,1980600
2020-10-21,183.5,187.0,183.0,184.0,184.0,1732500
2020-10-22,183.5,183.5,176.5,178.5,178.5,5722200
2020-10-26,180.0,181.5,177.0,179.5,179.5,1448900
2020-10-27,182.0,183.5,175.0,175.0,175.0,2561000
2020-10-28,176.5,188.0,173.0,186.0,186.0,4655900
2020-10-29,184.5,187.5,179.5,180.5,180.5,2107000
2020-10-30,179.5,183.5,178.0,179.0,179.0,1372300
2020-11-02,178.0,181.0,174.0,181.0,181.0,2764400
2020-11-03,182.0,187.0,179.0,179.0,179.0,2987500
2020-11-04,180.5,198.5,180.5,194.0,194.0,7090500
2020-11-05,198.5,199.0,193.0,199.0,199.0,4070700
2020-11-06,198.5,198.5,188.0,189.5,189.5,3699900
2020-11-09,193.5,194.5,189.5,193.5,193.5,2266300
2020-11-10,178.0,185.0,161.0,163.5,163.5,7505700
2020-11-11,167.0,171.5,164.0,167.0,167.0,6462100
2020-11-12,169.0,175.5,168.5,173.5,173.5,4458700
2020-11-13,172.5,177.5,172.5,175.0,175.0,2027500
2020-11-16,177.5,180.0,175.5,178.0,178.0,2018100
2020-11-17,180.0,184.5,180.0,181.5,181.5,1594600
2020-11-18,184.0,190.0,183.5,188.0,188.0,2999100
2020-11-19,189.5,194.5,189.5,194.5,194.5,2435800
2020-11-20,196.0,198.0,190.0,190.5,190.5,2307200
2020-11-23,192.5,202.0,192.0,198.5,198.5,4007800
2020-11-24,196.5,198.0,193.0,193.0,193.0,2128000
2020-11-25,197.5,197.5,193.5,195.5,195.5,2386800
2020-11-26,196.5,225.0,196.5,225.0,225.0,9893400
2020-11-27,229.0,247.0,228.0,236.0,236.0,8990000
2020-11-30,241.0,246.0,223.0,231.0,231.0,32912800
2020-12-01,232.0,234.0,226.0,228.0,228.0,3394800
2020-12-02,231.0,238.0,227.0,232.0,232.0,3693300
2020-12-03,234.0,247.0,230.0,247.0,247.0,4805600
2020-12-04,249.0,257.0,246.0,257.0,257.0,4674100
2020-12-08,258.0,332.0,258.0,327.0,327.0,12435600
2020-12-09,350.0,406.0,336.0,343.0,343.0,17038000
2020-12-14,378.0,379.0,354.0,374.0,374.0,7542100
2020-12-15,370.0,370.0,347.0,354.0,354.0,4743300
2020-12-16,359.0,362.0,336.0,346.0,346.0,3688200
2020-12-17,348.0,365.0,341.0,356.0,356.0,5550300
2020-12-18,356.0,362.0,353.0,361.0,361.0,4536600
2020-12-21,356.0,381.0,356.0,361.0,361.0,4775700
2020-12-22,368.0,378.0,364.0,378.0,378.0,3198800
2020-12-23,377.0,444.0,376.0,420.0,420.0,10405800
2020-12-24,420.0,544.0,408.0,536.0,536.0,15651800
2020-12-25,574.0,686.0,570.0,684.0,684.0,13088800
2020-12-28,730.0,838.0,560.0,560.0,560.0,15733900
2020-12-29,498.0,576.0,396.0,438.0,438.0,17888400
2020-12-30,444.0,566.0,442.0,486.0,486.0,21797600
2021-01-04,510.0,540.0,482.0,528.0,528.0,9449400
2021-01-05,556.0,656.0,530.0,656.0,656.0,10675900
2021-01-06,570.0,608.0,526.0,568.0,568.0,3460600
2021-01-07,564.0,574.0,544.0,564.0,564.0,2534700
2021-01-08,582.0,718.0,582.0,718.0,718.0,5758900
2021-01-11,736.0,804.0,688.0,748.0,748.0,3791400
2021-01-12,726.0,744.0,686.0,732.0,732.0,2365500
2021-01-13,746.0,746.0,700.0,700.0,700.0,1459400
2021-01-14,660.0,692.0,610.0,630.0,630.0,3039300
2021-01-15,610.0,632.0,544.0,580.0,580.0,2503700
2021-01-18,544.0,574.0,526.0,560.0,560.0,1529900
2021-01-19,580.0,622.0,576.0,622.0,622.0,1933800
2021-01-20,602.0,612.0,574.0,600.0,600.0,1602100
2021-01-21,584.0,592.0,556.0,558.0,558.0,1686800
2021-01-22,548.0,578.0,524.0,544.0,544.0,2227100
2021-01-25,540.0,542.0,496.0,504.0,504.0,1233000
2021-01-26,482.0,556.0,474.0,556.0,556.0,2908900
2021-01-27,530.0,540.0,502.0,502.0,502.0,1516700
2021-01-28,480.0,528.0,476.0,488.0,488.0,1603400
2021-01-29,500.0,528.0,484.0,528.0,528.0,1763100
2021-02-01,522.0,522.0,490.0,490.0,490.0,1227200
2021-02-02,510.0,510.0,492.0,500.0,500.0,852700
2021-02-03,500.0,502.0,480.0,480.0,480.0,952200
2021-02-04,480.0,488.0,464.0,472.0,472.0,995600
2021-02-05,460.0,472.0,450.0,460.0,460.0,798900
2021-02-08,468.0,468.0,442.0,444.0,444.0,841200
