Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.88,2.9,2.88,2.9,2.9,93900
2020-09-24,2.9,2.9,2.86,2.9,2.9,38900
2020-09-25,2.86,2.9,2.86,2.9,2.9,48600
2020-09-28,2.88,2.92,2.86,2.88,2.88,108500
2020-09-29,2.9,2.9,2.82,2.82,2.82,368500
2020-09-30,2.82,2.88,2.8,2.8,2.8,273700
2020-10-01,2.78,2.86,2.78,2.84,2.84,111700
2020-10-02,2.84,2.84,2.8,2.82,2.82,33000
2020-10-05,2.88,2.88,2.82,2.86,2.86,34400
2020-10-06,2.88,2.88,2.82,2.82,2.82,97600
2020-10-07,2.82,2.86,2.8,2.82,2.82,138900
2020-10-08,2.84,2.84,2.8,2.82,2.82,68400
2020-10-09,2.8,2.88,2.8,2.84,2.84,277200
2020-10-12,2.84,2.84,2.82,2.84,2.84,42400
2020-10-14,2.84,2.84,2.82,2.82,2.82,56200
2020-10-15,2.8,2.84,2.8,2.8,2.8,195100
2020-10-16,2.82,2.82,2.72,2.74,2.74,225100
2020-10-19,2.66,2.74,2.64,2.64,2.64,397700
2020-10-20,2.64,2.7,2.64,2.66,2.66,84800
2020-10-21,2.66,2.74,2.66,2.7,2.7,57100
2020-10-22,2.7,2.7,2.68,2.68,2.68,58100
2020-10-26,2.68,2.68,2.64,2.66,2.66,12000
2020-10-27,2.68,2.68,2.64,2.68,2.68,26800
2020-10-28,2.68,2.68,2.62,2.62,2.62,81100
2020-10-29,2.62,2.64,2.6,2.62,2.62,92500
2020-10-30,2.6,2.82,2.6,2.7,2.7,256700
2020-11-02,2.7,2.7,2.62,2.64,2.64,123900
2020-11-03,2.64,2.68,2.64,2.68,2.68,81000
2020-11-04,2.68,2.68,2.66,2.68,2.68,33300
2020-11-05,2.68,2.76,2.66,2.68,2.68,226300
2020-11-06,2.7,2.7,2.68,2.7,2.7,99400
2020-11-09,2.7,2.74,2.7,2.72,2.72,217800
2020-11-10,2.74,2.74,2.7,2.74,2.74,343000
2020-11-11,2.74,2.74,2.7,2.7,2.7,153300
2020-11-12,2.7,2.74,2.7,2.72,2.72,212400
2020-11-13,2.72,2.72,2.7,2.72,2.72,49000
2020-11-16,2.7,2.7,2.68,2.68,2.68,315700
2020-11-17,2.7,2.72,2.68,2.7,2.7,56500
2020-11-18,2.7,2.74,2.68,2.72,2.72,186800
2020-11-19,2.72,2.76,2.7,2.72,2.72,289200
2020-11-20,2.76,2.76,2.66,2.72,2.72,382200
2020-11-23,2.72,2.74,2.68,2.72,2.72,905300
2020-11-24,2.72,2.72,2.68,2.7,2.7,310200
2020-11-25,2.7,2.7,2.64,2.66,2.66,643400
2020-11-26,2.66,2.7,2.64,2.68,2.68,531900
2020-11-27,2.68,2.72,2.66,2.7,2.7,432600
