Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.45,6.45,6.4,6.4,6.4,0
2020-01-03,6.4,6.45,6.4,6.45,6.45,0
2020-01-06,6.4,6.4,6.35,6.4,6.4,0
2020-01-07,6.35,6.4,6.35,6.4,6.4,0
2020-01-08,6.35,6.35,6.25,6.3,6.3,0
2020-01-09,6.3,6.4,6.3,6.35,6.35,0
2020-01-10,6.35,6.4,6.35,6.4,6.4,0
2020-01-13,6.4,6.4,6.35,6.4,6.4,0
2020-01-14,6.4,6.4,6.35,6.4,6.4,0
2020-01-15,6.4,6.4,6.4,6.4,6.4,0
2020-01-16,6.4,6.5,6.4,6.45,6.45,0
2020-01-17,6.5,6.5,6.5,6.5,6.5,0
2020-01-20,6.5,6.5,6.45,6.45,6.45,0
2020-01-21,6.5,6.55,6.45,6.5,6.5,0
2020-01-22,6.5,6.6,6.5,6.6,6.6,0
2020-01-23,6.5,6.65,6.5,6.65,6.65,0
2020-01-24,6.65,6.65,6.6,6.6,6.6,0
2020-01-27,6.55,6.55,6.4,6.45,6.45,0
2020-01-28,6.45,6.5,6.45,6.5,6.5,0
2020-01-29,6.45,6.45,6.45,6.45,6.45,0
2020-01-30,6.45,6.45,6.45,6.45,6.45,0
2020-01-31,6.5,6.5,6.45,6.45,6.45,0
2020-02-03,6.4,6.4,6.4,6.4,6.4,0
2020-02-04,6.5,6.5,6.3,6.4,6.4,0
2020-02-05,6.35,6.4,6.35,6.35,6.35,0
2020-02-06,6.35,6.35,6.3,6.35,6.35,0
2020-02-07,6.3,6.35,6.25,6.3,6.3,0
2020-02-11,6.3,6.3,6.25,6.3,6.3,0
2020-02-12,6.3,6.3,6.2,6.3,6.3,0
2020-02-13,6.25,6.25,6.25,6.25,6.25,0
2020-02-14,6.3,6.3,6.2,6.2,6.2,0
2020-02-17,6.2,6.25,6.2,6.2,6.2,0
2020-02-18,6.2,6.25,6.15,6.2,6.2,0
2020-02-19,6.15,6.25,6.1,6.2,6.2,0
2020-02-20,6.15,6.25,5.95,6.25,6.25,0
2020-02-21,6.15,6.15,6.15,6.15,6.15,0
2020-02-24,6.05,6.1,5.95,5.95,5.95,0
2020-02-25,6.0,6.0,5.9,5.9,5.9,0
2020-02-26,5.85,6.0,5.5,5.5,5.5,0
2020-02-27,5.4,5.6,5.4,5.6,5.6,0
2020-02-28,5.5,5.75,5.45,5.75,5.75,0
2020-03-02,5.5,5.5,5.35,5.4,5.4,0
2020-03-03,5.4,5.4,5.1,5.35,5.35,0
2020-03-04,5.3,5.3,5.3,5.3,5.3,0
2020-03-05,5.25,5.25,5.1,5.1,5.1,0
2020-03-06,5.1,5.2,5.1,5.1,5.1,0
2020-03-09,5.1,5.1,4.74,4.9,4.9,0
2020-03-10,4.92,4.92,4.8,4.82,4.82,0
2020-03-11,4.8,4.82,4.7,4.76,4.76,0
2020-03-12,4.7,4.7,4.0,4.0,4.0,0
