Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,7.1,7.1,7.1,7.1,7.1,58500.0
2020-09-22,7.0,7.15,7.0,7.15,7.15,20000.0
2020-09-23,7.1,7.1,7.05,7.05,7.05,61500.0
2020-09-24,7.05,7.05,7.05,7.05,7.05,39900.0
2020-09-25,7.05,7.1,7.05,7.05,7.05,76500.0
2020-09-28,7.05,7.2,7.0,7.2,7.2,206000.0
2020-09-29,7.2,7.3,7.1,7.1,7.1,147200.0
2020-09-30,7.1,7.15,7.05,7.05,7.05,39200.0
2020-10-01,7.2,7.2,7.0,7.1,7.1,9000.0
2020-10-02,7.05,7.15,7.0,7.15,7.15,29700.0
2020-10-05,7.1,7.2,7.0,7.1,7.1,110600.0
2020-10-06,7.05,7.1,7.05,7.05,7.05,126200.0
2020-10-07,7.1,7.1,7.0,7.05,7.05,105100.0
2020-10-08,7.05,7.15,7.0,7.15,7.15,164300.0
2020-10-09,7.2,7.2,7.0,7.05,7.05,202900.0
2020-10-12,7.0,7.05,7.0,7.05,7.05,24500.0
2020-10-15,7.0,7.05,7.0,7.0,7.0,53800.0
2020-10-16,7.0,7.05,6.95,7.0,7.0,168200.0
2020-10-19,6.9,7.05,6.85,7.0,7.0,189600.0
2020-10-20,6.95,7.0,6.95,7.0,7.0,51500.0
2020-10-21,7.0,7.0,6.95,6.95,6.95,93500.0
2020-10-22,6.95,7.0,6.95,6.95,6.95,62400.0
2020-10-26,7.05,7.05,6.95,6.95,6.95,48700.0
2020-10-27,6.95,6.95,6.95,6.95,6.95,6000.0
2020-10-28,7.0,7.0,6.95,6.95,6.95,30300.0
2020-10-29,7.0,7.05,6.95,7.05,7.05,35100.0
2020-10-30,7.05,7.05,6.95,6.95,6.95,62100.0
2020-11-02,7.0,7.0,6.95,7.0,7.0,26100.0
2020-11-03,6.95,7.0,6.95,7.0,7.0,33300.0
2020-11-04,7.0,7.0,7.0,7.0,7.0,10600.0
2020-11-05,7.0,7.1,7.0,7.05,7.05,36300.0
2020-11-06,6.95,7.0,6.95,7.0,7.0,12300.0
2020-11-09,7.0,7.25,6.95,7.25,7.25,101400.0
2020-11-10,7.5,7.6,7.1,7.15,7.15,995600.0
2020-11-11,7.2,7.3,7.1,7.15,7.15,147300.0
2020-11-12,7.2,7.55,7.2,7.35,7.35,392300.0
2020-11-13,7.45,7.45,7.2,7.4,7.4,195100.0
2020-11-16,7.25,7.55,7.25,7.55,7.55,261200.0
2020-11-17,7.55,7.7,7.3,7.4,7.4,151700.0
2020-11-18,7.35,7.6,7.3,7.6,7.6,73700.0
2020-11-19,7.55,7.7,7.55,7.7,7.7,121700.0
2020-11-20,7.75,7.75,7.65,7.65,7.65,20700.0
2020-11-23,7.7,7.95,7.7,7.95,7.95,336600.0
2020-11-24,7.95,8.0,7.7,7.7,7.7,233700.0
2020-11-25,7.8,7.85,7.65,7.65,7.65,233500.0
2020-11-26,7.7,7.75,7.65,7.7,7.7,185000.0
2020-11-27,7.75,7.75,7.65,7.65,7.65,135400.0
2020-11-30,7.6,7.7,7.55,7.55,7.55,110800.0
2020-12-01,7.55,7.9,7.55,7.65,7.65,91000.0
2020-12-02,7.65,7.9,7.65,7.7,7.7,375000.0
2020-12-03,7.75,7.8,7.75,7.8,7.8,30000.0
2020-12-04,7.8,7.85,7.75,7.75,7.75,121100.0
2020-12-08,7.75,7.85,7.75,7.75,7.75,161300.0
2020-12-09,7.8,8.0,7.8,7.85,7.85,386400.0
2020-12-14,7.85,7.9,7.75,7.75,7.75,229900.0
2020-12-15,7.75,7.85,7.75,7.85,7.85,70900.0
2020-12-16,7.95,8.3,7.95,8.1,8.1,838500.0
2020-12-17,8.15,8.2,7.95,8.0,8.0,657300.0
2020-12-18,8.0,8.1,7.95,8.0,8.0,157100.0
2020-12-21,7.85,7.85,7.6,7.75,7.75,458400.0
2020-12-22,7.6,7.75,7.6,7.75,7.75,78200.0
2020-12-23,7.75,7.75,7.65,7.75,7.75,47300.0
2020-12-24,7.75,7.75,7.65,7.7,7.7,9700.0
2020-12-25,7.7,7.9,7.7,7.75,7.75,106600.0
2020-12-28,7.7,7.75,7.55,7.65,7.65,198400.0
2020-12-29,7.7,7.8,7.7,7.8,7.8,34100.0
2020-12-30,7.7,7.75,7.55,7.75,7.75,121600.0
2021-01-04,7.6,7.75,7.5,7.65,7.65,15300.0
2021-01-05,7.65,7.95,7.65,7.65,7.65,80800.0
2021-01-06,7.65,7.7,7.55,7.65,7.65,20300.0
2021-01-07,7.9,7.9,7.7,7.75,7.75,11200.0
2021-01-08,7.75,7.75,7.7,7.75,7.75,12600.0
2021-01-11,7.75,7.8,7.7,7.75,7.75,9900.0
2021-01-12,7.9,8.05,7.75,7.75,7.75,313800.0
2021-01-13,7.9,7.9,7.7,7.8,7.8,51600.0
2021-01-14,7.65,7.8,7.55,7.75,7.75,39100.0
2021-01-15,7.85,7.85,7.65,7.7,7.7,26500.0
2021-01-18,7.55,7.9,7.55,7.8,7.8,161400.0
2021-01-19,7.8,7.85,7.75,7.75,7.75,38100.0
2021-01-20,7.7,7.75,7.65,7.75,7.75,1700.0
2021-01-21,7.7,7.75,7.7,7.7,7.7,10400.0
2021-01-22,7.75,7.75,7.45,7.65,7.65,115400.0
2021-01-25,7.55,7.6,7.55,7.55,7.55,78700.0
2021-01-26,7.55,7.65,7.55,7.55,7.55,18000.0
2021-01-27,7.55,7.7,7.5,7.7,7.7,50000.0
2021-01-28,7.5,7.7,7.5,7.6,7.6,43200.0
2021-01-29,7.75,7.75,7.5,7.5,7.5,13300.0
2021-02-01,7.5,7.7,7.5,7.5,7.5,10200.0
2021-02-02,7.5,7.55,7.5,7.55,7.55,1100.0
2021-02-03,7.55,7.7,7.45,7.65,7.65,69800.0
2021-02-04,7.6,7.6,7.5,7.6,7.6,64200.0
2021-02-05,7.7,7.8,7.65,7.8,7.8,64500.0
2021-02-08,7.8,7.9,7.7,7.75,7.75,142300.0
2021-02-09,7.85,8.1,7.8,7.8,7.8,220600.0
2021-02-10,7.8,7.85,7.6,7.6,7.6,174000.0
2021-02-11,7.75,7.95,7.7,7.7,7.7,25900.0
2021-02-15,7.85,7.9,7.7,7.8,7.8,53600.0
2021-02-16,7.9,8.1,7.8,7.8,7.8,481800.0
2021-02-17,7.8,7.85,7.65,7.7,7.7,211100.0
2021-02-18,7.7,7.7,7.65,7.7,7.7,67700.0
2021-02-19,7.7,7.7,7.7,7.7,7.7,392000.0
2021-02-22,7.7,7.7,7.6,7.6,7.6,50200.0
2021-02-23,7.9,7.9,7.65,7.75,7.75,685200.0
2021-02-24,7.7,7.7,7.3,7.65,7.65,738300.0
2021-02-25,7.55,7.75,7.55,7.6,7.6,474300.0
2021-03-01,7.6,7.7,7.55,7.7,7.7,143300.0
2021-03-02,7.75,7.8,7.7,7.8,7.8,126400.0
2021-03-03,7.85,7.95,7.75,7.8,7.8,419300.0
2021-03-04,7.8,7.8,7.7,7.8,7.8,144000.0
2021-03-05,7.8,7.9,7.8,7.9,7.9,57300.0
2021-03-08,7.9,7.95,7.85,7.85,7.85,99400.0
2021-03-09,7.95,8.1,7.9,8.05,8.05,379300.0
2021-03-10,8.05,8.1,8.05,8.05,8.05,83000.0
2021-03-11,8.1,8.35,8.1,8.35,8.35,693300.0
2021-03-12,8.35,8.35,8.1,8.1,8.1,220900.0
2021-03-15,8.1,8.1,8.0,8.05,8.05,300900.0
