Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.7,3.7,3.66,3.7,3.7,628800
2020-09-24,3.7,3.7,3.66,3.68,3.68,670100
2020-09-25,3.68,3.72,3.68,3.7,3.7,677200
2020-09-28,3.7,3.84,3.7,3.78,3.78,4014800
2020-09-29,3.8,3.86,3.8,3.8,3.8,2282900
2020-09-30,3.82,3.86,3.78,3.8,3.8,1296800
2020-10-01,3.8,3.8,3.74,3.76,3.76,1273700
2020-10-02,3.78,3.8,3.76,3.76,3.76,489700
2020-10-05,3.8,3.84,3.78,3.78,3.78,1063200
2020-10-06,3.8,3.84,3.8,3.82,3.82,332700
2020-10-07,3.84,3.86,3.82,3.84,3.84,976800
2020-10-08,3.84,3.92,3.84,3.88,3.88,2208400
2020-10-09,3.9,3.94,3.82,3.88,3.88,3306500
2020-10-12,3.92,3.94,3.88,3.9,3.9,764100
2020-10-14,3.9,3.92,3.88,3.92,3.92,410700
2020-10-15,3.9,3.92,3.84,3.88,3.88,1119300
2020-10-16,3.88,3.88,3.78,3.82,3.82,1108200
2020-10-19,3.82,3.82,3.68,3.68,3.68,1739800
2020-10-20,3.68,3.76,3.66,3.72,3.72,820100
2020-10-21,3.74,3.8,3.74,3.76,3.76,825200
2020-10-22,3.78,3.9,3.78,3.88,3.88,1059800
2020-10-26,3.9,3.98,3.9,3.94,3.94,1356200
2020-10-27,3.94,4.02,3.94,3.98,3.98,2107800
2020-10-28,4.0,4.0,3.86,3.9,3.9,1871900
2020-10-29,3.9,3.9,3.84,3.88,3.88,813900
2020-10-30,3.88,3.96,3.88,3.88,3.88,1412000
2020-11-02,3.92,3.92,3.88,3.9,3.9,761700
2020-11-03,3.92,3.94,3.9,3.92,3.92,487800
2020-11-04,3.94,3.98,3.9,3.9,3.9,1223000
2020-11-05,3.94,3.96,3.92,3.94,3.94,800200
2020-11-06,3.96,3.98,3.92,3.94,3.94,1201300
2020-11-09,3.96,3.98,3.94,3.94,3.94,1126600
2020-11-10,3.96,3.98,3.88,3.92,3.92,1610000
2020-11-11,3.94,3.98,3.92,3.94,3.94,931300
2020-11-12,3.98,3.98,3.96,3.96,3.96,622900
2020-11-13,3.98,4.12,3.96,4.12,4.12,4606800
2020-11-16,4.2,4.26,4.14,4.2,4.2,6823300
2020-11-17,4.22,4.22,4.14,4.14,4.14,1599000
2020-11-18,4.14,4.16,4.08,4.1,4.1,1185800
2020-11-19,4.12,4.16,4.08,4.16,4.16,1714800
2020-11-20,4.18,4.28,4.18,4.2,4.2,3408500
2020-11-23,4.26,4.76,4.24,4.74,4.74,11646900
2020-11-24,4.9,5.3,4.86,4.92,4.92,15958900
2020-11-25,4.94,5.05,4.84,4.88,4.88,6810000
2020-11-26,4.88,5.05,4.86,4.9,4.9,3973400
2020-11-27,4.92,5.1,4.92,4.94,4.94,4646100
2020-11-30,4.98,4.98,4.8,4.8,4.8,4469200
2020-12-01,4.82,4.84,4.76,4.76,4.76,2937200
2020-12-02,4.74,4.74,4.64,4.64,4.64,5771000
2020-12-03,4.64,4.86,4.64,4.82,4.82,5634100
2020-12-04,4.86,4.86,4.78,4.8,4.8,2232000
2020-12-08,4.78,4.86,4.76,4.82,4.82,2542600
2020-12-09,4.84,4.9,4.8,4.8,4.8,2998300
2020-12-14,4.82,4.82,4.76,4.76,4.76,1765700
2020-12-15,4.76,4.8,4.74,4.8,4.8,1054300
2020-12-16,4.8,4.84,4.72,4.78,4.78,2301400
2020-12-17,4.74,4.8,4.74,4.8,4.8,1234100
2020-12-18,4.8,4.82,4.76,4.8,4.8,2734600
2020-12-21,4.72,4.74,4.5,4.54,4.54,5456600
2020-12-22,4.54,4.6,4.52,4.58,4.58,2672400
2020-12-23,4.56,4.6,4.52,4.56,4.56,860800
2020-12-24,4.54,4.62,4.52,4.62,4.62,1091300
2020-12-25,4.62,4.64,4.58,4.62,4.62,1128500
2020-12-28,4.6,4.64,4.58,4.58,4.58,1029400
2020-12-29,4.6,4.64,4.54,4.6,4.6,958300
2020-12-30,4.62,4.64,4.56,4.58,4.58,775900
2021-01-04,4.56,4.56,4.5,4.56,4.56,1072700
2021-01-05,4.54,4.58,4.52,4.56,4.56,1502700
2021-01-06,4.58,4.78,4.58,4.72,4.72,6528500
2021-01-07,4.78,4.82,4.72,4.74,4.74,2985100
2021-01-08,4.74,4.78,4.68,4.7,4.7,1438000
2021-01-11,4.76,4.76,4.72,4.72,4.72,689500
2021-01-12,4.74,4.74,4.7,4.72,4.72,594000
2021-01-13,4.74,5.1,4.74,5.0,5.0,15819700
2021-01-14,5.1,5.2,5.05,5.05,5.05,11694000
2021-01-15,5.05,5.15,4.86,4.92,4.92,8504500
2021-01-18,4.92,4.94,4.82,4.9,4.9,3280400
2021-01-19,4.94,5.3,4.94,5.3,5.3,19750900
2021-01-20,5.5,5.6,5.35,5.35,5.35,20375100
2021-01-21,5.4,5.45,5.1,5.15,5.15,8172300
2021-01-22,5.1,5.2,5.05,5.05,5.05,2859300
2021-01-25,5.1,5.25,5.1,5.2,5.2,2672800
2021-01-26,5.25,5.25,5.1,5.15,5.15,2478800
2021-01-27,5.1,5.15,5.05,5.05,5.05,2021500
2021-01-28,5.0,5.15,4.98,5.0,5.0,3645900
2021-01-29,5.05,5.05,5.0,5.0,5.0,1047200
2021-02-01,5.05,5.05,4.96,5.05,5.05,1533200
2021-02-02,5.05,5.3,5.05,5.3,5.3,5622500
2021-02-03,5.4,5.45,5.25,5.25,5.25,4531400
2021-02-04,5.3,5.3,5.2,5.3,5.3,1465100
2021-02-05,5.3,5.3,5.2,5.25,5.25,1675000
2021-02-08,5.25,5.25,5.1,5.2,5.2,2410100
2021-02-09,5.2,5.3,5.15,5.25,5.25,1588400
2021-02-10,5.3,5.3,5.15,5.2,5.2,820400
2021-02-11,5.15,5.25,5.15,5.2,5.2,787700
2021-02-15,5.25,5.55,5.15,5.55,5.55,13383900
2021-02-16,5.5,5.55,5.4,5.4,5.4,4279500
2021-02-17,5.45,5.8,5.35,5.75,5.75,16461300
2021-02-18,5.75,5.8,5.6,5.65,5.65,5499100
2021-02-19,5.65,5.8,5.55,5.65,5.65,4567800
2021-02-22,5.7,5.9,5.7,5.7,5.7,7028000
2021-02-23,5.7,5.9,5.7,5.8,5.8,3664800
2021-02-24,5.85,5.9,5.75,5.8,5.8,3929400
2021-02-25,5.9,5.95,5.8,5.8,5.8,4427000
2021-03-01,5.5,5.5,5.3,5.35,5.35,11681100
2021-03-02,5.4,5.6,5.35,5.55,5.55,8066900
2021-03-03,5.55,5.55,5.45,5.5,5.5,3554800
2021-03-04,5.5,5.75,5.5,5.6,5.6,5882400
2021-03-05,5.65,5.65,5.55,5.6,5.6,1513100
2021-03-08,5.65,5.65,5.55,5.55,5.55,1982300
2021-03-09,5.55,5.6,5.45,5.5,5.5,2107000
2021-03-10,5.5,5.5,5.45,5.45,5.45,911700
2021-03-11,5.55,5.55,5.4,5.45,5.45,2527200
2021-03-12,5.45,5.55,5.45,5.45,5.45,2084000
2021-03-15,5.5,5.6,5.45,5.6,5.6,2258400
2021-03-16,5.6,5.75,5.6,5.7,5.7,2277700
2021-03-17,5.75,5.85,5.7,5.8,5.8,2061800
2021-03-18,5.85,5.9,5.75,5.9,5.9,3603300
2021-03-19,5.95,5.95,5.8,5.9,5.9,1331200
2021-03-22,5.9,6.15,5.85,6.1,6.1,6153500
2021-03-23,6.2,6.2,6.1,6.15,6.15,3360900
2021-03-24,6.1,6.15,6.0,6.1,6.1,2343600
2021-03-25,6.05,6.15,6.05,6.05,6.05,1599700
2021-03-26,6.1,6.6,6.05,6.4,6.4,10921600
2021-03-29,6.45,6.65,6.45,6.5,6.5,9448600
2021-03-30,6.5,6.6,6.5,6.5,6.5,2050300
2021-03-31,6.55,6.55,6.4,6.45,6.45,1403400
2021-04-01,6.45,6.5,6.4,6.5,6.5,1321100
2021-04-02,6.5,6.55,6.4,6.5,6.5,1579200
2021-04-05,6.55,6.55,6.35,6.35,6.35,1881400
2021-04-07,6.25,6.3,6.15,6.3,6.3,2721400
2021-04-08,6.2,6.3,6.1,6.2,6.2,1733700
2021-04-09,6.2,6.2,6.05,6.1,6.1,2579600
2021-04-12,6.05,6.1,5.95,6.0,6.0,2860700
2021-04-16,5.9,5.95,5.75,5.85,5.85,4243400
2021-04-19,5.95,6.25,5.95,6.2,6.2,4136600
2021-04-20,6.25,6.35,6.25,6.3,6.3,2155900
2021-04-21,6.35,6.4,6.25,6.3,6.3,3187800
2021-04-22,6.3,6.35,6.15,6.25,6.25,3440100
2021-04-23,6.2,6.2,6.15,6.15,6.15,2586100
2021-04-26,6.1,6.2,6.1,6.15,6.15,3449400
2021-04-27,5.85,5.9,5.85,5.85,5.85,2421800
2021-04-28,5.8,5.85,5.7,5.8,5.8,4905800
2021-04-29,5.8,6.0,5.8,5.95,5.95,2669600
2021-04-30,5.95,6.0,5.9,5.9,5.9,1482500
2021-05-05,5.9,5.95,5.7,5.8,5.8,4403500
2021-05-06,5.8,5.85,5.7,5.8,5.8,1538500
2021-05-07,5.85,5.9,5.75,5.8,5.8,2137500
2021-05-10,5.8,5.8,5.7,5.7,5.7,1585800
2021-05-11,5.7,5.75,5.5,5.55,5.55,3940200
2021-05-12,5.55,5.55,5.4,5.55,5.55,3096200
2021-05-13,5.4,5.5,5.0,5.3,5.3,6848600
2021-05-14,5.3,5.35,5.2,5.2,5.2,2870300
2021-05-17,5.0,5.15,5.0,5.1,5.1,2563400
2021-05-18,5.1,5.3,5.05,5.3,5.3,4248900
2021-05-19,5.3,5.3,5.15,5.15,5.15,1470100
2021-05-20,5.2,5.25,5.05,5.1,5.1,2659700
2021-05-21,5.1,5.2,5.1,5.1,5.1,2583300
2021-05-24,5.1,5.15,5.05,5.15,5.15,1527600
2021-05-25,5.2,5.5,5.15,5.5,5.5,5981100
2021-05-27,5.6,5.85,5.55,5.75,5.75,11112000
2021-05-28,5.75,5.75,5.55,5.6,5.6,2864400
2021-05-31,5.6,5.65,5.4,5.6,5.6,3401200
2021-06-01,5.7,5.8,5.6,5.6,5.6,4056100
2021-06-02,5.65,5.8,5.55,5.75,5.75,3208100
2021-06-04,5.75,6.15,5.75,5.95,5.95,11786300
2021-06-07,6.0,6.1,5.8,5.9,5.9,4834900
2021-06-08,5.95,5.95,5.8,5.9,5.9,1816000
2021-06-09,5.9,6.0,5.85,5.85,5.85,1464100
2021-06-10,5.9,5.95,5.85,5.85,5.85,1710900
2021-06-11,5.9,6.05,5.85,5.95,5.95,6266700
2021-06-14,5.95,6.0,5.9,6.0,6.0,1537400
2021-06-15,6.0,6.05,5.9,5.9,5.9,1220400
2021-06-16,5.9,5.95,5.85,5.85,5.85,1292400
2021-06-17,5.9,5.95,5.85,5.85,5.85,1099100
2021-06-18,5.85,5.9,5.75,5.8,5.8,2202000
2021-06-21,5.75,5.8,5.7,5.75,5.75,1480700
2021-06-22,5.8,6.05,5.8,5.9,5.9,3503800
2021-06-23,6.0,6.5,5.95,6.45,6.45,31035600
2021-06-24,6.3,6.35,5.95,6.05,6.05,10378500
2021-06-25,6.1,6.1,5.85,5.9,5.9,4384100
2021-06-28,5.85,5.95,5.8,5.95,5.95,1936300
2021-06-29,5.95,5.95,5.85,5.95,5.95,1180600
2021-06-30,6.0,6.05,5.9,5.9,5.9,3363300
2021-07-01,5.9,6.0,5.9,5.95,5.95,1288200
2021-07-02,5.95,5.95,5.8,5.8,5.8,1631000
2021-07-05,5.8,5.85,5.75,5.8,5.8,1377700
2021-07-06,5.75,5.9,5.75,5.9,5.9,950600
2021-07-07,5.9,5.9,5.8,5.8,5.8,841800
2021-07-08,5.8,5.8,5.5,5.5,5.5,4651400
2021-07-09,5.4,5.55,5.35,5.5,5.5,1626100
2021-07-12,5.5,5.5,5.35,5.35,5.35,1298800
2021-07-13,5.45,5.5,5.4,5.5,5.5,765800
2021-07-14,5.5,5.55,5.45,5.5,5.5,383100
2021-07-15,5.55,5.65,5.55,5.6,5.6,1325900
2021-07-16,5.65,5.65,5.55,5.65,5.65,408400
2021-07-19,5.55,5.6,5.5,5.6,5.6,991200
2021-07-20,5.5,5.5,5.4,5.45,5.45,1015900
2021-07-21,5.45,5.45,5.35,5.35,5.35,954400
2021-07-22,5.45,5.45,5.4,5.4,5.4,212700
2021-07-23,5.4,5.4,5.35,5.4,5.4,318500
2021-07-27,5.4,5.45,5.3,5.4,5.4,1043300
2021-07-29,5.45,5.45,5.35,5.4,5.4,1056800
2021-07-30,5.4,5.45,5.3,5.3,5.3,849600
2021-08-02,5.35,5.35,5.25,5.25,5.25,765200
2021-08-03,5.3,5.4,5.2,5.4,5.4,393400
2021-08-04,5.35,5.45,5.3,5.45,5.45,759100
2021-08-05,5.45,5.8,5.4,5.65,5.65,5518900
2021-08-06,5.7,5.7,5.5,5.6,5.6,1405600
2021-08-09,5.55,5.6,5.5,5.6,5.6,712900
2021-08-10,5.65,5.85,5.6,5.8,5.8,3646400
2021-08-11,5.75,5.8,5.55,5.6,5.6,3361000
2021-08-13,5.55,5.6,5.25,5.3,5.3,3788300
2021-08-16,5.3,5.35,5.0,5.15,5.15,4103000
2021-08-17,5.15,5.3,5.15,5.25,5.25,801100
2021-08-18,5.25,5.25,5.1,5.25,5.25,1033500
2021-08-19,5.25,5.45,5.25,5.45,5.45,2447600
2021-08-20,5.5,5.5,5.4,5.5,5.5,1154500
