Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,0.34,0.34,0.33,0.34,0.34,80400
2020-09-25,0.34,0.34,0.33,0.33,0.33,97600
2020-09-28,0.33,0.34,0.33,0.34,0.34,171700
2020-09-29,0.34,0.35,0.33,0.33,0.33,985100
2020-09-30,0.34,0.34,0.33,0.34,0.34,254000
2020-10-01,0.34,0.34,0.33,0.34,0.34,71600
2020-10-02,0.34,0.34,0.32,0.33,0.33,1555300
2020-10-05,0.33,0.34,0.33,0.33,0.33,196300
2020-10-06,0.33,0.37,0.33,0.35,0.35,9065800
2020-10-07,0.35,0.36,0.35,0.35,0.35,6061600
2020-10-08,0.35,0.36,0.34,0.36,0.36,848800
2020-10-09,0.36,0.36,0.34,0.36,0.36,1365700
2020-10-12,0.36,0.36,0.34,0.34,0.34,162700
2020-10-14,0.35,0.35,0.34,0.34,0.34,362600
2020-10-15,0.35,0.35,0.33,0.33,0.33,1775300
2020-10-16,0.34,0.34,0.32,0.32,0.32,1074800
2020-10-19,0.33,0.33,0.31,0.33,0.33,715900
2020-10-20,0.33,0.33,0.32,0.32,0.32,376200
2020-10-21,0.32,0.33,0.32,0.33,0.33,290100
2020-10-22,0.33,0.33,0.32,0.32,0.32,15000
2020-10-26,0.33,0.33,0.32,0.32,0.32,395000
2020-10-27,0.33,0.33,0.32,0.33,0.33,1123200
2020-10-28,0.33,0.34,0.32,0.33,0.33,679900
2020-10-29,0.33,0.33,0.33,0.33,0.33,576500
2020-10-30,0.33,0.34,0.32,0.33,0.33,1014400
2020-11-02,0.33,0.33,0.32,0.33,0.33,217900
2020-11-03,0.33,0.33,0.32,0.33,0.33,301900
2020-11-04,0.33,0.33,0.32,0.33,0.33,208700
2020-11-05,0.33,0.33,0.32,0.33,0.33,798200
2020-11-06,0.32,0.33,0.32,0.33,0.33,674000
2020-11-09,0.33,0.33,0.32,0.33,0.33,747800
2020-11-10,0.33,0.34,0.32,0.33,0.33,1806600
2020-11-11,0.33,0.34,0.32,0.33,0.33,404800
2020-11-12,0.33,0.33,0.32,0.33,0.33,91400
2020-11-13,0.35,0.37,0.34,0.36,0.36,12493200
2020-11-16,0.36,0.37,0.35,0.35,0.35,4382300
2020-11-17,0.35,0.39,0.35,0.37,0.37,8562600
2020-11-18,0.37,0.38,0.36,0.37,0.37,2257400
2020-11-19,0.37,0.38,0.37,0.37,0.37,1304700
2020-11-20,0.38,0.39,0.38,0.39,0.39,4196400
2020-11-23,0.4,0.41,0.39,0.4,0.4,6581600
2020-11-24,0.42,0.42,0.39,0.39,0.39,4583600
2020-11-25,0.4,0.4,0.38,0.39,0.39,2847700
2020-11-26,0.39,0.4,0.39,0.4,0.4,716300
2020-11-27,0.4,0.41,0.39,0.4,0.4,2304500
2020-11-30,0.4,0.4,0.38,0.39,0.39,4066900
2020-12-01,0.39,0.4,0.39,0.39,0.39,1182300
2020-12-02,0.39,0.4,0.39,0.4,0.4,2176400
2020-12-03,0.4,0.4,0.39,0.4,0.4,1091300
2020-12-04,0.4,0.41,0.39,0.4,0.4,1035500
2020-12-08,0.4,0.41,0.39,0.41,0.41,2503900
2020-12-09,0.42,0.42,0.41,0.42,0.42,2527300
2020-12-14,0.42,0.43,0.42,0.42,0.42,2180700
2020-12-15,0.42,0.43,0.42,0.43,0.43,495300
2020-12-16,0.43,0.47,0.42,0.45,0.45,8717300
2020-12-17,0.45,0.47,0.45,0.47,0.47,2895100
2020-12-18,0.46,0.49,0.45,0.46,0.46,5844000
2020-12-21,0.42,0.45,0.42,0.43,0.43,8416200
2020-12-22,0.42,0.44,0.42,0.44,0.44,4169600
2020-12-23,0.45,0.45,0.43,0.43,0.43,890300
2020-12-24,0.43,0.44,0.42,0.42,0.42,2499000
2020-12-25,0.43,0.44,0.42,0.42,0.42,1822800
2020-12-28,0.43,0.44,0.42,0.43,0.43,1286000
2020-12-29,0.43,0.43,0.43,0.43,0.43,914400
2020-12-30,0.42,0.43,0.42,0.43,0.43,1794300
2021-01-04,0.42,0.43,0.41,0.43,0.43,1828700
2021-01-05,0.43,0.43,0.42,0.42,0.42,2689600
2021-01-06,0.43,0.43,0.42,0.42,0.42,1438300
2021-01-07,0.42,0.44,0.42,0.42,0.42,1474000
2021-01-08,0.42,0.43,0.42,0.42,0.42,492900
2021-01-11,0.43,0.43,0.42,0.43,0.43,1577400
2021-01-12,0.43,0.43,0.42,0.42,0.42,1253000
2021-01-13,0.43,0.43,0.42,0.42,0.42,563800
2021-01-14,0.43,0.44,0.43,0.44,0.44,524200
2021-01-15,0.44,0.44,0.42,0.42,0.42,680700
2021-01-18,0.42,0.44,0.42,0.43,0.43,218000
2021-01-19,0.44,0.44,0.42,0.43,0.43,572900
2021-01-20,0.43,0.44,0.42,0.44,0.44,2605100
2021-01-21,0.43,0.47,0.43,0.46,0.46,10177300
2021-01-22,0.46,0.46,0.44,0.45,0.45,3012200
2021-01-25,0.45,0.47,0.44,0.47,0.47,1914900
2021-01-26,0.47,0.49,0.47,0.48,0.48,15644100
2021-01-27,0.5,0.5,0.48,0.48,0.48,7457200
2021-01-28,0.49,0.49,0.48,0.48,0.48,4853700
2021-01-29,0.48,0.49,0.47,0.47,0.47,2917200
2021-02-01,0.48,0.54,0.48,0.54,0.54,15110600
2021-02-02,0.53,0.55,0.53,0.54,0.54,8018400
2021-02-03,0.55,0.55,0.53,0.54,0.54,2962100
2021-02-04,0.54,0.54,0.51,0.52,0.52,4361600
2021-02-05,0.53,0.57,0.53,0.55,0.55,12129200
2021-02-08,0.56,0.58,0.55,0.57,0.57,11140600
2021-02-09,0.57,0.57,0.54,0.56,0.56,9051500
2021-02-10,0.56,0.56,0.53,0.54,0.54,5599500
2021-02-11,0.54,0.55,0.53,0.54,0.54,4029600
2021-02-15,0.54,0.55,0.53,0.55,0.55,3419600
2021-02-16,0.55,0.55,0.53,0.53,0.53,1739200
2021-02-17,0.53,0.53,0.52,0.52,0.52,2659200
2021-02-18,0.52,0.54,0.51,0.52,0.52,5746200
2021-02-19,0.53,0.53,0.51,0.52,0.52,5574500
2021-02-22,0.51,0.52,0.48,0.51,0.51,5068100
2021-02-23,0.5,0.53,0.5,0.52,0.52,61878600
2021-02-24,0.53,0.53,0.5,0.5,0.5,18303700
2021-02-25,0.51,0.51,0.47,0.48,0.48,27040800
2021-03-01,0.48,0.49,0.47,0.48,0.48,7696700
2021-03-02,0.48,0.49,0.47,0.48,0.48,3517900
2021-03-03,0.48,0.49,0.46,0.46,0.46,14536100
2021-03-04,0.46,0.47,0.46,0.46,0.46,10761700
2021-03-05,0.46,0.48,0.46,0.47,0.47,3976000
2021-03-08,0.48,0.49,0.47,0.48,0.48,6096400
2021-03-09,0.48,0.49,0.48,0.49,0.49,5551900
2021-03-10,0.49,0.54,0.49,0.51,0.51,32549600
2021-03-11,0.52,0.54,0.5,0.5,0.5,18636200
2021-03-12,0.51,0.52,0.51,0.51,0.51,7068900
2021-03-15,0.52,0.53,0.51,0.51,0.51,6148800
2021-03-16,0.52,0.52,0.5,0.51,0.51,5179600
2021-03-17,0.51,0.52,0.5,0.51,0.51,3716300
2021-03-18,0.51,0.52,0.51,0.51,0.51,3305700
2021-03-19,0.52,0.52,0.5,0.51,0.51,4030100
2021-03-22,0.5,0.52,0.5,0.51,0.51,5491800
2021-03-23,0.52,0.55,0.52,0.52,0.52,31068300
2021-03-24,0.53,0.63,0.53,0.6,0.6,136926600
2021-03-25,0.59,0.61,0.57,0.58,0.58,42611900
2021-03-26,0.59,0.59,0.56,0.57,0.57,19219600
2021-03-29,0.58,0.6,0.57,0.59,0.59,22213500
2021-03-30,0.6,0.61,0.59,0.6,0.6,27509700
2021-03-31,0.6,0.61,0.58,0.58,0.58,16989300
2021-04-01,0.59,0.63,0.59,0.6,0.6,63050000
2021-04-02,0.61,0.62,0.6,0.6,0.6,20309600
2021-04-05,0.6,0.61,0.58,0.58,0.58,18273800
2021-04-07,0.58,0.58,0.55,0.56,0.56,17891200
2021-04-08,0.56,0.57,0.55,0.57,0.57,7208600
2021-04-09,0.57,0.58,0.56,0.57,0.57,7083200
2021-04-12,0.57,0.57,0.55,0.55,0.55,4752800
2021-04-16,0.55,0.56,0.54,0.55,0.55,6287500
2021-04-19,0.55,0.57,0.55,0.56,0.56,4927000
2021-04-20,0.57,0.58,0.55,0.57,0.57,14381500
2021-04-21,0.57,0.59,0.56,0.57,0.57,17260200
2021-04-22,0.57,0.58,0.57,0.57,0.57,8197700
2021-04-23,0.57,0.58,0.56,0.56,0.56,6248200
2021-04-26,0.56,0.57,0.55,0.56,0.56,6406800
2021-04-27,0.57,0.6,0.56,0.59,0.59,28785200
2021-04-28,0.61,0.7,0.59,0.67,0.67,276780800
2021-04-29,0.69,0.69,0.65,0.65,0.65,90889800
2021-04-30,0.66,0.67,0.63,0.64,0.64,27126400
2021-05-05,0.65,0.66,0.62,0.64,0.64,32909800
2021-05-06,0.65,0.66,0.64,0.64,0.64,17079400
2021-05-07,0.64,0.65,0.63,0.63,0.63,11064900
2021-05-10,0.64,0.65,0.62,0.63,0.63,14965800
2021-05-11,0.63,0.63,0.62,0.63,0.63,9574800
2021-05-12,0.62,0.64,0.61,0.62,0.62,11269600
2021-05-13,0.61,0.62,0.45,0.59,0.59,24629200
2021-05-14,0.59,0.6,0.56,0.58,0.58,9803500
2021-05-17,0.57,0.62,0.55,0.61,0.61,19713000
2021-05-18,0.61,0.66,0.6,0.64,0.64,38832300
2021-05-19,0.64,0.64,0.61,0.62,0.62,9274800
2021-05-20,0.62,0.62,0.6,0.6,0.6,4289700
2021-05-21,0.61,0.65,0.6,0.63,0.63,19152800
2021-05-24,0.63,0.71,0.62,0.7,0.7,246003700
2021-05-25,0.68,0.7,0.66,0.66,0.66,77367500
2021-05-27,0.67,0.69,0.65,0.66,0.66,33903500
2021-05-28,0.66,0.67,0.65,0.65,0.65,18173600
2021-05-31,0.65,0.68,0.64,0.66,0.66,24540100
2021-06-01,0.67,0.68,0.65,0.66,0.66,16135400
2021-06-02,0.66,0.69,0.66,0.67,0.67,32323300
2021-06-04,0.67,0.67,0.65,0.65,0.65,12079900
2021-06-07,0.66,0.67,0.65,0.66,0.66,22928100
2021-06-08,0.67,0.67,0.65,0.65,0.65,16610300
2021-06-09,0.66,0.66,0.64,0.65,0.65,14567700
2021-06-10,0.65,0.66,0.65,0.66,0.66,4012100
2021-06-11,0.65,0.66,0.65,0.65,0.65,5573200
2021-06-14,0.65,0.68,0.65,0.65,0.65,18927300
2021-06-15,0.65,0.66,0.64,0.65,0.65,8017000
2021-06-16,0.64,0.65,0.64,0.65,0.65,3806800
2021-06-17,0.65,0.65,0.62,0.63,0.63,16844700
2021-06-18,0.62,0.63,0.61,0.62,0.62,11362100
2021-06-21,0.61,0.62,0.6,0.61,0.61,6726700
2021-06-22,0.62,0.63,0.61,0.61,0.61,10593400
2021-06-23,0.61,0.62,0.6,0.6,0.6,10757600
2021-06-24,0.61,0.61,0.58,0.59,0.59,9892800
2021-06-25,0.6,0.63,0.59,0.62,0.62,18942100
2021-06-28,0.61,0.63,0.61,0.62,0.62,14101600
2021-06-29,0.62,0.63,0.61,0.61,0.61,7250300
2021-06-30,0.62,0.63,0.61,0.62,0.62,4608000
2021-07-01,0.62,0.62,0.61,0.62,0.62,4028200
2021-07-02,0.62,0.62,0.6,0.6,0.6,4868800
2021-07-05,0.6,0.62,0.6,0.6,0.6,4360300
2021-07-06,0.6,0.61,0.6,0.61,0.61,2620500
2021-07-07,0.61,0.61,0.57,0.59,0.59,12102100
2021-07-08,0.58,0.58,0.55,0.55,0.55,13119700
2021-07-09,0.54,0.55,0.51,0.55,0.55,9631700
2021-07-12,0.55,0.56,0.53,0.55,0.55,3715100
2021-07-13,0.56,0.58,0.55,0.58,0.58,7224500
2021-07-14,0.58,0.6,0.57,0.58,0.58,10008700
