Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,1.34,1.42,1.33,1.38,1.38,10341500
2021-03-25,1.41,1.44,1.37,1.38,1.38,7750600
2021-03-26,1.4,1.49,1.34,1.43,1.43,24923100
2021-03-29,1.43,1.67,1.42,1.6,1.6,18707200
2021-03-30,1.58,2.06,1.58,1.81,1.81,42753600
2021-03-31,1.8199999999999998,1.88,1.78,1.79,1.79,5483300
2021-04-01,1.77,1.79,1.77,1.78,1.78,190700
2021-04-02,1.92,1.95,1.88,1.9100000000000001,1.9100000000000001,6170800
2021-04-05,1.9,1.9,1.8199999999999998,1.83,1.83,3651100
2021-04-07,1.81,1.88,1.78,1.8399999999999999,1.8399999999999999,2873200
2021-04-08,1.8,1.85,1.69,1.72,1.72,5369200
2021-04-09,1.75,1.75,1.71,1.72,1.72,2000900
2021-04-12,1.71,1.72,1.6099999999999999,1.63,1.63,3164700
2021-04-16,1.5899999999999999,1.5899999999999999,1.5,1.54,1.54,4312200
2021-04-19,1.51,1.69,1.51,1.62,1.62,3970800
2021-04-20,1.6400000000000001,1.75,1.6400000000000001,1.6600000000000001,1.6600000000000001,7796400
2021-04-21,1.69,1.69,1.65,1.65,1.65,1878400
2021-04-22,1.6600000000000001,1.77,1.6600000000000001,1.7,1.7,8503900
2021-04-23,1.69,1.94,1.6800000000000002,1.8,1.8,32570900
2021-04-26,1.8599999999999999,2.16,1.8599999999999999,2.16,2.16,76577600
2021-04-27,2.44,2.8,2.3,2.76,2.76,95857400
2021-04-28,2.8,2.8,2.54,2.6,2.6,22103900
2021-04-29,2.64,2.66,2.58,2.62,2.62,8163000
2021-04-30,2.6,2.6,2.46,2.5,2.5,6486500
2021-05-05,2.56,2.74,2.54,2.7199999999999998,2.7199999999999998,20716900
2021-05-06,2.8,3.04,2.8,2.8,2.8,37591200
2021-05-07,2.84,2.86,2.6,2.66,2.66,13551900
2021-05-10,2.7199999999999998,2.94,2.7199999999999998,2.88,2.88,17631600
2021-05-11,2.9,3.22,2.88,3.22,3.22,51439700
2021-05-12,3.12,3.2,3.06,3.12,3.12,13580800
2021-05-13,3.12,3.2,2.5,2.98,2.98,18864800
2021-05-14,3.12,3.12,2.7800000000000002,2.86,2.86,8387700
2021-05-17,2.82,2.86,2.7,2.76,2.76,3379400
2021-05-18,2.7800000000000002,2.92,2.76,2.88,2.88,4527300
2021-05-19,2.88,2.96,2.84,2.88,2.88,3169600
2021-05-20,2.92,2.94,2.8,2.82,2.82,4270100
2021-05-21,2.9,2.9,2.8,2.82,2.82,1183300
2021-05-24,2.7800000000000002,2.8,2.64,2.64,2.64,1940000
2021-05-25,2.6,2.7,2.58,2.64,2.64,2584100
2021-05-27,2.64,2.76,2.64,2.74,2.74,1661200
2021-05-28,2.66,2.76,2.64,2.66,2.66,2539400
2021-05-31,2.62,2.68,2.58,2.58,2.58,2015400
2021-06-01,2.6,2.68,2.58,2.62,2.62,2200900
2021-06-02,2.64,2.84,2.64,2.84,2.84,9037100
2021-06-04,2.88,2.94,2.7800000000000002,2.7800000000000002,2.7800000000000002,16687900
2021-06-07,2.82,2.82,2.74,2.74,2.74,2696500
2021-06-08,2.76,2.7800000000000002,2.7,2.7,2.7,1961200
2021-06-09,2.68,2.7,2.66,2.68,2.68,1928700
2021-06-10,2.68,2.76,2.66,2.7199999999999998,2.7199999999999998,1720100
2021-06-11,2.74,2.76,2.68,2.68,2.68,2818300
2021-06-14,2.68,2.68,2.56,2.62,2.62,4141600
2021-06-15,2.64,2.64,2.42,2.52,2.52,5355800
2021-06-16,2.54,2.68,2.52,2.66,2.66,7838300
2021-06-17,2.7,2.7,2.54,2.54,2.54,9943600
2021-06-18,2.56,2.58,2.48,2.48,2.48,3131700
2021-06-21,2.48,2.52,2.4,2.52,2.52,1701800
2021-06-22,2.56,2.56,2.48,2.48,2.48,1172400
2021-06-23,2.48,2.54,2.42,2.42,2.42,1746300
2021-06-24,2.38,2.38,2.2,2.26,2.26,5098600
2021-06-25,2.26,2.32,2.2,2.24,2.24,3132400
2021-06-28,2.16,2.26,2.14,2.26,2.26,1261000
2021-06-29,2.3,2.42,2.26,2.34,2.34,6837700
2021-06-30,2.34,2.38,2.3,2.32,2.32,2712900
2021-07-01,2.34,2.38,2.3,2.32,2.32,1950600
2021-07-02,2.36,2.52,2.34,2.4,2.4,8008300
2021-07-05,2.44,2.66,2.4,2.66,2.66,23996400
2021-07-06,2.7,2.7800000000000002,2.6,2.6,2.6,19275100
2021-07-07,2.62,2.64,2.52,2.52,2.52,5857000
2021-07-08,2.48,2.48,1.8199999999999998,2.3,2.3,5220900
2021-07-09,2.24,2.2800000000000002,2.2,2.2,2.2,1170800
2021-07-12,2.22,2.2800000000000002,2.22,2.26,2.26,1327500
2021-07-13,2.3,2.36,2.2800000000000002,2.36,2.36,856200
2021-07-14,2.36,2.42,2.32,2.42,2.42,616700
2021-07-15,2.44,2.44,2.34,2.36,2.36,1075400
2021-07-16,2.32,2.36,2.3,2.36,2.36,1014800
2021-07-19,2.3,2.34,2.26,2.32,2.32,387500
2021-07-20,2.3,2.3,2.22,2.2800000000000002,2.2800000000000002,1362700
2021-07-21,2.3,2.3,2.2,2.2,2.2,1335900
2021-07-22,2.24,2.26,2.18,2.22,2.22,1241500
2021-07-23,2.2,2.22,2.16,2.18,2.18,860200
2021-07-27,2.18,2.18,2.08,2.08,2.08,1936300
2021-07-29,2.02,2.1,2.02,2.08,2.08,1021100
2021-07-30,2.08,2.08,2.0,2.02,2.02,1070100
2021-08-02,1.96,1.96,1.88,1.8900000000000001,1.8900000000000001,2758300
2021-08-03,1.8599999999999999,2.16,1.8599999999999999,2.06,2.06,5253900
2021-08-04,2.06,2.12,2.04,2.1,2.1,1222700
2021-08-05,2.12,2.16,2.06,2.1,2.1,1244900
2021-08-06,2.16,2.16,2.02,2.06,2.06,778000
2021-08-09,2.06,2.1,1.99,2.0,2.0,701400
2021-08-10,2.0,2.26,2.0,2.24,2.24,13847200
2021-08-11,2.26,2.3,2.06,2.1,2.1,5884400
2021-08-13,2.14,2.14,1.97,1.97,1.97,3337000
2021-08-16,1.95,1.95,1.85,1.87,1.87,1696100
2021-08-17,1.87,1.92,1.87,1.9100000000000001,1.9100000000000001,631500
2021-08-18,1.92,1.94,1.9,1.9100000000000001,1.9100000000000001,606600
2021-08-19,1.9100000000000001,1.92,1.8900000000000001,1.9100000000000001,1.9100000000000001,543500
2021-08-20,1.9,1.92,1.8599999999999999,1.8599999999999999,1.8599999999999999,2077700
2021-08-23,1.8599999999999999,1.9,1.8399999999999999,1.85,1.85,3736700
2021-08-24,1.8599999999999999,1.99,1.8599999999999999,1.96,1.96,5765900
2021-08-25,1.96,2.06,1.95,2.04,2.04,11034300
2021-08-26,2.08,2.1,2.02,2.04,2.04,5641500
2021-08-27,2.06,2.08,2.04,2.04,2.04,3669100
2021-08-30,2.06,2.14,2.04,2.14,2.14,12127900
2021-08-31,2.2,2.2,2.06,2.08,2.08,9055300
2021-09-01,2.1,2.1,2.04,2.06,2.06,2562100
2021-09-02,2.06,2.18,2.04,2.08,2.08,8380600
2021-09-03,2.1,2.1,2.06,2.06,2.06,0
2021-09-06,2.06,2.12,2.06,2.12,2.12,0
2021-09-07,2.14,2.16,2.06,2.08,2.08,7000
2021-09-08,2.06,2.08,2.04,2.06,2.06,1070200
2021-09-09,2.06,2.1,2.06,2.08,2.08,2852900
2021-09-10,2.08,2.36,2.08,2.32,2.32,57572200
2021-09-13,2.3,2.46,2.2800000000000002,2.34,2.34,45148200
2021-09-14,2.38,2.4,2.18,2.22,2.22,15259500
2021-09-15,2.22,2.2800000000000002,2.14,2.18,2.18,6936000
2021-09-16,2.2,2.36,2.18,2.34,2.34,25805100
2021-09-17,2.34,2.36,2.2,2.24,2.24,12074900
2021-09-20,2.2,2.22,2.14,2.14,2.14,4559300
2021-09-21,2.12,2.16,2.02,2.16,2.16,8717900
2021-09-22,2.16,2.22,2.1,2.12,2.12,6070000
2021-09-23,2.12,2.14,2.08,2.08,2.08,3507900
2021-09-27,2.06,2.1,1.92,1.9300000000000002,1.9300000000000002,8231900
2021-09-28,1.9100000000000001,1.98,1.9,1.98,1.98,3222600
2021-09-29,1.96,1.98,1.94,1.98,1.98,1560900
2021-09-30,1.99,1.99,1.94,1.97,1.97,2089200
2021-10-01,1.97,1.97,1.94,1.96,1.96,1452500
2021-10-04,1.96,2.1,1.96,2.1,2.1,5412500
2021-10-05,2.12,2.16,2.04,2.06,2.06,6881500
2021-10-06,2.04,2.08,2.04,2.06,2.06,1772300
2021-10-07,2.06,2.08,2.02,2.06,2.06,1544300
2021-10-08,2.06,2.12,2.04,2.08,2.08,2813000
2021-10-11,2.14,2.14,2.04,2.04,2.04,4688800
2021-10-12,2.04,2.08,2.04,2.06,2.06,3276500
2021-10-14,2.06,2.16,2.02,2.12,2.12,11854900
2021-10-15,2.12,2.14,2.04,2.08,2.08,4854400
2021-10-18,2.08,2.08,2.04,2.04,2.04,1879100
2021-10-19,2.04,2.04,1.98,2.0,2.0,3899300
2021-10-20,2.02,2.02,2.0,2.0,2.0,998500
2021-10-21,2.02,2.02,1.99,1.99,1.99,1554000
2021-10-25,1.99,2.0,1.98,1.99,1.99,773200
2021-10-26,2.0,2.0,1.97,1.99,1.99,1192400
2021-10-27,1.98,2.12,1.98,2.04,2.04,7180900
2021-10-28,2.04,2.04,1.99,1.99,1.99,2127400
2021-10-29,2.0,2.02,1.99,2.0,2.0,886100
2021-11-01,2.0,2.02,1.97,1.97,1.97,1205500
2021-11-02,1.97,1.98,1.88,1.9100000000000001,1.9100000000000001,2538700
2021-11-03,1.9100000000000001,1.95,1.85,1.85,1.85,2137700
2021-11-04,1.88,1.9,1.85,1.9,1.9,911400
2021-11-05,1.9,1.9300000000000002,1.8599999999999999,1.88,1.88,1687800
2021-11-08,1.9,1.9,1.8399999999999999,1.85,1.85,1010600
2021-11-09,1.8399999999999999,1.88,1.8399999999999999,1.87,1.87,458100
2021-11-10,1.87,1.95,1.87,1.94,1.94,1867700
