Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,1.32,1.34,1.3,1.33,1.33,50400
2020-09-22,1.34,1.36,1.33,1.33,1.33,39500
2020-09-23,1.33,1.33,1.3,1.3,1.3,34000
2020-09-24,1.34,1.34,1.3,1.32,1.32,36700
2020-09-25,1.3,1.32,1.29,1.32,1.32,32800
2020-09-29,1.32,1.37,1.26,1.29,1.29,71700
2020-09-30,1.29,1.32,1.22,1.26,1.26,164400
2020-10-01,1.26,1.28,1.24,1.28,1.28,12000
2020-10-02,1.24,1.28,1.23,1.28,1.28,37900
2020-10-05,1.28,1.33,1.28,1.28,1.28,19100
2020-10-06,1.31,1.31,1.26,1.26,1.26,15500
2020-10-07,1.3,1.35,1.3,1.32,1.32,64800
2020-10-08,1.35,1.7,1.35,1.47,1.47,754800
2020-10-09,1.54,1.59,1.48,1.53,1.53,410100
2020-10-12,1.54,1.54,1.48,1.52,1.52,165800
2020-10-14,1.51,1.54,1.49,1.51,1.51,284400
2020-10-15,1.5,1.5,1.46,1.48,1.48,44300
2020-10-16,1.44,1.48,1.42,1.45,1.45,25100
2020-10-19,1.43,1.45,1.38,1.38,1.38,32900
2020-10-20,1.42,1.52,1.42,1.48,1.48,321900
2020-10-21,1.5,1.53,1.47,1.47,1.47,109100
2020-10-22,1.52,1.52,1.46,1.48,1.48,44600
2020-10-26,1.46,1.51,1.44,1.47,1.47,73800
2020-10-27,1.47,1.5,1.46,1.49,1.49,22300
2020-10-28,1.47,1.51,1.47,1.47,1.47,30500
2020-10-29,1.47,1.5,1.45,1.45,1.45,17800
2020-10-30,1.45,1.5,1.4,1.46,1.46,170000
2020-11-02,1.46,1.49,1.44,1.44,1.44,49200
2020-11-03,1.44,1.49,1.44,1.46,1.46,16200
2020-11-04,1.46,1.5,1.45,1.48,1.48,65400
2020-11-05,1.48,1.49,1.47,1.47,1.47,21100
2020-11-09,1.48,1.48,1.39,1.43,1.43,788600
2020-11-10,1.43,1.46,1.42,1.43,1.43,187600
2020-11-11,1.48,1.56,1.46,1.52,1.52,978000
2020-11-12,1.52,1.52,1.43,1.44,1.44,539300
2020-11-13,1.43,1.46,1.43,1.45,1.45,98700
2020-11-16,1.45,1.5,1.44,1.44,1.44,521500
2020-11-17,1.45,1.47,1.44,1.45,1.45,156900
2020-11-18,1.45,1.48,1.44,1.48,1.48,119600
2020-11-19,1.48,1.49,1.48,1.49,1.49,156500
2020-11-20,1.5,1.54,1.5,1.54,1.54,379000
2020-11-23,1.53,1.58,1.51,1.56,1.56,608000
2020-11-24,1.56,1.6,1.55,1.56,1.56,647900
2020-11-25,1.56,1.64,1.56,1.62,1.62,1010600
2020-11-26,1.62,1.69,1.62,1.68,1.68,1428900
2020-11-27,1.69,1.73,1.69,1.72,1.72,856400
2020-11-30,1.75,1.76,1.73,1.75,1.75,836500
2020-12-01,1.76,1.76,1.74,1.74,1.74,476600
2020-12-02,1.75,1.75,1.71,1.71,1.71,249400
2020-12-03,1.71,1.72,1.67,1.69,1.69,141600
2020-12-04,1.71,1.71,1.69,1.69,1.69,108800
2020-12-08,1.69,1.73,1.69,1.73,1.73,400500
2020-12-09,1.74,1.89,1.74,1.85,1.85,1291400
2020-12-14,1.87,1.9,1.85,1.86,1.86,1580700
2020-12-15,1.87,1.91,1.87,1.89,1.89,698900
2020-12-16,1.92,1.92,1.88,1.88,1.88,494200
2020-12-17,1.9,1.91,1.88,1.88,1.88,328300
2020-12-18,1.89,1.91,1.86,1.89,1.89,218000
2020-12-21,1.85,1.85,1.8,1.8,1.8,422300
2020-12-22,1.79,1.81,1.75,1.8,1.8,581600
2020-12-23,1.8,1.82,1.79,1.8,1.8,163800
2020-12-24,1.8,1.83,1.78,1.8,1.8,291300
2020-12-25,1.81,1.86,1.79,1.85,1.85,383600
2020-12-28,1.86,1.9,1.82,1.83,1.83,423500
2020-12-29,1.82,1.85,1.81,1.83,1.83,154100
2020-12-30,1.82,1.85,1.81,1.82,1.82,126700
2021-01-04,1.82,1.86,1.8,1.83,1.83,243300
2021-01-05,1.84,1.85,1.82,1.85,1.85,272700
2021-01-06,1.85,1.9,1.85,1.87,1.87,1627800
2021-01-07,1.88,1.9,1.87,1.88,1.88,434900
2021-01-08,1.88,1.93,1.88,1.91,1.91,714200
2021-01-11,1.91,1.93,1.9,1.9,1.9,219300
2021-01-12,1.91,1.91,1.81,1.87,1.87,3316600
2021-01-13,1.88,1.88,1.86,1.88,1.88,288300
2021-01-14,1.9,1.9,1.86,1.86,1.86,153300
2021-01-15,1.84,1.87,1.84,1.87,1.87,149500
2021-01-18,1.87,1.88,1.86,1.87,1.87,213300
2021-01-19,1.87,1.9,1.86,1.89,1.89,125200
2021-01-20,1.89,1.93,1.89,1.9,1.9,540000
2021-01-21,1.91,1.93,1.89,1.92,1.92,481600
2021-01-22,1.93,1.93,1.89,1.9,1.9,191500
2021-01-25,1.9,1.9,1.88,1.89,1.89,87400
2021-01-26,1.89,1.89,1.88,1.89,1.89,36200
2021-01-27,1.89,1.89,1.87,1.88,1.88,88900
2021-01-28,1.89,1.89,1.85,1.87,1.87,72300
2021-01-29,1.87,1.87,1.83,1.84,1.84,53200
2021-02-01,1.87,1.88,1.87,1.88,1.88,50500
2021-02-02,1.88,1.92,1.88,1.91,1.91,445100
2021-02-03,1.93,1.93,1.88,1.9,1.9,28900
2021-02-04,1.89,1.89,1.88,1.88,1.88,27600
2021-02-05,1.89,1.9,1.88,1.89,1.89,88100
2021-02-08,1.9,1.9,1.86,1.88,1.88,424800
2021-02-09,1.88,1.9,1.87,1.88,1.88,302700
2021-02-10,1.88,1.95,1.88,1.91,1.91,1419000
2021-02-11,1.92,1.92,1.88,1.9,1.9,123300
2021-02-15,1.91,1.94,1.88,1.93,1.93,332800
2021-02-16,1.93,1.98,1.92,1.92,1.92,661400
2021-02-17,1.9,1.98,1.89,1.93,1.93,472900
2021-02-18,1.96,1.96,1.92,1.96,1.96,183900
2021-02-19,1.96,1.97,1.92,1.97,1.97,42900
2021-02-22,1.97,2.16,1.96,2.14,2.14,4253300
2021-02-23,2.2,2.2,2.02,2.04,2.04,2815400
2021-02-24,2.0,2.0,1.86,1.9,1.9,3011300
2021-02-25,1.91,1.96,1.9,1.92,1.92,727300
2021-03-01,1.92,1.97,1.91,1.95,1.95,1301600
2021-03-02,1.95,2.02,1.95,1.96,1.96,3771100
2021-03-03,1.97,2.0,1.95,1.95,1.95,792500
2021-03-04,1.99,2.18,1.97,2.08,2.08,9001600
2021-03-05,2.08,2.12,2.04,2.1,2.1,1739100
2021-03-08,2.1,2.28,2.1,2.24,2.24,5895200
2021-03-09,2.32,2.42,2.28,2.38,2.38,6673600
2021-03-10,2.38,2.52,2.38,2.46,2.46,6024500
2021-03-11,2.46,2.5,2.28,2.34,2.34,2416000
2021-03-12,2.36,2.4,2.3,2.34,2.34,1092000
2021-03-15,2.36,2.44,2.34,2.38,2.38,757600
2021-03-16,2.32,2.36,2.28,2.32,2.32,1439900
2021-03-17,2.34,2.34,2.18,2.18,2.18,2513200
2021-03-18,2.24,2.36,2.22,2.28,2.28,2790700
2021-03-19,2.3,2.74,2.3,2.74,2.74,19051400
2021-03-22,2.94,3.16,2.8,3.12,3.12,25798800
2021-03-23,3.12,3.12,2.96,3.12,3.12,5524500
2021-03-24,3.06,3.12,3.02,3.04,3.04,1999800
2021-03-25,3.04,3.06,2.78,2.92,2.92,16941600
2021-03-26,2.84,2.98,2.82,2.84,2.84,4438700
2021-03-29,2.9,2.9,2.8,2.82,2.82,1660400
2021-03-30,2.88,2.92,2.84,2.88,2.88,1963400
2021-03-31,2.9,2.9,2.8,2.84,2.84,5736100
2021-04-01,2.86,2.86,2.8,2.8,2.8,2424900
2021-04-02,2.8,2.9,2.78,2.82,2.82,3268600
2021-04-05,2.86,2.88,2.78,2.84,2.84,2324200
2021-04-07,2.8,2.84,2.78,2.82,2.82,2441700
