Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2.02,2.04,2.02,2.04,2.04,0
2020-01-03,2.0,2.02,1.99,2.0,2.0,0
2020-01-06,1.9300000000000002,2.0,1.9300000000000002,2.0,2.0,0
2020-01-07,2.0,2.02,1.99,2.02,2.02,0
2020-01-08,1.98,2.0,1.98,1.98,1.98,0
2020-01-09,1.99,2.0,1.99,1.99,1.99,0
2020-01-10,2.0,2.0,1.99,2.0,2.0,0
2020-01-13,2.0,2.0,1.99,1.99,1.99,0
2020-01-14,1.99,2.0,1.99,2.0,2.0,0
2020-01-15,1.99,2.0,1.98,1.98,1.98,0
2020-01-16,2.0,2.0,1.98,1.98,1.98,0
2020-01-17,1.99,2.0,1.99,2.0,2.0,0
2020-01-20,2.0,2.0,1.98,1.98,1.98,0
2020-01-21,1.98,2.0,1.98,1.98,1.98,0
2020-01-22,2.0,2.0,1.98,2.0,2.0,0
2020-01-23,2.0,2.0,1.98,2.0,2.0,0
2020-01-24,1.98,1.99,1.98,1.99,1.99,0
2020-01-27,1.98,1.98,1.95,1.98,1.98,0
2020-01-28,1.98,1.98,1.96,1.97,1.97,0
2020-01-29,1.99,1.99,1.98,1.98,1.98,0
2020-01-30,1.98,1.99,1.97,1.98,1.98,0
2020-01-31,1.98,1.98,1.96,1.98,1.98,0
2020-02-03,1.99,1.99,1.97,1.97,1.97,0
2020-02-04,1.98,1.99,1.96,1.97,1.97,0
2020-02-05,1.98,1.99,1.98,1.99,1.99,0
2020-02-06,2.0,2.0,1.98,2.0,2.0,0
2020-02-07,2.0,2.0,1.98,1.98,1.98,0
2020-02-11,1.97,1.99,1.97,1.99,1.99,0
2020-02-12,2.0,2.0,1.98,1.98,1.98,0
2020-02-13,2.0,2.02,1.96,1.97,1.97,0
2020-02-14,1.97,1.99,1.97,1.99,1.99,0
2020-02-17,1.99,1.99,1.97,1.98,1.98,0
2020-02-18,1.98,1.98,1.98,1.98,1.98,0
2020-02-19,1.97,1.99,1.97,1.99,1.99,0
2020-02-20,1.99,1.99,1.96,1.96,1.96,0
2020-02-21,1.98,1.98,1.95,1.96,1.96,0
2020-02-24,1.97,1.97,1.92,1.92,1.92,0
2020-02-25,1.9,1.9300000000000002,1.8599999999999999,1.9100000000000001,1.9100000000000001,0
2020-02-26,1.87,1.88,1.81,1.81,1.81,0
2020-02-27,1.8,1.8199999999999998,1.78,1.8199999999999998,1.8199999999999998,0
2020-02-28,1.81,1.83,1.79,1.79,1.79,0
