Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,2.22,2.22,2.16,2.16,2.16,8400.0
2020-08-26,2.18,2.22,2.16,2.2,2.2,63100.0
2020-08-27,2.18,2.2,2.18,2.2,2.2,12900.0
2020-08-28,2.16,2.2,2.16,2.2,2.2,64200.0
2020-08-31,2.2,2.2,2.18,2.18,2.18,2900.0
2020-09-01,2.14,2.18,2.14,2.18,2.18,8600.0
2020-09-02,2.16,2.16,2.16,2.16,2.16,3500.0
2020-09-03,2.18,2.2,2.16,2.16,2.16,3700.0
2020-09-09,2.12,2.14,2.12,2.14,2.14,2300.0
2020-09-10,2.14,2.14,2.1,2.14,2.14,47300.0
2020-09-11,2.14,2.18,2.14,2.18,2.18,23200.0
2020-09-14,2.18,2.2,2.16,2.16,2.16,44500.0
2020-09-16,2.14,2.2,2.08,2.16,2.16,51700.0
2020-09-17,2.16,2.16,2.08,2.16,2.16,44100.0
2020-09-18,2.16,2.16,2.1,2.16,2.16,67700.0
2020-09-21,2.16,2.16,2.08,2.16,2.16,32500.0
2020-09-22,2.14,2.16,2.12,2.16,2.16,30600.0
2020-09-23,2.14,2.16,2.14,2.16,2.16,600.0
2020-09-24,2.1,2.16,2.08,2.16,2.16,18900.0
2020-09-28,2.16,2.16,2.08,2.16,2.16,50000.0
2020-09-29,2.16,2.16,2.16,2.16,2.16,100.0
2020-09-30,2.06,2.08,1.97,2.08,2.08,202400.0
2020-10-01,2.04,2.1,2.04,2.1,2.1,10300.0
2020-10-02,2.1,2.1,2.08,2.1,2.1,10000.0
2020-10-05,2.1,2.14,2.08,2.14,2.14,9800.0
2020-10-06,2.16,2.16,2.08,2.14,2.14,7300.0
2020-10-07,2.1,2.14,2.08,2.14,2.14,3700.0
2020-10-08,2.1,2.14,2.1,2.12,2.12,10900.0
2020-10-12,2.1,2.1,2.08,2.1,2.1,3200.0
2020-10-14,2.06,2.12,2.04,2.12,2.12,900.0
2020-10-16,2.12,2.2,2.12,2.14,2.14,200600.0
2020-10-19,2.1,2.16,2.1,2.16,2.16,5100.0
