Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.38,1.38,1.33,1.37,1.37,373000
2020-09-24,1.36,1.36,1.32,1.32,1.32,193200
2020-09-25,1.32,1.4,1.31,1.32,1.32,51300
2020-09-28,1.32,1.34,1.31,1.32,1.32,36800
2020-09-29,1.39,1.51,1.39,1.51,1.51,8182600
2020-09-30,1.65,1.72,1.61,1.61,1.61,11655300
2020-10-01,1.61,1.63,1.5,1.56,1.56,2715300
2020-10-02,1.57,1.62,1.54,1.59,1.59,2691500
2020-10-05,1.5,1.53,1.46,1.46,1.46,2974000
2020-10-06,1.47,1.52,1.46,1.47,1.47,1494300
2020-10-07,1.46,1.48,1.44,1.47,1.47,1363000
2020-10-08,1.48,1.48,1.42,1.42,1.42,1268800
2020-10-09,1.4,1.41,1.34,1.34,1.34,1834300
2020-10-12,1.29,1.35,1.29,1.34,1.34,1334500
2020-10-14,1.33,1.33,1.28,1.31,1.31,1688200
2020-10-15,1.29,1.36,1.29,1.31,1.31,1250000
2020-10-16,1.33,1.33,1.25,1.27,1.27,1017100
2020-10-19,1.24,1.27,1.19,1.22,1.22,1351500
2020-10-20,1.22,1.25,1.19,1.21,1.21,586700
2020-10-21,1.22,1.22,1.2,1.2,1.2,320000
2020-10-22,1.2,1.2,1.18,1.18,1.18,551500
2020-10-26,1.14,1.2,1.14,1.2,1.2,81000
2020-10-27,1.2,1.2,1.16,1.18,1.18,149200
2020-10-28,1.2,1.27,1.2,1.21,1.21,163500
2020-10-29,1.21,1.21,1.17,1.17,1.17,15500
2020-10-30,1.17,1.2,1.17,1.18,1.18,109000
2020-11-02,1.18,1.18,1.17,1.18,1.18,12600
2020-11-03,1.18,1.2,1.17,1.19,1.19,19700
2020-11-04,1.21,1.21,1.15,1.2,1.2,50300
2020-11-05,1.21,1.21,1.19,1.21,1.21,124500
2020-11-06,1.2,1.2,1.17,1.18,1.18,55100
2020-11-09,1.2,1.2,1.17,1.18,1.18,233900
2020-11-10,1.22,1.22,1.06,1.1,1.1,1983400
2020-11-11,1.11,1.16,1.11,1.14,1.14,70500
2020-11-12,1.12,1.15,1.09,1.12,1.12,228100
2020-11-13,1.12,1.19,1.12,1.19,1.19,34800
2020-11-16,1.19,1.2,1.18,1.19,1.19,126600
2020-11-17,1.2,1.2,1.18,1.19,1.19,145200
2020-11-18,1.2,1.2,1.12,1.15,1.15,245600
2020-11-19,1.15,1.17,1.14,1.15,1.15,139500
2020-11-20,1.15,1.17,1.13,1.13,1.13,40800
2020-11-23,1.13,1.19,1.11,1.15,1.15,150600
2020-11-24,1.16,1.16,1.13,1.14,1.14,159000
2020-11-25,1.13,1.16,1.13,1.16,1.16,151600
2020-11-26,1.16,1.17,1.16,1.17,1.17,154400
2020-11-27,1.19,1.25,1.18,1.24,1.24,326300
2020-11-30,1.25,1.25,1.23,1.23,1.23,90800
2020-12-01,1.23,1.33,1.23,1.31,1.31,385000
2020-12-02,1.3,1.31,1.25,1.29,1.29,314200
2020-12-03,1.29,1.29,1.24,1.24,1.24,253000
2020-12-04,1.23,1.24,1.2,1.22,1.22,226500
2020-12-08,1.22,1.23,1.2,1.2,1.2,287800
2020-12-09,1.2,1.23,1.16,1.2,1.2,210700
2020-12-14,1.21,1.21,1.19,1.2,1.2,48600
2020-12-15,1.2,1.21,1.19,1.2,1.2,30100
2020-12-16,1.2,1.24,1.2,1.2,1.2,271000
2020-12-17,1.2,1.22,1.18,1.22,1.22,281100
2020-12-18,1.22,1.3,1.2,1.29,1.29,669900
2020-12-21,1.14,1.25,1.14,1.18,1.18,112100
2020-12-22,1.1,1.21,1.1,1.2,1.2,17900
2020-12-23,1.19,1.24,1.18,1.21,1.21,191900
2020-12-24,1.21,1.24,1.16,1.18,1.18,269500
2020-12-25,1.2,1.2,1.17,1.17,1.17,277100
2020-12-28,1.17,1.21,1.15,1.16,1.16,696000
2020-12-29,1.15,1.2,1.15,1.17,1.17,155000
2020-12-30,1.15,1.17,1.15,1.15,1.15,197400
2021-01-04,1.15,1.18,1.15,1.17,1.17,15500
2021-01-05,1.16,1.18,1.16,1.17,1.17,107600
2021-01-06,1.18,1.18,1.15,1.15,1.15,134900
2021-01-07,1.17,1.17,1.09,1.12,1.12,4031600
2021-01-08,1.12,1.14,1.09,1.1,1.1,745200
2021-01-11,1.1,1.13,1.09,1.13,1.13,344100
2021-01-12,1.13,1.13,1.11,1.12,1.12,200200
2021-01-13,1.12,1.12,1.08,1.08,1.08,722700
2021-01-14,1.09,1.11,1.08,1.11,1.11,389500
2021-01-15,1.11,1.11,1.1,1.11,1.11,226500
2021-01-18,1.1,1.1,1.09,1.1,1.1,233700
2021-01-19,1.1,1.14,1.1,1.14,1.14,473100
2021-01-20,1.14,1.14,1.11,1.12,1.12,261000
2021-01-21,1.14,1.14,1.1,1.11,1.11,263000
2021-01-22,1.11,1.13,1.11,1.11,1.11,99300
2021-01-25,1.12,1.13,1.1,1.11,1.11,105800
2021-01-26,1.08,1.11,1.07,1.07,1.07,366700
2021-01-27,1.07,1.1,1.07,1.09,1.09,59600
2021-01-28,1.1,1.1,1.06,1.07,1.07,479000
2021-01-29,1.07,1.08,1.05,1.07,1.07,170200
2021-02-01,1.06,1.08,1.06,1.08,1.08,45700
2021-02-02,1.08,1.08,1.05,1.05,1.05,106700
2021-02-03,1.07,1.12,1.06,1.1,1.1,405300
2021-02-04,1.11,1.2,1.09,1.15,1.15,1439500
2021-02-05,1.16,1.19,1.15,1.16,1.16,132900
2021-02-08,1.15,1.2,1.15,1.18,1.18,71200
2021-02-09,1.18,1.24,1.18,1.18,1.18,385100
2021-02-10,1.18,1.21,1.18,1.19,1.19,134400
2021-02-11,1.19,1.2,1.17,1.17,1.17,2684700
2021-02-15,1.15,1.25,1.15,1.2,1.2,46500
2021-02-16,1.2,1.21,1.18,1.18,1.18,56600
2021-02-17,1.16,1.21,1.15,1.18,1.18,12900
2021-02-18,1.18,1.21,1.14,1.18,1.18,51400
2021-02-19,1.16,1.18,1.16,1.18,1.18,25400
2021-02-22,1.16,1.16,1.14,1.14,1.14,10200
