Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,31.5,31.5,30.25,30.75,30.75,28840900
2020-09-24,30.5,30.75,29.0,29.25,29.25,43946000
2020-09-25,30.0,30.5,29.75,29.75,29.75,24392200
2020-09-28,30.0,31.25,30.0,30.75,30.75,29224900
2020-09-29,31.0,31.0,30.5,31.0,31.0,8294700
2020-09-30,31.25,31.5,30.5,30.5,30.5,15722800
2020-10-01,30.75,31.0,30.0,31.0,31.0,22803100
2020-10-02,30.5,30.75,30.0,30.5,30.5,19617300
2020-10-05,30.5,31.0,30.25,30.5,30.5,12505700
2020-10-06,30.5,31.0,30.25,30.25,30.25,18058000
2020-10-07,30.25,30.75,30.0,30.75,30.75,20664800
2020-10-08,30.75,32.0,30.75,31.75,31.75,30451300
2020-10-09,32.0,32.0,31.0,31.25,31.25,21228900
2020-10-12,31.25,32.0,31.0,31.5,31.5,17876200
2020-10-14,31.5,31.75,30.5,31.0,31.0,22816800
2020-10-15,30.75,31.0,30.0,30.5,30.5,18350600
2020-10-16,30.5,30.5,30.0,30.25,30.25,10378800
2020-10-19,30.0,30.25,29.5,30.0,30.0,18611800
2020-10-20,29.75,30.25,29.25,29.75,29.75,21621400
2020-10-21,29.75,30.0,29.25,29.5,29.5,19436900
2020-10-22,29.5,29.75,28.25,28.5,28.5,50320700
2020-10-26,28.25,28.75,28.0,28.0,28.0,25411800
2020-10-27,27.5,28.5,27.5,28.0,28.0,16090900
2020-10-28,28.25,29.0,28.0,28.5,28.5,23478100
2020-10-29,28.5,28.75,28.25,28.75,28.75,12741600
2020-10-30,28.75,29.0,27.75,28.5,28.5,20068000
2020-11-02,28.75,28.75,28.25,28.75,28.75,11144100
2020-11-03,29.0,29.5,28.75,29.5,29.5,21767200
2020-11-04,29.5,30.25,28.75,29.0,29.0,28130600
2020-11-05,29.5,31.5,29.5,31.25,31.25,61092300
2020-11-06,31.75,33.75,31.5,32.25,32.25,104121700
2020-11-09,33.5,34.0,32.75,33.75,33.75,66209800
2020-11-10,33.75,34.25,33.25,33.75,33.75,59243800
2020-11-11,34.25,35.0,33.75,34.75,34.75,49605400
2020-11-12,34.5,35.0,34.25,34.5,34.5,22091400
2020-11-13,34.25,35.75,34.0,35.75,35.75,48465300
2020-11-16,36.0,36.5,34.75,34.75,34.75,53379500
2020-11-17,34.75,35.25,34.25,34.75,34.75,26573600
2020-11-18,34.5,36.0,34.25,36.0,36.0,45138800
