Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.3,2.34,2.26,2.28,2.28,23904100
2020-09-24,2.28,2.32,2.26,2.3,2.3,15067600
2020-09-25,2.32,2.36,2.28,2.3,2.3,15569000
2020-09-28,2.32,2.34,2.28,2.3,2.3,17696800
2020-09-29,2.3,2.32,2.28,2.28,2.28,12165500
2020-09-30,2.3,2.3,2.24,2.24,2.24,14165600
2020-10-01,2.26,2.28,2.22,2.24,2.24,9432700
2020-10-02,2.24,2.28,2.24,2.26,2.26,9670400
2020-10-05,2.26,2.38,2.26,2.36,2.36,33016200
2020-10-06,2.4,2.42,2.32,2.32,2.32,20149000
2020-10-07,2.32,2.36,2.32,2.32,2.32,10186100
2020-10-08,2.32,2.4,2.32,2.36,2.36,26287200
2020-10-09,2.36,2.36,2.3,2.3,2.3,12004600
2020-10-12,2.32,2.34,2.3,2.32,2.32,9961700
2020-10-14,2.32,2.38,2.32,2.36,2.36,14438200
2020-10-15,2.36,2.36,2.3,2.3,2.3,13893600
2020-10-16,2.32,2.32,2.22,2.24,2.24,42762500
2020-10-19,2.24,2.26,2.18,2.2,2.2,23376200
2020-10-20,2.22,2.26,2.2,2.24,2.24,12571900
2020-10-21,2.22,2.24,2.06,2.16,2.16,74830400
2020-10-22,2.16,2.2,2.1,2.12,2.12,68390400
2020-10-26,2.12,2.14,2.08,2.1,2.1,15887900
2020-10-27,2.1,2.16,2.0,2.04,2.04,66790300
2020-10-28,2.02,2.08,2.0,2.02,2.02,49593400
2020-10-29,2.0,2.06,2.0,2.04,2.04,14353100
2020-10-30,2.06,2.06,2.02,2.04,2.04,7724000
2020-11-02,2.04,2.1,2.02,2.08,2.08,24162500
2020-11-03,2.1,2.16,2.06,2.14,2.14,44377900
2020-11-04,2.14,2.16,2.1,2.12,2.12,20283400
2020-11-05,2.14,2.18,2.1,2.18,2.18,39743000
2020-11-06,2.18,2.22,2.18,2.22,2.22,28371500
2020-11-09,2.24,2.3,2.24,2.3,2.3,38244000
2020-11-10,2.36,2.38,2.32,2.36,2.36,56457500
2020-11-11,2.36,2.36,2.28,2.34,2.34,31965100
2020-11-12,2.32,2.32,2.28,2.3,2.3,16665500
2020-11-13,2.3,2.34,2.26,2.32,2.32,38838300
2020-11-16,2.32,2.36,2.3,2.36,2.36,46121400
2020-11-17,2.36,2.36,2.3,2.32,2.32,28485000
2020-11-18,2.3,2.32,2.28,2.32,2.32,19343100
2020-11-19,2.32,2.36,2.3,2.34,2.34,20197300
2020-11-20,2.34,2.4,2.32,2.36,2.36,42995000
2020-11-23,2.4,2.5,2.38,2.48,2.48,77453600
2020-11-24,2.48,2.5,2.4,2.42,2.42,81734000
2020-11-25,2.44,2.46,2.4,2.44,2.44,36056000
2020-11-26,2.42,2.46,2.42,2.44,2.44,16954000
2020-11-27,2.44,2.5,2.42,2.48,2.48,31722400
2020-11-30,2.52,2.56,2.48,2.5,2.5,50526900
2020-12-01,2.54,2.54,2.5,2.54,2.54,31497000
2020-12-02,2.54,2.54,2.5,2.5,2.5,13154800
2020-12-03,2.5,2.52,2.48,2.5,2.5,22026100
2020-12-04,2.5,2.54,2.48,2.48,2.48,26523900
2020-12-08,2.48,2.6,2.46,2.56,2.56,74630300
2020-12-09,2.58,2.6,2.52,2.54,2.54,42991800
2020-12-14,2.56,2.6,2.54,2.58,2.58,44290100
2020-12-15,2.58,2.62,2.54,2.58,2.58,47713500
2020-12-16,2.6,2.68,2.58,2.62,2.62,72188000
2020-12-17,2.62,2.64,2.58,2.6,2.6,31183200
2020-12-18,2.6,2.62,2.56,2.6,2.6,28139600
2020-12-21,2.44,2.5,2.38,2.38,2.38,60481000
2020-12-22,2.38,2.48,2.32,2.48,2.48,52757000
2020-12-23,2.46,2.48,2.4,2.44,2.44,21358200
2020-12-24,2.46,2.48,2.4,2.46,2.46,17166100
2020-12-25,2.46,2.5,2.46,2.46,2.46,22383500
2020-12-28,2.46,2.56,2.46,2.48,2.48,42855000
2020-12-29,2.52,2.56,2.5,2.52,2.52,32598600
2020-12-30,2.52,2.54,2.48,2.52,2.52,25200000
2021-01-04,2.48,2.56,2.48,2.56,2.56,43806200
2021-01-05,2.6,2.68,2.58,2.62,2.62,148483600
2021-01-06,2.66,2.74,2.64,2.66,2.66,129153000
2021-01-07,2.72,2.72,2.66,2.68,2.68,48665800
2021-01-08,2.7,2.7,2.64,2.64,2.64,37993700
2021-01-11,2.68,2.7,2.66,2.7,2.7,35032000
2021-01-12,2.7,2.7,2.66,2.68,2.68,34645600
2021-01-13,2.68,2.7,2.64,2.66,2.66,27668200
2021-01-14,2.64,2.68,2.64,2.66,2.66,22456300
2021-01-15,2.66,2.66,2.6,2.62,2.62,23548300
2021-01-18,2.62,2.64,2.6,2.6,2.6,11280200
2021-01-19,2.6,2.62,2.58,2.6,2.6,21046800
2021-01-20,2.62,2.62,2.56,2.58,2.58,23697800
2021-01-21,2.6,2.62,2.56,2.58,2.58,17836800
2021-01-22,2.56,2.6,2.52,2.54,2.54,27959000
2021-01-25,2.54,2.56,2.5,2.52,2.52,24662000
2021-01-26,2.52,2.54,2.48,2.52,2.52,21345600
2021-01-27,2.54,2.56,2.52,2.54,2.54,18239700
2021-01-28,2.52,2.54,2.48,2.48,2.48,39471200
2021-01-29,2.52,2.58,2.5,2.58,2.58,33494200
2021-02-01,2.6,2.66,2.58,2.6,2.6,52277600
2021-02-02,2.6,2.62,2.58,2.58,2.58,13003400
2021-02-03,2.6,2.62,2.58,2.6,2.6,10313800
2021-02-04,2.6,2.6,2.56,2.58,2.58,12119900
2021-02-05,2.58,2.6,2.56,2.6,2.6,6294000
2021-02-08,2.6,2.62,2.58,2.6,2.6,8894100
2021-02-09,2.62,2.64,2.58,2.62,2.62,23287500
2021-02-10,2.62,2.68,2.62,2.66,2.66,31493900
2021-02-11,2.66,2.66,2.6,2.62,2.62,16736200
2021-02-15,2.66,2.68,2.6,2.64,2.64,11756700
2021-02-16,2.64,2.64,2.6,2.62,2.62,18034600
2021-02-17,2.62,2.66,2.62,2.66,2.66,15907900
2021-02-18,2.66,2.66,2.62,2.62,2.62,8015600
2021-02-19,2.64,2.64,2.6,2.62,2.62,8798500
2021-02-22,2.6,2.62,2.54,2.58,2.58,29780500
2021-02-23,2.56,2.6,2.54,2.56,2.56,11407000
2021-02-24,2.58,2.6,2.56,2.58,2.58,7427200
2021-02-25,2.7,2.72,2.64,2.72,2.72,104181100
2021-03-01,2.76,2.78,2.72,2.74,2.74,105428800
2021-03-02,2.72,2.76,2.72,2.74,2.74,74986700
2021-03-03,2.76,2.9,2.74,2.86,2.86,157171700
2021-03-04,2.86,2.88,2.8,2.82,2.82,62214500
2021-03-05,2.82,2.84,2.8,2.82,2.82,66104800
2021-03-08,2.84,2.86,2.82,2.84,2.84,48459300
2021-03-09,2.84,2.86,2.82,2.84,2.84,42855500
2021-03-10,2.88,3.02,2.86,3.0,3.0,240131300
2021-03-11,3.06,3.06,2.96,3.0,3.0,100243100
2021-03-12,3.04,3.18,3.02,3.14,3.14,186809100
2021-03-15,3.2,3.46,3.2,3.4,3.4,437802200
2021-03-16,3.48,4.0,3.44,3.6,3.6,1460690900
2021-03-17,3.7,3.76,3.64,3.66,3.66,407897100
2021-03-18,3.72,3.82,3.66,3.82,3.82,449670800
2021-03-19,3.8,3.9,3.78,3.86,3.86,516292900
2021-03-22,3.88,3.9,3.8,3.8,3.8,224387700
2021-03-23,3.78,3.8,3.64,3.66,3.66,301109900
2021-03-24,3.64,3.88,3.6,3.84,3.84,362369800
2021-03-25,3.84,3.86,3.74,3.76,3.76,171985400
2021-03-26,3.78,3.84,3.76,3.76,3.76,102596600
2021-03-29,3.78,3.84,3.76,3.78,3.78,103241600
2021-03-30,3.78,3.8,3.72,3.74,3.74,87312900
2021-03-31,3.76,3.78,3.72,3.74,3.74,51521000
2021-04-01,3.74,3.82,3.72,3.74,3.74,96992300
2021-04-02,3.76,4.0,3.72,3.96,3.96,523920000
2021-04-05,4.02,4.16,3.9,3.9,3.9,916546000
2021-04-07,3.96,4.0,3.84,3.86,3.86,322341600
2021-04-08,3.88,3.92,3.84,3.84,3.84,132469300
2021-04-09,3.84,3.92,3.84,3.86,3.86,79482600
2021-04-12,3.84,3.88,3.76,3.78,3.78,147764000
2021-04-16,3.74,3.76,3.6,3.72,3.72,145025000
2021-04-19,3.76,3.96,3.76,3.96,3.96,238128400
2021-04-20,3.94,4.04,3.9,3.9,3.9,208325600
2021-04-21,3.92,4.02,3.9,3.98,3.98,154080300
2021-04-22,4.02,4.04,3.92,3.92,3.92,144910400
2021-04-23,3.9,3.94,3.86,3.88,3.88,87550300
2021-04-26,3.86,3.94,3.84,3.92,3.92,68749800
2021-04-27,3.92,4.0,3.88,3.92,3.92,166836600
2021-04-28,4.0,4.14,3.98,4.08,4.08,557352500
2021-04-29,4.12,4.22,4.1,4.14,4.14,419980900
2021-04-30,4.14,4.24,4.1,4.2,4.2,341735900
2021-05-05,4.18,4.2,4.08,4.14,4.14,258610500
2021-05-06,3.92,4.0,3.92,3.98,3.98,115328600
2021-05-07,3.98,4.02,3.96,3.96,3.96,62268600
2021-05-10,3.96,3.98,3.88,3.92,3.92,110529000
2021-05-11,3.94,3.96,3.86,3.86,3.86,147604300
2021-05-12,3.86,3.9,3.8,3.82,3.82,113208900
2021-05-13,3.74,3.78,3.46,3.64,3.64,268056900
2021-05-14,3.74,3.86,3.62,3.82,3.82,262605300
2021-05-17,3.76,3.8,3.72,3.72,3.72,125912000
2021-05-18,3.76,3.8,3.72,3.74,3.74,55564100
2021-05-19,3.74,3.76,3.66,3.68,3.68,83671600
2021-05-20,3.68,3.72,3.64,3.64,3.64,77438800
2021-05-21,3.64,3.68,3.62,3.64,3.64,73838700
2021-05-24,3.66,3.68,3.52,3.54,3.54,129133400
2021-05-25,3.56,3.64,3.54,3.6,3.6,76943500
2021-05-27,3.6,3.68,3.58,3.62,3.62,86064900
2021-05-28,3.64,3.68,3.56,3.58,3.58,72760700
2021-05-31,3.46,3.52,3.4,3.5,3.5,166915100
2021-06-01,3.54,3.64,3.52,3.62,3.62,138703100
2021-06-02,3.66,3.76,3.64,3.7,3.7,224287100
2021-06-04,3.68,3.74,3.66,3.68,3.68,83567000
2021-06-07,3.72,3.88,3.72,3.86,3.86,307107300
2021-06-08,3.9,3.94,3.84,3.88,3.88,183434500
2021-06-09,3.88,3.92,3.78,3.9,3.9,153931400
2021-06-10,3.92,3.94,3.86,3.86,3.86,105227000
2021-06-11,3.88,4.16,3.88,4.16,4.16,702036300
2021-06-14,4.18,4.48,4.08,4.42,4.42,740188800
2021-06-15,4.36,4.48,4.14,4.24,4.24,824504200
2021-06-16,4.16,4.38,4.08,4.38,4.38,793027400
2021-06-17,4.44,4.46,4.22,4.26,4.26,546808300
2021-06-18,4.26,4.88,4.2,4.88,4.88,1376508300
2021-06-21,4.9,5.1,4.76,4.8,4.8,1840510100
2021-06-22,4.88,5.05,4.76,4.92,4.92,1376275100
2021-06-23,5.0,5.05,4.88,4.92,4.92,675119000
2021-06-24,4.9,4.94,4.8,4.86,4.86,664964000
2021-06-25,4.88,4.9,4.7,4.7,4.7,468277600
2021-06-28,4.62,4.9,4.56,4.82,4.82,511712300
2021-06-29,4.82,4.88,4.76,4.76,4.76,333167200
2021-06-30,4.78,4.84,4.7,4.72,4.72,226696600
2021-07-01,4.74,4.96,4.7,4.94,4.94,648031300
2021-07-02,4.9,4.92,4.76,4.8,4.8,490901800
2021-07-05,4.8,4.92,4.78,4.84,4.84,322533000
2021-07-06,4.86,4.88,4.8,4.8,4.8,209113700
2021-07-07,4.82,4.84,4.76,4.78,4.78,202863300
2021-07-08,4.74,4.76,4.6,4.6,4.6,396899100
2021-07-09,4.54,4.82,4.54,4.76,4.76,560166100
2021-07-12,4.8,4.8,4.66,4.68,4.68,212167100
2021-07-13,4.72,4.9,4.68,4.86,4.86,389960100
2021-07-14,4.9,4.94,4.82,4.84,4.84,305934500
2021-07-15,4.86,4.88,4.74,4.76,4.76,177096100
2021-07-16,4.76,5.05,4.76,4.84,4.84,1143714800
2021-07-19,4.78,5.05,4.78,5.0,5.0,597186000
2021-07-20,5.0,5.05,4.86,4.9,4.9,643601400
2021-07-21,4.92,4.96,4.84,4.86,4.86,295086300
2021-07-22,4.9,4.92,4.8,4.82,4.82,301989100
2021-07-23,4.84,4.86,4.78,4.8,4.8,166698400
2021-07-27,4.84,4.86,4.78,4.8,4.8,170586700
2021-07-29,4.8,4.9,4.74,4.78,4.78,329360900
2021-07-30,4.8,4.8,4.62,4.64,4.64,247399400
2021-08-02,4.64,4.7,4.6,4.66,4.66,98358800
2021-08-03,4.66,4.84,4.64,4.82,4.82,250868000
2021-08-04,4.82,4.84,4.74,4.78,4.78,175645800
2021-08-05,4.8,4.9,4.76,4.78,4.78,251595900
2021-08-06,4.8,4.84,4.7,4.7,4.7,213628400
2021-08-09,4.74,4.8,4.7,4.8,4.8,86723100
2021-08-10,4.8,4.86,4.76,4.8,4.8,138939600
2021-08-11,4.82,5.0,4.74,4.78,4.78,913415300
2021-08-13,4.82,4.84,4.72,4.72,4.72,251165800
2021-08-16,4.72,4.78,4.62,4.72,4.72,179038200
2021-08-17,4.74,4.78,4.7,4.74,4.74,122843400
2021-08-18,4.76,4.8,4.72,4.74,4.74,114277900
