Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.2,0.23,0.19,0.23,0.23,0
2021-03-25,0.23,0.24,0.22,0.23,0.23,0
2021-03-26,0.23,0.23,0.22,0.22,0.22,0
2021-03-29,0.23,0.23,0.22,0.23,0.23,0
2021-03-30,0.22,0.23,0.22,0.22,0.22,0
2021-03-31,0.22,0.24,0.22,0.23,0.23,0
2021-04-01,0.23,0.23,0.23,0.23,0.23,0
2021-04-02,0.23,0.23,0.22,0.23,0.23,0
2021-04-05,0.23,0.23,0.21,0.22,0.22,0
2021-04-07,0.23,0.23,0.21,0.21,0.21,0
2021-04-08,0.21,0.21,0.19,0.2,0.2,0
2021-04-09,0.2,0.21,0.19,0.2,0.2,0
2021-04-12,0.21,0.21,0.19,0.19,0.19,0
2021-04-16,0.18,0.2,0.16,0.19,0.19,0
2021-04-19,0.19,0.2,0.18,0.2,0.2,0
2021-04-20,0.2,0.2,0.18,0.2,0.2,0
2021-04-21,0.2,0.21,0.19,0.21,0.21,0
2021-04-22,0.21,0.22,0.2,0.2,0.2,0
2021-04-23,0.2,0.22,0.2,0.21,0.21,0
2021-04-26,0.22,0.22,0.21,0.21,0.21,0
2021-04-27,0.21,0.27,0.21,0.27,0.27,0
2021-04-28,0.28,0.28,0.24,0.26,0.26,0
2021-04-29,0.27,0.27,0.24,0.25,0.25,0
2021-04-30,0.25,0.25,0.23,0.25,0.25,0
2021-05-05,0.25,0.25,0.22,0.23,0.23,0
2021-05-06,0.23,0.24,0.23,0.24,0.24,0
2021-05-07,0.23,0.25,0.23,0.24,0.24,0
2021-05-10,0.24,0.24,0.23,0.24,0.24,0
2021-05-11,0.24,0.24,0.23,0.23,0.23,0
2021-05-12,0.23,0.23,0.23,0.23,0.23,0
2021-05-13,0.23,0.23,0.21,0.21,0.21,0
2021-05-14,0.17,0.23,0.17,0.22,0.22,0
2021-05-17,0.22,0.26,0.22,0.24,0.24,0
2021-05-18,0.24,0.24,0.22,0.23,0.23,0
2021-05-19,0.23,0.24,0.23,0.23,0.23,0
2021-05-20,0.23,0.23,0.23,0.23,0.23,0
2021-05-21,0.23,0.23,0.22,0.22,0.22,0
2021-05-24,0.22,0.23,0.22,0.22,0.22,0
2021-05-25,0.23,0.27,0.23,0.25,0.25,0
2021-05-27,0.26,0.26,0.24,0.25,0.25,0
2021-05-28,0.25,0.26,0.24,0.25,0.25,0
2021-05-31,0.26,0.27,0.24,0.26,0.26,0
2021-06-01,0.26,0.27,0.25,0.25,0.25,0
2021-06-02,0.27,0.27,0.25,0.26,0.26,0
2021-06-04,0.26,0.33,0.26,0.33,0.33,0
2021-06-07,0.38,0.43,0.38,0.43,0.43,0
2021-06-08,0.45,0.46,0.36,0.37,0.37,0
2021-06-09,0.38,0.39,0.35,0.38,0.38,0
2021-06-10,0.38,0.38,0.36,0.37,0.37,0
2021-06-11,0.36,0.37,0.35,0.36,0.36,0
2021-06-14,0.36,0.36,0.33,0.35,0.35,0
2021-06-15,0.34,0.35,0.33,0.34,0.34,0
2021-06-16,0.33,0.36,0.33,0.36,0.36,0
2021-06-17,0.36,0.36,0.31,0.33,0.33,0
2021-06-18,0.32,0.34,0.32,0.33,0.33,0
2021-06-21,0.33,0.33,0.31,0.32,0.32,0
2021-06-22,0.32,0.36,0.32,0.35,0.35,0
2021-06-23,0.35,0.35,0.32,0.33,0.33,0
2021-06-24,0.32,0.33,0.31,0.33,0.33,0
2021-06-25,0.33,0.35,0.32,0.33,0.33,0
2021-06-28,0.33,0.33,0.31,0.32,0.32,0
2021-06-29,0.32,0.33,0.31,0.32,0.32,0
2021-06-30,0.32,0.36,0.32,0.34,0.34,0
2021-07-01,0.35,0.35,0.33,0.34,0.34,0
2021-07-02,0.34,0.34,0.32,0.32,0.32,0
2021-07-05,0.33,0.33,0.31,0.33,0.33,0
2021-07-06,0.33,0.33,0.32,0.33,0.33,0
2021-07-07,0.33,0.33,0.32,0.33,0.33,0
2021-07-08,0.32,0.32,0.28,0.3,0.3,0
2021-07-09,0.27,0.28,0.27,0.27,0.27,0
2021-07-12,0.26,0.29,0.26,0.29,0.29,0
2021-07-13,0.29,0.33,0.29,0.32,0.32,0
2021-07-14,0.32,0.32,0.29,0.31,0.31,0
2021-07-15,0.31,0.32,0.31,0.31,0.31,0
2021-07-16,0.31,0.31,0.3,0.31,0.31,0
2021-07-19,0.31,0.31,0.29,0.31,0.31,0
2021-07-20,0.3,0.31,0.29,0.31,0.31,0
2021-07-21,0.31,0.31,0.3,0.31,0.31,0
2021-07-22,0.31,0.32,0.31,0.31,0.31,0
2021-07-23,0.31,0.31,0.3,0.3,0.3,0
2021-07-27,0.29,0.3,0.29,0.29,0.29,0
2021-07-29,0.3,0.31,0.29,0.3,0.3,0
2021-07-30,0.3,0.3,0.29,0.3,0.3,0
2021-08-02,0.3,0.3,0.27,0.27,0.27,0
2021-08-03,0.27,0.28,0.27,0.28,0.28,0
2021-08-04,0.28,0.29,0.27,0.27,0.27,0
2021-08-05,0.27,0.29,0.27,0.27,0.27,0
2021-08-06,0.28,0.29,0.27,0.27,0.27,0
2021-08-09,0.27,0.28,0.27,0.28,0.28,0
2021-08-10,0.27,0.3,0.27,0.3,0.3,0
2021-08-11,0.3,0.3,0.29,0.29,0.29,0
2021-08-13,0.28,0.3,0.27,0.27,0.27,0
2021-08-16,0.27,0.28,0.26,0.27,0.27,0
2021-08-17,0.27,0.29,0.27,0.29,0.29,0
2021-08-18,0.3,0.3,0.28,0.29,0.29,0
2021-08-19,0.29,0.3,0.28,0.29,0.29,0
2021-08-20,0.29,0.29,0.27,0.28,0.28,0
2021-08-23,0.29,0.29,0.27,0.29,0.29,0
2021-08-24,0.29,0.29,0.28,0.29,0.29,0
2021-08-25,0.29,0.3,0.29,0.29,0.29,0
2021-08-26,0.3,0.36,0.28,0.33,0.33,0
2021-08-27,0.33,0.33,0.31,0.32,0.32,0
2021-08-30,0.31,0.33,0.31,0.33,0.33,0
2021-08-31,0.33,0.33,0.31,0.31,0.31,0
2021-09-01,0.31,0.32,0.31,0.32,0.32,0
2021-09-02,0.32,0.34,0.31,0.33,0.33,0
2021-09-03,0.32,0.35,0.32,0.32,0.32,0
2021-09-06,0.33,0.35,0.32,0.34,0.34,0
2021-09-07,0.34,0.35,0.33,0.34,0.34,0
2021-09-08,0.34,0.35,0.33,0.34,0.34,0
2021-09-09,0.35,0.38,0.35,0.38,0.38,0
2021-09-10,0.4,0.4,0.36,0.36,0.36,0
2021-09-13,0.36,0.37,0.33,0.35,0.35,0
2021-09-14,0.35,0.35,0.33,0.34,0.34,0
2021-09-15,0.34,0.35,0.33,0.35,0.35,0
2021-09-16,0.35,0.35,0.33,0.34,0.34,0
2021-09-17,0.34,0.34,0.32,0.33,0.33,0
2021-09-20,0.33,0.34,0.32,0.33,0.33,0
2021-09-21,0.32,0.34,0.32,0.34,0.34,0
