Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,3.22,3.28,3.1,3.1,3.1,8440500
2020-09-25,3.1,3.18,2.98,2.98,2.98,7720000
2020-09-28,3.04,3.08,3.0,3.06,3.06,2564300
2020-09-29,3.08,3.08,2.96,2.96,2.96,2750200
2020-09-30,2.96,3.0,2.84,2.84,2.84,3526700
2020-10-01,2.82,2.98,2.82,2.92,2.92,4803300
2020-10-02,2.92,2.94,2.86,2.92,2.92,2033700
2020-10-05,2.94,3.14,2.92,3.12,3.12,8161800
2020-10-06,3.12,3.16,3.04,3.06,3.06,3714700
2020-10-07,3.1,3.18,3.04,3.1,3.1,4796700
2020-10-08,3.12,3.2,3.08,3.1,3.1,12108900
2020-10-09,3.12,3.12,3.04,3.06,3.06,5103300
2020-10-12,3.08,3.08,2.98,2.98,2.98,3351000
2020-10-14,2.96,3.16,2.94,3.16,3.16,7553500
2020-10-15,3.14,3.3,3.12,3.18,3.18,25200600
2020-10-16,3.24,3.4,3.2,3.36,3.36,35448600
2020-10-19,3.44,3.58,3.32,3.32,3.32,36677100
2020-10-20,3.24,3.3,3.18,3.2,3.2,11629900
2020-10-21,3.26,3.5,3.22,3.46,3.46,24007300
2020-10-22,3.44,3.44,3.28,3.32,3.32,10226900
2020-10-26,3.28,3.34,3.26,3.28,3.28,2871200
2020-10-27,3.3,3.46,3.26,3.4,3.4,11204100
2020-10-28,3.36,3.42,3.28,3.3,3.3,4259000
2020-10-29,3.32,3.34,3.26,3.26,3.26,3274000
2020-10-30,3.24,3.26,3.16,3.18,3.18,3905800
2020-11-02,3.16,3.3,3.16,3.3,3.3,1846600
2020-11-03,3.26,3.38,3.26,3.26,3.26,4769000
2020-11-04,3.3,3.3,3.24,3.24,3.24,1087100
2020-11-05,3.24,3.36,3.24,3.3,3.3,3501900
2020-11-06,3.34,3.34,3.2,3.22,3.22,1927600
2020-11-09,3.22,3.28,3.18,3.18,3.18,2220200
2020-11-10,3.2,3.2,3.0,3.06,3.06,5202200
2020-11-11,3.04,3.14,3.04,3.12,3.12,1398900
2020-11-12,3.14,3.14,3.08,3.1,3.1,586500
2020-11-13,3.1,3.22,3.08,3.2,3.2,3358700
2020-11-16,3.2,3.38,3.2,3.32,3.32,18258300
2020-11-17,3.34,3.4,3.26,3.3,3.3,7048900
2020-11-18,3.28,3.36,3.24,3.32,3.32,4538000
2020-11-19,3.34,3.54,3.34,3.52,3.52,16525100
2020-11-20,3.62,3.76,3.62,3.64,3.64,17620500
2020-11-23,3.64,3.68,3.6,3.62,3.62,4717500
2020-11-24,3.62,3.64,3.48,3.52,3.52,4677300
2020-11-25,3.56,3.58,3.48,3.56,3.56,2278300
2020-11-26,3.54,3.72,3.54,3.7,3.7,3574500
2020-11-27,3.72,3.72,3.6,3.6,3.6,2569100
2020-11-30,3.6,3.64,3.54,3.56,3.56,1765300
2020-12-01,3.56,3.6,3.54,3.54,3.54,1030500
2020-12-02,3.5,3.5,3.36,3.4,3.4,4672300
2020-12-03,3.42,3.46,3.38,3.44,3.44,2342500
2020-12-04,3.46,3.5,3.42,3.42,3.42,1595500
2020-12-08,3.44,3.52,3.4,3.5,3.5,3021900
2020-12-09,3.54,3.6,3.46,3.48,3.48,2462400
2020-12-14,3.44,3.46,3.4,3.4,3.4,1711400
2020-12-15,3.4,3.42,3.3,3.34,3.34,2564300
2020-12-16,3.36,3.4,3.32,3.4,3.4,1364400
2020-12-17,3.4,3.52,3.4,3.5,3.5,2335400
2020-12-18,3.54,3.56,3.46,3.48,3.48,2317700
2020-12-21,3.3,3.38,3.14,3.2,3.2,3367300
2020-12-22,3.18,3.26,3.14,3.26,3.26,1368200
2020-12-23,3.26,3.26,3.14,3.18,3.18,1306500
2020-12-24,3.18,3.28,3.18,3.24,3.24,2488200
2020-12-25,3.28,3.5,3.18,3.5,3.5,3374900
2020-12-28,3.5,3.52,3.4,3.4,3.4,3123400
2020-12-29,3.4,3.58,3.4,3.58,3.58,6294600
2020-12-30,3.68,3.74,3.52,3.54,3.54,15212800
2021-01-04,3.46,3.54,3.44,3.54,3.54,2626500
2021-01-05,3.58,3.64,3.5,3.62,3.62,4277400
2021-01-06,3.6,3.68,3.56,3.58,3.58,4440400
2021-01-07,3.6,3.64,3.5,3.56,3.56,3350800
2021-01-08,3.62,3.72,3.56,3.56,3.56,5845500
2021-01-11,3.56,3.66,3.54,3.66,3.66,3077500
2021-01-12,3.84,3.88,3.76,3.76,3.76,12062400
2021-01-13,3.78,3.94,3.72,3.94,3.94,16005300
2021-01-14,4.14,4.5,4.14,4.34,4.34,43116700
2021-01-15,4.32,4.64,4.3,4.44,4.44,20315800
2021-01-18,4.46,4.48,4.34,4.42,4.42,7978000
2021-01-19,4.42,4.58,4.38,4.54,4.54,11664300
2021-01-20,4.68,4.78,4.54,4.54,4.54,16052000
2021-01-21,4.56,4.62,4.52,4.52,4.52,4379100
2021-01-22,4.52,4.54,4.4,4.4,4.4,4160400
2021-01-25,4.38,4.5,4.38,4.46,4.46,2840800
2021-01-26,4.46,4.9,4.46,4.9,4.9,25740300
2021-01-27,4.98,5.0,4.66,4.72,4.72,11798700
2021-01-28,4.66,4.92,4.66,4.74,4.74,14358900
2021-01-29,4.8,4.86,4.7,4.78,4.78,12041400
2021-02-01,4.74,4.84,4.7,4.76,4.76,6278300
2021-02-02,4.78,4.94,4.76,4.76,4.76,17582100
2021-02-03,4.78,4.86,4.76,4.8,4.8,5502800
2021-02-04,4.8,4.88,4.76,4.78,4.78,3239000
2021-02-05,4.8,4.8,4.68,4.7,4.7,4508600
