Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,5.2,5.6,5.15,5.5,5.5,4370400
2020-09-24,5.6,5.6,5.25,5.55,5.55,5441000
2020-09-25,5.6,5.65,5.55,5.55,5.55,2144700
2020-09-28,5.45,5.6,5.45,5.5,5.5,690500
2020-09-29,5.45,5.5,5.25,5.25,5.25,1386200
2020-09-30,5.3,5.3,5.2,5.2,5.2,655200
2020-10-01,5.2,5.45,5.2,5.4,5.4,1003200
2020-10-02,5.45,5.9,5.4,5.8,5.8,4070800
2020-10-05,5.85,5.9,5.7,5.8,5.8,1913000
2020-10-06,5.8,6.2,5.8,6.1,6.1,6497800
2020-10-07,6.15,6.5,6.1,6.3,6.3,6725700
2020-10-08,6.3,6.45,6.3,6.3,6.3,2194500
2020-10-09,6.2,6.25,6.05,6.05,6.05,1559700
2020-10-12,6.0,6.15,5.9,6.0,6.0,1367600
2020-10-14,5.95,6.25,5.95,6.25,6.25,2040600
2020-10-15,6.25,6.25,5.8,5.8,5.8,2577300
2020-10-16,5.75,5.8,5.4,5.5,5.5,2773000
2020-10-19,5.25,5.3,5.1,5.1,5.1,2492500
2020-10-20,5.05,5.3,5.05,5.15,5.15,1824100
2020-10-21,5.3,5.5,5.2,5.35,5.35,1022000
2020-10-22,5.35,5.5,5.2,5.5,5.5,1940300
2020-10-26,5.3,5.5,5.25,5.35,5.35,410200
2020-10-27,5.35,5.35,5.2,5.3,5.3,608200
2020-10-28,5.25,5.3,5.15,5.15,5.15,690300
2020-10-29,5.15,5.2,5.05,5.1,5.1,1786300
2020-10-30,5.0,5.15,4.96,4.96,4.96,1721900
2020-11-02,4.94,4.98,4.82,4.9,4.9,757400
2020-11-03,4.96,5.2,4.96,5.1,5.1,1409600
2020-11-04,5.15,5.4,5.15,5.4,5.4,3051700
2020-11-05,5.5,5.5,5.25,5.3,5.3,2106300
2020-11-06,5.35,5.35,5.15,5.15,5.15,939800
2020-11-09,5.2,5.3,5.15,5.25,5.25,774500
2020-11-10,5.3,5.3,4.98,5.05,5.05,1197300
2020-11-11,5.05,5.15,5.0,5.15,5.15,393400
2020-11-12,5.15,5.2,5.1,5.15,5.15,223200
2020-11-13,5.15,5.25,5.1,5.2,5.2,252600
2020-11-16,5.2,5.2,4.92,4.96,4.96,4880100
2020-11-17,4.94,4.96,4.8,4.8,4.8,2022100
2020-11-18,4.82,4.84,4.64,4.68,4.68,2411700
2020-11-19,4.66,4.68,4.5,4.52,4.52,5689300
2020-11-20,4.54,4.62,4.52,4.6,4.6,3604700
2020-11-23,4.64,4.66,4.56,4.64,4.64,2339800
2020-11-24,4.66,4.68,4.54,4.54,4.54,2058100
2020-11-25,4.56,4.62,4.48,4.52,4.52,2642000
2020-11-26,4.54,4.58,4.5,4.58,4.58,1402200
2020-11-27,4.58,4.62,4.56,4.58,4.58,1381200
2020-11-30,4.6,4.96,4.6,4.96,4.96,8524400
2020-12-01,5.1,5.1,4.88,4.9,4.9,4718500
2020-12-02,4.88,4.9,4.76,4.78,4.78,3045500
2020-12-03,4.78,4.84,4.78,4.78,4.78,1270700
2020-12-04,4.8,4.82,4.68,4.7,4.7,2052100
2020-12-08,4.72,4.76,4.66,4.66,4.66,1853700
2020-12-09,4.68,4.68,4.56,4.58,4.58,1790600
2020-12-14,4.58,4.6,4.56,4.56,4.56,968100
2020-12-15,4.58,4.66,4.56,4.64,4.64,815400
2020-12-16,4.64,4.72,4.64,4.72,4.72,747500
2020-12-17,4.74,4.78,4.72,4.74,4.74,1110800
2020-12-18,4.76,4.8,4.7,4.72,4.72,1194000
2020-12-21,4.52,4.64,4.48,4.48,4.48,1655500
2020-12-22,4.42,4.5,4.42,4.48,4.48,1135200
2020-12-23,4.48,4.54,4.46,4.48,4.48,758300
2020-12-24,4.48,4.54,4.44,4.52,4.52,671800
2020-12-25,4.5,4.54,4.5,4.52,4.52,975700
2020-12-28,4.58,4.58,4.46,4.46,4.46,867900
2020-12-29,4.5,4.5,4.44,4.48,4.48,194400
2020-12-30,4.5,4.54,4.46,4.48,4.48,413900
2021-01-04,4.4,4.46,4.4,4.44,4.44,672600
2021-01-05,4.46,4.62,4.46,4.62,4.62,1505300
2021-01-06,4.64,4.66,4.56,4.56,4.56,932500
2021-01-07,4.56,4.62,4.56,4.62,4.62,428500
2021-01-08,4.68,4.7,4.62,4.64,4.64,619700
2021-01-11,4.68,4.74,4.66,4.68,4.68,915200
2021-01-12,4.64,4.7,4.64,4.66,4.66,626600
2021-01-13,4.7,4.72,4.64,4.64,4.64,1654300
2021-01-14,4.64,4.88,4.64,4.8,4.8,6778400
2021-01-15,4.78,4.82,4.72,4.74,4.74,2492700
2021-01-18,4.78,4.94,4.78,4.94,4.94,6114100
2021-01-19,5.0,5.1,4.94,4.96,4.96,5837500
2021-01-20,5.0,5.05,4.88,4.92,4.92,2441900
2021-01-21,4.94,4.98,4.92,4.92,4.92,1913400
2021-01-22,4.9,4.92,4.76,4.76,4.76,2509700
2021-01-25,4.76,4.76,4.66,4.7,4.7,1480000
2021-01-26,4.7,4.84,4.68,4.82,4.82,1315300
2021-01-27,4.82,4.9,4.82,4.84,4.84,1014500
2021-01-28,4.82,4.82,4.74,4.74,4.74,1168900
2021-01-29,4.8,4.8,4.7,4.74,4.74,769300
2021-02-01,4.7,4.82,4.7,4.8,4.8,613400
2021-02-02,4.82,4.84,4.78,4.78,4.78,386900
2021-02-03,4.78,4.88,4.74,4.78,4.78,1307800
2021-02-04,4.82,4.82,4.72,4.78,4.78,622800
2021-02-05,4.78,4.78,4.7,4.74,4.74,1089700
2021-02-08,4.76,4.76,4.72,4.74,4.74,510600
2021-02-09,4.78,4.78,4.68,4.74,4.74,514200
2021-02-10,4.76,4.84,4.72,4.8,4.8,769700
2021-02-11,4.8,4.82,4.72,4.8,4.8,390800
2021-02-15,4.8,5.05,4.78,5.0,5.0,4490600
2021-02-16,5.0,5.05,4.92,4.92,4.92,2481600
2021-02-17,4.94,4.94,4.86,4.86,4.86,904400
2021-02-18,4.84,4.9,4.84,4.86,4.86,517400
2021-02-19,4.84,4.86,4.74,4.78,4.78,813200
2021-02-22,4.76,4.78,4.6,4.62,4.62,1419300
2021-02-23,4.62,4.68,4.6,4.68,4.68,703500
2021-02-24,4.64,4.66,4.6,4.62,4.62,357400
2021-02-25,4.52,4.76,4.52,4.58,4.58,4680300
2021-03-01,4.66,4.66,4.58,4.64,4.64,708800
2021-03-02,4.58,4.58,4.42,4.48,4.48,4147700
2021-03-03,4.46,4.56,4.46,4.5,4.5,1847400
2021-03-04,4.5,4.6,4.5,4.6,4.6,1371600
2021-03-05,4.58,4.64,4.54,4.58,4.58,678000
2021-03-08,4.62,4.62,4.54,4.54,4.54,517900
2021-03-09,4.52,4.64,4.52,4.64,4.64,1014800
2021-03-10,4.64,4.7,4.6,4.68,4.68,1810900
2021-03-11,4.68,4.68,4.64,4.66,4.66,635200
2021-03-12,4.64,4.74,4.64,4.72,4.72,1428300
2021-03-15,4.76,4.76,4.68,4.68,4.68,613300
2021-03-16,4.68,4.72,4.66,4.68,4.68,672300
2021-03-17,4.68,4.76,4.68,4.74,4.74,976500
2021-03-18,4.74,4.84,4.72,4.84,4.84,1804100
2021-03-19,4.88,4.9,4.84,4.86,4.86,1242400
2021-03-22,4.88,4.88,4.8,4.8,4.8,1250100
2021-03-23,4.8,4.86,4.8,4.86,4.86,914900
2021-03-24,4.86,4.86,4.8,4.84,4.84,1041100
2021-03-25,4.84,5.15,4.82,5.1,5.1,9183200
2021-03-26,5.2,5.25,4.92,4.92,4.92,8207200
2021-03-29,4.92,5.05,4.92,4.98,4.98,2119800
2021-03-30,4.98,5.15,4.96,4.96,4.96,2961900
2021-03-31,5.0,5.1,4.96,4.96,4.96,2488600
2021-04-01,4.96,5.1,4.96,5.1,5.1,3037000
2021-04-02,5.25,5.4,5.15,5.2,5.2,7724500
2021-04-05,5.25,5.3,5.0,5.05,5.05,2940400
2021-04-07,5.0,5.0,4.8,4.8,4.8,4624600
2021-04-08,4.82,4.94,4.82,4.88,4.88,1726700
2021-04-09,4.9,4.94,4.82,4.88,4.88,880400
2021-04-12,4.84,4.86,4.76,4.78,4.78,1499500
2021-04-16,4.74,4.8,4.72,4.78,4.78,707300
2021-04-19,4.8,4.92,4.8,4.9,4.9,971700
2021-04-20,4.94,4.96,4.88,4.96,4.96,598000
2021-04-21,4.98,5.05,4.98,4.98,4.98,1031700
2021-04-22,5.05,5.05,4.88,4.92,4.92,1436000
2021-04-23,4.92,4.96,4.9,4.94,4.94,994300
2021-04-26,4.94,4.94,4.86,4.92,4.92,501000
2021-04-27,4.96,5.05,4.94,4.96,4.96,1724600
2021-04-28,5.0,5.4,5.0,5.4,5.4,11534000
2021-04-29,5.3,6.35,5.3,6.15,6.15,22433200
2021-04-30,6.1,6.3,5.95,6.15,6.15,8124700
2021-05-05,6.05,6.05,5.75,5.85,5.85,5162100
2021-05-06,5.8,6.6,5.7,6.45,6.45,12811100
2021-05-07,6.5,6.95,6.5,6.9,6.9,9330000
2021-05-10,7.0,7.1,6.9,6.95,6.95,6627200
2021-05-11,6.8,7.0,6.65,6.9,6.9,3474100
2021-05-12,7.0,7.1,6.8,7.05,7.05,4936600
2021-05-13,6.8,6.95,5.8,6.7,6.7,12564800
2021-05-14,6.8,6.8,6.1,6.1,6.1,5416600
2021-05-17,6.1,6.25,5.85,6.05,6.05,3363400
2021-05-18,5.95,6.3,5.95,6.2,6.2,1672100
2021-05-19,6.2,6.5,6.2,6.4,6.4,1859800
2021-05-20,6.45,6.5,6.35,6.35,6.35,1322000
2021-05-21,6.45,6.45,5.85,6.35,6.35,4868700
2021-05-24,6.05,6.4,6.05,6.3,6.3,1618400
2021-05-25,6.25,6.95,6.25,6.9,6.9,8163500
2021-05-27,7.0,7.0,6.8,6.95,6.95,4302300
2021-05-28,6.95,7.35,6.8,6.95,6.95,22429700
2021-05-31,7.0,7.05,6.8,6.9,6.9,4574400
2021-06-01,6.95,7.1,6.95,7.0,7.0,2103600
2021-06-02,7.0,7.1,6.9,7.0,7.0,3564900
2021-06-04,7.1,7.5,7.0,7.5,7.5,9486100
2021-06-07,7.7,7.7,7.05,7.05,7.05,7083300
2021-06-08,7.1,7.25,7.1,7.1,7.1,1991100
2021-06-09,7.1,7.25,7.1,7.2,7.2,969700
2021-06-10,7.15,7.15,6.8,6.8,6.8,4740300
2021-06-11,6.8,6.95,6.75,6.8,6.8,1828600
2021-06-14,6.75,6.8,6.35,6.45,6.45,4474400
2021-06-15,6.5,6.6,6.15,6.2,6.2,5490900
2021-06-16,6.25,6.55,6.25,6.4,6.4,2425500
2021-06-17,6.45,6.55,6.45,6.55,6.55,2476900
2021-06-18,6.65,6.65,6.5,6.55,6.55,1940300
2021-06-21,6.4,6.65,6.35,6.5,6.5,1385400
2021-06-22,6.6,6.65,6.55,6.6,6.6,1294800
2021-06-23,6.65,7.0,6.6,6.8,6.8,3254200
2021-06-24,6.9,7.0,6.7,6.9,6.9,3454100
2021-06-25,7.0,7.0,6.8,6.8,6.8,2286600
2021-06-28,6.6,6.75,6.5,6.55,6.55,1339700
2021-06-29,6.55,6.75,6.55,6.65,6.65,376300
2021-06-30,6.75,6.95,6.7,6.75,6.75,948300
2021-07-01,6.75,7.0,6.75,6.85,6.85,1665000
2021-07-02,6.95,7.0,6.8,6.9,6.9,1561300
2021-07-05,6.95,6.95,6.65,6.75,6.75,731800
2021-07-06,6.7,7.25,6.7,7.25,7.25,6098200
2021-07-07,7.15,7.25,6.95,7.0,7.0,3399300
2021-07-08,6.85,6.85,6.4,6.4,6.4,3795100
