Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,2.14,2.22,2.14,2.22,2.22,58000
2020-09-21,2.18,2.2,2.16,2.16,2.16,81900
2020-09-22,2.16,2.16,2.16,2.16,2.16,41000
2020-09-23,2.16,2.18,2.16,2.16,2.16,47600
2020-09-24,2.2,2.2,2.14,2.14,2.14,88100
2020-09-25,2.16,2.18,2.14,2.18,2.18,31500
2020-09-28,2.2,2.2,2.16,2.16,2.16,55500
2020-09-29,2.18,2.18,2.14,2.14,2.14,47600
2020-09-30,2.16,2.18,2.14,2.14,2.14,79000
2020-10-01,2.18,2.18,2.12,2.14,2.14,36500
2020-10-02,2.18,2.18,2.14,2.14,2.14,19100
2020-10-05,2.16,2.16,2.08,2.1,2.1,242400
2020-10-06,2.1,2.16,2.1,2.14,2.14,42800
2020-10-07,2.1,2.12,2.08,2.08,2.08,246700
2020-10-08,2.08,2.12,2.08,2.1,2.1,168700
2020-10-09,2.08,2.12,2.08,2.08,2.08,97300
2020-10-12,2.12,2.16,2.12,2.14,2.14,123900
2020-10-14,2.12,2.14,2.1,2.12,2.12,35200
2020-10-15,2.12,2.18,2.1,2.1,2.1,86600
2020-10-16,2.1,2.16,2.08,2.1,2.1,36400
2020-10-19,2.08,2.08,2.0,2.04,2.04,371000
2020-10-20,2.08,2.08,2.02,2.06,2.06,19900
2020-10-21,2.02,2.08,2.02,2.06,2.06,8500
2020-10-22,2.02,2.06,2.0,2.02,2.02,52000
2020-10-26,2.02,2.06,2.0,2.0,2.0,51000
2020-10-27,2.0,2.04,1.98,2.04,2.04,11000
2020-10-28,2.0,2.0,1.97,1.97,1.97,97700
2020-10-29,1.99,1.99,1.97,1.97,1.97,28100
2020-10-30,1.96,2.0,1.96,1.98,1.98,20100
2020-11-02,1.96,2.02,1.95,1.99,1.99,54600
2020-11-03,1.99,1.99,1.98,1.98,1.98,19600
2020-11-05,1.97,2.0,1.97,2.0,2.0,10200
2020-11-06,2.0,2.02,1.99,2.02,2.02,35600
2020-11-09,2.02,2.04,1.99,2.0,2.0,38200
2020-11-10,2.08,2.08,2.02,2.06,2.06,563800
2020-11-11,2.06,2.06,2.04,2.04,2.04,39200
2020-11-12,2.0,2.06,2.0,2.04,2.04,16200
2020-11-16,2.06,2.06,2.04,2.04,2.04,17300
2020-11-17,2.04,2.08,2.04,2.06,2.06,85300
2020-11-18,2.04,2.18,2.04,2.06,2.06,504500
2020-11-19,2.08,2.08,2.02,2.04,2.04,220700
2020-11-20,2.02,2.12,2.02,2.04,2.04,630700
2020-11-23,2.04,2.1,2.02,2.08,2.08,181400
2020-11-24,2.06,2.1,2.04,2.1,2.1,111900
2020-11-25,2.1,2.1,2.06,2.06,2.06,66200
2020-11-26,2.06,2.12,2.06,2.12,2.12,81700
2020-11-27,2.12,2.14,2.1,2.12,2.12,95200
2020-11-30,2.1,2.12,2.1,2.1,2.1,66600
2020-12-01,2.08,2.14,2.08,2.1,2.1,57900
2020-12-02,2.1,2.14,2.1,2.1,2.1,110600
2020-12-03,2.1,2.22,2.1,2.18,2.18,206800
2020-12-04,2.18,2.26,2.16,2.2,2.2,222000
2020-12-08,2.2,2.26,2.2,2.26,2.26,338100
2020-12-09,2.26,2.44,2.26,2.34,2.34,3898700
2020-12-14,2.34,2.38,2.32,2.34,2.34,227600
2020-12-15,2.32,2.34,2.28,2.3,2.3,207300
2020-12-16,2.3,2.34,2.28,2.3,2.3,170000
2020-12-17,2.32,2.36,2.32,2.32,2.32,29900
2020-12-18,2.3,2.34,2.28,2.3,2.3,83200
2020-12-21,2.28,2.28,2.1,2.1,2.1,391300
2020-12-22,2.1,2.18,2.1,2.12,2.12,39800
2020-12-23,2.18,2.24,2.1,2.16,2.16,91300
2020-12-24,2.12,2.18,2.12,2.16,2.16,108400
2020-12-25,2.24,2.24,2.16,2.16,2.16,157800
2020-12-28,2.2,2.2,2.12,2.16,2.16,69200
2020-12-29,2.14,2.22,2.14,2.2,2.2,24300
2020-12-30,2.2,2.22,2.16,2.18,2.18,107800
2021-01-04,2.18,2.2,2.14,2.2,2.2,49100
2021-01-05,2.18,2.2,2.14,2.2,2.2,79600
2021-01-06,2.22,2.26,2.18,2.18,2.18,238900
2021-01-07,2.18,2.24,2.18,2.22,2.22,32900
2021-01-08,2.22,2.5,2.22,2.5,2.5,1236100
2021-01-11,2.56,2.76,2.54,2.66,2.66,4155100
2021-01-12,2.64,2.66,2.56,2.62,2.62,577200
2021-01-13,2.6,2.62,2.14,2.44,2.44,1006000
2021-01-14,2.46,2.46,2.38,2.44,2.44,336400
2021-01-15,2.5,2.5,2.42,2.44,2.44,133600
2021-01-18,2.48,2.48,2.4,2.46,2.46,67500
2021-01-19,2.44,2.5,2.42,2.46,2.46,163300
2021-01-21,2.48,2.5,2.4,2.48,2.48,334000
2021-01-22,2.46,2.62,2.46,2.56,2.56,601300
2021-01-25,2.56,2.6,2.56,2.56,2.56,324100
2021-01-26,2.56,2.56,2.52,2.54,2.54,118400
2021-01-27,2.54,2.54,2.48,2.48,2.48,166000
2021-01-28,2.54,2.58,2.5,2.5,2.5,161100
2021-01-29,2.48,2.5,2.42,2.5,2.5,167700
2021-02-01,2.44,2.56,2.38,2.38,2.38,462000
2021-02-02,2.4,2.4,2.36,2.38,2.38,78600
2021-02-03,2.38,2.4,2.38,2.4,2.4,88500
2021-02-04,2.38,2.4,2.36,2.4,2.4,101700
2021-02-05,2.4,2.4,2.32,2.32,2.32,180300
2021-02-08,2.32,2.36,2.3,2.32,2.32,152800
2021-02-09,2.32,2.38,2.32,2.36,2.36,25500
2021-02-10,2.4,2.42,2.36,2.38,2.38,158700
2021-02-11,2.36,2.4,2.36,2.4,2.4,118700
2021-02-15,2.34,2.44,2.34,2.38,2.38,64100
2021-02-16,2.38,2.38,2.36,2.38,2.38,143000
2021-02-17,2.4,2.46,2.32,2.34,2.34,1452100
2021-02-18,2.32,2.36,2.3,2.32,2.32,180800
2021-02-19,2.34,2.34,2.08,2.1,2.1,2167500
2021-02-22,2.12,2.16,2.08,2.12,2.12,824300
2021-02-23,2.14,2.4,2.14,2.38,2.38,563300
2021-02-24,2.4,2.4,2.28,2.3,2.3,516200
2021-02-25,2.4,2.4,2.22,2.32,2.32,235000
2021-03-01,2.4,2.48,2.32,2.36,2.36,1223200
2021-03-02,2.4,2.64,2.4,2.62,2.62,3808800
2021-03-03,2.68,3.06,2.66,2.94,2.94,10045700
2021-03-04,3.06,3.36,2.94,2.94,2.94,18125000
2021-03-05,2.94,3.06,2.8,3.0,3.0,6633600
2021-03-08,3.08,3.08,2.84,2.88,2.88,3403200
2021-03-09,2.92,3.06,2.9,2.94,2.94,3554400
2021-03-10,2.94,3.08,2.9,3.04,3.04,2401900
2021-03-11,3.08,3.2,3.06,3.1,3.1,7145600
2021-03-12,3.18,3.48,3.14,3.3,3.3,7811900
2021-03-15,3.7,4.28,3.68,4.28,4.28,23625900
2021-03-16,4.2,4.24,3.8,3.98,3.98,7902000
2021-03-17,4.0,4.48,3.88,4.44,4.44,5996100
2021-03-18,4.38,4.38,4.2,4.28,4.28,2387500
2021-03-19,4.32,4.32,4.1,4.2,4.2,1981100
2021-03-22,4.48,4.5,4.28,4.3,4.3,3246000
2021-03-23,4.38,4.38,4.08,4.14,4.14,2729800
2021-03-24,4.16,4.24,4.04,4.16,4.16,994900
2021-03-25,4.1,4.18,4.08,4.16,4.16,420100
2021-03-26,4.16,4.18,4.08,4.12,4.12,576200
2021-03-29,4.1,4.16,4.08,4.12,4.12,424500
2021-03-30,4.1,4.16,4.06,4.08,4.08,385100
2021-03-31,4.08,4.14,4.08,4.14,4.14,398900
2021-04-01,4.16,4.26,4.12,4.2,4.2,1966700
2021-04-02,4.26,4.3,4.2,4.26,4.26,2351200
2021-04-05,4.28,4.3,4.14,4.18,4.18,1170500
2021-04-07,4.14,4.2,4.08,4.12,4.12,1983200
2021-04-08,4.26,4.68,4.24,4.52,4.52,26847700
2021-04-09,4.64,5.85,4.62,5.85,5.85,53202400
2021-04-12,6.75,7.1,5.7,5.7,5.7,62089500
2021-04-16,5.9,6.15,5.2,5.25,5.25,18448300
2021-04-19,5.35,5.65,5.35,5.4,5.4,6615800
2021-04-20,5.4,5.7,5.35,5.55,5.55,6892000
2021-04-21,5.5,5.85,5.4,5.55,5.55,8409100
2021-04-22,5.6,5.6,5.3,5.35,5.35,3245700
2021-04-23,5.4,6.75,5.35,6.4,6.4,66433500
2021-04-26,6.8,7.25,6.6,6.6,6.6,43553700
2021-04-27,6.65,6.65,5.95,6.05,6.05,14078900
2021-04-28,6.05,6.25,5.95,6.0,6.0,5710300
2021-04-29,6.05,6.1,5.65,5.75,5.75,4989300
2021-04-30,5.75,6.0,5.7,5.8,5.8,4347400
2021-05-05,6.0,6.2,5.85,6.0,6.0,4985600
2021-05-06,6.2,6.2,5.8,5.9,5.9,4532800
2021-05-07,5.95,6.0,5.8,5.9,5.9,1644700
2021-05-10,5.9,5.9,5.75,5.75,5.75,1748800
2021-05-11,5.8,6.0,5.7,5.75,5.75,2467200
2021-05-12,5.8,5.8,5.25,5.35,5.35,3623900
2021-05-13,5.35,5.9,5.3,5.7,5.7,6706600
2021-05-14,6.1,6.15,5.7,5.85,5.85,11297800
2021-05-17,5.25,5.5,5.0,5.4,5.4,6291300
2021-05-18,5.45,5.75,5.45,5.6,5.6,3291200
2021-05-19,5.6,5.65,5.5,5.55,5.55,3288800
2021-05-20,5.55,5.75,5.5,5.55,5.55,3779100
2021-05-21,5.75,6.1,5.75,6.0,6.0,15775300
2021-05-24,6.05,6.3,5.85,5.95,5.95,15046800
2021-05-25,6.25,6.3,5.95,6.1,6.1,12367500
2021-05-27,6.15,6.15,6.05,6.05,6.05,2828100
2021-05-28,6.1,6.15,6.05,6.1,6.1,2834400
2021-05-31,6.15,6.65,6.05,6.5,6.5,16357300
2021-06-01,6.55,6.65,6.3,6.3,6.3,6134400
2021-06-02,6.3,6.55,6.3,6.4,6.4,7453800
2021-06-04,6.4,6.4,6.3,6.3,6.3,2150800
2021-06-07,6.3,6.35,6.1,6.2,6.2,1798900
2021-06-08,6.15,6.2,5.85,6.05,6.05,2501900
2021-06-09,6.15,6.45,6.1,6.4,6.4,8641000
2021-06-10,6.35,6.45,6.15,6.2,6.2,2293300
2021-06-11,6.2,6.3,5.85,6.0,6.0,3449300
2021-06-14,6.05,6.2,6.05,6.2,6.2,1978300
2021-06-15,6.45,7.15,6.4,7.1,7.1,49053400
2021-06-16,7.25,7.35,6.5,6.6,6.6,29693700
2021-06-17,6.55,6.65,6.3,6.3,6.3,6635800
2021-06-18,6.35,6.45,6.3,6.4,6.4,3521900
2021-06-21,6.45,6.45,6.1,6.35,6.35,3003500
2021-06-22,6.4,6.4,6.25,6.35,6.35,1187900
2021-06-23,6.35,6.4,6.25,6.3,6.3,954900
2021-06-24,6.4,6.6,5.95,6.4,6.4,3631800
2021-06-25,6.45,6.45,6.2,6.3,6.3,1520600
2021-06-28,6.15,6.55,6.15,6.35,6.35,3090600
