Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.36,3.36,3.2,3.2,3.2,8717700
2020-09-24,3.22,3.5,3.2,3.44,3.44,27014900
2020-09-25,3.46,3.46,3.28,3.38,3.38,8229400
2020-09-28,3.44,3.52,3.32,3.32,3.32,9062700
2020-09-29,3.36,3.4,3.16,3.16,3.16,6375700
2020-09-30,3.18,3.22,3.02,3.04,3.04,4776500
2020-10-01,3.06,3.2,3.04,3.16,3.16,3660400
2020-10-02,3.16,3.16,3.08,3.12,3.12,1414800
2020-10-05,3.16,3.24,3.14,3.22,3.22,4023800
2020-10-06,3.26,3.28,3.18,3.18,3.18,2428800
2020-10-07,3.18,3.36,3.16,3.34,3.34,8042200
2020-10-08,3.36,3.48,3.26,3.46,3.46,13965700
2020-10-09,3.42,3.44,3.32,3.4,3.4,9992000
2020-10-12,3.5,4.18,3.48,4.06,4.06,87357400
2020-10-14,4.1,4.1,3.78,3.84,3.84,22085300
2020-10-15,3.86,4.16,3.86,3.96,3.96,34496700
2020-10-16,4.02,4.06,3.66,3.7,3.7,16934900
2020-10-19,3.64,3.7,3.46,3.46,3.46,9000800
2020-10-20,3.5,3.84,3.5,3.62,3.62,27838500
2020-10-21,3.68,3.76,3.58,3.6,3.6,10986700
2020-10-22,3.6,3.78,3.58,3.7,3.7,18569400
2020-10-26,3.7,3.92,3.7,3.86,3.86,18543800
2020-10-27,3.84,3.86,3.74,3.82,3.82,9776500
2020-10-28,3.82,3.9,3.7,3.7,3.7,14320300
2020-10-29,3.72,3.76,3.64,3.76,3.76,7825300
2020-10-30,3.76,3.86,3.66,3.68,3.68,11353400
2020-11-02,3.72,3.72,3.52,3.56,3.56,8973300
2020-11-03,3.58,3.66,3.5,3.58,3.58,7352000
2020-11-04,3.56,3.66,3.56,3.66,3.66,7386600
2020-11-05,3.7,3.74,3.62,3.62,3.62,8617500
2020-11-06,3.66,3.66,3.46,3.46,3.46,6048300
2020-11-09,3.46,3.54,3.28,3.3,3.3,5316400
2020-11-10,3.32,3.34,3.06,3.08,3.08,6682100
2020-11-11,3.12,3.26,3.06,3.22,3.22,7149300
2020-11-12,3.24,3.38,3.24,3.28,3.28,5968000
2020-11-13,3.26,3.34,3.26,3.28,3.28,4909600
2020-11-16,3.36,3.44,3.36,3.4,3.4,6854800
2020-11-17,3.42,3.44,3.26,3.26,3.26,3955000
2020-11-18,3.28,3.34,3.28,3.32,3.32,1178900
2020-11-19,3.18,3.28,3.18,3.22,3.22,5953700
2020-11-20,3.24,3.28,3.22,3.26,3.26,2573200
2020-11-23,3.28,3.32,3.2,3.32,3.32,3695800
2020-11-24,3.36,3.6,3.36,3.5,3.5,18373400
2020-11-25,3.54,3.66,3.46,3.5,3.5,12036500
2020-11-26,3.5,3.54,3.44,3.48,3.48,3021100
2020-11-27,3.5,3.52,3.46,3.5,3.5,1570500
2020-11-30,3.54,3.56,3.44,3.5,3.5,4052500
2020-12-01,3.48,3.58,3.48,3.52,3.52,5806900
2020-12-02,3.52,3.58,3.5,3.5,3.5,2104700
2020-12-03,3.52,3.6,3.52,3.6,3.6,2922500
2020-12-04,3.6,3.74,3.58,3.64,3.64,12749900
2020-12-08,3.66,3.72,3.64,3.64,3.64,4074600
2020-12-09,3.66,3.68,3.48,3.5,3.5,4091000
2020-12-14,3.5,3.5,3.36,3.4,3.4,3184700
2020-12-15,3.4,3.46,3.38,3.4,3.4,1254000
2020-12-16,3.42,3.64,3.42,3.62,3.62,5086100
2020-12-17,3.62,3.64,3.56,3.58,3.58,2918000
2020-12-18,3.6,3.66,3.54,3.54,3.54,2048200
2020-12-21,3.42,3.46,3.32,3.34,3.34,3067900
2020-12-22,3.3,3.44,3.24,3.38,3.38,2429600
2020-12-23,3.36,3.44,3.36,3.36,3.36,1132500
2020-12-24,3.38,3.5,3.38,3.44,3.44,2351200
2020-12-25,3.48,3.74,3.46,3.74,3.74,17421400
2020-12-28,4.5,4.54,3.96,4.02,4.02,86984700
