Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.981818,3.0,2.963637,2.981818,2.981818,3687639
2020-09-24,3.018182,3.2,3.0,3.163637,3.163637,58418024
2020-09-25,3.218182,3.218182,3.127273,3.145455,3.145455,24390077
2020-09-28,3.181819,3.181819,3.109091,3.163637,3.163637,7610129
2020-09-29,3.2,3.2,3.018182,3.018182,3.018182,10248038
2020-09-30,3.018182,3.018182,2.963637,2.963637,2.963637,6183649
2020-10-01,2.981818,3.018182,2.963637,3.018182,3.018182,5308049
2020-10-02,3.018182,3.072728,3.018182,3.018182,3.018182,5700089
2020-10-05,3.036364,3.072728,3.018182,3.072728,3.072728,5651029
2020-10-06,3.109091,3.109091,3.054546,3.072728,3.072728,5243479
2020-10-07,3.054546,3.254546,3.036364,3.254546,3.254546,26076597
2020-10-08,3.290909,3.309091,3.145455,3.181819,3.181819,13476208
2020-10-09,3.2,3.2,3.127273,3.127273,3.127273,6702079
2020-10-12,3.145455,3.309091,3.145455,3.309091,3.309091,19216998
2020-10-14,3.363637,3.418182,3.327273,3.327273,3.327273,27843967
2020-10-15,3.345455,3.436364,3.2,3.254546,3.254546,25510867
2020-10-16,3.272728,3.290909,3.090909,3.181819,3.181819,14577198
2020-10-19,3.145455,3.163637,3.054546,3.072728,3.072728,10244518
2020-10-20,3.072728,3.163637,3.054546,3.109091,3.109091,7841569
2020-10-21,3.127273,3.218182,3.127273,3.181819,3.181819,9950379
2020-10-22,3.272728,3.363637,3.254546,3.254546,3.254546,37337956
2020-10-26,3.290909,3.309091,3.236364,3.254546,3.254546,10639968
2020-10-27,3.254546,3.345455,3.218182,3.345455,3.345455,10212838
2020-10-28,3.381819,3.4,3.290909,3.290909,3.290909,14718218
2020-10-29,3.236364,3.327273,3.218182,3.309091,3.309091,8902739
2020-10-30,3.327273,3.345455,3.254546,3.327273,3.327273,6836389
2020-11-02,3.363637,3.509091,3.363637,3.509091,3.509091,43064445
2020-11-03,3.545455,3.545455,3.418182,3.418182,3.418182,22441867
2020-11-04,3.454546,3.490909,3.418182,3.490909,3.490909,15347968
2020-11-05,3.527273,3.527273,3.290909,3.309091,3.309091,35264346
2020-11-06,3.345455,3.363637,3.309091,3.345455,3.345455,7703189
2020-11-09,3.345455,3.363637,3.309091,3.309091,3.309091,6655989
2020-11-10,3.236364,3.254546,3.127273,3.145455,3.145455,13251918
2020-11-11,3.145455,3.2,3.145455,3.2,3.2,6303769
2020-11-12,3.181819,3.2,3.145455,3.181819,3.181819,3856819
2020-11-13,3.181819,3.254546,3.181819,3.218182,3.218182,4693369
2020-11-16,3.236364,3.254546,3.2,3.2,3.2,3722399
2020-11-17,3.2,3.2,3.163637,3.181819,3.181819,3272389
2020-11-18,3.163637,3.181819,3.145455,3.163637,3.163637,2236079
2020-11-19,3.181819,3.327273,3.181819,3.309091,3.309091,12746248
2020-11-20,3.327273,3.345455,3.254546,3.272728,3.272728,8005139
2020-11-23,3.290909,3.290909,3.236364,3.254546,3.254546,5967279
2020-11-24,3.272728,3.4,3.236364,3.363637,3.363637,27051747
2020-11-25,3.381819,3.4,3.236364,3.272728,3.272728,15421778
2020-11-26,3.309091,3.363637,3.272728,3.309091,3.309091,7245039
2020-11-27,3.309091,3.327273,3.272728,3.309091,3.309091,4080669
2020-11-30,3.309091,3.327273,3.254546,3.272728,3.272728,3681259
2020-12-01,3.272728,3.345455,3.272728,3.309091,3.309091,4860789
2020-12-02,3.309091,3.4,3.309091,3.327273,3.327273,24340027
2020-12-03,3.363637,3.381819,3.309091,3.309091,3.309091,15203758
2020-12-04,3.309091,3.327273,3.254546,3.272728,3.272728,7841129
2020-12-08,3.272728,3.309091,3.181819,3.218182,3.218182,10658778
2020-12-09,3.236364,3.236364,3.163637,3.181819,3.181819,6884789
2020-12-14,3.2,3.218182,3.181819,3.2,3.2,5137219
2020-12-15,3.2,3.218182,3.181819,3.2,3.2,3005199
2020-12-16,3.2,3.309091,3.2,3.254546,3.254546,8311379
2020-12-17,3.236364,3.309091,3.236364,3.254546,3.254546,15845278
2020-12-18,3.254546,3.436364,3.236364,3.363637,3.363637,31451306
2020-12-21,3.236364,3.309091,3.145455,3.181819,3.181819,20376617
2020-12-22,3.236364,3.236364,3.090909,3.163637,3.163637,5323119
2020-12-23,3.181819,3.2,3.145455,3.163637,3.163637,3908519
2020-12-24,3.181819,3.218182,3.145455,3.181819,3.181819,3957579
2020-12-25,3.181819,3.218182,3.163637,3.163637,3.163637,3579619
2020-12-28,3.181819,3.218182,3.163637,3.163637,3.163637,4904459
2020-12-29,3.236364,3.290909,3.2,3.236364,3.236364,11172918
