Date,Open,High,Low,Close,Adj Close,Volume
2014-03-06,55.0,55.0,55.0,55.0,55.0,100
2014-03-07,41.0,44.0,41.0,44.0,44.0,200
2014-04-09,35.25,37.5,35.25,37.5,37.5,200
2014-04-10,48.75,48.75,48.75,48.75,48.75,100
2014-05-28,36.0,42.0,36.0,42.0,42.0,600
2014-07-03,40.0,40.0,40.0,40.0,40.0,100
2014-07-04,45.0,52.0,45.0,52.0,52.0,300
2014-08-25,40.25,48.0,40.25,45.0,45.0,700
2014-08-26,45.0,45.0,45.0,45.0,45.0,100
2014-09-10,35.5,43.0,35.5,43.0,43.0,400
2014-09-12,44.0,44.0,44.0,44.0,44.0,100
2014-09-16,50.0,52.0,44.0,52.0,52.0,1200
2014-11-21,43.5,45.25,43.5,44.0,44.0,400
2014-12-08,36.0,47.0,36.0,47.0,47.0,3100
2014-12-17,40.0,40.0,36.0,36.0,36.0,3000
2014-12-18,37.75,38.5,37.75,38.5,38.5,400
2014-12-19,37.0,37.0,37.0,37.0,37.0,100
2015-01-19,39.0,39.0,39.0,39.0,39.0,100
2015-01-21,32.25,32.25,32.25,32.25,32.25,100
2015-01-23,35.75,35.75,35.75,35.75,35.75,100
2015-01-26,30.25,30.25,30.25,30.25,30.25,100
2015-01-29,31.0,31.0,31.0,31.0,31.0,100
2015-01-30,38.0,38.0,33.0,33.0,33.0,900
2015-02-04,37.75,37.75,37.75,37.75,37.75,100
2015-02-12,38.0,45.0,38.0,45.0,45.0,600
2015-02-13,40.0,40.0,40.0,40.0,40.0,100
2015-02-16,33.25,34.5,31.5,34.5,34.5,600
2015-02-17,34.0,34.0,33.5,33.5,33.5,300
2015-02-19,35.0,35.0,35.0,35.0,35.0,100
2015-02-26,35.75,35.75,35.5,35.5,35.5,200
2015-03-25,35.0,35.0,35.0,35.0,35.0,300
2015-03-30,35.0,35.0,35.0,35.0,35.0,200
2015-04-09,35.0,35.0,35.0,35.0,35.0,100
2015-04-20,35.0,35.0,35.0,35.0,35.0,200
2015-04-23,36.0,36.0,36.0,36.0,36.0,100
2015-04-30,36.0,36.0,36.0,36.0,36.0,100
2015-05-13,29.5,35.0,29.5,32.25,32.25,300
2015-05-15,30.5,30.5,30.5,30.5,30.5,100
2015-05-18,29.5,29.5,29.5,29.5,29.5,100
2015-05-20,30.5,30.5,30.5,30.5,30.5,100
2015-05-26,38.0,38.0,36.0,37.0,37.0,300
2015-05-27,32.5,33.75,32.5,33.75,33.75,200
2015-06-02,28.0,28.0,28.0,28.0,28.0,100
2015-06-04,27.0,27.0,27.0,27.0,27.0,200
2015-06-18,29.75,29.75,29.75,29.75,29.75,100
2015-06-19,29.75,29.75,29.75,29.75,29.75,100
2015-06-25,32.0,38.5,32.0,38.5,38.5,600
2015-06-26,39.0,39.0,39.0,39.0,39.0,100
