Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.06,2.1,2.04,2.06,2.06,45625200
2020-09-24,2.04,2.04,1.99,2.0,2.0,72553500
2020-09-25,2.02,2.04,1.96,1.97,1.97,96216400
2020-09-28,1.98,2.0,1.95,1.97,1.97,115533100
2020-09-29,1.98,1.98,1.95,1.96,1.96,64384100
2020-09-30,1.97,1.97,1.92,1.92,1.92,57003900
2020-10-01,1.94,2.12,1.92,2.1,2.1,179707100
2020-10-02,2.06,2.06,2.0,2.04,2.04,102901600
2020-10-05,2.06,2.1,2.0,2.04,2.04,96886000
2020-10-06,2.08,2.2,2.04,2.16,2.16,177659000
2020-10-07,2.12,2.18,2.12,2.12,2.12,64956200
2020-10-08,2.14,2.16,2.12,2.14,2.14,50668100
2020-10-09,2.16,2.16,2.1,2.1,2.1,76072100
2020-10-12,2.12,2.16,2.1,2.12,2.12,47367300
2020-10-14,2.12,2.14,2.06,2.08,2.08,66077700
2020-10-15,2.06,2.12,2.04,2.06,2.06,72620900
2020-10-16,2.08,2.1,2.04,2.08,2.08,65952100
2020-10-19,2.04,2.06,2.0,2.02,2.02,52206000
2020-10-20,2.02,2.06,1.99,2.02,2.02,45640500
2020-10-21,2.04,2.04,2.0,2.02,2.02,47971900
2020-10-22,2.02,2.04,1.99,2.0,2.0,87604500
2020-10-26,2.0,2.04,1.98,2.04,2.04,49751700
2020-10-27,2.0,2.04,2.0,2.02,2.02,32949400
2020-10-28,2.0,2.04,2.0,2.02,2.02,28742400
2020-10-29,2.02,2.1,2.02,2.06,2.06,86649300
2020-10-30,2.06,2.08,1.99,2.02,2.02,93955100
2020-11-02,2.02,2.04,2.0,2.02,2.02,20826200
2020-11-03,2.04,2.1,2.04,2.1,2.1,90784200
2020-11-04,2.1,2.12,2.02,2.08,2.08,80614500
2020-11-05,2.12,2.18,2.1,2.16,2.16,125841100
2020-11-06,2.16,2.18,2.06,2.12,2.12,105148600
2020-11-09,2.16,2.26,2.12,2.24,2.24,209207900
2020-11-10,2.46,2.5,2.38,2.46,2.46,322262600
2020-11-11,2.56,2.6,2.46,2.54,2.54,226509200
2020-11-12,2.48,2.58,2.48,2.54,2.54,138704600
2020-11-13,2.52,2.56,2.5,2.56,2.56,96620800
2020-11-16,2.6,2.66,2.6,2.62,2.62,206566500
2020-11-17,2.66,2.74,2.64,2.66,2.66,233544400
2020-11-18,2.66,2.76,2.66,2.74,2.74,111380800
2020-11-19,2.78,2.9,2.76,2.9,2.9,305022900
2020-11-20,2.9,2.9,2.86,2.9,2.9,92448900
2020-11-23,2.9,2.98,2.88,2.9,2.9,201919900
2020-11-24,2.94,2.96,2.8,2.8,2.8,247230800
2020-11-25,2.86,2.94,2.82,2.9,2.9,233720300
2020-11-26,2.9,2.92,2.84,2.88,2.88,116988500
2020-11-27,2.82,2.88,2.8,2.82,2.82,164523600
2020-11-30,2.76,2.9,2.72,2.72,2.72,1292805100
2020-12-01,2.8,2.92,2.78,2.9,2.9,491530800
2020-12-02,2.88,2.94,2.82,2.84,2.84,291954500
2020-12-03,2.86,3.1,2.82,3.06,3.06,637782600
2020-12-04,3.06,3.22,3.04,3.16,3.16,538077900
2020-12-08,3.14,3.48,3.12,3.4,3.4,805309800
2020-12-09,3.6,3.96,3.5,3.8,3.8,1157647000
2020-12-14,3.84,3.92,3.64,3.64,3.64,673373200
2020-12-15,3.58,3.88,3.54,3.88,3.88,682295700
2020-12-16,3.88,3.98,3.8,3.86,3.86,636514900
2020-12-17,3.88,3.94,3.82,3.84,3.84,319042700
2020-12-18,3.84,3.86,3.7,3.78,3.78,374516100
2020-12-21,3.62,3.82,3.6,3.62,3.62,467517300
2020-12-22,3.66,3.76,3.56,3.74,3.74,470718700
2020-12-23,3.68,3.74,3.6,3.6,3.6,273961100
2020-12-24,3.64,3.76,3.58,3.72,3.72,274781600
2020-12-25,3.74,3.94,3.72,3.8,3.8,486776000
2020-12-28,3.84,3.9,3.68,3.68,3.68,261693700
2020-12-29,3.7,3.84,3.68,3.82,3.82,277720200
2020-12-30,3.82,3.82,3.66,3.72,3.72,405343000
2021-01-04,3.64,3.88,3.62,3.86,3.86,350723100
2021-01-05,3.86,3.94,3.84,3.84,3.84,330150900
2021-01-06,3.94,4.3,3.86,4.04,4.04,1599324200
2021-01-07,4.14,4.16,3.9,3.94,3.94,568293500
2021-01-08,3.96,3.98,3.72,3.76,3.76,652406100
2021-01-11,3.8,3.84,3.72,3.74,3.74,256095800
2021-01-12,3.74,3.82,3.68,3.78,3.78,273329800
2021-01-13,3.8,3.88,3.8,3.86,3.86,335716300
2021-01-14,3.84,3.84,3.74,3.74,3.74,211922200
2021-01-15,3.76,3.8,3.68,3.72,3.72,158050500
2021-01-18,3.7,3.7,3.64,3.66,3.66,172270300
2021-01-19,3.7,3.8,3.68,3.8,3.8,198209900
2021-01-20,3.8,3.84,3.72,3.74,3.74,158973500
2021-01-21,3.76,3.78,3.72,3.72,3.72,82957700
2021-01-22,3.7,3.72,3.66,3.68,3.68,101460300
2021-01-25,3.66,3.72,3.64,3.7,3.7,71068800
2021-01-26,3.72,3.76,3.66,3.72,3.72,93348000
2021-01-27,3.74,3.76,3.68,3.68,3.68,88923500
2021-01-28,3.64,3.68,3.58,3.58,3.58,141492000
2021-01-29,3.62,3.62,3.24,3.4,3.4,547712600
2021-02-01,3.46,3.7,3.42,3.68,3.68,433701700
2021-02-02,3.7,3.72,3.54,3.6,3.6,289289300
2021-02-03,3.62,3.68,3.58,3.6,3.6,243219200
2021-02-04,3.62,3.66,3.6,3.62,3.62,160032500
2021-02-05,3.68,3.7,3.6,3.62,3.62,173892300
2021-02-08,3.66,3.78,3.64,3.72,3.72,321714700
2021-02-09,3.78,3.82,3.7,3.72,3.72,207698400
2021-02-10,3.74,3.78,3.66,3.66,3.66,185816000
2021-02-11,3.68,3.72,3.64,3.66,3.66,117258000
2021-02-15,3.68,3.74,3.66,3.7,3.7,144720600
2021-02-16,3.72,3.74,3.62,3.62,3.62,169452100
2021-02-17,3.62,3.68,3.6,3.64,3.64,147483500
2021-02-18,3.64,3.68,3.6,3.62,3.62,80421500
2021-02-19,3.6,3.62,3.54,3.58,3.58,93087600
2021-02-22,3.58,3.6,3.42,3.46,3.46,193825200
2021-02-23,3.42,3.54,3.42,3.48,3.48,105560600
2021-02-24,3.5,3.52,3.36,3.38,3.38,139649200
2021-02-25,3.44,3.54,3.42,3.52,3.52,135927700
2021-03-01,3.48,3.54,3.46,3.5,3.5,77984600
2021-03-02,3.5,3.52,3.4,3.42,3.42,93247100
2021-03-03,3.42,3.46,3.36,3.44,3.44,200480200
2021-03-04,3.44,3.52,3.42,3.44,3.44,178458900
2021-03-05,3.5,3.56,3.46,3.5,3.5,245542800
2021-03-08,3.6,3.64,3.52,3.56,3.56,279261000
2021-03-09,3.56,3.56,3.48,3.5,3.5,98807400
2021-03-10,3.5,3.6,3.48,3.56,3.56,170199500
2021-03-11,3.62,3.74,3.56,3.72,3.72,540556300
2021-03-12,3.8,3.82,3.7,3.74,3.74,560114700
2021-03-15,3.74,3.76,3.64,3.68,3.68,184294300
2021-03-16,3.7,3.82,3.68,3.76,3.76,465246000
2021-03-17,3.84,3.88,3.78,3.86,3.86,442836700
2021-03-18,3.94,3.94,3.84,3.86,3.86,353808600
2021-03-19,3.76,3.88,3.76,3.88,3.88,335744700
2021-03-22,3.84,3.86,3.8,3.82,3.82,134783800
2021-03-23,3.84,3.86,3.74,3.74,3.74,224173700
2021-03-24,3.7,3.76,3.68,3.76,3.76,160329600
2021-03-25,3.8,3.8,3.74,3.74,3.74,84211500
2021-03-26,3.74,3.78,3.7,3.78,3.78,139176000
2021-03-29,3.8,3.82,3.78,3.78,3.78,133685200
2021-03-30,3.82,3.84,3.72,3.74,3.74,218917800
2021-03-31,3.74,3.76,3.72,3.72,3.72,68867700
2021-04-01,3.74,3.86,3.72,3.86,3.86,318282500
2021-04-02,3.94,4.08,3.86,4.08,4.08,1312124100
2021-04-05,4.06,4.08,3.94,3.96,3.96,638855900
2021-04-07,3.9,3.94,3.84,3.92,3.92,320670700
2021-04-08,3.94,4.1,3.9,4.06,4.06,467125100
2021-04-09,4.02,4.06,3.94,3.98,3.98,342115400
2021-04-12,3.92,3.96,3.84,3.88,3.88,280533500
2021-04-16,3.9,3.98,3.82,3.96,3.96,318057200
2021-04-19,3.98,4.0,3.92,3.96,3.96,271620300
2021-04-20,3.96,4.0,3.92,3.92,3.92,170882400
2021-04-21,3.9,3.94,3.88,3.9,3.9,64929700
2021-04-22,3.92,3.92,3.8,3.84,3.84,272764100
2021-04-23,3.82,3.86,3.76,3.8,3.8,208840400
2021-04-26,3.8,3.82,3.76,3.8,3.8,182503600
2021-04-27,3.82,3.94,3.78,3.92,3.92,371769200
2021-04-28,3.92,3.98,3.9,3.94,3.94,217932900
2021-04-29,4.02,4.14,4.0,4.1,4.1,1073705200
2021-04-30,4.1,4.18,4.04,4.14,4.14,425942500
2021-05-05,4.14,4.2,4.06,4.14,4.14,576774200
2021-05-06,4.14,4.18,4.1,4.16,4.16,196267600
2021-05-07,4.18,4.24,4.14,4.22,4.22,335891900
2021-05-10,4.22,4.24,4.18,4.2,4.2,161979200
2021-05-11,4.2,4.22,4.12,4.18,4.18,262891900
2021-05-12,4.12,4.32,4.06,4.22,4.22,700431000
2021-05-13,4.16,4.22,3.92,4.1,4.1,513656100
2021-05-14,4.1,4.14,4.0,4.04,4.04,368085600
2021-05-17,4.04,4.1,4.0,4.08,4.08,231712000
2021-05-18,4.12,4.12,4.02,4.04,4.04,305145500
2021-05-19,4.04,4.06,3.96,3.96,3.96,239270300
2021-05-20,3.96,4.02,3.92,3.94,3.94,175528500
2021-05-21,4.0,4.12,3.98,4.06,4.06,421075400
2021-05-24,4.1,4.14,4.02,4.04,4.04,269779200
2021-05-25,4.08,4.1,4.04,4.04,4.04,183992900
2021-05-27,4.06,4.1,4.02,4.04,4.04,112256800
2021-05-28,4.06,4.16,4.04,4.1,4.1,396725900
2021-05-31,4.1,4.12,4.0,4.04,4.04,203073900
2021-06-01,4.08,4.12,4.06,4.1,4.1,201822300
2021-06-02,4.14,4.18,4.12,4.14,4.14,267769900
2021-06-04,4.16,4.18,4.1,4.12,4.12,176451900
2021-06-07,4.14,4.16,4.08,4.1,4.1,135933300
2021-06-08,4.1,4.14,4.0,4.02,4.02,398451300
2021-06-09,4.04,4.06,4.02,4.02,4.02,127046600
2021-06-10,4.04,4.06,3.98,4.0,4.0,147450900
2021-06-11,4.02,4.02,3.98,4.0,4.0,97285400
2021-06-14,4.02,4.1,4.02,4.04,4.04,196755600
2021-06-15,4.04,4.04,3.98,4.0,4.0,110645800
2021-06-16,4.04,4.12,4.02,4.04,4.04,314740900
2021-06-17,4.04,4.06,4.0,4.02,4.02,137103700
2021-06-18,4.02,4.04,3.9,3.9,3.9,410485700
2021-06-21,3.8,3.9,3.78,3.86,3.86,155827400
2021-06-22,3.92,3.94,3.88,3.88,3.88,91941700
2021-06-23,3.9,3.92,3.82,3.84,3.84,82807700
2021-06-24,3.84,3.84,3.78,3.82,3.82,88245600
2021-06-25,3.86,3.88,3.76,3.8,3.8,111360700
2021-06-28,3.78,3.84,3.76,3.82,3.82,53733200
2021-06-29,3.84,3.92,3.82,3.88,3.88,92214100
2021-06-30,3.9,3.92,3.82,3.84,3.84,205989000
2021-07-01,3.86,3.94,3.84,3.92,3.92,139218400
2021-07-02,3.94,3.94,3.86,3.86,3.86,101578100
2021-07-05,3.88,3.9,3.82,3.84,3.84,70333800
2021-07-06,3.9,3.96,3.88,3.9,3.9,206951300
2021-07-07,3.9,3.92,3.76,3.8,3.8,256351100
2021-07-08,3.76,3.76,3.64,3.64,3.64,223575800
2021-07-09,3.64,3.74,3.62,3.7,3.7,151749500
2021-07-12,3.72,3.76,3.62,3.64,3.64,124296800
2021-07-13,3.66,3.72,3.66,3.7,3.7,80993400
2021-07-14,3.72,3.72,3.66,3.7,3.7,89416700
2021-07-15,3.68,3.7,3.64,3.68,3.68,78273000
2021-07-16,3.68,3.72,3.66,3.7,3.7,156001200
2021-07-19,3.64,3.68,3.62,3.66,3.66,107148800
2021-07-20,3.62,3.64,3.5,3.52,3.52,162387800
2021-07-21,3.54,3.56,3.46,3.52,3.52,140886700
2021-07-22,3.56,3.62,3.54,3.56,3.56,63006500
2021-07-23,3.58,3.62,3.54,3.54,3.54,78972700
2021-07-27,3.56,3.6,3.52,3.52,3.52,62230700
2021-07-29,3.56,3.6,3.54,3.58,3.58,103148500
2021-07-30,3.54,3.56,3.46,3.52,3.52,121905400
2021-08-02,3.52,3.54,3.46,3.54,3.54,92766300
2021-08-03,3.54,3.64,3.52,3.62,3.62,89285300
2021-08-04,3.6,3.64,3.58,3.6,3.6,63574200
2021-08-05,3.6,3.64,3.52,3.54,3.54,101598000
2021-08-06,3.54,3.56,3.46,3.5,3.5,126509700
2021-08-09,3.52,3.58,3.5,3.54,3.54,79375400
2021-08-10,3.56,3.68,3.56,3.6,3.6,174498300
2021-08-11,3.64,3.66,3.58,3.62,3.62,117261600
2021-08-13,3.68,3.82,3.64,3.78,3.78,341880700
2021-08-16,3.78,3.86,3.78,3.84,3.84,297395800
2021-08-17,3.86,3.9,3.82,3.84,3.84,201115700
2021-08-18,3.86,3.9,3.84,3.88,3.88,112177700
2021-08-19,3.88,3.88,3.78,3.82,3.82,104573100
2021-08-20,3.82,3.84,3.78,3.78,3.78,118027300
2021-08-23,3.8,3.88,3.8,3.86,3.86,94760800
2021-08-24,3.92,3.98,3.88,3.88,3.88,250379400
2021-08-25,3.92,3.94,3.88,3.92,3.92,90593900
2021-08-26,3.92,3.92,3.88,3.9,3.9,52739800
2021-08-27,3.9,3.94,3.88,3.9,3.9,136362100
2021-08-30,3.94,4.02,3.92,4.02,4.02,239223400
2021-08-31,4.02,4.04,3.98,3.98,3.98,105322800
2021-09-01,4.0,4.02,3.94,3.98,3.98,123897500
2021-09-02,3.96,4.02,3.96,3.98,3.98,95440800
2021-09-03,4.0,4.02,3.98,3.98,3.98,39993200
2021-09-06,4.0,4.04,3.98,4.0,4.0,82383000
2021-09-07,3.9,3.94,3.88,3.88,3.88,100280800
2021-09-08,3.86,3.9,3.86,3.9,3.9,63263700
2021-09-09,3.92,3.96,3.9,3.92,3.92,100763800
2021-09-10,3.92,3.94,3.86,3.92,3.92,105761600
2021-09-13,3.9,3.94,3.9,3.92,3.92,45395500
2021-09-14,3.94,4.0,3.92,4.0,4.0,157809500
2021-09-15,4.0,4.06,3.98,4.04,4.04,135065400
2021-09-16,4.06,4.1,4.04,4.08,4.08,171024800
2021-09-17,4.06,4.08,3.98,4.02,4.02,134363900
2021-09-20,3.98,4.0,3.94,3.94,3.94,89750400
2021-09-21,3.94,4.02,3.92,4.0,4.0,84075900
2021-09-22,4.0,4.02,3.96,4.0,4.0,55488400
2021-09-23,4.02,4.08,4.0,4.04,4.04,124015400
2021-09-27,4.06,4.12,4.02,4.1,4.1,209716100
2021-09-28,4.14,4.18,4.12,4.16,4.16,305390400
2021-09-29,4.12,4.2,4.12,4.18,4.18,170410600
2021-09-30,4.18,4.18,4.1,4.16,4.16,96937400
2021-10-01,4.12,4.22,4.12,4.2,4.2,207675500
2021-10-04,4.2,4.28,4.18,4.26,4.26,176359400
2021-10-05,4.26,4.42,4.26,4.38,4.38,368177100
2021-10-06,4.4,4.5,4.38,4.44,4.44,271515600
2021-10-07,4.42,4.5,4.34,4.36,4.36,284295800
2021-10-08,4.4,4.46,4.38,4.42,4.42,131351400
2021-10-11,4.46,4.56,4.44,4.48,4.48,192534000
2021-10-12,4.48,4.5,4.42,4.46,4.46,149159200
2021-10-14,4.48,4.68,4.44,4.68,4.68,443341200
2021-10-15,4.7,4.76,4.56,4.64,4.64,431765400
2021-10-18,4.62,4.76,4.58,4.72,4.72,324538600
2021-10-19,4.7,4.76,4.54,4.56,4.56,278561000
2021-10-20,4.56,4.66,4.56,4.62,4.62,205563300
2021-10-21,4.66,4.7,4.6,4.64,4.64,170239000
2021-10-25,4.64,4.64,4.46,4.48,4.48,265706000
2021-10-26,4.5,4.56,4.46,4.46,4.46,171300400
2021-10-27,4.44,4.52,4.38,4.4,4.4,139939500
2021-10-28,4.36,4.38,4.32,4.34,4.34,148354200
2021-10-29,4.32,4.36,4.28,4.3,4.3,113956700
2021-11-01,4.3,4.34,4.22,4.24,4.24,81793300
2021-11-02,4.24,4.4,4.24,4.36,4.36,134415700
2021-11-03,4.34,4.36,4.1,4.18,4.18,373987700
2021-11-04,4.16,4.22,4.16,4.18,4.18,94064000
